,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,23200.0,23800.0,23850.0,23150.0,52650.0,7330,-4378,-2952,0.0553,-665379,650.0,FALL
2020-06-04,23850.0,23800.0,24250.0,23150.0,126459.0,-25318,-936,26254,0.056,-662427,150.0,RISE
2020-06-03,23700.0,22950.0,24400.0,22800.0,447192.0,-65100,10853,54247,0.0561,-688681,1650.0,RISE
2020-06-02,22050.0,21600.0,22100.0,21500.0,46463.0,-1040,129,911,0.0545,-742928,0.0,EVEN
2020-06-01,22050.0,21900.0,22250.0,21750.0,45892.0,4696,-5796,1100,0.0545,-743839,150.0,RISE
2020-05-29,21900.0,21050.0,22100.0,20700.0,97125.0,-5498,7379,-1881,0.0553,-744939,850.0,RISE
2020-05-28,21050.0,21600.0,21800.0,20700.0,63928.0,-3866,2797,1069,0.0543,-743058,500.0,FALL
2020-05-27,21550.0,22300.0,22500.0,21350.0,58525.0,21184,-3246,-17938,0.0538,-744127,750.0,FALL
2020-05-26,22300.0,21450.0,22400.0,21400.0,79566.0,-4295,4407,-112,0.0544,-726189,850.0,RISE
2020-05-25,21450.0,21450.0,21600.0,21200.0,24135.0,-432,-68,500,0.0538,-726077,50.0,RISE
2020-05-22,21400.0,21400.0,21850.0,21250.0,59860.0,-712,709,3,0.0538,-726577,50.0,RISE
2020-05-21,21350.0,21600.0,21800.0,21200.0,45832.0,4173,-980,-3193,0.0537,-726580,250.0,FALL
2020-05-20,21600.0,21600.0,21900.0,21500.0,32079.0,-1977,1977,0,0.0538,-723387,50.0,RISE
2020-05-19,21550.0,21850.0,21900.0,21350.0,44628.0,1082,-1082,0,0.0535,-723387,100.0,FALL
2020-05-18,21650.0,21300.0,21900.0,21200.0,59482.0,2293,-743,-1550,0.0537,-723387,350.0,RISE
2020-05-15,21300.0,22650.0,22900.0,21300.0,141713.0,25646,10930,-36576,0.0538,-721837,1350.0,FALL
2020-05-14,22650.0,23100.0,23150.0,22600.0,76763.0,21857,-1824,-20033,0.0522,-685261,750.0,FALL
2020-05-13,23400.0,23200.0,23700.0,22050.0,174649.0,-7948,1542,6406,0.0525,-665228,50.0,RISE
2020-05-12,23350.0,23000.0,23400.0,22600.0,116404.0,699,-5578,4879,0.0522,-671634,750.0,RISE
2020-05-11,22600.0,22100.0,23100.0,22000.0,122491.0,-4223,11777,-7554,0.0531,-676513,500.0,RISE
2020-05-08,22100.0,22700.0,22850.0,22000.0,70963.0,5162,6240,-11402,0.0513,-668959,550.0,FALL
2020-05-07,22650.0,23300.0,23350.0,22450.0,84867.0,13727,-7514,-6213,0.0504,-657557,550.0,FALL
2020-05-06,23200.0,23050.0,24450.0,22600.0,228595.0,28055,-13722,-14333,0.0515,-651344,600.0,RISE
2020-05-04,22600.0,22800.0,23200.0,22550.0,50491.0,4151,4677,-8828,0.0535,-637011,400.0,FALL
2020-04-29,23000.0,24000.0,24050.0,22900.0,82432.0,13175,-13678,503,0.0528,-628183,950.0,FALL
2020-04-28,23950.0,24050.0,24350.0,23000.0,101320.0,575,6788,-7363,0.0549,-628686,50.0,FALL
2020-04-27,24000.0,24700.0,24950.0,23800.0,125583.0,5963,441,-6404,0.0539,-621323,450.0,FALL
2020-04-24,24450.0,24050.0,25550.0,23600.0,310739.0,-31943,20711,11232,0.0538,-614919,650.0,RISE
2020-04-23,23800.0,22450.0,23900.0,21950.0,320631.0,-32820,7085,25735,0.0507,-626151,2000.0,RISE
2020-04-22,21800.0,20550.0,21800.0,20200.0,170659.0,-8919,2310,6609,0.0497,-651886,1150.0,RISE
2020-04-21,20650.0,20100.0,20750.0,19050.0,126980.0,-9848,5748,4100,0.0494,-658495,300.0,RISE
2020-04-20,20350.0,20450.0,20900.0,20100.0,72494.0,-5655,6327,-672,0.0485,-662595,300.0,FALL
2020-04-17,20650.0,20950.0,21300.0,20400.0,87046.0,18973,-9736,-9237,0.0476,-661923,200.0,FALL
2020-04-16,20850.0,20100.0,20850.0,20050.0,79581.0,-2831,5741,-2910,0.049,-652686,800.0,RISE
2020-04-14,20050.0,20000.0,20750.0,20000.0,121465.0,-2304,1870,434,0.0482,-649776,250.0,RISE
2020-04-13,19800.0,20900.0,21000.0,19800.0,176850.0,12887,-10438,-2449,0.0479,-650210,1100.0,FALL
2020-04-10,20900.0,20350.0,22150.0,20350.0,521599.0,25899,-24100,-1799,0.0494,-647761,1000.0,RISE
2020-04-09,19900.0,19300.0,19950.0,19250.0,83360.0,-12529,10317,2212,0.053,-645962,800.0,RISE
2020-04-08,19100.0,19500.0,20000.0,19100.0,65050.0,-3204,9331,-6127,0.0515,-648174,400.0,FALL
2020-04-07,19500.0,20200.0,20500.0,19000.0,139231.0,16741,19457,-36198,0.0501,-642047,550.0,FALL
2020-04-06,20050.0,20750.0,21100.0,20050.0,114800.0,1063,1811,-2874,0.0472,-605849,100.0,FALL
2020-04-03,20150.0,19650.0,20200.0,19300.0,158678.0,-13144,10113,3031,0.047,-602975,650.0,RISE
2020-04-02,19500.0,20200.0,20450.0,18250.0,125907.0,8596,-2386,-6210,0.0455,-606006,750.0,RISE
2020-04-01,18750.0,18500.0,21050.0,18350.0,296715.0,9637,3841,-13478,0.0458,-599796,50.0,FALL
2020-03-31,18800.0,19750.0,19750.0,18300.0,144071.0,11263,-7286,-3977,0.0453,-586318,100.0,FALL
2020-03-30,18900.0,16150.0,18900.0,15550.0,217703.0,-53153,9519,43634,0.0463,-582341,2900.0,RISE
2020-03-27,16000.0,16800.0,16950.0,15500.0,124950.0,8453,-6044,-2409,0.0449,-625975,50.0,FALL
2020-03-26,16050.0,15950.0,16500.0,15500.0,144365.0,-17224,6574,10650,0.046,-623566,1050.0,RISE
2020-03-25,15000.0,15200.0,15850.0,14900.0,68203.0,8438,2720,-11158,0.045,-634216,0.0,EVEN
2020-03-24,15000.0,14650.0,15400.0,14550.0,89885.0,11934,-1838,-10096,0.0446,-623058,600.0,RISE
2020-03-23,14400.0,14100.0,15600.0,13850.0,87031.0,7279,-2329,-4950,0.0449,-612962,500.0,FALL
2020-03-20,14900.0,13650.0,15000.0,13600.0,69351.0,-13491,1588,11903,0.0452,-608012,1300.0,RISE
2020-03-19,13600.0,14900.0,15050.0,13350.0,76592.0,-10583,1332,9251,0.045,-619915,900.0,FALL
2020-03-18,14500.0,15150.0,15950.0,14500.0,66985.0,5614,-5686,72,0.0451,-629166,400.0,FALL
2020-03-17,14900.0,13200.0,15150.0,13200.0,97356.0,-7420,2949,4471,0.0459,-629238,250.0,RISE
2020-03-16,14650.0,15950.0,16600.0,14650.0,83297.0,8006,-4080,-3926,0.0455,-633709,1200.0,FALL
2020-03-13,15850.0,16750.0,17350.0,14000.0,155768.0,-23239,-1778,25017,0.0461,-629783,2200.0,FALL
2020-03-12,18050.0,18400.0,19250.0,17300.0,109931.0,-2467,-4846,7313,0.0464,-654800,350.0,FALL
2020-03-11,18400.0,19050.0,19350.0,18150.0,90830.0,-18142,5279,12863,0.0471,-662113,400.0,FALL
2020-03-10,18800.0,18700.0,19750.0,18700.0,132374.0,-6622,5743,879,0.0463,-674976,300.0,FALL
2020-03-09,19100.0,20150.0,20550.0,18900.0,113994.0,-11920,3407,8513,0.0455,-675855,1500.0,FALL
2020-03-06,20600.0,20450.0,20800.0,20000.0,109301.0,-14457,-4026,18483,0.0452,-684368,150.0,RISE
2020-03-05,20450.0,20400.0,21150.0,20100.0,164758.0,-38120,14439,23681,0.0458,-702851,250.0,FALL
2020-03-04,20700.0,20300.0,21000.0,19750.0,348268.0,-20509,-4364,24873,0.0437,-726532,700.0,RISE
2020-03-03,20000.0,19750.0,20750.0,19400.0,164917.0,-5562,-6592,12154,0.0443,-751405,0.0,EVEN
2020-03-02,20000.0,18000.0,20000.0,17700.0,213574.0,-49606,2236,47370,0.0452,-763559,1800.0,RISE
2020-02-28,18200.0,19150.0,20000.0,18200.0,285102.0,-25015,4758,20257,0.045,-810929,1200.0,FALL
2020-02-27,19400.0,21200.0,22900.0,18550.0,951216.0,8429,159,-8588,0.0443,-831186,250.0,FALL
2020-02-26,19650.0,17800.0,19650.0,17500.0,486005.0,-6396,5561,835,0.0443,-822598,1900.0,RISE
2020-02-25,17750.0,17100.0,17750.0,17000.0,166729.0,5253,-474,-4779,0.0435,-823433,700.0,RISE
2020-02-24,17050.0,17500.0,18250.0,16950.0,252518.0,-3297,-4983,8280,0.0435,-818654,200.0,RISE
2020-02-21,16850.0,17300.0,17350.0,16600.0,64641.0,5862,-2181,-3681,0.0443,-826934,50.0,RISE
2020-02-20,16800.0,17250.0,17600.0,16550.0,159712.0,-4642,4742,-100,0.0446,-823253,0.0,EVEN
2020-02-19,16800.0,16450.0,16800.0,16200.0,67826.0,4110,2397,-6507,0.0439,-823153,600.0,RISE
2020-02-18,16200.0,16500.0,16500.0,16000.0,26495.0,3254,1146,-4400,0.0435,-816646,150.0,FALL
2020-02-17,16350.0,16400.0,16550.0,16250.0,19612.0,1167,-1481,314,0.0434,-812246,0.0,EVEN
2020-02-14,16350.0,16350.0,16700.0,16250.0,25318.0,853,2180,-3033,0.0436,-812560,0.0,EVEN
2020-02-13,16350.0,16350.0,16750.0,16250.0,62542.0,17942,-839,-17103,0.0433,-809527,0.0,EVEN
2020-02-12,16350.0,17600.0,17600.0,16200.0,147097.0,79142,-2837,-76305,0.0433,-792424,1050.0,FALL
2020-02-11,17400.0,17450.0,17800.0,17250.0,49757.0,2464,-6357,3893,0.0436,-716119,200.0,FALL
2020-02-10,17600.0,17350.0,17750.0,17050.0,57025.0,970,-283,-687,0.0445,-720012,400.0,RISE
2020-02-07,17200.0,17100.0,17550.0,17000.0,61557.0,-13686,5006,8680,0.0446,-719325,250.0,RISE
2020-02-06,16950.0,17000.0,17300.0,16900.0,44224.0,1243,-1243,0,0.0435,-728005,150.0,FALL
2020-02-05,17100.0,17000.0,17450.0,16750.0,59379.0,2658,2268,-4926,0.0436,-728005,100.0,RISE
2020-02-04,17000.0,17400.0,17400.0,16750.0,69204.0,389,-389,0,0.0432,-723079,600.0,FALL
2020-02-03,17600.0,16650.0,18900.0,16350.0,381678.0,8382,-1464,-6918,0.0433,-723079,1150.0,RISE
2020-01-31,16450.0,18800.0,18800.0,16450.0,115921.0,4605,774,-5379,0.0435,-716161,1950.0,FALL
2020-01-30,18400.0,18750.0,18800.0,18050.0,171783.0,14313,-1586,-12727,0.0434,-710782,350.0,RISE
2020-01-29,18050.0,18500.0,18500.0,17400.0,112004.0,1184,-1520,336,0.0436,-698055,500.0,FALL
2020-01-28,18550.0,17000.0,19000.0,16250.0,391216.0,43775,-19144,-24631,0.0439,-698391,1100.0,RISE
2020-01-23,17450.0,17050.0,18250.0,17050.0,111528.0,7870,-3525,-4345,0.0467,-673760,500.0,RISE
2020-01-22,16950.0,15750.0,17450.0,15700.0,129828.0,-6871,16114,-9243,0.0472,-669415,1200.0,RISE
2020-01-21,15750.0,15850.0,16000.0,15600.0,13539.0,2048,-1628,-420,0.0448,-660172,200.0,FALL
2020-01-20,15950.0,16300.0,16300.0,15850.0,14274.0,5849,-2273,-3576,0.0451,-659752,250.0,FALL
2020-01-17,16200.0,15850.0,16200.0,15800.0,16019.0,-2443,2443,0,0.0454,-656176,350.0,RISE
2020-01-16,15850.0,15800.0,16200.0,15750.0,9633.0,3346,103,-3449,0.045,-656176,50.0,RISE
2020-01-15,15800.0,16150.0,16150.0,15650.0,15093.0,9944,-100,-9844,0.045,-652727,250.0,FALL
2020-01-14,16050.0,16200.0,16450.0,15950.0,15735.0,2984,-2234,-750,0.045,-642883,50.0,FALL
