,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,28500.0,28700.0,28750.0,28300.0,3260.0,574,-340,-234,0.0694,149549,50.0,FALL
2020-06-04,28550.0,28450.0,28700.0,28250.0,7453.0,77,-663,586,0.0694,149783,250.0,RISE
2020-06-03,28300.0,28350.0,28550.0,28250.0,12093.0,1646,618,-2264,0.0695,149197,150.0,RISE
2020-06-02,28150.0,27850.0,28300.0,27550.0,7316.0,-714.0,6.0,708.0,0.0694,130867.0,300.0,RISE
2020-06-01,27850.0,27450.0,28000.0,27400.0,4802.0,-188.0,-624.0,812.0,0.0694,130159.0,300.0,RISE
2020-05-29,27550.0,27800.0,27800.0,27400.0,2311.0,-89.0,164.0,-75.0,0.0695,129347.0,50.0,RISE
2020-05-28,27500.0,27400.0,27850.0,27400.0,2164.0,-638.0,-35.0,673.0,0.0695,129422.0,200.0,FALL
2020-05-27,27700.0,27600.0,28200.0,27500.0,4061.0,838.0,-142.0,-696.0,0.0695,128749.0,150.0,RISE
2020-05-26,27550.0,27400.0,27600.0,27250.0,3060.0,705.0,71.0,-776.0,0.0695,129445.0,250.0,RISE
2020-05-25,27300.0,27400.0,27550.0,27200.0,1839.0,508.0,-381.0,-127.0,0.0695,130221.0,100.0,FALL
2020-05-22,27400.0,27700.0,27700.0,27200.0,3072.0,156.0,-518.0,362.0,0.0696,141340.0,200.0,FALL
2020-05-21,27600.0,27600.0,27750.0,27450.0,3546.0,735.0,-1108.0,373.0,0.0696,140978.0,50.0,RISE
2020-05-20,27550.0,27300.0,27850.0,27300.0,2044.0,1105.0,-705.0,-400.0,0.0698,140605.0,50.0,RISE
2020-05-19,27500.0,26850.0,27700.0,26650.0,41718.0,-2701.0,348.0,2353.0,0.0699,141005.0,1000.0,RISE
2020-05-18,26500.0,26550.0,26800.0,26000.0,3463.0,120.0,117.0,-237.0,0.0698,138652.0,50.0,FALL
2020-05-15,26550.0,26450.0,26800.0,25900.0,5614.0,-478.0,11.0,467.0,0.0698,138889.0,100.0,RISE
2020-05-14,26450.0,26900.0,27100.0,26300.0,3038.0,1207.0,-484.0,-723.0,0.0698,138422.0,500.0,FALL
2020-05-13,26950.0,27450.0,27450.0,26600.0,5638.0,1145.0,-1312.0,167.0,0.0699,139145.0,550.0,FALL
2020-05-12,27500.0,27800.0,27800.0,27350.0,3546.0,394.0,-380.0,-14.0,0.07,138978.0,300.0,FALL
2020-05-11,27800.0,27750.0,28200.0,27650.0,4419.0,-1466.0,420.0,1046.0,0.0701,138992.0,150.0,FALL
2020-05-08,27950.0,27750.0,28050.0,27550.0,5720.0,-269.0,351.0,-82.0,0.07,137946.0,400.0,RISE
2020-05-07,27550.0,28000.0,28000.0,27350.0,10621.0,1872.0,146.0,-2018.0,0.07,138028.0,450.0,FALL
2020-05-06,28000.0,28500.0,28500.0,27800.0,6064.0,2141.0,-1557.0,-584.0,0.07,140046.0,300.0,FALL
2020-05-04,28300.0,28450.0,28800.0,27900.0,4831.0,-1007.0,-461.0,1468.0,0.0702,140630.0,450.0,FALL
2020-04-29,28750.0,28800.0,28900.0,28000.0,10739.0,-2979.0,1749.0,1230.0,0.0702,139162.0,50.0,FALL
2020-04-28,28800.0,28950.0,29150.0,28350.0,9251.0,1335.0,519.0,-1854.0,0.07,137932.0,50.0,RISE
2020-04-27,28750.0,28650.0,29300.0,28000.0,9517.0,320.0,957.0,-1277.0,0.0699,139786.0,300.0,RISE
2020-04-24,28450.0,28250.0,29400.0,27750.0,22889.0,7095.0,-611.0,-6484.0,0.0698,141063.0,300.0,RISE
2020-04-23,28150.0,28100.0,28250.0,27750.0,5958.0,-897.0,936.0,-39.0,0.0699,147547.0,150.0,RISE
2020-04-22,28000.0,28050.0,28450.0,27200.0,8730.0,-2798.0,-135.0,2933.0,0.0698,147586.0,50.0,FALL
2020-04-21,28050.0,28400.0,32950.0,27050.0,96141.0,14506.0,-512.0,-13994.0,0.0698,144653.0,350.0,FALL
2020-04-20,28400.0,28400.0,28750.0,28050.0,2947.0,1191.0,-341.0,-850.0,0.0698,158647.0,500.0,RISE
2020-04-17,27900.0,27950.0,28900.0,27900.0,7891.0,157.0,-626.0,469.0,0.0699,159497.0,50.0,FALL
2020-04-16,27950.0,27900.0,28000.0,26900.0,3131.0,453.0,-293.0,-160.0,0.07,159028.0,50.0,FALL
2020-04-14,28000.0,27500.0,28000.0,27500.0,2102.0,-32.0,-27.0,59.0,0.07,159188.0,550.0,RISE
2020-04-13,27450.0,27700.0,27700.0,27200.0,2531.0,-505.0,464.0,41.0,0.07,159129.0,250.0,FALL
2020-04-10,27700.0,27850.0,27850.0,26950.0,3873.0,625.0,-505.0,-120.0,0.0699,159088.0,150.0,RISE
2020-04-09,27550.0,27900.0,28800.0,27500.0,3748.0,1443.0,-865.0,-578.0,0.07,159208.0,350.0,FALL
2020-04-08,27900.0,27450.0,27950.0,27150.0,3152.0,140.0,-133.0,-7.0,0.0701,159786.0,450.0,RISE
2020-04-07,27450.0,27000.0,27700.0,27000.0,4113.0,323.0,145.0,-468.0,0.0701,159793.0,750.0,RISE
2020-04-06,26700.0,26450.0,27450.0,25900.0,14293.0,760.0,-657.0,-103.0,0.0701,160261.0,800.0,RISE
2020-04-03,25900.0,26000.0,27950.0,25000.0,13260.0,2034.0,-1619.0,-415.0,0.0702,160364.0,100.0,FALL
2020-04-02,26000.0,24250.0,26000.0,23900.0,6599.0,68.0,-208.0,140.0,0.0704,160779.0,1750.0,RISE
2020-04-01,24250.0,24850.0,25400.0,24050.0,11097.0,1243.0,-316.0,-927.0,0.0705,160639.0,600.0,FALL
2020-03-31,24850.0,24000.0,25100.0,23900.0,7123.0,66.0,282.0,-348.0,0.0706,161566.0,1000.0,RISE
2020-03-30,23850.0,23900.0,23900.0,22500.0,8639.0,1174.0,-483.0,-691.0,0.0706,161914.0,150.0,FALL
2020-03-27,24000.0,29000.0,29000.0,23000.0,35332.0,7649.0,198.0,-7847.0,0.0706,162605.0,1450.0,RISE
2020-03-26,22550.0,22600.0,23500.0,22050.0,10609.0,3455.0,334.0,-3789.0,0.0706,170452.0,50.0,RISE
2020-03-25,22500.0,22000.0,22850.0,21550.0,7066.0,2144.0,1218.0,-3362.0,0.0705,174241.0,1150.0,RISE
2020-03-24,21350.0,21350.0,21700.0,20500.0,77837.0,15516.0,-105.0,-15411.0,0.0704,177603.0,400.0,RISE
2020-03-23,20950.0,20100.0,21350.0,19850.0,15446.0,-1280.0,1121.0,159.0,0.0704,193014.0,50.0,RISE
2020-03-20,20900.0,20400.0,21400.0,20100.0,36027.0,-3603.0,231.0,3372.0,0.0703,192855.0,250.0,RISE
2020-03-19,20650.0,25250.0,25350.0,20100.0,13476.0,1157.0,-1067.0,-90.0,0.0703,189483.0,4750.0,FALL
2020-03-18,25400.0,24550.0,25900.0,24350.0,16137.0,-5134.0,74.0,5060.0,0.0704,189573.0,0.0,EVEN
2020-03-17,25400.0,25100.0,25900.0,24200.0,8097.0,-986.0,279.0,707.0,0.0704,184513.0,850.0,FALL
2020-03-16,26250.0,27250.0,27300.0,25400.0,7760.0,1140.0,201.0,-1341.0,0.0707,183806.0,950.0,FALL
2020-03-13,27200.0,28100.0,28100.0,26150.0,8527.0,458.0,-754.0,296.0,0.0708,185147.0,1750.0,FALL
2020-03-12,28950.0,28650.0,29200.0,28200.0,7287.0,-1216.0,509.0,707.0,0.0709,184851.0,400.0,FALL
2020-03-11,29350.0,29400.0,29800.0,28550.0,3157.0,-16.0,-92.0,108.0,0.0708,184144.0,50.0,FALL
2020-03-10,29400.0,30050.0,30300.0,29050.0,5876.0,119.0,-158.0,39.0,0.0704,184036.0,650.0,FALL
2020-03-09,30050.0,30400.0,30400.0,29000.0,4480.0,-426.0,151.0,275.0,0.0704,183997.0,950.0,FALL
2020-03-06,31000.0,30700.0,31400.0,30600.0,4504.0,-2116.0,888.0,1228.0,0.0704,183722.0,400.0,FALL
2020-03-05,31400.0,31650.0,32150.0,31400.0,6832.0,-301.0,-456.0,757.0,0.0703,182494.0,600.0,FALL
2020-03-04,32000.0,30950.0,32150.0,30650.0,5895.0,-1474.0,-1178.0,2652.0,0.0703,181737.0,550.0,RISE
2020-03-03,31450.0,30650.0,31750.0,30500.0,3710.0,16.0,-62.0,46.0,0.0704,179085.0,650.0,RISE
2020-03-02,30800.0,29500.0,32300.0,29200.0,7808.0,-5115.0,-101.0,5216.0,0.0704,179039.0,900.0,RISE
2020-02-28,29900.0,30200.0,30200.0,29600.0,1194.0,-8.0,-74.0,82.0,0.0704,173823.0,300.0,FALL
2020-02-27,30200.0,30000.0,30500.0,30000.0,663.0,-207.0,-120.0,327.0,0.0704,173741.0,200.0,RISE
2020-02-26,30000.0,30000.0,30050.0,29700.0,3250.0,-532.0,-46.0,578.0,0.0705,173414.0,100.0,RISE
2020-02-25,29900.0,29500.0,30100.0,29500.0,3005.0,379.0,-4.0,-375.0,0.0705,172836.0,50.0,FALL
2020-02-24,29950.0,30500.0,30500.0,29800.0,4128.0,404.0,-3.0,-401.0,0.0704,173211.0,750.0,FALL
