,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5010.0,5050.0,5050.0,4980.0,36477.0,3149,-1602,-1547,0.0239,49010,40.0,FALL
2020-06-04,5050.0,4970.0,5060.0,4920.0,50995.0,3512,-3512,0,0.0241,50557,70.0,RISE
2020-06-03,4980.0,4970.0,5050.0,4950.0,49362.0,2021,-2021,0,0.0245,50557,10.0,RISE
2020-06-02,4970.0,4890.0,4990.0,4860.0,49560.0,2580.0,2348.0,-4928.0,0.0247,50687.0,80.0,RISE
2020-06-01,4890.0,4825.0,4925.0,4765.0,38523.0,-3519.0,3519.0,0.0,0.0244,55615.0,60.0,RISE
2020-05-29,4830.0,4845.0,4875.0,4700.0,26044.0,-1766.0,1766.0,0.0,0.024,55615.0,45.0,FALL
2020-05-28,4875.0,5020.0,5060.0,4760.0,82979.0,3674.0,-3674.0,0.0,0.0239,55615.0,120.0,FALL
2020-05-27,4995.0,5120.0,5120.0,4995.0,74759.0,11723.0,-10274.0,-1449.0,0.0243,55615.0,125.0,FALL
2020-05-26,5120.0,5090.0,5150.0,5030.0,131954.0,5909.0,-5909.0,0.0,0.0254,57064.0,10.0,FALL
2020-05-25,5130.0,4875.0,5130.0,4810.0,432726.0,9882.0,-8628.0,-1254.0,0.0261,57064.0,270.0,RISE
2020-05-22,4860.0,4730.0,4860.0,4640.0,85391.0,-1235.0,1252.0,-17.0,0.027000000000000003,63125.0,130.0,RISE
2020-05-21,4730.0,4840.0,4850.0,4700.0,84180.0,1845.0,-1845.0,0.0,0.0269,63142.0,95.0,FALL
2020-05-20,4825.0,4510.0,5280.0,4510.0,688054.0,-2914.0,3994.0,-1080.0,0.0271,63142.0,315.0,RISE
2020-05-19,4510.0,4475.0,4510.0,4455.0,36667.0,-6064.0,6064.0,0.0,0.0267,64222.0,45.0,RISE
2020-05-18,4465.0,4445.0,4510.0,4415.0,33091.0,-2135.0,2363.0,-228.0,0.026,64222.0,35.0,RISE
2020-05-15,4430.0,4470.0,4485.0,4370.0,52439.0,-6719.0,6719.0,0.0,0.0257,64450.0,40.0,FALL
2020-05-14,4470.0,4620.0,4620.0,4470.0,71790.0,7699.0,-7699.0,0.0,0.025,64450.0,150.0,FALL
2020-05-13,4620.0,4515.0,4735.0,4490.0,118537.0,-21691.0,21877.0,-186.0,0.0258,64450.0,60.0,RISE
2020-05-12,4560.0,4630.0,4700.0,4515.0,52725.0,12730.0,-10332.0,-2398.0,0.0234,64636.0,70.0,FALL
2020-05-11,4630.0,4645.0,4745.0,4595.0,91546.0,-7149.0,8898.0,-1749.0,0.0245,67034.0,20.0,RISE
