,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2950.0,3070.0,3080.0,2915.0,1192043.0,67059,-67870,811,0.0237,-1960331,110.0,FALL
2020-06-04,3060.0,3010.0,3095.0,2960.0,1199619.0,-90802,90097,705,0.026,-1961142,45.0,RISE
2020-06-03,3015.0,3130.0,3245.0,3015.0,2795837.0,21429,2422,-23851,0.023,-1961847,120.0,FALL
2020-06-02,3135.0,3120.0,3205.0,3080.0,2764894.0,-42407.0,41267.0,1140.0,0.0229,-1938050.0,5.0,RISE
2020-06-01,3130.0,3270.0,3325.0,3060.0,4805759.0,70048.0,-70508.0,460.0,0.0216,-1939190.0,155.0,FALL
2020-05-29,3285.0,2810.0,3465.0,2810.0,28300657.0,-23727.0,23330.0,397.0,0.0239,-1939650.0,580.0,RISE
2020-05-28,2705.0,2770.0,2860.0,2655.0,3046458.0,45893.0,-44814.0,-1079.0,0.0231,-1940047.0,15.0,FALL
2020-05-27,2720.0,2780.0,2785.0,2700.0,1215261.0,11543.0,-11521.0,-22.0,0.0246,-1938968.0,75.0,FALL
2020-05-26,2795.0,2775.0,2825.0,2690.0,2235942.0,-27381.0,35459.0,-8078.0,0.025,-1938946.0,5.0,RISE
2020-05-25,2790.0,2745.0,3010.0,2700.0,9288208.0,9051.0,-13933.0,4882.0,0.0238,-1930868.0,150.0,RISE
2020-05-22,2640.0,2570.0,2915.0,2515.0,9369301.0,25541.0,-7366.0,-18175.0,0.0243,-1935589.0,30.0,RISE
2020-05-21,2610.0,2410.0,2635.0,2335.0,8551265.0,-4914.0,4916.0,-2.0,0.0246,-1917414.0,275.0,RISE
2020-05-20,2335.0,2320.0,2430.0,2280.0,2706159.0,3568.0,-3548.0,-20.0,0.0244,-1917412.0,25.0,RISE
2020-05-19,2310.0,2335.0,2335.0,2270.0,1135011.0,41689.0,-41696.0,7.0,0.0245,-1917392.0,20.0,RISE
2020-05-18,2290.0,2245.0,2370.0,2185.0,3071573.0,-74909.0,75162.0,-253.0,0.0259,-1917399.0,70.0,RISE
2020-05-15,2220.0,2130.0,2310.0,2030.0,2766019.0,37169.0,-37460.0,291.0,0.0234,-1917146.0,100.0,RISE
2020-05-14,2120.0,2170.0,2190.0,2090.0,1067522.0,-22938.0,22841.0,97.0,0.0246,-1917437.0,85.0,FALL
2020-05-13,2205.0,2115.0,2245.0,2115.0,2752566.0,112477.0,-31776.0,-80701.0,0.0239,-1917534.0,50.0,RISE
2020-05-12,2155.0,2200.0,2220.0,2080.0,1787187.0,-69543.0,28516.0,41027.0,0.0249,-1836833.0,45.0,FALL
2020-05-11,2200.0,2325.0,2330.0,2155.0,2258115.0,-81029.0,41187.0,39842.0,0.024,-1877860.0,165.0,FALL
2020-05-08,2365.0,2305.0,2535.0,2260.0,7019926.0,61581.0,-61166.0,-415.0,0.0226,-1917702.0,80.0,RISE
2020-05-07,2285.0,2265.0,2340.0,2215.0,2206686.0,42287.0,-42377.0,90.0,0.0247,-1917287.0,15.0,RISE
2020-05-06,2270.0,2240.0,2380.0,2210.0,6125487.0,82955.0,-83148.0,193.0,0.0261,-1917377.0,10.0,FALL
2020-05-04,2280.0,1945.0,2430.0,1910.0,22832583.0,18494.0,-43555.0,25061.0,0.0289,-1917570.0,260.0,RISE
2020-04-29,2020.0,1890.0,2240.0,1845.0,18889229.0,98522.0,-98509.0,-13.0,0.0303,-1942631.0,180.0,RISE
2020-04-28,1840.0,2060.0,2095.0,1800.0,9460417.0,55040.0,-49855.0,-5185.0,0.0336,-1942618.0,165.0,FALL
2020-04-27,2005.0,1635.0,2005.0,1625.0,15321498.0,252954.0,-257942.0,4988.0,0.0353,-1937433.0,460.0,UPPER_LIMIT
2020-04-24,1545.0,1610.0,1630.0,1540.0,480791.0,45469.0,-45605.0,136.0,0.0437,-1942421.0,80.0,FALL
2020-04-23,1625.0,1640.0,1660.0,1590.0,541131.0,7577.0,-13841.0,6264.0,0.0452,-1942557.0,0.0,EVEN
2020-04-22,1625.0,1540.0,1625.0,1520.0,533305.0,-14604.0,4695.0,9909.0,0.0457,-1948821.0,55.0,RISE
2020-04-21,1570.0,1640.0,1740.0,1525.0,1333035.0,45308.0,-45314.0,6.0,0.0455,-1958730.0,100.0,FALL
2020-04-20,1670.0,1645.0,1680.0,1610.0,587364.0,14873.0,-12797.0,-2076.0,0.047,-1958736.0,10.0,FALL
2020-04-17,1680.0,1630.0,1785.0,1610.0,1867651.0,64552.0,-64373.0,-179.0,0.0474,-1956660.0,80.0,RISE
2020-04-16,1600.0,1920.0,1925.0,1575.0,5950135.0,416783.0,-416645.0,-138.0,0.0495,-1956481.0,50.0,FALL
2020-04-14,1650.0,1430.0,1650.0,1425.0,1782144.0,-241056.0,242274.0,-1218.0,0.0632,-1956343.0,230.0,RISE
2020-04-13,1420.0,1450.0,1530.0,1380.0,1227861.0,108961.0,-107508.0,-1453.0,0.0553,-1955125.0,50.0,FALL
2020-04-10,1470.0,1495.0,1525.0,1410.0,841483.0,43721.0,64723.0,-108444.0,0.0588,-1953672.0,20.0,FALL
2020-04-09,1490.0,1475.0,1515.0,1450.0,437670.0,-617.0,485.0,132.0,0.0567,-1845228.0,30.0,RISE
2020-04-08,1460.0,1450.0,1485.0,1410.0,296159.0,8323.0,-8318.0,-5.0,0.0567,-1845360.0,10.0,RISE
2020-04-07,1450.0,1435.0,1450.0,1405.0,369609.0,-64113.0,64028.0,85.0,0.0569,-1845355.0,40.0,RISE
2020-04-06,1410.0,1395.0,1420.0,1370.0,419850.0,-41474.0,53268.0,-11794.0,0.0548,-1845440.0,45.0,RISE
2020-04-03,1365.0,1440.0,1440.0,1350.0,312293.0,24065.0,-12216.0,-11849.0,0.0531,-1833646.0,5.0,RISE
2020-04-02,1360.0,1310.0,1360.0,1240.0,336776.0,14131.0,-14319.0,188.0,0.0535,-1821797.0,55.0,RISE
2020-04-01,1305.0,1345.0,1450.0,1285.0,584991.0,6639.0,-60016.0,53377.0,0.054000000000000006,-1821985.0,10.0,RISE
2020-03-31,1295.0,1280.0,1350.0,1255.0,572623.0,-61764.0,61639.0,125.0,0.0559,-1875362.0,55.0,RISE
2020-03-30,1240.0,1185.0,1295.0,1135.0,708320.0,-5191.0,5175.0,16.0,0.0539,-1875487.0,40.0,RISE
2020-03-27,1200.0,1265.0,1280.0,1150.0,535683.0,72630.0,-72647.0,17.0,0.0537,-1875503.0,20.0,FALL
2020-03-26,1220.0,1175.0,1290.0,1145.0,467545.0,40679.0,-39660.0,-1019.0,0.0563,-1875520.0,60.0,RISE
