,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,11200.0,11150.0,11200.0,11050.0,49996.0,10620,7455,-18075,0.0834,-4364575,100.0,RISE
2020-06-04,11100.0,11100.0,11250.0,11050.0,84144.0,5557,9561,-15118,0.083,-4346500,100.0,RISE
2020-06-03,11000.0,10900.0,11100.0,10850.0,171344.0,45079,22482,-67561,0.0826,-4331382,150.0,RISE
2020-06-02,10850.0,10900.0,10950.0,10750.0,238767.0,171958,5113,-177071,0.0818,-4254588,50.0,FALL
2020-06-01,10900.0,11050.0,11100.0,10800.0,346008.0,262610,-1275,-261335,0.0816,-4077517,100.0,FALL
2020-05-29,11000.0,11050.0,11050.0,10850.0,53510.0,18981,-5679,-13302,0.0817,-3816182,50.0,FALL
2020-05-28,11050.0,11100.0,11200.0,10950.0,89260.0,17320,-598,-16722,0.0819,-3802880,100.0,FALL
2020-05-27,11150.0,11150.0,11200.0,11050.0,43692.0,8550,2562,-11112,0.08199999999999999,-3786158,100.0,RISE
2020-05-26,11050.0,11000.0,11150.0,10950.0,93780.0,25614,6329,-31943,0.0818,-3775046,0.0,EVEN
2020-05-25,11050.0,11100.0,11100.0,10950.0,63474.0,20483,-10,-20473,0.0816,-3743103,100.0,FALL
2020-05-22,11150.0,11150.0,11200.0,11000.0,37740.0,3390,2659,-6049,0.0816,-3670392,0.0,EVEN
2020-05-21,11150.0,11150.0,11200.0,11100.0,37054.0,15823,-76,-15747,0.0814,-3664343,0.0,EVEN
2020-05-20,11150.0,11100.0,11150.0,11000.0,35775.0,17677,-645,-17032,0.08199999999999999,-3648596,50.0,RISE
2020-05-19,11100.0,11150.0,11200.0,10950.0,82822.0,50646,-1682,-48964,0.08199999999999999,-3631564,150.0,RISE
2020-05-18,10950.0,10900.0,11050.0,10850.0,28566.0,1534,2955,-4489,0.0821,-3582600,100.0,RISE
2020-05-15,10850.0,11000.0,11000.0,10800.0,24833.0,-386,2803,-2417,0.08199999999999999,-3578111,100.0,RISE
2020-05-14,10750.0,11000.0,11050.0,10750.0,48008.0,-3845,846,2999,0.0818,-3575694,300.0,FALL
2020-05-13,11050.0,10900.0,11100.0,10850.0,34832.0,1874,-106,-1768,0.0818,-3578693,50.0,FALL
2020-05-12,11100.0,11250.0,11250.0,10950.0,47745.0,18563,-5660,-12903,0.0818,-3576925,150.0,FALL
2020-05-11,11250.0,11400.0,11500.0,11250.0,32709.0,12248,-3158,-9090,0.0821,-3564022,50.0,FALL
2020-05-08,11300.0,11200.0,11350.0,11150.0,27921.0,1372,6774,-8146,0.0822,-3554932,150.0,RISE
2020-05-07,11150.0,11200.0,11250.0,11100.0,16963.0,3965,-2965,-1000,0.0819,-3546786,0.0,EVEN
2020-05-06,11150.0,11200.0,11250.0,11100.0,15135.0,-1868,-1041,2909,0.08199999999999999,-3545786,100.0,RISE
2020-05-04,11050.0,11200.0,11200.0,11050.0,35423.0,4161,-2666,-1495,0.0821,-3548695,350.0,FALL
2020-04-29,11400.0,11000.0,11550.0,10900.0,69025.0,-31669,9147,22522,0.0822,-3547200,450.0,RISE
2020-04-28,10950.0,10900.0,11100.0,10850.0,31113.0,2160,1832,-3992,0.0818,-3569722,0.0,EVEN
2020-04-27,10950.0,10800.0,10950.0,10700.0,52736.0,-2906,-2540,5446,0.0818,-3565730,250.0,RISE
2020-04-24,10700.0,10600.0,10800.0,10550.0,42910.0,2491,-1919,-572,0.0685,-3571176,50.0,RISE
2020-04-23,10650.0,10750.0,10750.0,10550.0,22103.0,-4485,4485,0,0.0686,-3570604,100.0,RISE
2020-04-22,10550.0,10450.0,10600.0,10350.0,32234.0,-7157,5263,1894,0.0684,-3570604,50.0,RISE
2020-04-21,10500.0,10500.0,11150.0,10400.0,103958.0,15006,-8253,-6753,0.0526,-3572498,100.0,FALL
2020-04-20,10600.0,10750.0,10800.0,10550.0,65900.0,-155,4634,-4479,0.0529,-3565745,150.0,FALL
2020-04-17,10750.0,10700.0,10800.0,10600.0,56536.0,14462,-78,-14384,0.0527,-3561266,250.0,RISE
2020-04-16,10500.0,10500.0,10550.0,10350.0,62399.0,17094,2779,-19873,0.0527,-3546882,50.0,FALL
2020-04-14,10550.0,10600.0,10650.0,10450.0,33240.0,8400,2013,-10413,0.0526,-3527009,100.0,RISE
2020-04-13,10450.0,10500.0,10850.0,10400.0,53958.0,11819,156,-11975,0.0525,-3516596,0.0,EVEN
2020-04-10,10450.0,10450.0,10550.0,10250.0,46610.0,-2782,1994,788,0.0525,-3504621,150.0,RISE
2020-04-09,10300.0,10350.0,10350.0,10100.0,63146.0,23458,-260,-23198,0.0524,-3505409,200.0,RISE
2020-04-08,10100.0,10000.0,10200.0,9900.0,91434.0,10952,9724,-20676,0.0525,-3482211,100.0,RISE
2020-04-07,10000.0,10100.0,10250.0,9920.0,109348.0,50375,-4470,-45905,0.0531,-3461535,80.0,RISE
2020-04-06,9920.0,9390.0,9990.0,9390.0,112210.0,-1102,24648,-23546,0.0542,-3415630,480.0,RISE
2020-04-03,9440.0,9360.0,9450.0,9250.0,65944.0,-5108,3891,1217,0.0534,-3392084,70.0,RISE
2020-04-02,9370.0,9170.0,9400.0,8920.0,77169.0,21940,8200,-30140,0.0532,-3393301,190.0,RISE
2020-04-01,9180.0,9280.0,9340.0,9180.0,72347.0,29801,-5520,-24281,0.0529,-3363161,100.0,FALL
2020-03-31,9280.0,9150.0,9340.0,9050.0,60850.0,16258,2868,-19126,0.0534,-3338880,330.0,RISE
2020-03-30,8950.0,8780.0,8980.0,8630.0,88953.0,16326,184,-16510,0.0533,-3319754,10.0,FALL
2020-03-27,8960.0,8880.0,9180.0,8740.0,158312.0,32949,4412,-37361,0.0533,-3303244,270.0,RISE
2020-03-26,8690.0,8710.0,8980.0,8620.0,156027.0,71652,1495,-73147,0.0531,-3265883,10.0,FALL
2020-03-25,8700.0,8610.0,8880.0,8400.0,160812.0,86427,538,-86965,0.053,-3192736,450.0,RISE
2020-03-24,8250.0,8010.0,8280.0,8010.0,156951.0,78403,3521,-81924,0.053,-3105771,210.0,RISE
2020-03-23,8040.0,8760.0,8760.0,7990.0,203387.0,21266,9278,-30544,0.0528,-3023847,960.0,FALL
2020-03-20,9000.0,9030.0,9840.0,8800.0,148607.0,64316,-21108,-43208,0.0524,-2993303,50.0,FALL
2020-03-19,9050.0,10000.0,10100.0,8750.0,206809.0,46163,-21557,-24606,0.0534,-2950095,950.0,FALL
2020-03-18,10000.0,10500.0,10500.0,10000.0,85187.0,7541,9820,-17361,0.0543,-2925489,350.0,FALL
2020-03-17,10350.0,10250.0,10600.0,10150.0,78577.0,-8428,6179,2249,0.0539,-2908128,400.0,FALL
2020-03-16,10750.0,11200.0,11250.0,10550.0,99527.0,-6772,4654,2118,0.0537,-2910377,400.0,FALL
2020-03-13,11150.0,10900.0,11300.0,10250.0,233358.0,-12005,4472,7533,0.0535,-2912495,300.0,FALL
2020-03-12,11450.0,11850.0,11900.0,11250.0,142508.0,-3062,979,2083,0.0533,-2920028,500.0,FALL
2020-03-11,11950.0,12200.0,12200.0,11900.0,59053.0,1145,-109,-1036,0.0533,-2922111,200.0,FALL
2020-03-10,12150.0,12050.0,12250.0,11950.0,79128.0,2012,2876,-4888,0.0529,-2921075,50.0,FALL
2020-03-09,12200.0,12300.0,12350.0,12100.0,84270.0,-6798,18,6780,0.0528,-2916187,200.0,FALL
2020-03-06,12400.0,12500.0,12600.0,12300.0,37120.0,8052,-7719,-333,0.0528,-2922967,150.0,FALL
2020-03-05,12550.0,12550.0,12650.0,12500.0,48740.0,18612,-14809,-3803,0.0531,-2922634,50.0,RISE
2020-03-04,12500.0,12400.0,12500.0,12400.0,16914.0,2274,-2162,-112,0.0538,-2918831,100.0,RISE
2020-03-03,12400.0,12450.0,12600.0,12350.0,52257.0,9786,-14069,4283,0.0539,-2918719,50.0,RISE
2020-03-02,12350.0,12350.0,12500.0,12200.0,78228.0,17695,-12202,-5493,0.0546,-2923002,0.0,EVEN
2020-02-28,12350.0,12600.0,12650.0,12250.0,148952.0,41399,-41595,196,0.0552,-2917509,350.0,FALL
2020-02-27,12700.0,12800.0,12900.0,12650.0,27949.0,9313,-6835,-2478,0.057,-2917705,50.0,FALL
2020-02-26,12750.0,12700.0,12800.0,12600.0,65519.0,18126,-17458,-668,0.0573,-2915227,50.0,RISE
2020-02-25,12700.0,12600.0,12700.0,12500.0,38185.0,2915,-3165,250,0.0538,-2914559,50.0,RISE
2020-02-24,12650.0,12600.0,12650.0,12550.0,68419.0,20193,-6875,-13318,0.0536,-2914809,150.0,FALL
2020-02-21,12800.0,12900.0,12950.0,12750.0,41764.0,5092,-225,-4867,0.0539,-2901491,150.0,FALL
2020-02-20,12950.0,13000.0,13050.0,12800.0,24622.0,-169,917,-748,0.0539,-2896624,0.0,EVEN
2020-02-19,12950.0,13050.0,13050.0,12900.0,8440.0,846,-109,-737,0.0539,-2895876,50.0,FALL
2020-02-18,13000.0,13100.0,13100.0,12900.0,84008.0,744,-2,-742,0.0539,-2895139,50.0,FALL
2020-02-17,13050.0,13000.0,13050.0,12900.0,13330.0,72,-3,-69,0.0539,-2894397,50.0,RISE
2020-02-14,13000.0,13150.0,13150.0,13000.0,8361.0,2559,-2319,-240,0.0539,-2894328,100.0,FALL
2020-02-13,13100.0,13050.0,13150.0,13000.0,10033.0,-4820,52,4768,0.054000000000000006,-2894088,50.0,RISE
2020-02-12,13050.0,13000.0,13100.0,12950.0,9836.0,2734,-991,-1743,0.054000000000000006,-2898856,50.0,RISE
2020-02-11,13000.0,12950.0,13100.0,12900.0,22135.0,-9393,3911,5482,0.054000000000000006,-2897113,50.0,RISE
2020-02-10,12950.0,13150.0,13150.0,12950.0,16934.0,641,-476,-165,0.0539,-2902595,200.0,FALL
2020-02-07,13150.0,13200.0,13200.0,13000.0,11770.0,4352,174,-4526,0.0539,-2902430,0.0,EVEN
2020-02-06,13150.0,12900.0,13300.0,12850.0,44922.0,-30437,805,29632,0.0539,-2897904,350.0,RISE
2020-02-05,12800.0,12900.0,12900.0,12750.0,17256.0,-1029,2864,-1835,0.0538,-2927536,0.0,EVEN
2020-02-04,12800.0,12900.0,12900.0,12750.0,22696.0,-1515,2456,-941,0.0537,-2925701,50.0,RISE
2020-02-03,12750.0,12700.0,12850.0,12600.0,79555.0,-9442,1752,7690,0.0536,-2924760,50.0,FALL
2020-01-31,12800.0,12900.0,13000.0,12750.0,61630.0,-7987,-6772,14759,0.0535,-2932450,100.0,FALL
2020-01-30,12900.0,13000.0,13050.0,12900.0,42061.0,2698,-4843,2145,0.0538,-2947209,50.0,FALL
2020-01-29,12950.0,13000.0,13050.0,12900.0,33098.0,6702,-14089,7387,0.054000000000000006,-2949354,0.0,EVEN
2020-01-28,12950.0,13050.0,13150.0,12800.0,94293.0,37557,-2305,-35252,0.0547,-2956741,400.0,FALL
2020-01-23,13350.0,13350.0,13350.0,13200.0,17734.0,-139,1089,-950,0.0548,-2921489,0.0,EVEN
2020-01-22,13350.0,13250.0,13350.0,13200.0,13793.0,-3052,531,2521,0.0547,-2920539,100.0,RISE
2020-01-21,13250.0,13300.0,13300.0,13200.0,34299.0,-3703,-4507,8210,0.0547,-2923060,0.0,EVEN
2020-01-20,13250.0,13250.0,13300.0,13200.0,29437.0,4143,-3643,-500,0.0549,-2931270,0.0,EVEN
2020-01-17,13250.0,13250.0,13300.0,13200.0,46282.0,3829,-2598,-1231,0.0551,-2930770,0.0,EVEN
2020-01-16,13250.0,13400.0,13400.0,13150.0,52044.0,13346,-102,-13244,0.0552,-2929539,100.0,FALL
2020-01-15,13350.0,13300.0,13400.0,13200.0,15625.0,-4262,4762,-500,0.0552,-2916295,50.0,RISE
2020-01-14,13300.0,13250.0,13300.0,13200.0,15271.0,-724,-2716,3440,0.0551,-2915795,50.0,RISE
2020-01-13,13250.0,13100.0,13300.0,13100.0,14147.0,4833,-561,-4272,0.0547,-2919235,150.0,RISE
2020-01-10,13100.0,13200.0,13250.0,13050.0,12195.0,2872,-1766,-1106,0.0547,-2914963,0.0,EVEN
2020-01-09,13100.0,13250.0,13300.0,13100.0,19050.0,10654,-2436,-8218,0.0548,-2913857,50.0,FALL
2020-01-08,13150.0,13400.0,13400.0,13000.0,86053.0,30304,-7128,-23176,0.0549,-2905639,200.0,FALL
2020-01-07,13350.0,13550.0,13550.0,13300.0,23732.0,-5285,6270,-985,0.0552,-2882463,100.0,FALL
2020-01-06,13450.0,13550.0,13650.0,13250.0,46969.0,-10297,-3706,14003,0.0556,-2881478,100.0,FALL
2020-01-03,13550.0,13650.0,13650.0,13550.0,10378.0,-1421,-1360,2781,0.0557,-2895481,0.0,EVEN
2020-01-02,13550.0,13700.0,13750.0,13500.0,32229.0,8971,-4680,-4291,0.0558,-2898262,200.0,FALL
2019-12-30,13750.0,13700.0,13800.0,13600.0,29115.0,-3330,5056,-1726,0.056,-2893971,50.0,RISE
2019-12-27,13700.0,13650.0,13800.0,13650.0,73171.0,27502,-6331,-21171,0.0558,-2892245,600.0,FALL
2019-12-26,14300.0,14250.0,14350.0,14150.0,137324.0,-14108,7138,6970,0.0561,-2871074,50.0,RISE
2019-12-24,14250.0,14150.0,14350.0,14000.0,55711.0,-15330,7817,7513,0.0558,-2878044,150.0,RISE
2019-12-23,14100.0,14150.0,14150.0,13950.0,47069.0,4787,-3712,-1075,0.0576,-2885557,100.0,RISE
2019-12-20,14000.0,14100.0,14150.0,13950.0,58901.0,10802,-7594,-3208,0.0578,-2884482,0.0,EVEN
2019-12-19,14000.0,14100.0,14100.0,14000.0,17669.0,-2391,570,1821,0.0581,-2881274,50.0,FALL
2019-12-18,14050.0,13950.0,14100.0,13850.0,27899.0,347,1383,-1730,0.0581,-2883095,100.0,RISE
2019-12-17,13950.0,13900.0,13950.0,13900.0,18160.0,2107,3927,-6034,0.0581,-2881365,50.0,RISE
2019-12-16,13900.0,13950.0,13950.0,13850.0,14982.0,3570,-3541,-29,0.0579,-2875331,0.0,EVEN
2019-12-13,13900.0,13900.0,14000.0,13850.0,129003.0,111364,-24785,-86579,0.058,-2875302,50.0,RISE
2019-12-12,13850.0,13700.0,13850.0,13650.0,28208.0,3122,553,-3675,0.0591,-2788723,150.0,RISE
2019-12-11,13700.0,13800.0,13800.0,13650.0,12170.0,5790,-3331,-2459,0.0591,-2785048,0.0,EVEN
2019-12-10,13700.0,13750.0,13800.0,13700.0,13833.0,5293,-3671,-1622,0.0593,-2782589,0.0,EVEN
2019-12-09,13700.0,13700.0,13800.0,13650.0,20571.0,5995,-3483,-2512,0.0594,-2780967,0.0,EVEN
2019-12-06,13700.0,13750.0,13800.0,13650.0,17336.0,9628,-4583,-5045,0.0596,-2778455,0.0,EVEN
2019-12-05,13700.0,13850.0,13850.0,13650.0,29171.0,16277,-7542,-8735,0.0598,-2773410,50.0,FALL
2019-12-04,13750.0,13850.0,13850.0,13600.0,52821.0,9187,7579,-16766,0.0601,-2764675,0.0,EVEN
2019-12-03,13750.0,13900.0,13900.0,13700.0,33896.0,22072,-2951,-19121,0.0598,-2747909,100.0,FALL
2019-12-02,13850.0,14000.0,14000.0,13850.0,13663.0,6144,-3937,-2207,0.0599,-2728788,50.0,FALL
2019-11-29,13900.0,14000.0,14150.0,13850.0,24390.0,13536,-4485,-9051,0.0601,-2726581,150.0,FALL
2019-11-28,14050.0,14100.0,14200.0,14050.0,13109.0,1511,-1303,-208,0.0603,-2717530,150.0,FALL
2019-11-27,14200.0,14100.0,14250.0,14100.0,38940.0,2516,4562,-7078,0.0604,-2717322,100.0,RISE
2019-11-26,14100.0,13900.0,14250.0,13850.0,81907.0,5143,12897,-18040,0.0602,-2710244,200.0,RISE
2019-11-25,13900.0,13700.0,13950.0,13700.0,23786.0,-11178,1779,9399,0.0596,-2692204,250.0,RISE
