,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,66100.0,66000.0,67200.0,65100.0,186465.0,22798,-37562,14764,0.2465,-392811,300.0,RISE
2020-06-04,65800.0,67100.0,68200.0,65600.0,214179.0,32387,-31971,-416,0.2481,-407575,200.0,FALL
2020-06-03,66000.0,65500.0,66700.0,65100.0,221219.0,-11152,3073,8079,0.2495,-407159,900.0,RISE
2020-06-02,65100.0,64500.0,65400.0,64100.0,125395.0,-2976.0,8216.0,-5240.0,0.2493,-385287.0,600.0,RISE
2020-06-01,64500.0,64100.0,64500.0,63000.0,109579.0,30591.0,-6313.0,-24278.0,0.249,-380047.0,500.0,RISE
2020-05-29,64000.0,64800.0,64800.0,62100.0,347426.0,111046.0,-16138.0,-94908.0,0.2493,-355769.0,800.0,FALL
2020-05-28,64800.0,67700.0,67700.0,63900.0,272131.0,83149.0,-39397.0,-43752.0,0.2499,-260861.0,600.0,FALL
2020-05-27,65400.0,66900.0,67000.0,65200.0,211907.0,85263.0,-43791.0,-41472.0,0.2516,-217109.0,700.0,FALL
2020-05-26,66100.0,65500.0,67000.0,65000.0,140425.0,32472.0,-18324.0,-14148.0,0.254,-175637.0,500.0,RISE
2020-05-25,65600.0,67000.0,67300.0,64400.0,133436.0,64856.0,-50604.0,-14252.0,0.2548,-161489.0,800.0,FALL
2020-05-22,66400.0,69200.0,69200.0,66100.0,96718.0,42947.0,-36997.0,-5950.0,0.257,72094.0,2100.0,FALL
2020-05-21,68500.0,69000.0,69500.0,68300.0,88815.0,28097.0,-31535.0,3438.0,0.2586,78044.0,400.0,FALL
2020-05-20,68900.0,69000.0,69800.0,68500.0,53086.0,6911.0,-14299.0,7388.0,0.2599,74606.0,600.0,FALL
2020-05-19,69500.0,68100.0,69800.0,67900.0,127911.0,-37741.0,-5683.0,43424.0,0.2605,67218.0,2900.0,RISE
2020-05-18,66600.0,65700.0,67300.0,64900.0,79919.0,9969.0,-16156.0,6187.0,0.2608,23794.0,1500.0,RISE
2020-05-15,65100.0,65100.0,66100.0,64200.0,87090.0,17323.0,-11026.0,-6297.0,0.2615,17607.0,200.0,RISE
2020-05-14,64900.0,66300.0,66300.0,64200.0,131345.0,34252.0,-22532.0,-11720.0,0.2619,23904.0,1400.0,FALL
2020-05-13,66300.0,67000.0,67000.0,66000.0,111979.0,42595.0,-8117.0,-34478.0,0.2629,35624.0,800.0,FALL
2020-05-12,67100.0,67800.0,68200.0,66800.0,128175.0,39564.0,-13395.0,-26169.0,0.2632,70102.0,1200.0,FALL
2020-05-11,68300.0,70200.0,70600.0,68000.0,214975.0,86937.0,21863.0,-108800.0,0.2638,96271.0,2500.0,FALL
2020-05-08,70800.0,71500.0,72300.0,70600.0,108534.0,24705.0,-18030.0,-6675.0,0.2628,205071.0,100.0,FALL
