,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,400.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-129389,0.0,EVEN
2020-06-04,400.0,0.0,0.0,0.0,0.0,0,0,0,0.011,-129389,0.0,EVEN
2020-06-03,400.0,0.0,0.0,0.0,0.0,0,0,0,0.011,-129389,0.0,EVEN
2020-06-02,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129389.0,0.0,EVEN
2020-06-01,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,-129389.0,0.0,EVEN
2020-04-02,400.0,401.0,424.0,385.0,3285922.0,-48976.0,48976.0,0.0,0.0128,-129389.0,15.0,FALL
2020-04-01,415.0,417.0,500.0,398.0,5872026.0,315854.0,-315854.0,0.0,0.0118,-129389.0,19.0,FALL
2020-03-31,434.0,499.0,515.0,410.0,10864801.0,360297.0,-360297.0,0.0,0.0178,-129389.0,45.0,FALL
2020-03-30,479.0,413.0,490.0,404.0,18519461.0,995202.0,-995202.0,0.0,0.0246,-129389.0,84.0,RISE
2020-03-27,395.0,389.0,395.0,356.0,6526544.0,93093.0,-93093.0,0.0,0.0433,-129389.0,91.0,UPPER_LIMIT
2020-03-26,304.0,270.0,304.0,261.0,1968495.0,-32123.0,32123.0,0.0,0.045,-129389.0,70.0,UPPER_LIMIT
2020-03-25,234.0,181.0,234.0,181.0,4133154.0,-14441.0,14441.0,0.0,0.0446,-129389.0,54.0,UPPER_LIMIT
2020-03-24,180.0,175.0,183.0,166.0,1722154.0,12055.0,-12055.0,0.0,0.0439,-129389.0,5.0,RISE
2020-03-23,175.0,180.0,210.0,162.0,3621105.0,-149981.0,149981.0,0.0,0.0441,-129389.0,55.0,FALL
2020-03-20,230.0,222.0,241.0,217.0,1189145.0,24947.0,-24946.0,-1.0,0.042,-129389.0,11.0,RISE
2020-03-19,219.0,288.0,300.0,210.0,3461911.0,91194.0,-91193.0,-1.0,0.0425,-129388.0,66.0,FALL
2020-03-18,285.0,390.0,402.0,273.0,4798535.0,-194086.0,194086.0,0.0,0.0442,-129387.0,105.0,FALL
2020-03-17,390.0,361.0,415.0,361.0,917650.0,-120709.0,120709.0,0.0,0.0409,-129387.0,10.0,FALL
2020-03-16,400.0,405.0,430.0,385.0,668502.0,-130131.0,130127.0,4.0,0.0407,-129387.0,2.0,FALL
2020-03-13,402.0,407.0,412.0,364.0,1547202.0,-284270.0,284270.0,0.0,0.0382,-129391.0,42.0,FALL
2020-03-12,444.0,463.0,485.0,425.0,1474152.0,-201510.0,201510.0,0.0,0.0329,-129391.0,19.0,FALL
2020-03-11,463.0,496.0,512.0,455.0,1228749.0,335930.0,-335930.0,0.0,0.0291,-129391.0,33.0,FALL
2020-03-10,496.0,470.0,510.0,446.0,1052837.0,-254856.0,254856.0,0.0,0.0349,-129391.0,0.0,EVEN
2020-03-09,496.0,536.0,536.0,482.0,1574569.0,175128.0,-175128.0,0.0,0.0301,-129391.0,21.0,FALL
2020-03-06,517.0,565.0,578.0,502.0,2920236.0,678994.0,-678994.0,0.0,0.0334,-129391.0,43.0,FALL
2020-03-05,560.0,538.0,565.0,538.0,1589570.0,-312938.0,312938.0,0.0,0.0461,-129391.0,13.0,RISE
2020-03-04,547.0,540.0,585.0,521.0,3307183.0,-341647.0,341647.0,0.0,0.0403,-129391.0,22.0,RISE
2020-03-03,525.0,540.0,543.0,516.0,1461062.0,-224081.0,224081.0,0.0,0.0338,-129391.0,2.0,FALL
2020-03-02,527.0,420.0,650.0,415.0,13548929.0,-474720.0,474720.0,0.0,0.0281,-129391.0,15.0,FALL
2020-02-28,542.0,564.0,583.0,535.0,793509.0,13925.0,-13925.0,0.0,0.0192,-129391.0,35.0,FALL
2020-02-27,577.0,590.0,613.0,570.0,1378086.0,193757.0,-193753.0,-4.0,0.0195,-129391.0,7.0,FALL
2020-02-26,584.0,607.0,625.0,570.0,1805837.0,364321.0,-364321.0,0.0,0.0244,-129387.0,23.0,FALL
2020-02-25,607.0,522.0,650.0,518.0,6206538.0,-644168.0,644168.0,0.0,0.0325,-129387.0,67.0,RISE
2020-02-24,540.0,550.0,595.0,537.0,3360072.0,-395414.0,395414.0,0.0,0.0204,-129387.0,10.0,FALL
2020-02-21,550.0,595.0,639.0,550.0,6441291.0,-412012.0,412012.0,0.0,0.013,-129387.0,180.0,FALL
2020-02-20,730.0,766.0,784.0,727.0,983258.0,-21750.0,19750.0,2000.0,0.0053,-129387.0,36.0,FALL
2020-02-19,766.0,781.0,809.0,758.0,687924.0,41675.0,-41675.0,0.0,0.0049,-131387.0,12.0,FALL
2020-02-18,778.0,793.0,796.0,770.0,668360.0,38002.0,-38002.0,0.0,0.0057,-131387.0,13.0,FALL
2020-02-17,791.0,808.0,808.0,780.0,692509.0,-16248.0,16248.0,0.0,0.0059,-131387.0,11.0,FALL
2020-02-14,802.0,817.0,818.0,799.0,631776.0,39387.0,-39387.0,0.0,0.0056,-131387.0,8.0,FALL
2020-02-13,810.0,800.0,851.0,798.0,1795783.0,77573.0,-78293.0,720.0,0.006,-131387.0,13.0,RISE
2020-02-12,797.0,834.0,837.0,792.0,1235109.0,43857.0,-43857.0,0.0,0.0075,-132107.0,26.0,FALL
2020-02-11,823.0,850.0,850.0,818.0,670663.0,84538.0,-84538.0,0.0,0.0085,-132107.0,21.0,FALL
2020-02-10,844.0,849.0,855.0,835.0,390234.0,26192.0,-26193.0,1.0,0.0098,-132107.0,5.0,FALL
2020-02-07,849.0,851.0,860.0,834.0,670332.0,49555.0,-49555.0,0.0,0.0103,-132108.0,3.0,FALL
2020-02-06,852.0,847.0,862.0,829.0,526752.0,-6441.0,6441.0,0.0,0.0124,-132108.0,4.0,RISE
2020-02-05,848.0,854.0,873.0,840.0,584957.0,46083.0,-46083.0,0.0,0.0117,-132108.0,2.0,FALL
2020-02-04,850.0,811.0,856.0,807.0,995230.0,-32687.0,32687.0,0.0,0.0124,-132108.0,39.0,RISE
