,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3060.0,0.0,0.0,0.0,0.0,0,0,0,0.0,38300,0.0,EVEN
2020-06-04,3060.0,0.0,0.0,0.0,0.0,0,0,0,0.0212,38300,0.0,EVEN
2020-06-03,3060.0,0.0,0.0,0.0,0.0,0,0,0,0.0212,38300,0.0,EVEN
2020-06-02,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39179.0,0.0,EVEN
2020-05-29,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,39179.0,0.0,EVEN
2020-05-22,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39823.0,0.0,EVEN
2018-09-03,3060.0,3075.0,3100.0,3045.0,203232.0,-17670.0,17670.0,0.0,0.0285,39823.0,15.0,FALL
2018-08-31,3075.0,3090.0,3100.0,3045.0,231816.0,-14438.0,14757.0,-319.0,0.0275,39823.0,10.0,FALL
2018-08-30,3085.0,3085.0,3145.0,3065.0,231522.0,6182.0,3696.0,-9878.0,0.0269,40142.0,15.0,RISE
2018-08-29,3070.0,3115.0,3170.0,3030.0,319832.0,28522.0,-27022.0,-1500.0,0.0268,50020.0,45.0,FALL
2018-08-28,3115.0,3020.0,3150.0,3020.0,503450.0,-168790.0,173784.0,-4994.0,0.0279,51520.0,95.0,RISE
2018-08-27,3020.0,3070.0,3075.0,3020.0,258345.0,20038.0,-17860.0,-2178.0,0.0207,56514.0,50.0,FALL
2018-08-24,3070.0,3075.0,3080.0,3020.0,258861.0,-21980.0,23980.0,-2000.0,0.0214,58692.0,5.0,FALL
2018-08-23,3075.0,3115.0,3130.0,3040.0,352652.0,54723.0,-54723.0,0.0,0.0204,60692.0,40.0,FALL
2018-08-22,3115.0,3040.0,3180.0,3035.0,521497.0,-125861.0,130240.0,-4379.0,0.0229,60692.0,75.0,RISE
2018-08-21,3040.0,3065.0,3075.0,3010.0,350488.0,-35986.0,35986.0,0.0,0.0175,65071.0,10.0,FALL
2018-08-20,3050.0,3050.0,3120.0,3050.0,169444.0,-3381.0,3381.0,0.0,0.016,65071.0,0.0,EVEN
2018-08-17,3050.0,3020.0,3065.0,3020.0,115451.0,-7121.0,7121.0,0.0,0.0159,65071.0,40.0,RISE
2018-08-16,3010.0,2970.0,3050.0,2970.0,166896.0,-12553.0,12553.0,0.0,0.0156,65071.0,5.0,FALL
2018-08-14,3015.0,2955.0,3050.0,2940.0,201702.0,-10100.0,10100.0,0.0,0.0151,65071.0,25.0,RISE
2018-08-13,2990.0,3075.0,3080.0,2990.0,406772.0,12256.0,-12256.0,0.0,0.0146,65071.0,105.0,FALL
2018-08-10,3095.0,3190.0,3195.0,3095.0,367923.0,51964.0,-52313.0,349.0,0.0152,65071.0,115.0,FALL
2018-08-09,3210.0,3175.0,3220.0,3105.0,387395.0,-37877.0,37877.0,0.0,0.0173,64722.0,55.0,RISE
2018-08-08,3155.0,3185.0,3235.0,3150.0,351480.0,5269.0,-5269.0,0.0,0.0158,64722.0,40.0,FALL
2018-08-07,3195.0,3185.0,3205.0,3150.0,291386.0,11929.0,-11929.0,0.0,0.016,64722.0,10.0,RISE
2018-08-06,3185.0,3165.0,3210.0,3120.0,484424.0,-63310.0,63310.0,0.0,0.0165,64722.0,45.0,RISE
2018-08-03,3140.0,3110.0,3145.0,3080.0,175134.0,-30149.0,30148.0,1.0,0.0138,64722.0,30.0,RISE
2018-08-02,3110.0,3150.0,3210.0,3080.0,342101.0,36769.0,-36769.0,0.0,0.0126,64721.0,55.0,FALL
2018-08-01,3165.0,3095.0,3195.0,3045.0,545363.0,-53886.0,55052.0,-1166.0,0.0141,64721.0,90.0,RISE
2018-07-31,3075.0,3070.0,3120.0,3040.0,229044.0,-990.0,990.0,0.0,0.0118,65887.0,10.0,RISE
2018-07-30,3065.0,3080.0,3135.0,3045.0,200507.0,33599.0,-33599.0,0.0,0.0118,65887.0,30.0,FALL
2018-07-27,3095.0,3070.0,3160.0,3070.0,306251.0,-69894.0,68728.0,1166.0,0.0132,65887.0,25.0,RISE
2018-07-26,3070.0,2985.0,3100.0,2985.0,362706.0,-58125.0,57724.0,401.0,0.0096,64721.0,90.0,RISE
2018-07-25,2980.0,3040.0,3055.0,2975.0,395809.0,57735.0,-57736.0,1.0,0.0072,64320.0,20.0,FALL
2018-07-24,3000.0,2990.0,3095.0,2990.0,505937.0,-75410.0,75410.0,0.0,0.0092,64319.0,45.0,FALL
2018-07-23,3045.0,3205.0,3230.0,3035.0,974126.0,80953.0,-81335.0,382.0,0.0061,64319.0,185.0,FALL
2018-07-20,3230.0,3375.0,3445.0,3195.0,728404.0,-16452.0,16452.0,0.0,0.0094,63937.0,125.0,FALL
2018-07-19,3355.0,3590.0,3590.0,3320.0,2445877.0,192059.0,-192059.0,0.0,0.0088,63937.0,95.0,FALL
2018-07-18,3450.0,3295.0,3465.0,3250.0,1702504.0,-37243.0,37243.0,0.0,0.0163,63937.0,185.0,RISE
2018-07-17,3265.0,3310.0,3370.0,3255.0,550919.0,555.0,-555.0,0.0,0.0146,63937.0,45.0,FALL
2018-07-16,3310.0,3195.0,3325.0,3145.0,835316.0,-46411.0,46411.0,0.0,0.0145,63937.0,145.0,RISE
2018-07-13,3165.0,3130.0,3175.0,3105.0,255270.0,-48149.0,48149.0,0.0,0.0125,63937.0,75.0,RISE
2018-07-12,3090.0,3075.0,3140.0,3070.0,219912.0,-46321.0,46321.0,0.0,0.0105,63937.0,10.0,RISE
2018-07-11,3080.0,3160.0,3200.0,3050.0,494018.0,90564.0,-90564.0,0.0,0.0086,63937.0,115.0,FALL
2018-07-10,3195.0,3050.0,3225.0,3050.0,464802.0,-124754.0,124754.0,0.0,0.0125,63937.0,160.0,RISE
2018-07-09,3035.0,3075.0,3135.0,3030.0,373786.0,-22663.0,22663.0,0.0,0.0071,63937.0,55.0,FALL
2018-07-06,3090.0,3065.0,3115.0,2980.0,532615.0,-7717.0,7717.0,0.0,0.0062,63937.0,10.0,RISE
2018-07-05,3080.0,3180.0,3190.0,3055.0,708299.0,37566.0,-37566.0,0.0,0.0058,63937.0,110.0,FALL
2018-07-04,3190.0,3235.0,3370.0,3170.0,947129.0,82864.0,-82864.0,0.0,0.0064,63937.0,65.0,FALL
2018-07-03,3255.0,3310.0,3415.0,3165.0,1562233.0,138234.0,-137525.0,-709.0,0.0099,63937.0,70.0,FALL
2018-07-02,3325.0,3150.0,3490.0,3140.0,2868890.0,6681.0,-6681.0,0.0,0.0155,64646.0,155.0,RISE
2018-06-29,3170.0,3310.0,3345.0,3135.0,1395257.0,95267.0,-95267.0,0.0,0.0155,64646.0,180.0,FALL
2018-06-28,3350.0,3535.0,3800.0,3350.0,10726977.0,373873.0,-373873.0,0.0,0.0195,64646.0,20.0,FALL
2018-06-27,3370.0,3175.0,3425.0,3175.0,1300332.0,17682.0,-17682.0,0.0,0.0348,64646.0,135.0,RISE
2018-06-26,3235.0,3210.0,3280.0,3165.0,361684.0,46413.0,-46413.0,0.0,0.0346,64646.0,50.0,FALL
2018-06-25,3285.0,3030.0,3350.0,3030.0,989259.0,-49847.0,49847.0,0.0,0.0365,64646.0,240.0,RISE
