,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5180.0,5210.0,5280.0,5120.0,27499.0,-1080,1080,0,0.0367,97,0.0,EVEN
2020-06-04,5180.0,5110.0,5360.0,5060.0,53953.0,-407,407,0,0.0353,97,120.0,RISE
2020-06-03,5060.0,5060.0,5150.0,5040.0,34798.0,138,-138,0,0.0348,97,0.0,EVEN
2020-06-02,5060.0,5030.0,5130.0,4960.0,33830.0,0.0,0.0,0.0,0.0,97.0,30.0,RISE
2020-06-01,5030.0,5040.0,5040.0,4920.0,34447.0,0.0,0.0,0.0,0.035,97.0,40.0,RISE
2020-05-29,4990.0,5020.0,5040.0,4915.0,19096.0,0.0,0.0,0.0,0.035,97.0,30.0,FALL
2020-05-28,5020.0,5200.0,5200.0,4930.0,32104.0,143.0,-143.0,0.0,0.035,97.0,10.0,FALL
2020-05-27,5030.0,5010.0,5140.0,4970.0,18946.0,2.0,-2.0,0.0,0.0351,97.0,55.0,RISE
2020-05-26,4975.0,4960.0,5030.0,4910.0,24812.0,-48.0,48.0,0.0,0.0351,97.0,30.0,RISE
2020-05-25,4945.0,4990.0,5000.0,4920.0,18673.0,0.0,0.0,0.0,0.0351,97.0,45.0,FALL
2020-05-22,4990.0,5030.0,5090.0,4910.0,46020.0,71.0,-71.0,0.0,0.0351,97.0,40.0,FALL
2020-05-21,5030.0,5000.0,5070.0,4920.0,85384.0,-1611.0,1611.0,0.0,0.0352,97.0,10.0,RISE
2020-05-20,5020.0,5180.0,6210.0,5010.0,1128471.0,4014.0,-4014.0,0.0,0.0331,97.0,240.0,RISE
2020-05-19,4780.0,4725.0,4945.0,4725.0,26294.0,-134.0,134.0,0.0,0.0383,97.0,55.0,RISE
2020-05-18,4725.0,4800.0,4850.0,4720.0,4110.0,483.0,-295.0,-188.0,0.0381,97.0,25.0,FALL
2020-05-15,4750.0,4755.0,4835.0,4695.0,14609.0,-106.0,-82.0,188.0,0.0385,285.0,45.0,RISE
2020-05-14,4705.0,4820.0,4835.0,4665.0,7802.0,6.0,-6.0,0.0,0.0386,97.0,130.0,FALL
2020-05-13,4835.0,4750.0,4870.0,4725.0,10791.0,-497.0,497.0,0.0,0.0386,97.0,65.0,RISE
2020-05-12,4770.0,4950.0,4960.0,4735.0,24575.0,62.0,-62.0,0.0,0.038,97.0,150.0,FALL
2020-05-11,4920.0,4985.0,4985.0,4830.0,11302.0,-51.0,51.0,0.0,0.0381,97.0,25.0,RISE
2020-05-08,4895.0,5080.0,5080.0,4895.0,17427.0,1591.0,-1591.0,0.0,0.038,97.0,30.0,RISE
2020-05-07,4865.0,4800.0,4900.0,4780.0,11132.0,234.0,-234.0,0.0,0.0401,97.0,65.0,RISE
2020-05-06,4800.0,4850.0,4850.0,4745.0,18145.0,243.0,-243.0,0.0,0.0404,97.0,50.0,RISE
2020-05-04,4750.0,4715.0,4790.0,4645.0,29428.0,485.0,-485.0,0.0,0.0407,97.0,35.0,RISE
2020-04-29,4715.0,4900.0,5000.0,4685.0,63928.0,-2565.0,2565.0,0.0,0.0413,97.0,130.0,FALL
2020-04-28,4845.0,4785.0,5000.0,4695.0,41120.0,1187.0,-1187.0,0.0,0.038,97.0,140.0,RISE
2020-04-27,4705.0,4700.0,4890.0,4495.0,31113.0,-1362.0,1362.0,0.0,0.0395,97.0,35.0,RISE
2020-04-24,4670.0,4760.0,5000.0,4600.0,17757.0,50.0,-50.0,0.0,0.0378,97.0,150.0,FALL
2020-04-23,4820.0,4850.0,5130.0,4630.0,41992.0,598.0,-598.0,0.0,0.0378,97.0,70.0,RISE
2020-04-22,4750.0,4750.0,4835.0,4650.0,20634.0,-1626.0,1626.0,0.0,0.0386,97.0,15.0,RISE
2020-04-21,4735.0,4925.0,4930.0,4560.0,18799.0,1946.0,-1946.0,0.0,0.0365,97.0,175.0,FALL
2020-04-20,4910.0,5050.0,5050.0,4880.0,11773.0,980.0,-980.0,0.0,0.039,97.0,5.0,FALL
2020-04-17,4915.0,4830.0,5000.0,4810.0,42517.0,-484.0,484.0,0.0,0.0403,97.0,100.0,RISE
2020-04-16,4815.0,4765.0,4935.0,4680.0,31329.0,-5888.0,5888.0,0.0,0.0397,97.0,145.0,FALL
2020-04-14,4960.0,4960.0,5170.0,4960.0,43135.0,-7869.0,7869.0,0.0,0.032,97.0,5.0,RISE
