,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5910.0,5870.0,5930.0,5750.0,1110258.0,-20274.0,-348992.0,369266.0,0.452,-4392171.0,40.0,RISE
2020-06-04,5870.0,5960.0,6100.0,5490.0,1768361.0,-358197.0,-80324.0,438521.0,0.4541,-4761437.0,0.0,EVEN
2020-06-03,5870.0,5730.0,6000.0,5690.0,2429411.0,-476927.0,-270136.0,747063.0,0.4545,-5199958.0,260.0,RISE
2020-06-02,5610.0,5450.0,5690.0,5420.0,2093709.0,-409072.0,-117933.0,527005.0,0.4561,-5427839.0,190.0,RISE
2020-06-01,5420.0,5310.0,5420.0,5290.0,1185328.0,-489268.0,148028.0,341240.0,0.4568,-5954844.0,160.0,RISE
2020-05-29,5260.0,5250.0,5340.0,5180.0,1563652.0,82493.0,-645646.0,563153.0,0.456,-6296084.0,70.0,FALL
2020-05-28,5330.0,5260.0,5450.0,5230.0,2385329.0,-914243.0,43298.0,870945.0,0.4598,-6859237.0,180.0,RISE
2020-05-27,5150.0,5040.0,5190.0,5000.0,1840928.0,-1056982.0,499136.0,557846.0,0.4595,-7730182.0,170.0,RISE
2020-05-26,4980.0,4950.0,5050.0,4930.0,743479.0,68774.0,-70489.0,1715.0,0.4566,-8288028.0,30.0,RISE
2020-05-25,4950.0,4975.0,4985.0,4900.0,378702.0,41391.0,-42423.0,1032.0,0.4569,-8289743.0,25.0,FALL
2020-05-22,4975.0,5050.0,5050.0,4945.0,711610.0,-163874.0,115914.0,47960.0,0.4571,-8290775.0,5.0,FALL
2020-05-21,4980.0,4990.0,5030.0,4950.0,554837.0,-46921.0,28327.0,18594.0,0.4564,-8338735.0,30.0,RISE
2020-05-20,4950.0,4955.0,5000.0,4895.0,598989.0,9186.0,-60032.0,50846.0,0.4563,-5564632.0,35.0,FALL
2020-05-19,4985.0,4835.0,5000.0,4830.0,1409967.0,-745784.0,366027.0,379757.0,0.4566,-5615478.0,280.0,RISE
2020-05-18,4705.0,4805.0,4805.0,4665.0,933588.0,359906.0,-270098.0,-89808.0,0.4545,-5995235.0,100.0,FALL
2020-05-15,4805.0,4790.0,4825.0,4745.0,1159321.0,287587.0,-298556.0,10969.0,0.4561,-5905427.0,55.0,RISE
2020-05-14,4750.0,4870.0,4870.0,4740.0,1605310.0,855417.0,-430911.0,-424506.0,0.4578,-5916396.0,180.0,FALL
2020-05-13,4930.0,4950.0,4955.0,4910.0,781183.0,236969.0,-211549.0,-25420.0,0.4604,-5491890.0,70.0,FALL
2020-05-12,5000.0,5080.0,5090.0,4970.0,991705.0,119177.0,-117895.0,-1282.0,0.4616,-5466470.0,90.0,FALL
2020-05-11,5090.0,5140.0,5150.0,5050.0,647510.0,-151472.0,-819.0,152291.0,0.4626,-5465188.0,40.0,FALL
2020-05-08,5130.0,5200.0,5200.0,5100.0,1027518.0,223647.0,-260634.0,36987.0,0.4626,-5617479.0,70.0,FALL
2020-05-07,5200.0,5050.0,5200.0,4985.0,1129621.0,237208.0,-159774.0,-77434.0,0.4641,-5654466.0,130.0,RISE
2020-05-06,5070.0,5220.0,5260.0,5060.0,983546.0,548580.0,-468430.0,-80150.0,0.4651,-5577032.0,100.0,FALL
2020-05-04,5170.0,5150.0,5200.0,5090.0,1290299.0,116174.0,-76221.0,-39953.0,0.4678,-5496882.0,100.0,FALL
2020-04-29,5270.0,5150.0,5320.0,5130.0,1834773.0,-458265.0,98145.0,360120.0,0.4683,-5456929.0,120.0,RISE
2020-04-28,5150.0,4980.0,5270.0,4945.0,2610130.0,-612026.0,-48801.0,660827.0,0.4677,-5817049.0,230.0,RISE
2020-04-27,4920.0,4715.0,4970.0,4715.0,1695570.0,-419745.0,269898.0,149847.0,0.46799999999999997,-6477876.0,220.0,RISE
2020-04-24,4700.0,4815.0,4815.0,4700.0,741461.0,216262.0,-288874.0,72612.0,0.4664,-6627723.0,120.0,FALL
2020-04-23,4820.0,4830.0,4860.0,4785.0,556683.0,95745.0,-169650.0,73905.0,0.4681,-6700335.0,20.0,RISE
2020-04-22,4800.0,4740.0,4825.0,4720.0,636379.0,167710.0,-105911.0,-61799.0,0.4691,-6774240.0,60.0,FALL
2020-04-21,4860.0,4900.0,4965.0,4785.0,1034931.0,282145.0,-288145.0,6000.0,0.4697,-6712441.0,95.0,FALL
2020-04-20,4955.0,4970.0,5030.0,4945.0,968777.0,276061.0,-358249.0,82188.0,0.4714,-6718441.0,5.0,RISE
2020-04-17,4950.0,4835.0,4950.0,4810.0,1250595.0,-59584.0,-60033.0,119617.0,0.4736,-6800629.0,180.0,RISE
2020-04-16,4770.0,4865.0,4865.0,4695.0,973528.0,356595.0,-413259.0,56664.0,0.4739,-6920246.0,140.0,FALL
2020-04-14,4910.0,4940.0,4980.0,4880.0,857556.0,179323.0,-298814.0,119491.0,0.4764,-6976910.0,5.0,FALL
2020-04-13,4915.0,4925.0,4985.0,4820.0,1549338.0,33072.0,-343689.0,310617.0,0.4796,-7096401.0,20.0,RISE
2020-04-10,4895.0,4650.0,4895.0,4640.0,2007990.0,-99584.0,-52717.0,152301.0,0.4816,-7407018.0,300.0,RISE
2020-04-09,4595.0,4620.0,4635.0,4575.0,913222.0,-130081.0,-63693.0,193774.0,0.48200000000000004,-7559319.0,65.0,RISE
2020-04-08,4530.0,4545.0,4600.0,4465.0,998316.0,-63245.0,-98116.0,161361.0,0.4823,-7753093.0,35.0,FALL
2020-04-07,4565.0,4650.0,4680.0,4525.0,1334814.0,48111.0,-103529.0,55418.0,0.4829,-7914454.0,80.0,RISE
2020-04-06,4485.0,4370.0,4500.0,4355.0,1079834.0,97728.0,-164492.0,66764.0,0.4835,-7969872.0,115.0,RISE
2020-04-03,4370.0,4390.0,4410.0,4295.0,988404.0,155130.0,-135442.0,-19688.0,0.4845,-8036636.0,10.0,FALL
2020-04-02,4380.0,4330.0,4450.0,4220.0,1425473.0,302574.0,-400957.0,98383.0,0.4853,-8016948.0,20.0,FALL
2020-04-01,4400.0,4500.0,4630.0,4385.0,1491399.0,276219.0,-392891.0,116672.0,0.4877,-8115331.0,190.0,FALL
2020-03-31,4590.0,4375.0,4590.0,4350.0,1295413.0,79270.0,36066.0,-115336.0,0.49,-8232003.0,270.0,RISE
2020-03-30,4320.0,4100.0,4320.0,4055.0,936990.0,-10194.0,-5953.0,16147.0,0.4883,-8116667.0,70.0,RISE
2020-03-27,4250.0,4235.0,4300.0,4140.0,1968366.0,84380.0,-209956.0,125576.0,0.4883,-8132814.0,215.0,RISE
2020-03-26,4035.0,4060.0,4170.0,3925.0,1885497.0,433443.0,-567570.0,134127.0,0.4896,-8258390.0,5.0,RISE
2020-03-25,4030.0,3850.0,4035.0,3815.0,2073464.0,173949.0,-141406.0,-32543.0,0.4929,-8392517.0,415.0,RISE
2020-03-24,3615.0,3595.0,3650.0,3465.0,1110315.0,74825.0,-18648.0,-56177.0,0.4938,-8359974.0,195.0,RISE
2020-03-23,3420.0,3485.0,3550.0,3400.0,1175158.0,391455.0,-246783.0,-144672.0,0.4939,-8303797.0,300.0,FALL
2020-03-20,3720.0,3550.0,3765.0,3365.0,2186265.0,351447.0,-80070.0,-271377.0,0.4953,-8159125.0,240.0,RISE
2020-03-19,3480.0,3830.0,3925.0,3470.0,2047585.0,77096.0,71478.0,-148574.0,0.4959,-7887748.0,355.0,FALL
2020-03-18,3835.0,4080.0,4080.0,3835.0,2119167.0,327188.0,-107331.0,-219857.0,0.4955,-7739174.0,195.0,FALL
2020-03-17,4030.0,4095.0,4240.0,4030.0,2464448.0,956566.0,-1041797.0,85231.0,0.4961,-7519317.0,350.0,FALL
2020-03-16,4380.0,4590.0,4795.0,4355.0,1310684.0,439837.0,-322006.0,-117831.0,0.5034,-7604548.0,180.0,FALL
2020-03-13,4560.0,4350.0,4645.0,4255.0,2355369.0,-64453.0,206785.0,-142332.0,0.5053,-7486717.0,160.0,FALL
2020-03-12,4720.0,4990.0,5020.0,4680.0,2857946.0,144901.0,139188.0,-284089.0,0.504,-7344385.0,340.0,FALL
2020-03-11,5060.0,5110.0,5260.0,4990.0,1901610.0,75641.0,-68023.0,-7618.0,0.5032,-7060296.0,20.0,RISE
2020-03-10,5040.0,4970.0,5130.0,4970.0,1206577.0,212328.0,56668.0,-268996.0,0.5035,-7052678.0,30.0,FALL
2020-03-09,5070.0,5190.0,5190.0,5040.0,1418969.0,-2406.0,-8980.0,11386.0,0.5031,-6783682.0,230.0,FALL
2020-03-06,5300.0,5330.0,5360.0,5250.0,1434138.0,179280.0,218473.0,-397753.0,0.5032,-6795068.0,100.0,FALL
2020-03-05,5400.0,5280.0,5430.0,5250.0,2214143.0,-170604.0,684148.0,-513544.0,0.5019,-6397315.0,140.0,RISE
2020-03-04,5260.0,5290.0,5320.0,5210.0,3936150.0,1275509.0,-551557.0,-723952.0,0.4978,-5883771.0,120.0,FALL
