,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4990.0,4955.0,5050.0,4925.0,19764.0,-2731,2731,0,0.0052,288727,65.0,RISE
2020-06-04,4925.0,5020.0,5080.0,4910.0,45973.0,-884,884,0,0.0051,288727,85.0,FALL
2020-06-03,5010.0,5070.0,5140.0,5010.0,58641.0,-7807,7807,0,0.005,288727,30.0,FALL
2020-06-02,5040.0,4950.0,5100.0,4930.0,35446.0,-5832.0,5832.0,0.0,0.0045,231981.0,80.0,RISE
2020-06-01,4960.0,4990.0,5040.0,4870.0,34364.0,-533.0,533.0,0.0,0.0041,231981.0,125.0,RISE
2020-05-29,4835.0,5090.0,5100.0,4835.0,111834.0,7002.0,-7002.0,0.0,0.004,231981.0,215.0,FALL
2020-05-28,5050.0,5370.0,5810.0,4980.0,736455.0,1912.0,-1912.0,0.0,0.0045,231981.0,320.0,FALL
2020-05-27,5370.0,5290.0,6490.0,5130.0,1541712.0,20905.0,-20905.0,0.0,0.0046,231981.0,180.0,RISE
2020-05-26,5190.0,5220.0,5290.0,5160.0,20166.0,-1224.0,1224.0,0.0,0.0061,231981.0,20.0,FALL
2020-05-25,5210.0,5240.0,5240.0,5140.0,18222.0,-2288.0,4898.0,-2610.0,0.006,231981.0,30.0,FALL
2020-05-22,5240.0,5200.0,5330.0,5140.0,38305.0,-2707.0,-999.0,3706.0,0.0056,234591.0,10.0,FALL
2020-05-20,5260.0,5290.0,5290.0,5180.0,44984.0,-12313.0,9313.0,3000.0,0.0055,104199.0,30.0,RISE
2020-05-19,5230.0,5190.0,5280.0,5130.0,37793.0,-11413.0,3823.0,7590.0,0.0049,101199.0,40.0,RISE
2020-05-18,5190.0,5320.0,5320.0,5120.0,56844.0,-17023.0,3127.0,13896.0,0.0046,93609.0,110.0,FALL
2020-05-15,5300.0,5280.0,5300.0,5130.0,35757.0,-18172.0,3821.0,14351.0,0.0044,79713.0,90.0,RISE
2020-05-14,5210.0,5220.0,5300.0,5080.0,36954.0,-9176.0,-5824.0,15000.0,0.0041,65362.0,10.0,FALL
2020-05-13,5220.0,5200.0,5350.0,5070.0,50829.0,-15514.0,4365.0,11149.0,0.0045,50362.0,40.0,FALL
2020-05-12,5260.0,5200.0,5290.0,5050.0,65655.0,-10058.0,-335.0,10393.0,0.0042,39213.0,0.0,EVEN
2020-05-11,5260.0,5400.0,5420.0,5130.0,85117.0,-6400.0,2457.0,3943.0,0.0043,28820.0,140.0,FALL
2020-05-08,5400.0,5580.0,5810.0,5350.0,380066.0,28456.0,-31456.0,3000.0,0.0041,24877.0,90.0,RISE
2020-05-07,5310.0,5070.0,5400.0,5000.0,127711.0,-9078.0,586.0,8492.0,0.0062,21877.0,250.0,RISE
2020-05-06,5060.0,5050.0,5130.0,4970.0,20735.0,-10469.0,-1291.0,11760.0,0.0062,13385.0,10.0,RISE
2020-05-04,5050.0,5060.0,5110.0,4975.0,4534.0,1135.0,-1135.0,0.0,0.0063,1625.0,20.0,RISE
2020-04-29,5030.0,4915.0,5130.0,4915.0,31138.0,-2542.0,-548.0,3090.0,0.0063,1625.0,115.0,RISE
2020-04-28,4915.0,5150.0,5190.0,4895.0,130083.0,-34752.0,19753.0,14999.0,0.0064,-1465.0,225.0,FALL
2020-04-27,5140.0,5060.0,5220.0,5060.0,41223.0,-21006.0,6006.0,15000.0,0.005,-16464.0,80.0,RISE
2020-04-24,5060.0,5070.0,5130.0,4985.0,56899.0,-17771.0,2985.0,14786.0,0.0046,-31464.0,70.0,FALL
2020-04-23,5130.0,5080.0,5290.0,5060.0,35700.0,-5795.0,-4389.0,10184.0,0.0044,-46250.0,50.0,RISE
2020-04-22,5080.0,4975.0,5170.0,4880.0,28574.0,-8677.0,-2050.0,10727.0,0.0047,-56434.0,70.0,RISE
2020-04-21,5010.0,4990.0,5040.0,4620.0,68540.0,-12688.0,-190.0,12878.0,0.0049,-67161.0,20.0,RISE
2020-04-20,4990.0,4930.0,5200.0,4710.0,57680.0,-18268.0,-1564.0,19832.0,0.0049,-80039.0,160.0,RISE
2020-04-17,4830.0,4830.0,4910.0,4700.0,51219.0,-9910.0,-5090.0,15000.0,0.005,-99871.0,30.0,RISE
2020-04-16,4800.0,4800.0,4870.0,4650.0,44019.0,-11334.0,-3666.0,15000.0,0.0054,-114871.0,15.0,RISE
2020-04-14,4785.0,4690.0,4870.0,4650.0,64864.0,-21503.0,2025.0,19478.0,0.0056,-129871.0,95.0,RISE
2020-04-13,4690.0,4750.0,5600.0,4425.0,470534.0,4327.0,-20970.0,16643.0,0.0055,-149349.0,130.0,RISE
2020-04-10,4560.0,4555.0,4620.0,4450.0,59510.0,-23284.0,4481.0,18803.0,0.0069,-165992.0,145.0,RISE
2020-04-09,4415.0,4430.0,4490.0,4325.0,58380.0,-10866.0,-5180.0,16046.0,0.0066,-184795.0,90.0,RISE
2020-04-08,4325.0,4140.0,4400.0,4070.0,74935.0,-24531.0,5021.0,19510.0,0.0069,-200841.0,210.0,RISE
