,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,17700.0,17450.0,17950.0,17450.0,139910.0,8125,0,-8125,0.0,-1377798,300.0,RISE
2020-06-04,17400.0,17800.0,17850.0,17300.0,116752.0,16701,0,-16701,0.0,-1369673,150.0,FALL
2020-06-03,17550.0,17500.0,18350.0,17500.0,251669.0,11140,0,-11140,0.0,-1352972,150.0,RISE
2020-06-02,17400.0,17200.0,17500.0,16900.0,135043.0,28281.0,0.0,-28281.0,0.0,-1272210.0,400.0,RISE
2020-06-01,17000.0,16800.0,17150.0,16700.0,152860.0,18692.0,0.0,-18692.0,0.0,-1243929.0,150.0,RISE
2020-05-29,16850.0,17100.0,17250.0,16800.0,136892.0,23980.0,0.0,-23980.0,0.0,-1225237.0,400.0,FALL
2020-05-28,17250.0,17700.0,17800.0,17050.0,123644.0,25890.0,0.0,-25890.0,0.0,-1201257.0,350.0,FALL
2020-05-27,17600.0,17700.0,17850.0,17500.0,88535.0,1949.0,0.0,-1949.0,0.0,-1175367.0,100.0,FALL
2020-05-26,17700.0,17650.0,17950.0,17550.0,87838.0,32210.0,0.0,-32210.0,0.0,-1173418.0,100.0,RISE
2020-05-25,17600.0,17700.0,17800.0,17500.0,81518.0,19269.0,0.0,-19269.0,0.0,-1141208.0,50.0,FALL
2020-05-22,17650.0,18050.0,18050.0,17550.0,127606.0,4477.0,0.0,-4477.0,0.0,-1121939.0,450.0,FALL
2020-05-20,17450.0,17550.0,17750.0,17400.0,87608.0,24931.0,0.0,-24931.0,0.0,-744490.0,100.0,FALL
2020-05-19,17550.0,17600.0,17700.0,17250.0,143733.0,11274.0,0.0,-11274.0,0.0,-719559.0,350.0,RISE
2020-05-18,17200.0,17400.0,17600.0,16950.0,182480.0,19436.0,0.0,-19436.0,0.0,-708285.0,450.0,FALL
2020-05-15,17650.0,16950.0,17650.0,16550.0,220283.0,43363.0,0.0,-43363.0,0.0,-688849.0,700.0,RISE
2020-05-14,16950.0,17200.0,17300.0,16800.0,104234.0,24639.0,0.0,-24639.0,0.0,-645486.0,500.0,FALL
2020-05-13,17450.0,17250.0,17450.0,17150.0,107047.0,24311.0,0.0,-24311.0,0.0,-620847.0,150.0,FALL
2020-05-12,17600.0,17900.0,17950.0,17300.0,119350.0,22705.0,0.0,-22705.0,0.0,-596536.0,350.0,FALL
2020-05-11,17950.0,18250.0,18250.0,17750.0,53947.0,1446.0,0.0,-1446.0,0.0,-573831.0,100.0,FALL
2020-05-08,18050.0,18100.0,18300.0,17950.0,87693.0,-1533.0,0.0,1533.0,0.0,-572385.0,50.0,RISE
2020-05-07,18000.0,17650.0,18300.0,17650.0,109357.0,19404.0,0.0,-19404.0,0.0,-573918.0,400.0,RISE
2020-05-06,17600.0,17550.0,17800.0,17550.0,80535.0,7220.0,0.0,-7220.0,0.0,-554514.0,200.0,RISE
2020-05-04,17400.0,17800.0,17900.0,17350.0,177890.0,57207.0,0.0,-57207.0,0.0,-547294.0,800.0,FALL
2020-04-29,18200.0,18250.0,18350.0,18100.0,101528.0,36068.0,0.0,-36068.0,0.0,-490087.0,50.0,FALL
2020-04-28,18250.0,18250.0,18450.0,18100.0,66113.0,13855.0,0.0,-13855.0,0.0,-454019.0,50.0,FALL
2020-04-27,18300.0,18100.0,18450.0,18000.0,96210.0,11150.0,0.0,-11150.0,0.0,-440164.0,150.0,RISE
2020-04-24,18150.0,18350.0,18600.0,17800.0,118555.0,37494.0,0.0,-37494.0,0.0,-429014.0,400.0,FALL
2020-04-23,18550.0,18300.0,18800.0,18250.0,73362.0,-2409.0,0.0,2409.0,0.0,-391520.0,300.0,RISE
