,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,17700.0,18000.0,18300.0,17500.0,4613.0,266,-13,-253,0.0414,-94202,0.0,EVEN
2020-06-04,17700.0,17950.0,17950.0,17600.0,6254.0,1601,-249,-1352,0.0414,-93949,50.0,FALL
2020-06-03,17750.0,17450.0,17950.0,17350.0,13243.0,3460,28,-3488,0.0415,-92597,500.0,RISE
2020-06-02,17250.0,17350.0,17750.0,17200.0,2902.0,1082.0,-143.0,-939.0,0.0415,-89354.0,100.0,RISE
2020-06-01,17150.0,17150.0,17800.0,17050.0,2843.0,-13.0,223.0,-210.0,0.0415,-88415.0,150.0,FALL
2020-05-29,17300.0,17300.0,17300.0,16800.0,5198.0,245.0,2.0,-247.0,0.0415,-88205.0,300.0,RISE
2020-05-28,17000.0,17300.0,17450.0,17000.0,4615.0,454.0,-431.0,-23.0,0.0415,-87958.0,300.0,FALL
2020-05-27,17300.0,17800.0,17800.0,17100.0,3185.0,195.0,-192.0,-3.0,0.0416,-87935.0,0.0,EVEN
2020-05-26,17300.0,17100.0,17650.0,16900.0,7694.0,81.0,-74.0,-7.0,0.0416,-87932.0,400.0,RISE
2020-05-25,16900.0,16350.0,18000.0,16250.0,13092.0,517.0,-484.0,-33.0,0.0416,-87925.0,650.0,RISE
2020-05-22,16250.0,16700.0,17100.0,16250.0,2005.0,462.0,-297.0,-165.0,0.0417,-87892.0,500.0,FALL
2020-05-20,16450.0,16600.0,17000.0,16250.0,2840.0,27.0,2.0,-29.0,0.0418,-89185.0,150.0,FALL
2020-05-19,16600.0,16700.0,16800.0,16400.0,5023.0,101.0,80.0,-181.0,0.0418,-89156.0,200.0,RISE
2020-05-18,16400.0,15950.0,16450.0,15750.0,5140.0,-27.0,-75.0,102.0,0.0418,-88975.0,500.0,RISE
2020-05-15,15900.0,15700.0,16250.0,15500.0,2419.0,201.0,-88.0,-113.0,0.0418,-89077.0,200.0,RISE
2020-05-14,15700.0,16100.0,16100.0,15700.0,4387.0,212.0,-202.0,-10.0,0.0418,-88964.0,350.0,FALL
2020-05-13,16050.0,16350.0,16350.0,16000.0,3048.0,975.0,-971.0,-4.0,0.0419,-88954.0,300.0,FALL
2020-05-12,16350.0,16600.0,16700.0,16050.0,3566.0,556.0,-365.0,-191.0,0.0421,-88950.0,150.0,FALL
2020-05-11,16500.0,16600.0,16600.0,16050.0,3965.0,131.0,-37.0,-94.0,0.0422,-88759.0,50.0,RISE
2020-05-08,16450.0,16050.0,16500.0,16050.0,4606.0,353.0,-167.0,-186.0,0.0422,-88665.0,450.0,RISE
2020-05-07,16000.0,16550.0,16550.0,15800.0,4604.0,619.0,-930.0,311.0,0.0423,-88479.0,350.0,RISE
2020-05-06,15650.0,15550.0,15800.0,15550.0,3004.0,201.0,-229.0,28.0,0.0425,-88790.0,50.0,FALL
2020-05-04,15700.0,15250.0,16000.0,15000.0,7655.0,-2913.0,-185.0,3098.0,0.0425,-88818.0,200.0,RISE
2020-04-29,15500.0,15150.0,15500.0,15150.0,3786.0,-348.0,368.0,-20.0,0.0426,-91916.0,350.0,RISE
2020-04-28,15150.0,15700.0,15700.0,14950.0,2236.0,153.0,-143.0,-10.0,0.0425,-91896.0,100.0,RISE
2020-04-27,15050.0,15000.0,15250.0,14700.0,3959.0,91.0,-19.0,-72.0,0.0425,-91886.0,450.0,RISE
2020-04-24,14600.0,15200.0,15200.0,14600.0,2342.0,315.0,-316.0,1.0,0.0425,-91814.0,300.0,FALL
2020-04-23,14900.0,15200.0,15200.0,14800.0,7232.0,1821.0,-1754.0,-67.0,0.0426,-91815.0,50.0,RISE
2020-04-22,14850.0,14800.0,15000.0,14500.0,4815.0,2453.0,-2029.0,-424.0,0.043,-91748.0,150.0,RISE
2020-04-21,14700.0,15200.0,15600.0,14000.0,11204.0,807.0,-957.0,150.0,0.0435,-91324.0,300.0,FALL
2020-04-20,15000.0,15100.0,15100.0,14700.0,11004.0,4151.0,-4121.0,-30.0,0.0437,-91474.0,200.0,RISE
2020-04-17,14800.0,14550.0,15400.0,14550.0,8522.0,3762.0,-3706.0,-56.0,0.0447,-91444.0,400.0,RISE
2020-04-16,14400.0,14550.0,14550.0,14100.0,1133.0,-36.0,-90.0,126.0,0.0456,-91388.0,150.0,FALL
2020-04-14,14550.0,15000.0,15000.0,14400.0,4234.0,1587.0,-1555.0,-32.0,0.0456,-91514.0,150.0,RISE
2020-04-13,14400.0,15000.0,15150.0,14400.0,4454.0,2661.0,-2625.0,-36.0,0.046,-91482.0,400.0,FALL
2020-04-10,14800.0,14250.0,14900.0,14250.0,3584.0,468.0,-283.0,-185.0,0.0466,-91446.0,350.0,RISE
2020-04-09,14450.0,14500.0,14750.0,14350.0,3320.0,1163.0,-1074.0,-89.0,0.0467,-91261.0,50.0,FALL
2020-04-08,14500.0,14800.0,14800.0,14200.0,2795.0,49.0,91.0,-140.0,0.047,-91172.0,0.0,EVEN
2020-04-07,14500.0,14500.0,14700.0,14200.0,5650.0,158.0,-157.0,-1.0,0.047,-91032.0,300.0,RISE
2020-04-06,14200.0,13700.0,14300.0,13450.0,6378.0,-402.0,429.0,-27.0,0.0474,-91031.0,550.0,RISE
2020-04-03,13650.0,13800.0,13950.0,13400.0,2528.0,-150.0,154.0,-4.0,0.0473,-91004.0,200.0,RISE
2020-04-02,13450.0,13850.0,13850.0,13200.0,21491.0,14935.0,-63.0,-14872.0,0.0473,-91000.0,450.0,FALL
2020-04-01,13900.0,14350.0,14350.0,13600.0,4693.0,-101.0,97.0,4.0,0.0479,-76128.0,250.0,FALL
2020-03-31,14150.0,13300.0,14200.0,13300.0,2829.0,463.0,-484.0,21.0,0.0492,-76132.0,800.0,RISE
2020-03-30,13350.0,13100.0,13450.0,12700.0,2672.0,-87.0,81.0,6.0,0.0493,-76153.0,250.0,RISE
2020-03-27,13100.0,13400.0,13450.0,12800.0,6634.0,110.0,-71.0,-39.0,0.0493,-76159.0,250.0,RISE
2020-03-26,12850.0,12200.0,13400.0,12200.0,7806.0,-1251.0,1307.0,-56.0,0.0489,-76120.0,750.0,RISE
