,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,17350.0,17200.0,17550.0,17100.0,22604.0,-2529,5601,-3072,0.166,398439,50.0,RISE
2020-06-04,17300.0,17600.0,17650.0,17200.0,18377.0,4930,-4781,-149,0.1654,401511,250.0,FALL
2020-06-03,17550.0,17350.0,17850.0,17300.0,38593.0,-4275,9601,-5326,0.1659,401660,200.0,RISE
2020-06-02,17350.0,17250.0,17450.0,16850.0,38795.0,3323.0,5615.0,-8938.0,0.1648,406944.0,100.0,RISE
2020-06-01,17250.0,17250.0,17300.0,16900.0,7942.0,3138.0,-2993.0,-145.0,0.1642,415882.0,0.0,EVEN
2020-05-29,17250.0,16800.0,17400.0,16750.0,20763.0,-7168.0,7361.0,-193.0,0.1645,416027.0,500.0,RISE
2020-05-28,16750.0,17450.0,17700.0,16500.0,27246.0,2104.0,-1774.0,-330.0,0.1637,416220.0,600.0,FALL
2020-05-27,17350.0,16850.0,17400.0,16500.0,34732.0,-5661.0,6978.0,-1317.0,0.1639,416550.0,600.0,RISE
2020-05-26,16750.0,16050.0,16800.0,15850.0,29472.0,-2165.0,4703.0,-2538.0,0.1631,417867.0,700.0,RISE
2020-05-25,16050.0,16100.0,16200.0,15850.0,14066.0,-2687.0,2294.0,393.0,0.1626,420405.0,50.0,FALL
2020-05-22,16100.0,16550.0,16550.0,16000.0,18142.0,4142.0,-7733.0,3591.0,0.1624,420012.0,450.0,FALL
2020-05-20,16600.0,16200.0,16900.0,15950.0,29374.0,-6783.0,6421.0,362.0,0.1635,411140.0,600.0,RISE
2020-05-19,16000.0,15700.0,16050.0,15650.0,19464.0,-7357.0,3851.0,3506.0,0.1628,410778.0,400.0,RISE
2020-05-18,15600.0,15900.0,15950.0,15300.0,23352.0,-3473.0,3480.0,-7.0,0.1623,407272.0,150.0,FALL
2020-05-15,15750.0,15700.0,15950.0,15300.0,18942.0,-3463.0,1546.0,1917.0,0.162,407279.0,250.0,RISE
2020-05-14,15500.0,16000.0,16000.0,15350.0,17610.0,2483.0,-2504.0,21.0,0.1618,405362.0,300.0,FALL
2020-05-13,15800.0,15600.0,16000.0,15600.0,13411.0,1338.0,-1241.0,-97.0,0.1621,405341.0,100.0,RISE
2020-05-12,15700.0,16250.0,16250.0,15600.0,24645.0,1847.0,-1872.0,25.0,0.1622,405438.0,450.0,FALL
2020-05-11,16150.0,16250.0,16400.0,16050.0,19571.0,-263.0,293.0,-30.0,0.1624,405413.0,250.0,FALL
2020-05-08,16400.0,16500.0,16650.0,16350.0,17921.0,-3010.0,5103.0,-2093.0,0.1624,405443.0,100.0,FALL
2020-05-07,16500.0,16100.0,16600.0,16050.0,31559.0,-8259.0,16562.0,-8303.0,0.1618,407536.0,450.0,RISE
2020-05-06,16050.0,16000.0,16100.0,15850.0,16461.0,-7792.0,5672.0,2120.0,0.16,415839.0,350.0,RISE
2020-05-04,15700.0,15900.0,16200.0,15600.0,18707.0,812.0,-201.0,-611.0,0.1593,413719.0,300.0,FALL
2020-04-29,16000.0,16150.0,16400.0,15900.0,16246.0,-1170.0,2871.0,-1701.0,0.1593,414330.0,150.0,FALL
2020-04-28,16150.0,16000.0,16150.0,15650.0,35626.0,22400.0,-2888.0,-19512.0,0.159,416031.0,300.0,RISE
2020-04-27,15850.0,15700.0,15950.0,15500.0,16892.0,688.0,-688.0,0.0,0.1593,435543.0,350.0,RISE
2020-04-24,15500.0,16100.0,16100.0,15250.0,44527.0,-2547.0,2630.0,-83.0,0.1594,435543.0,600.0,FALL
2020-04-23,16100.0,16100.0,16150.0,15800.0,15772.0,91.0,922.0,-1013.0,0.1591,435626.0,0.0,EVEN
2020-04-22,16100.0,15000.0,16100.0,14800.0,32913.0,1717.0,2760.0,-4477.0,0.159,436639.0,750.0,RISE
2020-04-21,15350.0,15300.0,16000.0,14600.0,42246.0,3657.0,-120.0,-3537.0,0.1587,441116.0,100.0,FALL
2020-04-20,15450.0,15700.0,15750.0,15400.0,22056.0,3149.0,-72.0,-3077.0,0.1587,444653.0,200.0,FALL
2020-04-17,15650.0,15750.0,15750.0,15300.0,17930.0,3826.0,372.0,-4198.0,0.1587,447730.0,450.0,RISE
2020-04-16,15200.0,15400.0,15400.0,14600.0,33762.0,1433.0,-441.0,-992.0,0.1587,451928.0,0.0,EVEN
2020-04-14,15200.0,15000.0,15400.0,14950.0,13387.0,576.0,-276.0,-300.0,0.1587,452920.0,350.0,RISE
2020-04-13,14850.0,14900.0,15400.0,14800.0,21043.0,309.0,-399.0,90.0,0.1588,453220.0,350.0,FALL
2020-04-10,15200.0,14750.0,15300.0,14600.0,16685.0,-1470.0,501.0,969.0,0.1588,453130.0,400.0,RISE
2020-04-09,14800.0,14850.0,15100.0,14600.0,17198.0,1487.0,-1257.0,-230.0,0.1588,452161.0,0.0,EVEN
2020-04-08,14800.0,14500.0,15000.0,14050.0,22161.0,1154.0,-855.0,-299.0,0.1589,452391.0,550.0,RISE
2020-04-07,14250.0,14200.0,14250.0,13750.0,19912.0,400.0,-423.0,23.0,0.159,452690.0,600.0,RISE
2020-04-06,13650.0,13250.0,13650.0,13200.0,12534.0,-726.0,747.0,-21.0,0.159,452667.0,450.0,RISE
2020-04-03,13200.0,13100.0,13600.0,12900.0,13803.0,-960.0,498.0,462.0,0.159,452688.0,50.0,FALL
2020-04-02,13250.0,12700.0,13300.0,12300.0,27442.0,1809.0,-1814.0,5.0,0.1589,452226.0,750.0,RISE
2020-04-01,12500.0,13100.0,13150.0,12500.0,38368.0,2834.0,-2844.0,10.0,0.1592,452221.0,600.0,FALL
2020-03-31,13100.0,12500.0,13300.0,12500.0,36423.0,1609.0,-2099.0,490.0,0.1595,452211.0,600.0,RISE
2020-03-30,12500.0,11400.0,12500.0,11300.0,22575.0,-396.0,390.0,6.0,0.1597,451721.0,850.0,RISE
2020-03-27,11650.0,11850.0,12150.0,11500.0,39858.0,4606.0,-4812.0,206.0,0.1597,451715.0,350.0,RISE
2020-03-26,11300.0,10800.0,11550.0,10450.0,43722.0,-3005.0,3057.0,-52.0,0.1602,451509.0,600.0,RISE
2020-03-25,10700.0,10900.0,10900.0,10300.0,48515.0,1394.0,-1384.0,-10.0,0.1599,451561.0,600.0,RISE
2020-03-24,10100.0,9500.0,10250.0,9500.0,45704.0,5091.0,-5168.0,77.0,0.16,451571.0,540.0,RISE
2020-03-23,9560.0,9440.0,9680.0,8930.0,48402.0,5020.0,-5026.0,6.0,0.1606,451494.0,320.0,FALL
2020-03-20,9880.0,9200.0,9930.0,8900.0,126196.0,-4275.0,5267.0,-992.0,0.1612,451488.0,980.0,RISE
2020-03-19,8900.0,11650.0,11750.0,8350.0,606068.0,183785.0,-158573.0,-25212.0,0.1606,452480.0,2750.0,FALL
2020-03-18,11650.0,12500.0,12900.0,11600.0,56504.0,29443.0,-29786.0,343.0,0.1783,477692.0,900.0,FALL
2020-03-17,12550.0,12050.0,12900.0,12000.0,26069.0,10520.0,-10449.0,-71.0,0.1817,477349.0,100.0,RISE
2020-03-16,12450.0,13450.0,13550.0,12350.0,19230.0,5548.0,-2424.0,-3124.0,0.1828,477420.0,1000.0,FALL
2020-03-13,13450.0,12950.0,13550.0,11900.0,72779.0,-4839.0,4670.0,169.0,0.1832,480544.0,500.0,FALL
