,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1530.0,1605.0,1630.0,1505.0,19698665.0,57056,-56578,-478,0.0052,-349003,10.0,FALL
2020-06-04,1540.0,1560.0,1725.0,1505.0,116097095.0,-55473,56174,-701,0.0061,-348525,90.0,RISE
2020-06-03,1450.0,1535.0,1545.0,1405.0,9541725.0,-36904,41828,-4924,0.0052,-347824,65.0,FALL
2020-06-02,1515.0,1510.0,1560.0,1455.0,20523325.0,98010.0,-96482.0,-1528.0,0.0046,-343302.0,5.0,RISE
2020-06-01,1510.0,1440.0,1615.0,1430.0,52726498.0,18393.0,-23499.0,5106.0,0.006,-341774.0,100.0,RISE
2020-05-29,1410.0,1550.0,1760.0,1390.0,63659000.0,-41591.0,42105.0,-514.0,0.0064,-346880.0,185.0,FALL
2020-05-28,1595.0,1375.0,1765.0,1330.0,95242413.0,9602.0,-9583.0,-19.0,0.0058,-346366.0,235.0,RISE
2020-05-27,1360.0,1470.0,1540.0,1355.0,32403041.0,175749.0,-175675.0,-74.0,0.0059,-346347.0,100.0,RISE
2020-05-26,1260.0,1235.0,1270.0,1210.0,7010092.0,-81275.0,81145.0,130.0,0.0083,-346273.0,10.0,RISE
2020-05-25,1250.0,1185.0,1330.0,1155.0,26918536.0,501893.0,-501904.0,11.0,0.0077,-346403.0,120.0,RISE
2020-05-22,1130.0,1085.0,1160.0,1070.0,6914529.0,65930.0,-65851.0,-79.0,0.015,-346414.0,50.0,RISE
2020-05-20,1100.0,1060.0,1105.0,1045.0,3138191.0,-369189.0,369191.0,-2.0,0.0192,-345882.0,45.0,RISE
2020-05-19,1055.0,1060.0,1070.0,1040.0,1379088.0,-171695.0,171789.0,-94.0,0.0138,-345880.0,25.0,RISE
2020-05-18,1030.0,1055.0,1075.0,1025.0,1538738.0,121797.0,-121219.0,-578.0,0.0113,-345786.0,60.0,FALL
2020-05-15,1090.0,1070.0,1120.0,1040.0,1775673.0,65224.0,-66001.0,777.0,0.0131,-345208.0,25.0,RISE
2020-05-14,1065.0,1080.0,1095.0,1055.0,1445885.0,69027.0,-69233.0,206.0,0.014,-345985.0,30.0,FALL
2020-05-13,1095.0,1025.0,1110.0,1010.0,2269604.0,38073.0,-38140.0,67.0,0.0151,-346191.0,50.0,RISE
2020-05-12,1045.0,1080.0,1095.0,1025.0,1483627.0,-58122.0,58182.0,-60.0,0.0156,-346258.0,40.0,FALL
2020-05-11,1085.0,1130.0,1145.0,1085.0,3513714.0,234405.0,-234330.0,-75.0,0.0148,-346198.0,20.0,FALL
2020-05-08,1105.0,1070.0,1130.0,1055.0,5735634.0,271058.0,-269965.0,-1093.0,0.0182,-346123.0,50.0,RISE
2020-05-07,1055.0,1035.0,1080.0,1030.0,2578710.0,-223898.0,223298.0,600.0,0.0221,-345030.0,30.0,RISE
2020-05-06,1025.0,1035.0,1035.0,1015.0,1056863.0,-167732.0,167526.0,206.0,0.0189,-345630.0,5.0,RISE
2020-05-04,1020.0,1000.0,1030.0,1000.0,1077095.0,-270142.0,269966.0,176.0,0.0193,-345836.0,0.0,EVEN
2020-04-29,1020.0,1040.0,1055.0,1015.0,1446430.0,101467.0,-101550.0,83.0,0.0153,-346012.0,15.0,FALL
2020-04-28,1035.0,1035.0,1045.0,1000.0,1753658.0,-115158.0,115462.0,-304.0,0.0168,-346095.0,20.0,RISE
2020-04-27,1015.0,1005.0,1020.0,1000.0,992746.0,-147444.0,147408.0,36.0,0.0151,-345791.0,15.0,RISE
2020-04-24,1000.0,1020.0,1065.0,997.0,1916046.0,77112.0,-77162.0,50.0,0.013,-345827.0,20.0,FALL
2020-04-23,1020.0,1065.0,1065.0,1015.0,1194571.0,-51590.0,51253.0,337.0,0.0141,-345877.0,20.0,FALL
2020-04-22,1040.0,993.0,1045.0,991.0,1186826.0,63018.0,-62967.0,-51.0,0.0134,-346214.0,35.0,RISE
2020-04-21,1005.0,1040.0,1060.0,950.0,1989902.0,-124915.0,124919.0,-4.0,0.0143,-346163.0,45.0,FALL
2020-04-20,1050.0,1085.0,1105.0,1045.0,2272927.0,229824.0,-229448.0,-376.0,0.0125,-346159.0,15.0,FALL
