,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3000.0,3020.0,3255.0,2820.0,12429455.0,196833,2564,-199397,0.0001,-1152104,495.0,RISE
2020-06-04,2505.0,1990.0,2505.0,1990.0,2786776.0,-113534,-3356,116890,0.0,-952707,575.0,UPPER_LIMIT
2020-06-03,1930.0,2000.0,2000.0,1915.0,215311.0,-755,755,0,0.0001,-1069597,50.0,FALL
2020-06-02,1980.0,1970.0,2045.0,1940.0,1331259.0,7097.0,-3478.0,-3619.0,0.0001,-1069597.0,130.0,RISE
2020-06-01,1850.0,1810.0,1855.0,1805.0,110473.0,1003.0,-1003.0,0.0,0.0002,-1065978.0,40.0,RISE
2020-05-29,1810.0,1805.0,1820.0,1760.0,103501.0,-842.0,842.0,0.0,0.0002,-1065978.0,5.0,RISE
2020-05-28,1805.0,1895.0,1900.0,1740.0,158764.0,-3179.0,3179.0,0.0,0.0002,-1065978.0,65.0,FALL
2020-05-27,1870.0,1865.0,1905.0,1860.0,135278.0,6002.0,-6002.0,0.0,0.0001,-1065978.0,5.0,RISE
2020-05-26,1865.0,1870.0,1875.0,1840.0,104818.0,1097.0,-1096.0,-1.0,-0.0005,-1065978.0,5.0,FALL
2020-05-25,1870.0,1855.0,1890.0,1845.0,227932.0,26971.0,-26971.0,0.0,-0.0005,-1065977.0,10.0,RISE
2020-05-22,1860.0,1920.0,1975.0,1850.0,922382.0,-5262.0,5762.0,-500.0,0.0002,-1065977.0,50.0,RISE
2020-05-20,1770.0,1730.0,1790.0,1720.0,121748.0,8477.0,-8477.0,0.0,-0.0006,-1063977.0,50.0,RISE
2020-05-19,1720.0,1710.0,1740.0,1705.0,111530.0,-1588.0,1588.0,0.0,-0.0004,-1063977.0,0.0,EVEN
2020-05-18,1720.0,1750.0,1750.0,1700.0,75823.0,2825.0,-4325.0,1500.0,-0.0004,-1063977.0,10.0,FALL
2020-05-15,1730.0,1750.0,1775.0,1705.0,131687.0,-1908.0,908.0,1000.0,-0.0003,-1065477.0,20.0,FALL
2020-05-14,1750.0,1785.0,1800.0,1710.0,159412.0,-3472.0,1472.0,2000.0,-0.0003,-1066477.0,35.0,FALL
2020-05-13,1785.0,1805.0,1815.0,1765.0,206769.0,-49.0,49.0,0.0,-0.0004,-1068477.0,25.0,FALL
2020-05-12,1810.0,1860.0,1900.0,1770.0,226273.0,6798.0,-7798.0,1000.0,-0.0004,-1068477.0,50.0,FALL
