,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5310.0,5390.0,5470.0,5260.0,17801.0,-305,305,0,0.0011,-14603,90.0,FALL
2020-06-04,5400.0,5300.0,5440.0,5240.0,23265.0,3095,-3095,0,0.0011,-14603,100.0,RISE
2020-06-03,5300.0,5400.0,5510.0,5220.0,17200.0,-925,925,0,0.0015,-14603,100.0,FALL
2020-06-02,5400.0,5360.0,5550.0,5260.0,22220.0,-447.0,447.0,0.0,0.0014,-14603.0,40.0,RISE
2020-06-01,5360.0,5260.0,5600.0,5260.0,34412.0,-4808.0,4808.0,0.0,0.0013,-14603.0,100.0,RISE
2020-05-29,5260.0,5040.0,6050.0,5000.0,156171.0,1761.0,-1761.0,0.0,0.0006,-14603.0,160.0,RISE
2020-05-28,5100.0,5080.0,5140.0,4970.0,17741.0,4580.0,-4580.0,0.0,0.0009,-14603.0,20.0,RISE
2020-05-27,5080.0,5130.0,5260.0,5010.0,32906.0,-1797.0,1797.0,0.0,0.0016,-14603.0,60.0,FALL
2020-05-26,5140.0,5160.0,5280.0,5030.0,12270.0,2123.0,-2123.0,0.0,0.0013,-14603.0,10.0,FALL
2020-05-25,5150.0,4925.0,5150.0,4925.0,10391.0,233.0,-233.0,0.0,0.0016,-14603.0,225.0,RISE
2020-05-22,4925.0,5030.0,5030.0,4925.0,9097.0,-264.0,264.0,0.0,0.0017,-14603.0,115.0,FALL
2020-05-20,5100.0,4995.0,5100.0,4945.0,11420.0,-164.0,164.0,0.0,0.0018,-12694.0,105.0,RISE
2020-05-19,4995.0,4970.0,5040.0,4950.0,7888.0,-86.0,86.0,0.0,0.0018,-12694.0,25.0,RISE
2020-05-18,4970.0,5010.0,5040.0,4785.0,8208.0,-1259.0,1259.0,0.0,0.0018,-12694.0,90.0,FALL
2020-05-15,5060.0,5000.0,5140.0,4965.0,14253.0,1191.0,-1191.0,0.0,0.0016,-12694.0,40.0,RISE
2020-05-14,5020.0,5190.0,5230.0,5000.0,12835.0,699.0,-699.0,0.0,0.0017,-12694.0,170.0,FALL
2020-05-13,5190.0,5180.0,5190.0,5050.0,7438.0,-50.0,50.0,0.0,0.0019,-12694.0,0.0,EVEN
2020-05-12,5190.0,5170.0,5310.0,5030.0,18536.0,5233.0,-5233.0,0.0,0.0018,-12694.0,20.0,RISE
2020-05-11,5170.0,5070.0,5240.0,5030.0,24571.0,-254.0,254.0,0.0,0.0026,-12694.0,100.0,RISE
2020-05-08,5070.0,5010.0,5180.0,4970.0,32279.0,-2301.0,2301.0,0.0,0.0026,-12694.0,80.0,RISE
2020-05-07,4990.0,4885.0,5150.0,4850.0,26266.0,-8242.0,8242.0,0.0,0.0023,-12694.0,115.0,RISE
