,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,77300.0,78800.0,78800.0,77100.0,3779.0,1895,-391,-1504,0.0347,-218982,500.0,FALL
2020-06-04,77800.0,78800.0,78800.0,77400.0,4119.0,1549,-594,-955,0.0347,-217478,1000.0,FALL
2020-06-03,78800.0,79900.0,80200.0,78500.0,2785.0,1818,-475,-1343,0.0349,-216523,1100.0,FALL
2020-06-02,79900.0,78900.0,79900.0,78300.0,2808.0,220.0,-273.0,53.0,0.035,-217367.0,1100.0,RISE
2020-06-01,78800.0,79800.0,79900.0,77600.0,1828.0,769.0,-244.0,-525.0,0.035,-217420.0,2500.0,RISE
2020-05-29,76300.0,78100.0,79100.0,76300.0,4164.0,1281.0,-1433.0,152.0,0.0351,-216895.0,2300.0,FALL
2020-05-28,78600.0,81200.0,81400.0,75000.0,4569.0,814.0,-491.0,-323.0,0.0354,-217047.0,2800.0,FALL
2020-05-27,81400.0,80800.0,82100.0,80600.0,4733.0,41.0,-327.0,286.0,0.0355,-216724.0,300.0,RISE
2020-05-26,81100.0,80800.0,81600.0,80700.0,1175.0,61.0,-138.0,77.0,0.0356,-217010.0,300.0,RISE
2020-05-25,80800.0,80400.0,81600.0,80400.0,2977.0,-325.0,59.0,266.0,0.0356,-217087.0,100.0,RISE
2020-05-22,80700.0,81200.0,81200.0,79900.0,1620.0,366.0,-692.0,326.0,0.0356,-217353.0,500.0,FALL
2020-05-21,81200.0,79600.0,81300.0,79600.0,3584.0,-136.0,96.0,40.0,0.0357,-213196.0,1600.0,RISE
2020-05-20,79600.0,78500.0,80400.0,78400.0,1769.0,5.0,-73.0,68.0,0.0357,-213236.0,500.0,RISE
2020-05-19,79100.0,81000.0,81000.0,79000.0,5444.0,753.0,-95.0,-658.0,0.0357,-213304.0,1900.0,FALL
2020-05-18,81000.0,79000.0,81000.0,79000.0,6290.0,6.0,209.0,-215.0,0.0358,-212646.0,2400.0,RISE
2020-05-15,78600.0,76200.0,78900.0,76200.0,10173.0,-2528.0,1116.0,1412.0,0.0357,-212431.0,2600.0,RISE
2020-05-14,76000.0,77900.0,77900.0,75300.0,5169.0,309.0,-62.0,-247.0,0.0355,-213843.0,2300.0,FALL
2020-05-13,78300.0,76700.0,78300.0,76300.0,3678.0,774.0,-324.0,-450.0,0.0355,-213596.0,600.0,RISE
2020-05-12,77700.0,76000.0,77900.0,75200.0,5776.0,546.0,264.0,-810.0,0.0356,-213146.0,1700.0,RISE
2020-05-11,76000.0,76400.0,76400.0,75000.0,2228.0,-297.0,-119.0,416.0,0.0355,-212336.0,700.0,RISE
2020-05-08,75300.0,75900.0,76200.0,75300.0,2428.0,101.0,-520.0,419.0,0.0355,-212752.0,200.0,FALL
2020-05-07,75500.0,74200.0,75500.0,74200.0,1526.0,-350.0,-55.0,405.0,0.0356,-213171.0,1300.0,RISE
2020-05-06,74200.0,73500.0,74700.0,73500.0,990.0,73.0,-247.0,174.0,0.0357,-213576.0,100.0,RISE
2020-05-04,74100.0,74500.0,74900.0,73400.0,2383.0,-138.0,-311.0,449.0,0.0357,-213750.0,400.0,FALL
2020-04-29,74500.0,75300.0,76300.0,73700.0,9854.0,708.0,-23.0,-685.0,0.0358,-214199.0,600.0,FALL
2020-04-28,75100.0,75700.0,76100.0,74300.0,4478.0,462.0,116.0,-578.0,0.0358,-213514.0,900.0,FALL
2020-04-27,76000.0,74300.0,76800.0,74300.0,6118.0,-1199.0,1330.0,-131.0,0.0358,-212936.0,1700.0,RISE
2020-04-24,74300.0,72000.0,74300.0,72000.0,4058.0,546.0,134.0,-680.0,0.0355,-212805.0,1300.0,RISE
2020-04-23,73000.0,72000.0,73100.0,71300.0,3059.0,804.0,404.0,-1208.0,0.0354,-212125.0,600.0,RISE
2020-04-22,72400.0,71500.0,72400.0,70400.0,2841.0,1059.0,-506.0,-553.0,0.0354,-210917.0,100.0,FALL
2020-04-21,72500.0,72900.0,73900.0,70800.0,4805.0,1202.0,-305.0,-897.0,0.0355,-210364.0,600.0,FALL
2020-04-20,73100.0,73700.0,74700.0,73000.0,1890.0,858.0,-507.0,-351.0,0.0355,-209467.0,600.0,FALL
2020-04-17,73700.0,74000.0,78700.0,73300.0,4185.0,2371.0,-871.0,-1500.0,0.0356,-209116.0,100.0,RISE
2020-04-16,73600.0,74200.0,74200.0,72600.0,1753.0,959.0,-481.0,-478.0,0.0358,-207616.0,700.0,FALL
2020-04-14,74300.0,73700.0,74600.0,72800.0,3924.0,865.0,-61.0,-804.0,0.0359,-207138.0,400.0,RISE
2020-04-13,73900.0,74300.0,74400.0,72700.0,2671.0,901.0,89.0,-990.0,0.0359,-206334.0,400.0,FALL
2020-04-10,74300.0,77700.0,77700.0,73300.0,4077.0,614.0,217.0,-831.0,0.0359,-205344.0,2700.0,FALL
2020-04-09,77000.0,78500.0,78500.0,75800.0,4199.0,1220.0,-217.0,-1003.0,0.0359,-204513.0,700.0,FALL
2020-04-08,77700.0,78400.0,78400.0,75800.0,5459.0,798.0,-185.0,-613.0,0.0359,-203510.0,1900.0,RISE
2020-04-07,75800.0,76500.0,79300.0,74600.0,5563.0,1456.0,-274.0,-1182.0,0.036000000000000004,-202897.0,100.0,RISE
2020-04-06,75700.0,73500.0,75900.0,72700.0,4648.0,604.0,-298.0,-306.0,0.036000000000000004,-201715.0,3600.0,RISE
2020-04-03,72100.0,71100.0,72300.0,71100.0,972.0,-360.0,-6.0,366.0,0.0361,-201409.0,0.0,EVEN
2020-04-02,72100.0,70900.0,72100.0,69500.0,2163.0,-200.0,-106.0,306.0,0.0361,-201775.0,1200.0,RISE
2020-04-01,70900.0,70000.0,72600.0,69500.0,2631.0,408.0,-362.0,-46.0,0.0361,-202081.0,900.0,RISE
2020-03-31,70000.0,68000.0,70200.0,67800.0,2282.0,230.0,-398.0,168.0,0.0362,-202035.0,2300.0,RISE
2020-03-30,67700.0,64900.0,67900.0,64900.0,2613.0,-715.0,257.0,458.0,0.0363,-202203.0,2100.0,RISE
2020-03-27,65600.0,66500.0,67200.0,65600.0,5091.0,-1166.0,-194.0,1360.0,0.0362,-202661.0,100.0,RISE
2020-03-26,65500.0,66500.0,66500.0,64100.0,5256.0,787.0,83.0,-870.0,0.0363,-204021.0,500.0,RISE
2020-03-25,65000.0,65600.0,65700.0,63500.0,1794.0,156.0,-164.0,8.0,0.0363,-203151.0,500.0,RISE
2020-03-24,64500.0,64500.0,64800.0,63000.0,4462.0,2489.0,-577.0,-1912.0,0.0363,-203159.0,0.0,EVEN
2020-03-23,64500.0,60500.0,65000.0,60500.0,3493.0,-1148.0,-107.0,1255.0,0.0364,-201247.0,900.0,FALL
2020-03-20,65400.0,63900.0,65600.0,61700.0,2837.0,17.0,-420.0,403.0,0.0365,-202502.0,1500.0,RISE
2020-03-19,63900.0,68000.0,68000.0,60000.0,2792.0,-264.0,-301.0,565.0,0.0366,-202905.0,3500.0,FALL
2020-03-18,67400.0,69000.0,69000.0,66200.0,2479.0,726.0,-623.0,-103.0,0.0366,-203470.0,100.0,RISE
2020-03-17,67300.0,66000.0,69200.0,65000.0,4342.0,-237.0,318.0,-81.0,0.0368,-203367.0,0.0,EVEN
2020-03-16,67300.0,63300.0,67400.0,62800.0,6892.0,-1966.0,1564.0,402.0,0.0368,-203286.0,4000.0,RISE
