,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,9540.0,9560.0,9650.0,9490.0,633168.0,74060,6234,-80294,0.1427,-4324009,10.0,FALL
2020-06-04,9550.0,9480.0,9630.0,9350.0,1263462.0,-18851,6494,12357,0.1426,-4243715,150.0,RISE
2020-06-03,9400.0,9310.0,9500.0,9190.0,1101136.0,13869,84811,-98680,0.1426,-4256072,110.0,RISE
2020-06-02,9290.0,9090.0,9350.0,9050.0,1427776.0,1133,158173,-159306,0.14400000000000002,-4157392,240.0,RISE
2020-06-01,9050.0,9260.0,9360.0,9000.0,1559738.0,593172,-370850,-222322,0.1408,-3998086,210.0,FALL
2020-05-29,9260.0,9550.0,9550.0,9200.0,1182930.0,404211,-105713,-298498,0.1483,-3775764,280.0,FALL
2020-05-28,9540.0,9650.0,9980.0,9410.0,1969192.0,180361,4932,-185293,0.1504,-3477266,0.0,EVEN
2020-05-27,9540.0,9410.0,9840.0,9400.0,1641952.0,133898,45884,-179782,0.1503,-3291973,190.0,RISE
2020-05-26,9350.0,9700.0,9730.0,9270.0,1523584.0,390813,-71473,-319340,0.1494,-3112191,340.0,FALL
2020-05-25,9690.0,9980.0,10150.0,9620.0,1376646.0,275082,-79318,-195764,0.1508,-2792851,210.0,FALL
2020-05-22,9900.0,10000.0,10350.0,9850.0,2129651.0,272648,139131,-411779,0.1524,-2597087,30.0,FALL
2020-05-21,9930.0,10250.0,12000.0,9630.0,8007489.0,2193554,-8246,-2185308,-0.0002,-2185308,320.0,FALL
