,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1380.0,1370.0,1400.0,1360.0,1385621.0,20459,-20459,0,0.0354,18,20.0,RISE
2020-06-04,1360.0,1325.0,1360.0,1305.0,1015355.0,10393,-10393,0,0.036,18,45.0,RISE
2020-06-03,1315.0,1335.0,1355.0,1305.0,568530.0,-23567,23567,0,0.0363,18,40.0,FALL
2020-06-02,1355.0,1380.0,1395.0,1345.0,954485.0,37159.0,-37159.0,0.0,0.0383,18.0,5.0,RISE
2020-06-01,1350.0,1360.0,1435.0,1320.0,4144616.0,49275.0,-49275.0,0.0,0.0393,18.0,10.0,RISE
2020-05-29,1340.0,1285.0,1390.0,1275.0,4479549.0,-61899.0,61899.0,0.0,0.0407,18.0,65.0,RISE
2020-05-28,1275.0,1260.0,1395.0,1250.0,4323087.0,33773.0,-33773.0,0.0,0.039,18.0,15.0,RISE
2020-05-27,1260.0,1270.0,1275.0,1245.0,202273.0,-11048.0,11048.0,0.0,0.0399,18.0,10.0,FALL
2020-05-26,1270.0,1255.0,1270.0,1240.0,273670.0,-22707.0,22707.0,0.0,0.0396,18.0,15.0,RISE
2020-05-25,1255.0,1240.0,1260.0,1230.0,188457.0,-42488.0,42488.0,0.0,0.039,18.0,25.0,RISE
2020-05-22,1230.0,1270.0,1270.0,1230.0,244268.0,1493.0,-1493.0,0.0,0.0378,18.0,30.0,FALL
2020-05-21,1260.0,1270.0,1290.0,1260.0,184758.0,-2561.0,2561.0,0.0,0.0378,-640.0,5.0,FALL
2020-05-20,1265.0,1265.0,1275.0,1250.0,186457.0,-38863.0,38863.0,0.0,0.0378,-640.0,5.0,RISE
2020-05-19,1260.0,1275.0,1280.0,1250.0,334381.0,25713.0,-25713.0,0.0,0.0367,-640.0,5.0,FALL
2020-05-18,1265.0,1260.0,1275.0,1250.0,183981.0,-12350.0,12350.0,0.0,0.0374,-640.0,5.0,RISE
2020-05-15,1260.0,1265.0,1295.0,1235.0,338210.0,-9715.0,9715.0,0.0,0.037000000000000005,-640.0,15.0,RISE
2020-05-14,1245.0,1260.0,1265.0,1225.0,314903.0,-51198.0,51198.0,0.0,0.0368,-640.0,20.0,FALL
2020-05-13,1265.0,1270.0,1275.0,1240.0,188628.0,-20200.0,20200.0,0.0,0.0353,-640.0,5.0,FALL
2020-05-12,1270.0,1275.0,1285.0,1235.0,290762.0,-6500.0,6500.0,0.0,0.0348,-640.0,5.0,FALL
2020-05-11,1275.0,1285.0,1295.0,1250.0,305317.0,-36931.0,36931.0,0.0,0.0346,-640.0,10.0,FALL
2020-05-08,1285.0,1295.0,1305.0,1280.0,291954.0,11547.0,-11470.0,-77.0,0.0336,-640.0,0.0,EVEN
2020-05-07,1285.0,1280.0,1340.0,1265.0,1439830.0,-2555.0,2555.0,0.0,0.0339,-563.0,5.0,RISE
2020-05-06,1280.0,1290.0,1310.0,1235.0,1164033.0,-28179.0,28179.0,0.0,0.0338,-563.0,30.0,FALL
2020-05-04,1310.0,1270.0,1320.0,1240.0,1110309.0,8233.0,-8233.0,0.0,0.0331,-563.0,40.0,RISE
2020-04-29,1270.0,1210.0,1320.0,1205.0,2049403.0,79293.0,-79293.0,0.0,0.0333,-563.0,60.0,RISE
2020-04-28,1210.0,1195.0,1225.0,1155.0,599830.0,-7915.0,7915.0,0.0,0.0355,-563.0,30.0,RISE
2020-04-27,1180.0,1160.0,1195.0,1160.0,342728.0,-104072.0,104072.0,0.0,0.0353,-563.0,20.0,RISE
2020-04-24,1160.0,1180.0,1200.0,1145.0,308332.0,-4787.0,4787.0,0.0,0.0324,-563.0,30.0,FALL
2020-04-23,1190.0,1175.0,1220.0,1165.0,659949.0,3860.0,-3860.0,0.0,0.0322,-563.0,25.0,RISE
2020-04-22,1165.0,1150.0,1175.0,1130.0,333591.0,-26766.0,26766.0,0.0,0.0324,-563.0,5.0,FALL
2020-04-21,1170.0,1215.0,1215.0,1120.0,704918.0,47221.0,-47221.0,0.0,0.0316,-563.0,45.0,FALL
2020-04-20,1215.0,1170.0,1215.0,1170.0,693619.0,-30302.0,30302.0,0.0,0.033,-563.0,55.0,RISE
2020-04-17,1160.0,1145.0,1220.0,1135.0,1623584.0,-18272.0,18272.0,0.0,0.0321,-563.0,5.0,RISE
2020-04-16,1155.0,1100.0,1190.0,1085.0,1544456.0,-14869.0,14869.0,0.0,0.0316,-563.0,70.0,RISE
2020-04-14,1085.0,1075.0,1110.0,1070.0,325967.0,-32726.0,32726.0,0.0,0.0313,-563.0,15.0,RISE
2020-04-13,1070.0,1105.0,1220.0,1070.0,2615346.0,-1846.0,1846.0,0.0,0.0304,-563.0,35.0,FALL
2020-04-10,1105.0,1160.0,1160.0,1055.0,423101.0,-9672.0,9672.0,0.0,0.0303,-563.0,40.0,FALL
2020-04-09,1145.0,1145.0,1160.0,1125.0,390028.0,6575.0,-6575.0,0.0,0.03,-563.0,10.0,RISE
2020-04-08,1135.0,1120.0,1150.0,1080.0,798229.0,61131.0,-61131.0,0.0,0.0302,-563.0,25.0,RISE
2020-04-07,1110.0,1180.0,1185.0,1075.0,1738362.0,-50734.0,50734.0,0.0,0.0319,-563.0,55.0,FALL
2020-04-06,1165.0,990.0,1260.0,990.0,7307783.0,-376.0,376.0,0.0,0.0305,-563.0,186.0,RISE
2020-04-03,979.0,967.0,990.0,967.0,216457.0,-23837.0,23837.0,0.0,0.0305,-563.0,13.0,RISE
2020-04-02,966.0,945.0,973.0,911.0,297604.0,1328.0,-1327.0,-1.0,0.0299,-563.0,20.0,RISE
2020-04-01,946.0,940.0,1015.0,911.0,942281.0,8643.0,-8643.0,0.0,0.0304,-562.0,24.0,RISE
2020-03-31,922.0,885.0,973.0,885.0,914924.0,-9239.0,9239.0,0.0,0.0307,-562.0,47.0,RISE
2020-03-30,875.0,851.0,875.0,841.0,450154.0,-14304.0,14304.0,0.0,0.0304,-562.0,9.0,RISE
2020-03-27,866.0,875.0,891.0,846.0,678945.0,49464.0,-49464.0,0.0,0.03,-562.0,11.0,RISE
2020-03-26,855.0,840.0,898.0,820.0,892661.0,86739.0,-86739.0,0.0,0.0314,-562.0,28.0,RISE
2020-03-25,827.0,790.0,840.0,785.0,716243.0,64424.0,-64424.0,0.0,0.0338,-562.0,64.0,RISE
2020-03-24,763.0,737.0,798.0,719.0,634750.0,19375.0,-19375.0,0.0,0.0354,-562.0,53.0,RISE
