,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2465.0,2375.0,2545.0,2370.0,2015406.0,-72067,72067,0,0.0167,-76318,85.0,RISE
2020-06-04,2380.0,2420.0,2425.0,2350.0,248409.0,-13504,13504,0,0.0128,-76318,25.0,FALL
2020-06-03,2405.0,2390.0,2440.0,2375.0,494401.0,-26956,26956,0,0.012,-76318,25.0,RISE
2020-06-02,2380.0,2375.0,2390.0,2325.0,225886.0,5767.0,-5767.0,0.0,0.0106,-76318.0,0.0,EVEN
2020-06-01,2380.0,2355.0,2390.0,2340.0,346062.0,-35681.0,35681.0,0.0,0.0109,-76318.0,30.0,RISE
2020-05-29,2350.0,2320.0,2375.0,2250.0,315157.0,-20537.0,20537.0,0.0,0.0089,-76318.0,30.0,RISE
2020-05-28,2320.0,2440.0,2440.0,2275.0,814776.0,69580.0,-66220.0,-3360.0,0.0078,-76318.0,110.0,FALL
2020-05-27,2430.0,2305.0,2430.0,2300.0,1497890.0,-45164.0,41804.0,3360.0,0.0114,-72958.0,135.0,RISE
2020-05-26,2295.0,2290.0,2350.0,2260.0,344276.0,-45097.0,45097.0,0.0,0.0091,-76318.0,10.0,RISE
2020-05-25,2285.0,2295.0,2340.0,2275.0,212859.0,-25080.0,25080.0,0.0,0.0067,-76318.0,0.0,EVEN
2020-05-22,2285.0,2380.0,2380.0,2280.0,359607.0,-3962.0,3962.0,0.0,0.0053,-76318.0,95.0,FALL
2020-05-21,2380.0,2405.0,2555.0,2355.0,2078920.0,83143.0,-83143.0,0.0,0.0052,-76312.0,30.0,RISE
2020-05-20,2350.0,2305.0,2365.0,2285.0,752158.0,-19544.0,19544.0,0.0,0.0097,-76312.0,40.0,FALL
2020-05-19,2390.0,2205.0,2390.0,2180.0,1365672.0,3177.0,-3177.0,0.0,0.0086,-76312.0,210.0,RISE
2020-05-18,2180.0,2240.0,2240.0,2135.0,518069.0,-1611.0,1611.0,0.0,0.0088,-76312.0,65.0,FALL
2020-05-15,2245.0,2160.0,2420.0,2145.0,4953827.0,170772.0,-170772.0,0.0,0.0087,-76312.0,110.0,RISE
2020-05-14,2135.0,2225.0,2230.0,2130.0,1262591.0,50788.0,-50788.0,0.0,0.0181,-76312.0,115.0,FALL
