,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,202000.0,200000.0,203500.0,198500.0,5203.0,-965,1346,-381,0.069,19536,2000.0,RISE
2020-06-04,200000.0,199000.0,203000.0,199000.0,5241.0,-353,761,-408,0.0686,19917,0.0,EVEN
2020-06-03,200000.0,202500.0,204500.0,199500.0,10026.0,4806,-615,-4191,0.0684,20325,2500.0,FALL
2020-06-02,202500.0,199000.0,203000.0,198500.0,4667.0,-152.0,791.0,-639.0,0.0685,29371.0,1500.0,RISE
2020-06-01,201000.0,196000.0,201500.0,196000.0,5064.0,-1067.0,635.0,432.0,0.0682,30010.0,5000.0,RISE
2020-05-29,196000.0,198500.0,201500.0,196000.0,8581.0,2545.0,-69.0,-2476.0,0.0681,29578.0,3500.0,FALL
2020-05-28,199500.0,201500.0,203500.0,199000.0,9505.0,4263.0,-77.0,-4186.0,0.0681,32054.0,2500.0,FALL
2020-05-27,202000.0,202000.0,202500.0,200500.0,5288.0,1695.0,620.0,-2315.0,0.0681,36240.0,1000.0,FALL
2020-05-26,203000.0,204000.0,204500.0,201000.0,6679.0,2469.0,578.0,-3047.0,0.0694,38555.0,1000.0,FALL
2020-05-25,204000.0,207500.0,207500.0,199000.0,6880.0,1447.0,956.0,-2403.0,0.0692,41602.0,0.0,EVEN
2020-05-22,204000.0,209500.0,209500.0,202500.0,8132.0,1898.0,-42.0,-1856.0,0.069,44005.0,2500.0,FALL
2020-05-21,206500.0,211000.0,212000.0,201000.0,13349.0,5756.0,909.0,-6665.0,0.069,52362.0,3000.0,FALL
2020-05-20,209500.0,210000.0,210500.0,208500.0,5149.0,-434.0,-576.0,1010.0,0.0688,59027.0,1000.0,RISE
2020-05-19,208500.0,216500.0,217500.0,206500.0,13492.0,5081.0,4.0,-5085.0,0.0689,58017.0,7000.0,FALL
2020-05-18,215500.0,223000.0,225000.0,215000.0,7486.0,2496.0,-1992.0,-504.0,0.0689,63102.0,5500.0,FALL
2020-05-15,221000.0,216000.0,223500.0,214500.0,14953.0,-4510.0,-832.0,5342.0,0.0694,63606.0,7500.0,RISE
2020-05-14,213500.0,208000.0,214500.0,203500.0,10894.0,-1937.0,-182.0,2119.0,0.0697,58264.0,5500.0,RISE
2020-05-13,208000.0,202000.0,208500.0,200000.0,10140.0,-1201.0,768.0,433.0,0.07,56145.0,4000.0,RISE
2020-05-12,204000.0,205000.0,207500.0,201000.0,9853.0,-670.0,-1209.0,1879.0,0.0697,55712.0,1000.0,FALL
2020-05-11,205000.0,208000.0,208000.0,202000.0,9171.0,-1816.0,740.0,1076.0,0.07,53833.0,1000.0,RISE
2020-05-08,204000.0,203000.0,205500.0,200500.0,6532.0,-2844.0,1176.0,1668.0,0.0698,52757.0,0.0,EVEN
2020-05-07,204000.0,208500.0,209500.0,200500.0,14495.0,1018.0,-120.0,-898.0,0.0695,51089.0,1000.0,RISE
2020-05-06,203000.0,201500.0,203500.0,198500.0,6434.0,-505.0,-243.0,748.0,0.0696,51987.0,3500.0,RISE
2020-05-04,199500.0,195000.0,201000.0,192500.0,10068.0,-24.0,-743.0,767.0,0.0696,51239.0,2500.0,RISE
2020-04-29,197000.0,200500.0,202500.0,196000.0,9742.0,2635.0,-12.0,-2623.0,0.0698,50472.0,3500.0,FALL
2020-04-28,200500.0,204000.0,206000.0,197500.0,6890.0,1937.0,-164.0,-1773.0,0.0698,53095.0,3500.0,FALL
2020-04-27,204000.0,195000.0,207500.0,193000.0,21882.0,-5929.0,-1541.0,7470.0,0.0698,54868.0,13000.0,RISE
2020-04-24,191000.0,181500.0,197000.0,179500.0,21647.0,-7273.0,1982.0,5291.0,0.0702,47398.0,7500.0,RISE
2020-04-23,183500.0,180500.0,184000.0,177000.0,8414.0,-780.0,1392.0,-612.0,0.0697,42107.0,4000.0,RISE
2020-04-22,179500.0,177000.0,179500.0,176000.0,5555.0,-145.0,423.0,-278.0,0.0694,42719.0,0.0,EVEN
2020-04-21,179500.0,179500.0,180500.0,173000.0,7221.0,-200.0,-341.0,541.0,0.0692,42997.0,0.0,EVEN
2020-04-20,179500.0,180000.0,183000.0,176000.0,6726.0,1683.0,-52.0,-1631.0,0.0693,42456.0,500.0,FALL
2020-04-17,180000.0,177000.0,180500.0,176500.0,9578.0,102.0,1858.0,-1960.0,0.0692,44087.0,4500.0,RISE
2020-04-16,175500.0,173500.0,176500.0,172500.0,6722.0,-62.0,1506.0,-1444.0,0.0687,46047.0,500.0,FALL
2020-04-14,176000.0,173000.0,177500.0,171500.0,6432.0,-1569.0,771.0,798.0,0.0683,47491.0,3000.0,RISE
2020-04-13,173000.0,175000.0,176000.0,170000.0,10995.0,2873.0,2849.0,-5722.0,0.0681,46693.0,2000.0,FALL
2020-04-10,175000.0,178000.0,178000.0,172500.0,12454.0,3477.0,1795.0,-5272.0,0.0674,52415.0,3000.0,FALL
2020-04-09,178000.0,184500.0,185000.0,176000.0,13860.0,5256.0,1163.0,-6419.0,0.0669,57687.0,3500.0,FALL
2020-04-08,181500.0,187000.0,187500.0,181500.0,9353.0,2408.0,-149.0,-2259.0,0.0667,64106.0,5000.0,FALL
2020-04-07,186500.0,184000.0,189000.0,180000.0,11222.0,1137.0,-905.0,-232.0,0.0667,66365.0,4000.0,RISE
2020-04-06,182500.0,170500.0,182500.0,170500.0,14491.0,-7839.0,1656.0,6183.0,0.0674,66597.0,12500.0,RISE
2020-04-03,170000.0,171500.0,175000.0,165000.0,9085.0,833.0,-234.0,-599.0,0.067,60414.0,4000.0,FALL
2020-04-02,174000.0,173000.0,176000.0,169000.0,10409.0,2678.0,-726.0,-1952.0,0.0672,61013.0,500.0,RISE
2020-04-01,173500.0,166500.0,182500.0,164000.0,16017.0,-3108.0,731.0,2377.0,0.0674,62965.0,7000.0,RISE
2020-03-31,166500.0,164500.0,170500.0,163500.0,9317.0,448.0,-754.0,306.0,0.0676,60588.0,2500.0,RISE
2020-03-30,164000.0,153500.0,164000.0,152500.0,9150.0,-1805.0,1735.0,70.0,0.0678,60282.0,4000.0,RISE
2020-03-27,160000.0,161500.0,166000.0,153500.0,8925.0,1478.0,-1189.0,-289.0,0.0673,60212.0,3000.0,RISE
2020-03-26,157000.0,151000.0,164000.0,149000.0,17577.0,-1005.0,-1166.0,2171.0,0.0677,60501.0,8500.0,RISE
2020-03-25,148500.0,143000.0,148500.0,137500.0,16531.0,360.0,1059.0,-1419.0,0.068,58330.0,10500.0,RISE
2020-03-24,138000.0,133000.0,138000.0,131500.0,17514.0,3685.0,865.0,-4550.0,0.0677,59749.0,6500.0,RISE
2020-03-23,131500.0,131500.0,134000.0,127000.0,14557.0,5082.0,1639.0,-6721.0,0.0675,64299.0,8500.0,FALL
