,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,16000.0,16200.0,16200.0,15850.0,66267.0,-5856,5891,-35,0.0511,-417733,50.0,FALL
2020-06-04,16050.0,16250.0,16350.0,15950.0,107849.0,12012,-1807,-10205,0.0503,-417698,50.0,FALL
2020-06-03,16100.0,15750.0,16450.0,15500.0,165307.0,-94,5474,-5380,0.0505,-407493,400.0,RISE
2020-06-02,15700.0,15700.0,15700.0,15250.0,123502.0,10043,-6517,-3526,0.0497,-522151,50.0,RISE
2020-06-01,15650.0,14900.0,15650.0,14900.0,106076.0,604,-3488,2884,0.0507,-518625,750.0,RISE
2020-05-29,14900.0,15100.0,15100.0,14350.0,115676.0,-1096,8691,-7595,0.0512,-521509,250.0,FALL
2020-05-28,15150.0,16200.0,16600.0,14750.0,303467.0,26074,14753,-40827,0.0499,-513914,1050.0,FALL
2020-05-27,16200.0,16600.0,16700.0,16000.0,98362.0,8804,-850,-7954,0.0478,-473087,600.0,FALL
2020-05-26,16800.0,17250.0,17250.0,16600.0,79910.0,18184,-2467,-15717,0.048,-465133,100.0,FALL
2020-05-25,16900.0,16550.0,17100.0,16450.0,127753.0,6491,-4469,-2022,0.0483,-449416,350.0,RISE
2020-05-22,16550.0,17300.0,17300.0,16300.0,154810.0,8470,-7316,-1154,0.0489,-447394,500.0,FALL
2020-05-21,17050.0,16900.0,17750.0,16550.0,381017.0,-20223,662,19561,0.05,-1267494,400.0,RISE
2020-05-20,16650.0,15600.0,16650.0,15450.0,265988.0,-3552,7337,-3785,0.0499,-1287055,1050.0,RISE
2020-05-19,15600.0,15600.0,15750.0,15250.0,114524.0,-3094,594,2500,0.0488,-1283270,200.0,RISE
2020-05-18,15400.0,16100.0,16100.0,15350.0,174397.0,29755,-22318,-7437,0.0488,-1285770,800.0,FALL
2020-05-15,16200.0,16200.0,16250.0,15650.0,154406.0,-5665,5459,206,0.0519,-1278333,350.0,RISE
2020-05-14,15850.0,15700.0,16100.0,15400.0,205473.0,9035,4583,-13618,0.0512,-1278539,150.0,FALL
2020-05-13,16000.0,15500.0,16000.0,15400.0,183541.0,47523,-1189,-46334,0.0505,-1264921,0.0,EVEN
2020-05-12,16000.0,16150.0,16350.0,15600.0,152761.0,10259,9911,-20170,0.0507,-1218587,150.0,FALL
2020-05-11,16150.0,16450.0,16500.0,16050.0,135491.0,-1014,-980,1994,0.0493,-1198417,350.0,FALL
2020-05-08,16500.0,16400.0,16650.0,16250.0,193655.0,-21283,6885,14398,0.0494,-1200411,100.0,RISE
2020-05-07,16400.0,16000.0,16900.0,15700.0,300137.0,-19612,-4263,23875,0.0484,-1214809,500.0,RISE
2020-05-06,15900.0,16000.0,16300.0,15400.0,285020.0,-28304,10690,17614,0.049,-1238684,1000.0,RISE
2020-05-04,14900.0,15000.0,15250.0,14700.0,108631.0,-2559,4173,-1614,0.0479,-1256298,350.0,FALL
2020-04-29,15250.0,15250.0,15400.0,14950.0,67505.0,-10887,4091,6796,0.0473,-1254684,150.0,RISE
2020-04-28,15100.0,15350.0,15550.0,15000.0,134638.0,3198,-3198,0,0.0467,-1261480,50.0,FALL
2020-04-27,15150.0,15000.0,15450.0,14900.0,99608.0,-10324,215,10109,0.0472,-1261480,250.0,RISE
2020-04-24,14900.0,15400.0,15550.0,14850.0,152814.0,14852,-17781,2929,0.0472,-1271589,600.0,FALL
2020-04-23,15500.0,14900.0,15900.0,14900.0,318401.0,-38912,25355,13557,0.0497,-1274518,850.0,RISE
2020-04-22,14650.0,13450.0,15450.0,13250.0,487323.0,2845,1712,-4557,0.0461,-1288075,750.0,RISE
2020-04-21,13900.0,13950.0,13950.0,12750.0,171778.0,25429,10785,-36214,0.0458,-1283518,50.0,FALL
2020-04-20,13950.0,14050.0,14400.0,13800.0,110590.0,24983,5002,-29985,0.0443,-1247304,150.0,FALL
2020-04-17,14100.0,14350.0,14450.0,13800.0,158594.0,10679,-4559,-6120,0.0436,-1217319,150.0,RISE
2020-04-16,13950.0,13300.0,14000.0,13150.0,138063.0,-2981,2182,799,0.0443,-1211199,300.0,RISE
2020-04-14,13650.0,13500.0,13900.0,13250.0,112446.0,2654,-110,-2544,0.044,-1211998,350.0,RISE
2020-04-13,13300.0,13400.0,13900.0,13100.0,107880.0,3502,109,-3611,0.0429,-1209454,450.0,FALL
2020-04-10,13750.0,14200.0,14300.0,13250.0,133190.0,9987,-787,-9200,0.0429,-1205843,550.0,FALL
2020-04-09,14300.0,15100.0,15100.0,14150.0,199399.0,11169,-3569,-7600,0.043,-1196643,350.0,FALL
2020-04-08,14650.0,14400.0,15150.0,13950.0,270686.0,-24818,27818,-3000,0.0439,-1189043,250.0,RISE
2020-04-07,14400.0,14400.0,15000.0,13750.0,707495.0,50134,637,-50771,0.0398,-1186043,1550.0,RISE
2020-04-06,12850.0,12050.0,12850.0,12000.0,148538.0,-8440,2178,6262,0.0397,-1135272,800.0,RISE
2020-04-03,12050.0,11850.0,12150.0,11600.0,88646.0,-1700,-635,2335,0.0394,-1141534,300.0,RISE
2020-04-02,11750.0,11650.0,11800.0,10950.0,148350.0,19205,5282,-24487,0.0395,-1143869,0.0,EVEN
2020-04-01,11750.0,12200.0,12950.0,11650.0,193639.0,69046,-10246,-58800,0.0387,-1119382,450.0,FALL
