,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2405.0,2400.0,2435.0,2365.0,310924.0,-84525,84525,0,0.0068,-1065432,5.0,RISE
2020-06-04,2400.0,2400.0,2440.0,2370.0,277616.0,-19842,19842,0,0.0041,-1065432,5.0,RISE
2020-06-03,2395.0,2445.0,2465.0,2390.0,362457.0,-3158,3158,0,0.0035,-1065432,50.0,FALL
2020-06-02,2445.0,2455.0,2560.0,2420.0,793176.0,50343,-25248,-25095,0.0034,-1078434,15.0,RISE
2020-06-01,2430.0,2370.0,2455.0,2365.0,304404.0,-30267,30267,0,0.0042,-1053339,60.0,RISE
2020-05-29,2370.0,2400.0,2435.0,2285.0,408573.0,-4173,4174,-1,0.0033,-1053339,65.0,FALL
2020-05-28,2435.0,2560.0,2565.0,2310.0,837943.0,-53045,27950,25095,0.0031,-1053338,65.0,FALL
2020-05-27,2500.0,2555.0,2565.0,2485.0,825755.0,71631,-71631,0,0.0023,-1078433,25.0,RISE
2020-05-26,2475.0,2515.0,2515.0,2425.0,550937.0,-10431,10431,0,0.0007,-1078433,5.0,FALL
2020-05-25,2480.0,2460.0,2525.0,2350.0,758986.0,-60615,60615,0,0.0004,-1078433,0.0,EVEN
2020-05-22,2480.0,2605.0,2655.0,2480.0,1303888.0,27564,-27564,0,-0.0015,-1078433,125.0,FALL
2020-05-21,2605.0,2705.0,2850.0,2605.0,7870222.0,10649,-10649,0,-0.0007,-1307029,100.0,FALL
2020-05-20,2705.0,2575.0,2790.0,2550.0,4382176.0,51759,-51759,0,-0.0003,-1307029,110.0,RISE
2020-05-19,2595.0,2580.0,2620.0,2535.0,1828224.0,57452,10295,-67747,0.0013,-1307029,25.0,RISE
2020-05-18,2570.0,2455.0,2575.0,2430.0,2078228.0,-14855,14855,0,0.0009,-1239282,120.0,RISE
2020-05-15,2450.0,2500.0,2525.0,2415.0,732710.0,16772,-16772,0,0.0005,-1239282,30.0,FALL
2020-05-14,2480.0,2565.0,2565.0,2425.0,1199590.0,-52484,17749,34735,0.001,-1239282,95.0,FALL
2020-05-13,2575.0,2560.0,2610.0,2530.0,971200.0,119637,-119637,0,0.0005,-1274017,40.0,RISE
2020-05-12,2535.0,2645.0,2710.0,2490.0,2166893.0,-165203,134191,31012,0.0042,-1274017,120.0,FALL
2020-05-11,2655.0,2810.0,2810.0,2655.0,985969.0,53000,0,-53000,0.0,-1305029,130.0,FALL
2020-05-08,2785.0,2855.0,2855.0,2750.0,1236118.0,94439,0,-94439,0.0,-1252029,45.0,FALL
2020-05-07,2830.0,2900.0,2900.0,2765.0,1472474.0,178558,-2346,-176212,0.0045,-1157590,5.0,RISE
2020-05-06,2825.0,2795.0,3120.0,2735.0,14722688.0,-309736,-15915,325651,0.0045,-981378,40.0,RISE
2020-05-04,2785.0,2440.0,2950.0,2440.0,14026515.0,112749,-112749,0,0.005,-1307029,315.0,RISE
2020-04-29,2470.0,2300.0,2905.0,2265.0,15541192.0,202372,-202372,0,0.0085,-1307029,235.0,RISE
2020-04-28,2235.0,2150.0,2285.0,2105.0,598753.0,35807,-35807,0,0.0148,-1307029,110.0,RISE
2020-04-27,2125.0,2130.0,2190.0,2100.0,327801.0,-38572,38572,0,0.0159,-1307029,10.0,FALL
2020-04-24,2135.0,2160.0,2210.0,2090.0,351214.0,-16282,16282,0,0.0147,-1307029,60.0,FALL
2020-04-23,2195.0,2265.0,2285.0,2100.0,231909.0,-3560,3560,0,0.0142,-1307029,10.0,FALL
2020-04-22,2205.0,2200.0,2230.0,2075.0,420394.0,-14658,14658,0,0.0141,-1307029,5.0,RISE
2020-04-21,2200.0,2285.0,2325.0,1995.0,708260.0,22775,-22775,0,0.0137,-1307029,75.0,FALL
2020-04-20,2275.0,2240.0,2315.0,2190.0,425360.0,-77636,77636,0,0.0144,-1307029,45.0,RISE
2020-04-17,2230.0,2290.0,2300.0,2215.0,373783.0,81592,-81591,-1,0.012,-1307029,55.0,FALL
2020-04-16,2285.0,2180.0,2285.0,2120.0,808061.0,-45150,45150,0,0.0145,-1307028,185.0,RISE
2020-04-14,2100.0,2085.0,2115.0,2015.0,309827.0,-71983,71983,0,0.0131,-1307028,90.0,RISE
2020-04-13,2010.0,1995.0,2155.0,1975.0,595129.0,-47540,47540,0,0.0135,-1307028,15.0,RISE
2020-04-10,1995.0,2060.0,2075.0,1900.0,357786.0,7804,-7804,0,0.012,-1307028,45.0,FALL
2020-04-09,2040.0,2055.0,2085.0,2020.0,254729.0,-16713,16713,0,0.0122,-1307028,5.0,FALL
2020-04-08,2045.0,1990.0,2090.0,1960.0,353954.0,-90410,90410,0,0.0117,-1307028,10.0,RISE
2020-04-07,2035.0,2055.0,2060.0,1960.0,295018.0,-22232,22232,0,0.0089,-1307028,40.0,RISE
2020-04-06,1995.0,1910.0,2055.0,1910.0,332084.0,-67825,67825,0,0.0082,-1307028,90.0,RISE
2020-04-03,1905.0,1840.0,2025.0,1840.0,655414.0,-17586,17586,0,0.0061,-1307028,65.0,RISE
2020-04-02,1840.0,1785.0,1870.0,1750.0,447392.0,-27819,27819,0,0.0055,-1307028,100.0,RISE
2020-04-01,1740.0,1555.0,1875.0,1520.0,1419257.0,135229,-135229,0,0.0047,-1307028,185.0,RISE
2020-03-31,1555.0,1530.0,1560.0,1495.0,277227.0,-18941,18941,0,0.0089,-1307028,70.0,RISE
2020-03-30,1485.0,1410.0,1550.0,1380.0,335124.0,-39954,39954,0,0.0083,-1307028,25.0,RISE
2020-03-27,1460.0,1460.0,1510.0,1395.0,375109.0,8510,-8510,0,0.0071,-1307028,60.0,RISE
2020-03-26,1400.0,1405.0,1500.0,1355.0,605404.0,-61329,61329,0,0.0084,-1307028,25.0,RISE
2020-03-25,1375.0,1470.0,1470.0,1325.0,514692.0,18490,-18490,0,0.0065,-1307028,110.0,RISE
2020-03-24,1265.0,1190.0,1275.0,1190.0,378759.0,-16540,16540,0,0.0071,-1307028,85.0,RISE
2020-03-23,1180.0,1200.0,1230.0,1145.0,230918.0,-1124,1124,0,0.0066,-1307028,135.0,FALL
2020-03-20,1315.0,1170.0,1315.0,1170.0,282828.0,-19054,19054,0,0.0066,-1307028,75.0,RISE
2020-03-19,1240.0,1365.0,1440.0,1100.0,494506.0,-11624,11624,0,0.006,-1307028,150.0,FALL
2020-03-18,1390.0,1470.0,1515.0,1365.0,212108.0,50415,-50615,200,0.0056,-1307028,65.0,FALL
2020-03-17,1455.0,1310.0,1530.0,1310.0,276530.0,-33536,33536,0,0.0073,-1307228,5.0,RISE
2020-03-16,1450.0,1540.0,1630.0,1450.0,572299.0,39707,-39708,1,0.0063,-1307228,130.0,FALL
2020-03-13,1580.0,1560.0,1600.0,1330.0,725057.0,-110526,110526,0,0.0077,-1307229,145.0,FALL
2020-03-12,1725.0,1885.0,1900.0,1700.0,445650.0,37715,-37715,0,0.0043,-1307229,195.0,FALL
2020-03-11,1920.0,2040.0,2055.0,1885.0,241490.0,25722,-25722,0,0.0054,-1307229,120.0,FALL
2020-03-10,2040.0,2000.0,2060.0,1925.0,284298.0,46929,-46929,0,0.0062,-1307229,30.0,RISE
2020-03-09,2010.0,2190.0,2195.0,1985.0,527943.0,2845,-2845,0,0.0074,-1307229,180.0,FALL
2020-03-06,2190.0,2060.0,2250.0,2005.0,1465139.0,105879,-105879,0,0.0075,-1307229,140.0,RISE
2020-03-05,2050.0,2050.0,2065.0,1990.0,166746.0,-27952,27952,0,0.0108,-1307229,40.0,RISE
2020-03-04,2010.0,1915.0,2020.0,1910.0,124112.0,-23276,23276,0,0.0099,-1307229,75.0,RISE
2020-03-03,1935.0,1920.0,2000.0,1920.0,132486.0,3936,-3936,0,0.009000000000000001,-1307229,15.0,RISE
2020-03-02,1920.0,1855.0,1945.0,1830.0,201280.0,-23007,23007,0,0.0091,-1307229,15.0,RISE
2020-02-28,1905.0,1945.0,1970.0,1880.0,343676.0,10302,-10302,0,0.0084,-1307229,70.0,FALL
2020-02-27,1975.0,2040.0,2085.0,1970.0,237044.0,28028,-28026,-2,0.0088,-1307229,65.0,FALL
2020-02-26,2040.0,2000.0,2075.0,1995.0,152865.0,-14836,14836,0,0.0097,-1307227,15.0,FALL
2020-02-25,2055.0,1990.0,2245.0,1925.0,706569.0,-29413,29413,0,0.0065,-1307227,55.0,RISE
2020-02-24,2000.0,2100.0,2130.0,2000.0,365598.0,15447,-15447,0,0.0056,-1307227,180.0,FALL
2020-02-21,2180.0,2190.0,2300.0,2170.0,619421.0,7676,-7676,0,0.006,-1307227,20.0,FALL
2020-02-20,2200.0,2205.0,2265.0,2185.0,261713.0,-18125,18125,0,0.0063,-1307227,20.0,FALL
2020-02-19,2220.0,2230.0,2270.0,2170.0,322104.0,-48392,48392,0,0.0056,-1307227,5.0,FALL
2020-02-18,2225.0,2275.0,2375.0,2220.0,684162.0,-21938,21938,0,0.0041,-1307227,95.0,FALL
2020-02-17,2320.0,2220.0,2340.0,2185.0,1613550.0,19187,-19187,0,0.0034,-1307227,85.0,RISE
2020-02-14,2235.0,2240.0,2255.0,2150.0,715474.0,53182,-53182,0,0.0034,-1307227,25.0,FALL
2020-02-13,2260.0,2180.0,2470.0,2155.0,6995976.0,14630,-14630,0,0.005,-1307227,60.0,RISE
2020-02-12,2200.0,2025.0,2515.0,2025.0,7677891.0,106874,-106874,0,0.0054,-1307227,175.0,RISE
2020-02-11,2025.0,2015.0,2040.0,2000.0,130338.0,-28489,28489,0,0.0087,-1307227,10.0,RISE
2020-02-10,2015.0,2030.0,2030.0,1975.0,64161.0,-11748,11748,0,0.0078,-1307227,0.0,EVEN
2020-02-07,2015.0,2000.0,2030.0,1980.0,53724.0,4204,-4204,0,0.0075,-1307227,10.0,RISE
2020-02-06,2005.0,1960.0,2035.0,1960.0,121064.0,-10097,10097,0,0.0076,-1307227,35.0,RISE
2020-02-05,1970.0,1990.0,2005.0,1940.0,78345.0,-5315,5315,0,0.0073,-1307227,15.0,RISE
2020-02-04,1955.0,1855.0,1955.0,1855.0,93613.0,-16994,16994,0,0.0071,-1307227,70.0,RISE
2020-02-03,1885.0,1905.0,1905.0,1800.0,157912.0,4137,-4137,0,0.0066,-1307227,30.0,FALL
2020-01-31,1915.0,1910.0,1965.0,1900.0,231833.0,-29540,29540,0,0.0067,-1307227,15.0,FALL
2020-01-30,1930.0,2010.0,2030.0,1925.0,221050.0,32523,-32523,0,0.0058,-1307227,75.0,FALL
