,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1635.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1877,0.0,EVEN
2020-06-04,1635.0,0.0,0.0,0.0,0.0,0,0,0,0.0108,1877,0.0,EVEN
2020-06-03,1635.0,0.0,0.0,0.0,0.0,0,0,0,0.0108,1877,0.0,EVEN
2020-06-02,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,EVEN
2020-06-01,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,703.0,0.0,EVEN
2020-05-21,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.0,0.0,EVEN
2019-01-18,1635.0,1700.0,1730.0,1635.0,1061651.0,-15753.0,15753.0,0.0,0.0,1886.0,65.0,FALL
2019-01-17,1700.0,1740.0,1825.0,1650.0,1875832.0,-90084.0,90084.0,0.0,0.0,1886.0,30.0,FALL
2019-01-16,1730.0,1770.0,1795.0,1705.0,1327113.0,10273.0,-10273.0,0.0,0.0,1886.0,40.0,FALL
2019-01-15,1770.0,1795.0,1835.0,1760.0,1289007.0,-22878.0,22878.0,0.0,0.0,1886.0,25.0,FALL
2019-01-14,1795.0,1845.0,1860.0,1795.0,812050.0,36035.0,-36035.0,0.0,0.0,1886.0,50.0,FALL
2019-01-11,1845.0,1850.0,1910.0,1830.0,963837.0,33092.0,-33092.0,0.0,0.0,1886.0,10.0,FALL
2019-01-10,1855.0,1980.0,1995.0,1840.0,2216288.0,40440.0,-40440.0,0.0,0.0,1886.0,165.0,FALL
2019-01-09,2020.0,1800.0,2140.0,1755.0,8838856.0,208892.0,-208892.0,0.0,0.0,1886.0,225.0,RISE
2019-01-08,1795.0,1790.0,1830.0,1765.0,423874.0,-11781.0,11781.0,0.0,0.0,1886.0,5.0,RISE
2019-01-07,1790.0,1825.0,1865.0,1775.0,489081.0,-52761.0,52761.0,0.0,0.0,1886.0,10.0,FALL
2019-01-04,1800.0,1820.0,1825.0,1725.0,647076.0,-22334.0,22334.0,0.0,0.0,1886.0,30.0,FALL
2019-01-03,1830.0,1800.0,1960.0,1800.0,587078.0,-31272.0,31272.0,0.0,0.0,1886.0,70.0,FALL
2019-01-02,1900.0,2000.0,2040.0,1900.0,569494.0,-13402.0,13402.0,0.0,0.0003,1886.0,100.0,FALL
