,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,139000.0,138500.0,139000.0,136500.0,5495.0,-1356,1250,106,0.202,597147,500.0,RISE
2020-06-04,138500.0,137500.0,139000.0,136500.0,11356.0,-5067,1336,3731,0.2016,597041,2000.0,RISE
2020-06-03,136500.0,137500.0,138000.0,136000.0,11544.0,2218,-72,-2146,0.2012,593310,1000.0,RISE
2020-06-02,135500.0,130500.0,136500.0,129500.0,19097.0,-9135.0,4033.0,5102.0,0.2012,595206.0,6000.0,RISE
2020-06-01,129500.0,128000.0,130500.0,128000.0,3556.0,703.0,386.0,-1089.0,0.2,590104.0,1000.0,RISE
2020-05-29,128500.0,128500.0,131000.0,127500.0,6145.0,-364.0,-1367.0,1731.0,0.1998,591193.0,1000.0,FALL
2020-05-28,129500.0,131500.0,134000.0,128000.0,8828.0,4560.0,-1443.0,-3117.0,0.2003,589462.0,2000.0,FALL
2020-05-27,131500.0,129500.0,131500.0,129000.0,3498.0,-602.0,462.0,140.0,0.2007,592579.0,2500.0,RISE
2020-05-26,129000.0,130500.0,132500.0,128500.0,7500.0,-573.0,59.0,514.0,0.2006,592439.0,0.0,EVEN
2020-05-25,129000.0,130000.0,130000.0,127500.0,5608.0,2855.0,-869.0,-1986.0,0.2006,591925.0,500.0,FALL
2020-05-22,129500.0,132000.0,133000.0,128000.0,7399.0,3141.0,-1731.0,-1410.0,0.2008,593911.0,2500.0,FALL
2020-05-21,132000.0,133500.0,134000.0,131000.0,5735.0,877.0,1252.0,-2129.0,0.2014,589946.0,1000.0,FALL
2020-05-20,133000.0,134000.0,135000.0,131000.0,9895.0,2351.0,972.0,-3323.0,0.201,592075.0,1500.0,FALL
2020-05-19,134500.0,131500.0,135000.0,131000.0,9600.0,-4985.0,4307.0,678.0,0.2007,595398.0,4000.0,RISE
2020-05-18,130500.0,130000.0,131000.0,130000.0,4883.0,-1830.0,2070.0,-240.0,0.1993,594720.0,500.0,RISE
2020-05-15,130000.0,129000.0,132500.0,128000.0,9986.0,428.0,-1642.0,1214.0,0.1987,594960.0,1000.0,FALL
2020-05-14,131000.0,130000.0,133000.0,129000.0,20192.0,-1475.0,-1916.0,3391.0,0.1992,593746.0,0.0,EVEN
2020-05-13,131000.0,126000.0,131000.0,125500.0,15022.0,-6629.0,10519.0,-3890.0,0.1998,590355.0,3500.0,RISE
2020-05-12,127500.0,127500.0,128500.0,124500.0,6510.0,-1055.0,-1028.0,2083.0,0.1965,594245.0,500.0,RISE
2020-05-11,127000.0,128500.0,130000.0,127000.0,3772.0,1160.0,-356.0,-804.0,0.1968,592162.0,1500.0,FALL
2020-05-08,128500.0,127000.0,129500.0,126000.0,9482.0,1600.0,-240.0,-1360.0,0.1969,592966.0,1500.0,RISE
2020-05-07,127000.0,128000.0,128000.0,126000.0,3931.0,1825.0,-769.0,-1056.0,0.197,594326.0,1000.0,FALL
2020-05-06,128000.0,128500.0,128500.0,126000.0,5095.0,1495.0,-262.0,-1233.0,0.1973,595382.0,1500.0,RISE
2020-05-04,126500.0,129000.0,129500.0,124000.0,6252.0,1989.0,-509.0,-1480.0,0.1973,596615.0,4000.0,FALL
2020-04-29,130500.0,130500.0,133000.0,129000.0,9059.0,4485.0,493.0,-4978.0,0.1975,598095.0,0.0,EVEN
2020-04-28,130500.0,130000.0,133500.0,129000.0,13016.0,-420.0,-1334.0,1754.0,0.1973,603073.0,1500.0,RISE
2020-04-27,129000.0,127500.0,131500.0,126500.0,17570.0,312.0,-5476.0,5164.0,0.1978,601319.0,2000.0,RISE
2020-04-24,127000.0,133500.0,133500.0,127000.0,9349.0,2359.0,-3745.0,1386.0,0.1932,596155.0,5500.0,FALL
2020-04-23,132500.0,131000.0,133000.0,130500.0,6284.0,-1946.0,710.0,1236.0,0.1944,594769.0,2000.0,RISE
2020-04-22,130500.0,134000.0,134000.0,128000.0,13896.0,5860.0,532.0,-6392.0,0.1942,593533.0,3500.0,FALL
2020-04-21,134000.0,133000.0,135000.0,129500.0,10027.0,-1645.0,-1616.0,3261.0,0.194,599925.0,1000.0,FALL
2020-04-20,135000.0,135500.0,136000.0,134000.0,3076.0,1036.0,122.0,-1158.0,0.1945,596664.0,500.0,FALL
2020-04-17,135500.0,135000.0,136500.0,133000.0,11124.0,-1954.0,290.0,1664.0,0.1945,597822.0,3500.0,RISE
2020-04-16,132000.0,133500.0,133500.0,130000.0,7475.0,1212.0,-1665.0,453.0,0.1944,596158.0,2500.0,FALL
2020-04-14,134500.0,132500.0,135500.0,132500.0,8350.0,-4254.0,150.0,4104.0,0.1949,595705.0,2500.0,RISE
2020-04-13,132000.0,131000.0,134000.0,125000.0,11375.0,-4749.0,782.0,3967.0,0.1948,591601.0,1000.0,RISE
2020-04-10,131000.0,127500.0,131000.0,126500.0,10731.0,-3127.0,238.0,2889.0,0.1946,587634.0,3500.0,RISE
2020-04-09,127500.0,125500.0,128500.0,125500.0,5994.0,-1960.0,109.0,1851.0,0.1945,584745.0,2000.0,RISE
2020-04-08,125500.0,126500.0,128000.0,123500.0,5905.0,-1026.0,274.0,752.0,0.1945,582894.0,0.0,EVEN
