,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,252500.0,251500.0,254500.0,250500.0,53729.0,-5467,5759,-292,0.3085,-1326845,1500.0,RISE
2020-06-04,251000.0,258500.0,259500.0,250000.0,92212.0,103,2238,-2341,0.308,-1326553,3000.0,FALL
2020-06-03,254000.0,252000.0,256500.0,249500.0,141866.0,-31330,40345,-9015,0.3077,-1324212,3500.0,RISE
2020-06-02,250500.0,245500.0,250500.0,245500.0,101369.0,-26483.0,31668.0,-5185.0,0.3036,-1314100.0,5000.0,RISE
2020-06-01,245500.0,244000.0,246000.0,242500.0,61888.0,3047.0,13377.0,-16424.0,0.3004,-1308915.0,500.0,RISE
2020-05-29,245000.0,240000.0,245000.0,240000.0,54574.0,695.0,7451.0,-8146.0,0.2991,-1292491.0,2500.0,RISE
2020-05-28,242500.0,252000.0,252000.0,240500.0,87273.0,8194.0,2999.0,-11193.0,0.2983,-1284345.0,6000.0,FALL
2020-05-27,248500.0,243000.0,249000.0,241500.0,113559.0,-43909.0,36807.0,7102.0,0.298,-1273152.0,8000.0,RISE
2020-05-26,240500.0,238500.0,242500.0,237500.0,72444.0,11775.0,2197.0,-13972.0,0.2943,-1280254.0,2000.0,RISE
2020-05-25,238500.0,242500.0,244000.0,236500.0,69815.0,33396.0,-554.0,-32842.0,0.294,-1266282.0,4000.0,FALL
2020-05-21,248000.0,250500.0,251000.0,246000.0,66290.0,20361.0,126.0,-20487.0,0.2945,-1183883.0,1500.0,FALL
2020-05-20,249500.0,252000.0,253500.0,246500.0,82703.0,31574.0,-660.0,-30914.0,0.2945,-1163396.0,6000.0,FALL
2020-05-19,255500.0,253000.0,259000.0,249500.0,173503.0,-93715.0,53539.0,40176.0,0.2946,-1132482.0,13000.0,RISE
2020-05-18,242500.0,234500.0,243000.0,231500.0,96006.0,-19005.0,3674.0,15331.0,0.2891,-1172658.0,9000.0,RISE
2020-05-15,233500.0,240500.0,241000.0,232500.0,67832.0,22469.0,-191.0,-22278.0,0.2888,-1187989.0,4500.0,FALL
2020-05-14,238000.0,239000.0,243500.0,237500.0,71463.0,14412.0,3049.0,-17461.0,0.289,-1165711.0,1000.0,FALL
2020-05-13,239000.0,241000.0,242000.0,238000.0,94168.0,39122.0,-4549.0,-34573.0,0.2887,-1148250.0,5000.0,FALL
2020-05-12,244000.0,245000.0,248500.0,237000.0,97494.0,12140.0,-1544.0,-10596.0,0.2891,-1113677.0,500.0,RISE
2020-05-11,243500.0,250000.0,251500.0,243000.0,173515.0,95389.0,-141.0,-95248.0,0.2893,-1103081.0,10000.0,FALL
2020-05-08,253500.0,261000.0,263000.0,252000.0,148371.0,88952.0,-16528.0,-72424.0,0.2893,-1007833.0,6000.0,FALL
2020-05-07,259500.0,265500.0,267000.0,258500.0,74945.0,33534.0,-12174.0,-21360.0,0.2908,-935409.0,5000.0,FALL
2020-05-06,264500.0,269000.0,274000.0,264000.0,99348.0,17874.0,-16851.0,-1023.0,0.2917,-914049.0,0.0,EVEN
2020-05-04,264500.0,257500.0,269000.0,256000.0,96779.0,-12479.0,2793.0,9686.0,0.2934,-913026.0,500.0,FALL
2020-04-29,265000.0,263000.0,276000.0,258500.0,153789.0,-19816.0,-4169.0,23985.0,0.2932,-922712.0,1500.0,RISE
2020-04-28,263500.0,257000.0,265000.0,255000.0,121881.0,-38847.0,9304.0,29543.0,0.2934,-946697.0,8000.0,RISE
2020-04-27,255500.0,244000.0,258500.0,244000.0,125254.0,-40327.0,33897.0,6430.0,0.2925,-976240.0,12000.0,RISE
2020-04-24,243500.0,248000.0,250000.0,243500.0,55573.0,17844.0,-3326.0,-14518.0,0.2891,-982670.0,7000.0,FALL
2020-04-23,250500.0,252000.0,252500.0,248000.0,74255.0,11855.0,7120.0,-18975.0,0.2894,-968152.0,1500.0,FALL
2020-04-22,252000.0,255500.0,257000.0,246000.0,167721.0,64093.0,-7069.0,-57024.0,0.2887,-949177.0,7500.0,FALL
2020-04-21,259500.0,256500.0,262000.0,250000.0,144633.0,91.0,16886.0,-16977.0,0.2895,-892153.0,4500.0,RISE
2020-04-20,255000.0,250000.0,267000.0,249000.0,162725.0,-9946.0,15660.0,-5714.0,0.2877,-875176.0,2500.0,RISE
2020-04-17,252500.0,245000.0,260000.0,241000.0,203883.0,-41792.0,33919.0,7873.0,0.2859,-869462.0,19000.0,RISE
2020-04-16,233500.0,232500.0,236500.0,229000.0,61101.0,1540.0,-11278.0,9738.0,0.2823,-877335.0,500.0,RISE
2020-04-14,233000.0,233500.0,236500.0,230000.0,59623.0,-1784.0,4307.0,-2523.0,0.2833,-887073.0,500.0,RISE
2020-04-13,232500.0,241000.0,241500.0,232000.0,73130.0,8630.0,5650.0,-14280.0,0.2833,-884550.0,8500.0,FALL
2020-04-10,241000.0,239000.0,242000.0,235000.0,76789.0,-15880.0,-1121.0,17001.0,0.2826,-870270.0,4000.0,RISE
2020-04-09,237000.0,236000.0,238000.0,232000.0,114853.0,-14005.0,5496.0,8509.0,0.2827,-887271.0,6000.0,RISE
2020-04-08,231000.0,226000.0,239500.0,222000.0,136604.0,-22745.0,5474.0,17271.0,0.2822,-895780.0,2500.0,RISE
2020-04-07,228500.0,229000.0,232500.0,220500.0,137833.0,15146.0,-7253.0,-7893.0,0.2818,-913051.0,7500.0,RISE
2020-04-06,221000.0,210000.0,223500.0,209000.0,141057.0,-53192.0,13284.0,39908.0,0.2825,-905158.0,12500.0,RISE
2020-04-03,208500.0,208000.0,210500.0,205500.0,89739.0,8129.0,-3759.0,-4370.0,0.2811,-945066.0,0.0,EVEN
2020-04-02,208500.0,210500.0,212500.0,203500.0,128142.0,42480.0,4823.0,-47303.0,0.2814,-940696.0,1500.0,FALL
2020-04-01,210000.0,215500.0,218500.0,210000.0,88350.0,28129.0,730.0,-28859.0,0.2809,-893393.0,7500.0,FALL
2020-03-31,217500.0,220000.0,220000.0,210500.0,133878.0,31286.0,5201.0,-36487.0,0.2808,-864534.0,2500.0,RISE
2020-03-30,215000.0,215500.0,218000.0,207500.0,159615.0,54025.0,7369.0,-61394.0,0.2802,-828047.0,9500.0,FALL
2020-03-27,224500.0,243500.0,243500.0,221000.0,150570.0,44485.0,2243.0,-46728.0,0.2795,-766653.0,8000.0,FALL
2020-03-26,232500.0,238000.0,245500.0,230500.0,88514.0,-2496.0,1698.0,798.0,0.2793,-719925.0,5500.0,FALL
2020-03-25,238000.0,227000.0,238000.0,222500.0,147830.0,-30012.0,6488.0,23524.0,0.2791,-720723.0,17500.0,RISE
2020-03-24,220500.0,213000.0,223000.0,208500.0,98816.0,-3616.0,13466.0,-9850.0,0.2784,-744247.0,14000.0,RISE
2020-03-23,206500.0,207500.0,215000.0,201000.0,80435.0,5705.0,-375.0,-5330.0,0.2771,-734397.0,17500.0,FALL
2020-03-20,224000.0,210500.0,225000.0,200000.0,106243.0,-12014.0,553.0,11461.0,0.2776,-729067.0,20000.0,RISE
2020-03-19,204000.0,234500.0,239500.0,199000.0,138230.0,19984.0,-8800.0,-11184.0,0.2783,-740528.0,22000.0,FALL
2020-03-18,226000.0,235000.0,250000.0,225500.0,105391.0,-2031.0,-18192.0,20223.0,0.2779,-729344.0,11500.0,FALL
2020-03-17,237500.0,210000.0,238500.0,206500.0,112027.0,-32175.0,916.0,31259.0,0.2798,-749567.0,19000.0,RISE
2020-03-16,218500.0,229500.0,235000.0,218500.0,82731.0,3158.0,7166.0,-10324.0,0.2807,-780826.0,8500.0,FALL
2020-03-13,227000.0,218000.0,234000.0,211500.0,188739.0,4989.0,-26169.0,21180.0,0.28,-770502.0,14500.0,FALL
2020-03-12,241500.0,252000.0,252000.0,232500.0,146648.0,10209.0,-15414.0,5205.0,0.281,-791682.0,9500.0,FALL
2020-03-11,251000.0,257000.0,263000.0,249000.0,63614.0,5215.0,-6408.0,1193.0,0.2826,-796887.0,7000.0,FALL
2020-03-10,258000.0,245000.0,262500.0,245000.0,79779.0,-17626.0,-14655.0,32281.0,0.28300000000000003,-798080.0,4500.0,RISE
2020-03-09,253500.0,252000.0,257000.0,246000.0,64201.0,-4948.0,-16757.0,21705.0,0.2846,-830361.0,4500.0,FALL
2020-03-06,258000.0,259500.0,266000.0,254500.0,73181.0,2253.0,-18833.0,16580.0,0.2868,-852066.0,6500.0,FALL
2020-03-05,264500.0,260000.0,264500.0,252000.0,104952.0,2385.0,-15344.0,12959.0,0.2882,-868646.0,11500.0,RISE
2020-03-04,253000.0,240500.0,260000.0,240500.0,93059.0,-8820.0,-4495.0,13315.0,0.2898,-881605.0,11500.0,RISE
2020-03-03,241500.0,250000.0,253000.0,240500.0,69902.0,16267.0,-8576.0,-7691.0,0.2907,-894920.0,1500.0,FALL
2020-03-02,243000.0,235000.0,249000.0,234500.0,91494.0,-6444.0,3793.0,2651.0,0.2921,-887229.0,7000.0,RISE
