,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,13500.0,13550.0,13950.0,13400.0,308015.0,39644,-32371,-7273,0.005,-2820836,150.0,RISE
2020-06-04,13350.0,13450.0,13700.0,13200.0,375239.0,-3855,3805,50,0.007,-2813563,0.0,EVEN
2020-06-03,13350.0,13850.0,14050.0,13200.0,560787.0,50474,221,-50695,0.0067,-2813613,550.0,FALL
2020-06-02,13900.0,13750.0,14150.0,13600.0,532573.0,13879.0,-9010.0,-4869.0,0.0067,-2762918.0,450.0,RISE
2020-06-01,13450.0,13200.0,13750.0,13150.0,368959.0,-11924.0,11287.0,637.0,0.0073,-2758049.0,300.0,RISE
2020-05-29,13150.0,13400.0,13700.0,13050.0,513665.0,100413.0,-8154.0,-92259.0,0.0066,-2758686.0,400.0,FALL
2020-05-28,13550.0,14950.0,14950.0,13350.0,1649037.0,248749.0,-165286.0,-83463.0,0.0071,-2666427.0,1550.0,FALL
2020-05-27,15100.0,15400.0,15450.0,14700.0,607522.0,31710.0,-8288.0,-23422.0,0.0172,-2582964.0,400.0,FALL
2020-05-26,15500.0,15600.0,15850.0,15300.0,562416.0,50942.0,-2391.0,-48551.0,0.0177,-2559542.0,100.0,FALL
2020-05-25,15600.0,15350.0,15900.0,15050.0,725652.0,-46653.0,17040.0,29613.0,0.0178,-2510991.0,550.0,RISE
2020-05-21,14750.0,15050.0,15250.0,14700.0,630078.0,823.0,-509.0,-314.0,0.0156,-2559453.0,100.0,RISE
2020-05-20,14650.0,14150.0,14850.0,14100.0,533935.0,-77393.0,40299.0,37094.0,0.0156,-2559139.0,450.0,RISE
2020-05-19,14200.0,14600.0,14800.0,14200.0,531077.0,-3018.0,-14481.0,17499.0,0.0134,-2596233.0,0.0,EVEN
2020-05-18,14200.0,13900.0,14250.0,13600.0,519464.0,-72040.0,72082.0,-42.0,0.0143,-2613732.0,400.0,RISE
2020-05-15,13800.0,13800.0,13850.0,13350.0,266393.0,-18815.0,18858.0,-43.0,0.0099,-2613690.0,100.0,RISE
2020-05-14,13700.0,14150.0,14350.0,13600.0,494458.0,27790.0,-33422.0,5632.0,0.0087,-2613647.0,550.0,FALL
2020-05-13,14250.0,13200.0,14400.0,13150.0,1152466.0,-55142.0,55142.0,0.0,0.0108,-2619279.0,750.0,RISE
2020-05-12,13500.0,13650.0,13700.0,13000.0,404308.0,315.0,-494.0,179.0,0.0074,-2619279.0,100.0,FALL
2020-05-11,13600.0,13950.0,14000.0,13550.0,343934.0,3861.0,-1260.0,-2601.0,0.0075,-2619458.0,250.0,FALL
2020-05-08,13850.0,14100.0,14150.0,13550.0,457349.0,2984.0,-9653.0,6669.0,0.0075,-2616857.0,150.0,FALL
2020-05-07,14000.0,13250.0,14350.0,13200.0,1073324.0,-42921.0,18929.0,23992.0,0.0081,-2623526.0,650.0,RISE
2020-05-06,13350.0,13650.0,13750.0,13300.0,643801.0,-7617.0,9464.0,-1847.0,0.006999999999999999,-2647518.0,550.0,RISE
2020-05-04,12800.0,12550.0,13250.0,12450.0,301105.0,-20039.0,18649.0,1390.0,0.0064,-2645671.0,50.0,FALL
2020-04-29,12850.0,12700.0,13200.0,12600.0,322074.0,-3766.0,766.0,3000.0,0.0054,-2647061.0,50.0,RISE
2020-04-28,12800.0,13350.0,13500.0,12700.0,387302.0,31915.0,8105.0,-40020.0,0.0053,-2650061.0,400.0,FALL
2020-04-27,13200.0,13200.0,13500.0,13000.0,294709.0,-11086.0,15886.0,-4800.0,0.0048,-2610041.0,0.0,EVEN
2020-04-24,13200.0,13000.0,13650.0,12900.0,457997.0,-7734.0,9295.0,-1561.0,0.0039,-2605241.0,100.0,FALL
2020-04-23,13300.0,13550.0,14100.0,13300.0,884405.0,87482.0,-23862.0,-63620.0,0.0033,-2603680.0,50.0,FALL
2020-04-22,13350.0,13300.0,13550.0,13100.0,570220.0,19127.0,241.0,-19368.0,0.0048,-2540060.0,500.0,FALL
2020-04-21,13850.0,12600.0,14000.0,12100.0,1940081.0,-6802.0,7802.0,-1000.0,0.0048,-2520692.0,1400.0,RISE
2020-04-20,12450.0,12850.0,13100.0,12250.0,288463.0,23395.0,10415.0,-33810.0,0.0043,-2519692.0,300.0,FALL
2020-04-17,12750.0,13050.0,13050.0,12600.0,457245.0,1960.0,-14053.0,12093.0,0.0037,-2485882.0,50.0,RISE
2020-04-16,12700.0,12250.0,12800.0,12150.0,553337.0,1555.0,7865.0,-9420.0,0.0045,-2497975.0,550.0,RISE
2020-04-14,12150.0,12250.0,12400.0,11900.0,553637.0,-30793.0,15962.0,14831.0,0.004,-2488555.0,300.0,RISE
