,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,6380.0,6370.0,6430.0,6180.0,670936.0,75563,-75562,-1,0.0295,-306472,20.0,FALL
2020-06-04,6400.0,6130.0,6430.0,5960.0,921763.0,-50930,50930,0,0.0341,-306471,460.0,RISE
2020-06-03,5940.0,5750.0,6150.0,5750.0,523595.0,-6809,12809,-6000,0.031,-306471,160.0,RISE
2020-06-02,5780.0,6010.0,6070.0,5760.0,385804.0,33143.0,-33143.0,0.0,0.0307,-300471.0,230.0,FALL
2020-06-01,6010.0,5900.0,6160.0,5890.0,620856.0,33732.0,-33604.0,-128.0,0.0328,-300471.0,60.0,RISE
2020-05-29,5950.0,5480.0,6490.0,5150.0,2350329.0,-17629.0,31640.0,-14011.0,0.0348,-300343.0,480.0,RISE
2020-05-28,5470.0,5590.0,5770.0,5300.0,1109396.0,62977.0,-56616.0,-6361.0,0.0333,-286332.0,10.0,FALL
2020-05-27,5480.0,5340.0,5560.0,5210.0,790337.0,-172644.0,167119.0,5525.0,0.0396,-279971.0,190.0,RISE
2020-05-26,5290.0,4710.0,5620.0,4675.0,3670795.0,126188.0,-88163.0,-38025.0,0.0294,-285496.0,690.0,RISE
2020-05-25,4600.0,4330.0,4640.0,4330.0,623802.0,-134466.0,114466.0,20000.0,0.0348,-247471.0,200.0,RISE
2020-05-21,4465.0,4495.0,4540.0,4410.0,197480.0,-6548.0,6548.0,0.0,0.0283,-231554.0,0.0,EVEN
2020-05-20,4465.0,4345.0,4465.0,4305.0,265023.0,-2624.0,2624.0,0.0,0.0279,-231554.0,120.0,RISE
2020-05-19,4345.0,4450.0,4520.0,4305.0,317782.0,43277.0,-43277.0,0.0,0.0277,-231554.0,80.0,FALL
2020-05-18,4425.0,4270.0,4480.0,4245.0,540131.0,-11093.0,11093.0,0.0,0.0304,-231554.0,165.0,RISE
2020-05-15,4260.0,4045.0,4400.0,4040.0,1197122.0,-6815.0,-3185.0,10000.0,0.0297,-231554.0,230.0,RISE
2020-05-14,4030.0,3940.0,4040.0,3895.0,239241.0,9517.0,-9517.0,0.0,0.0299,-241554.0,25.0,RISE
2020-05-13,4005.0,4060.0,4065.0,3970.0,124005.0,-2218.0,2218.0,0.0,0.0305,-241554.0,60.0,FALL
2020-05-12,4065.0,4060.0,4100.0,3890.0,252840.0,739.0,8652.0,-9391.0,0.0304,-241554.0,5.0,RISE
2020-05-11,4060.0,4120.0,4170.0,4030.0,155688.0,3614.0,-3614.0,0.0,0.0298,-232163.0,45.0,FALL
2020-05-08,4105.0,4060.0,4165.0,4060.0,198415.0,-26951.0,26951.0,0.0,0.0301,-232163.0,70.0,RISE
2020-05-07,4035.0,3900.0,4075.0,3860.0,178569.0,-33390.0,33390.0,0.0,0.0284,-232163.0,105.0,RISE
2020-05-06,3930.0,3985.0,3985.0,3855.0,172847.0,-13507.0,26507.0,-13000.0,0.0264,-232163.0,105.0,RISE
2020-05-04,3825.0,3830.0,3970.0,3820.0,186756.0,14073.0,-8842.0,-5231.0,0.0247,-219163.0,120.0,FALL
2020-04-29,3945.0,4110.0,4130.0,3910.0,217068.0,2377.0,-2377.0,0.0,0.0253,-213932.0,135.0,FALL
2020-04-28,4080.0,4350.0,4360.0,4040.0,842098.0,66983.0,-63374.0,-3609.0,0.0254,-213932.0,160.0,FALL
2020-04-27,4240.0,4130.0,4290.0,4075.0,534851.0,67536.0,-67536.0,0.0,0.0293,-210323.0,85.0,RISE
2020-04-24,4155.0,3905.0,4155.0,3870.0,588623.0,32794.0,-32794.0,0.0,0.0335,-210323.0,235.0,RISE
2020-04-23,3920.0,3755.0,4020.0,3675.0,390749.0,-29035.0,29035.0,0.0,0.0355,-210323.0,180.0,RISE
2020-04-22,3740.0,3585.0,3745.0,3505.0,186863.0,8379.0,-8379.0,0.0,0.0337,-210323.0,100.0,RISE
2020-04-21,3640.0,3765.0,3800.0,3400.0,482266.0,-64190.0,64190.0,0.0,0.0343,-210323.0,125.0,FALL
2020-04-20,3765.0,3875.0,4030.0,3640.0,566372.0,-7589.0,21719.0,-14130.0,0.0303,-210323.0,75.0,FALL
2020-04-17,3840.0,3835.0,3860.0,3700.0,385839.0,36166.0,-32166.0,-4000.0,0.0291,-196193.0,100.0,RISE
2020-04-16,3740.0,3665.0,3815.0,3590.0,277640.0,2764.0,-2764.0,0.0,0.031,-192193.0,75.0,RISE
2020-04-14,3665.0,3980.0,4010.0,3600.0,821724.0,119006.0,-104838.0,-14168.0,0.0314,-192193.0,260.0,FALL
2020-04-13,3925.0,3665.0,4650.0,3615.0,4490796.0,252422.0,-185999.0,-66423.0,0.0378,-178025.0,345.0,RISE
2020-04-10,3580.0,3450.0,3590.0,3350.0,799479.0,40043.0,-33471.0,-6572.0,0.0492,-111602.0,210.0,RISE
2020-04-09,3370.0,3340.0,3465.0,3300.0,330180.0,17567.0,-13139.0,-4428.0,0.0512,-105030.0,105.0,RISE
2020-04-08,3265.0,3120.0,3320.0,3045.0,286116.0,3255.0,4744.0,-7999.0,0.052000000000000005,-100602.0,155.0,RISE
2020-04-07,3110.0,3150.0,3210.0,3000.0,367955.0,80771.0,-14365.0,-66406.0,0.0517,-92603.0,50.0,RISE
2020-04-06,3060.0,2930.0,3100.0,2865.0,306815.0,-21622.0,45279.0,-23657.0,0.0526,-26197.0,195.0,RISE
2020-04-03,2865.0,2930.0,2990.0,2830.0,210406.0,3069.0,9918.0,-12987.0,0.0498,-2540.0,15.0,RISE
2020-04-02,2850.0,2760.0,2980.0,2715.0,290492.0,12052.0,3721.0,-15773.0,0.0492,10447.0,100.0,RISE
2020-04-01,2750.0,2810.0,3050.0,2750.0,428715.0,53474.0,-46474.0,-7000.0,0.0499,26220.0,30.0,FALL
2020-03-31,2780.0,2650.0,2855.0,2650.0,380367.0,66508.0,-63508.0,-3000.0,0.0528,33220.0,150.0,RISE
2020-03-30,2630.0,2435.0,2675.0,2340.0,330065.0,-24878.0,24878.0,0.0,0.0568,36220.0,110.0,RISE
2020-03-27,2520.0,2655.0,2705.0,2425.0,351667.0,12846.0,-12846.0,0.0,0.0554,36220.0,20.0,FALL
2020-03-26,2540.0,2490.0,2600.0,2405.0,438837.0,40977.0,-29977.0,-11000.0,0.0562,36220.0,70.0,RISE
2020-03-25,2470.0,2325.0,2550.0,2270.0,530583.0,23383.0,-14383.0,-9000.0,0.058,47220.0,245.0,RISE
2020-03-24,2225.0,2135.0,2290.0,2050.0,359028.0,27804.0,-21804.0,-6000.0,0.0589,56220.0,155.0,RISE
2020-03-23,2070.0,2125.0,2170.0,1980.0,461105.0,63890.0,-65712.0,1822.0,0.0602,62220.0,280.0,FALL
2020-03-20,2350.0,2070.0,2460.0,2025.0,515809.0,50232.0,-49642.0,-590.0,0.0643,60398.0,360.0,RISE
2020-03-19,1990.0,2370.0,2445.0,1940.0,869120.0,-32402.0,49272.0,-16870.0,0.0673,60988.0,300.0,FALL
2020-03-18,2290.0,2535.0,2665.0,2290.0,431970.0,2253.0,9232.0,-11485.0,0.0655,77858.0,240.0,FALL
2020-03-17,2530.0,2615.0,2685.0,2355.0,470174.0,-66154.0,77288.0,-11134.0,0.0653,89343.0,90.0,FALL
2020-03-16,2620.0,3070.0,3100.0,2620.0,378920.0,4124.0,-2125.0,-1999.0,0.0606,100477.0,400.0,FALL
2020-03-13,3020.0,2930.0,3140.0,2630.0,762785.0,-63597.0,13746.0,49851.0,0.0607,102476.0,280.0,FALL
2020-03-12,3300.0,3515.0,3590.0,3055.0,687902.0,-140913.0,121518.0,19395.0,0.0598,52625.0,320.0,FALL
2020-03-11,3620.0,3890.0,3940.0,3495.0,323520.0,1271.0,30160.0,-31431.0,0.0524,33230.0,270.0,FALL
2020-03-10,3890.0,3730.0,3890.0,3670.0,173449.0,-11301.0,11301.0,0.0,0.0506,64661.0,80.0,RISE
2020-03-09,3810.0,4010.0,4060.0,3775.0,429198.0,-10181.0,30181.0,-20000.0,0.0499,64661.0,340.0,FALL
2020-03-06,4150.0,4310.0,4380.0,4145.0,221738.0,79905.0,-28221.0,-51684.0,0.048,84661.0,300.0,FALL
2020-03-05,4450.0,4210.0,4485.0,4210.0,262637.0,-38407.0,3989.0,34418.0,0.0498,136345.0,265.0,RISE
2020-03-04,4185.0,4020.0,4210.0,4000.0,207672.0,-1386.0,11246.0,-9860.0,0.0495,101927.0,75.0,RISE
2020-03-03,4110.0,4130.0,4265.0,4070.0,235497.0,5345.0,3050.0,-8395.0,0.0488,111787.0,55.0,RISE
2020-03-02,4055.0,3875.0,4110.0,3760.0,321044.0,-1188.0,1188.0,0.0,0.0486,120182.0,210.0,RISE
2020-02-28,3845.0,4100.0,4160.0,3830.0,365139.0,10866.0,-10866.0,0.0,0.0484,120182.0,345.0,FALL
2020-02-27,4190.0,4600.0,4720.0,4150.0,617837.0,-48387.0,39657.0,8730.0,0.0491,120182.0,410.0,FALL
2020-02-26,4600.0,4810.0,4875.0,4485.0,666220.0,125861.0,-60816.0,-65045.0,0.0466,111452.0,330.0,FALL
2020-02-25,4930.0,4825.0,5010.0,4710.0,366834.0,45000.0,-29844.0,-15156.0,0.0504,176497.0,95.0,RISE
2020-02-24,4835.0,5060.0,5100.0,4755.0,560015.0,44912.0,-67570.0,22658.0,0.0522,191653.0,395.0,FALL
2020-02-21,5230.0,5260.0,5490.0,5110.0,1180493.0,-5058.0,-39578.0,44636.0,0.0564,168995.0,120.0,FALL
2020-02-20,5350.0,4720.0,5530.0,4720.0,2987371.0,-15126.0,-51613.0,66739.0,0.0588,124359.0,650.0,RISE
2020-02-19,4700.0,4630.0,4750.0,4460.0,199905.0,-21031.0,21031.0,0.0,0.0614,57620.0,70.0,RISE
2020-02-18,4630.0,4710.0,4785.0,4510.0,246383.0,65362.0,-69583.0,4221.0,0.0602,57620.0,125.0,FALL
2020-02-17,4755.0,4545.0,4825.0,4545.0,256261.0,-46478.0,43812.0,2666.0,0.0644,53399.0,210.0,RISE
2020-02-14,4545.0,4610.0,4730.0,4495.0,202854.0,-30024.0,33720.0,-3696.0,0.0617,50733.0,105.0,FALL
2020-02-13,4650.0,4800.0,4820.0,4560.0,119813.0,10530.0,-5813.0,-4717.0,0.0597,54429.0,150.0,FALL
2020-02-12,4800.0,4710.0,4865.0,4710.0,202505.0,20670.0,-20822.0,152.0,0.06,59146.0,90.0,RISE
2020-02-11,4710.0,4725.0,4835.0,4555.0,291559.0,-6866.0,7724.0,-858.0,0.0613,58994.0,20.0,FALL
2020-02-10,4730.0,4800.0,4900.0,4690.0,88914.0,-2060.0,1231.0,829.0,0.0608,59852.0,60.0,FALL
2020-02-07,4790.0,4830.0,4875.0,4735.0,113892.0,-799.0,9200.0,-8401.0,0.0607,59023.0,50.0,FALL
2020-02-06,4840.0,4900.0,5050.0,4730.0,200150.0,11412.0,3969.0,-15381.0,0.0602,67424.0,105.0,FALL
2020-02-05,4945.0,5000.0,5110.0,4860.0,142371.0,43455.0,-27247.0,-16208.0,0.06,82805.0,30.0,FALL
2020-02-04,4975.0,4910.0,4980.0,4805.0,123761.0,7438.0,-7438.0,0.0,0.0616,99013.0,85.0,RISE
2020-02-03,4890.0,4820.0,4915.0,4660.0,243701.0,34222.0,-10457.0,-23765.0,0.0625,99013.0,0.0,EVEN
2020-01-31,4890.0,5060.0,5140.0,4810.0,127381.0,27613.0,-27613.0,0.0,0.0627,122778.0,160.0,FALL
2020-01-30,5050.0,5080.0,5130.0,4950.0,110662.0,-4971.0,10867.0,-5896.0,0.0644,122778.0,20.0,FALL
2020-01-29,5070.0,4995.0,5150.0,4935.0,113700.0,-41546.0,40604.0,942.0,0.0642,128674.0,75.0,RISE
2020-01-28,4995.0,5000.0,5070.0,4850.0,261301.0,10729.0,1463.0,-12192.0,0.0602,127732.0,205.0,FALL
2020-01-23,5200.0,5340.0,5340.0,5160.0,88353.0,29422.0,-29422.0,0.0,0.0595,139924.0,120.0,FALL
2020-01-22,5320.0,5180.0,5350.0,5140.0,131531.0,-35821.0,32920.0,2901.0,0.0613,139924.0,150.0,RISE
2020-01-21,5170.0,5200.0,5230.0,5070.0,84149.0,28262.0,-17027.0,-11235.0,0.0593,137023.0,40.0,RISE
2020-01-20,5130.0,5330.0,5430.0,5120.0,253604.0,56659.0,-39762.0,-16897.0,0.06,148258.0,130.0,FALL
2020-01-17,5260.0,5120.0,5390.0,5110.0,284227.0,-58415.0,52270.0,6145.0,0.0624,165155.0,130.0,RISE
2020-01-16,5130.0,5020.0,5140.0,4985.0,166915.0,2392.0,3401.0,-5793.0,0.0592,159010.0,120.0,RISE
2020-01-15,5010.0,5250.0,5250.0,4985.0,330856.0,46982.0,-28440.0,-18542.0,0.059,164803.0,240.0,FALL
2020-01-14,5250.0,5130.0,5410.0,5060.0,367864.0,-60172.0,78555.0,-18383.0,0.0622,183345.0,150.0,RISE
2020-01-13,5100.0,5110.0,5250.0,4955.0,246081.0,9460.0,5092.0,-14552.0,0.0574,201728.0,90.0,FALL
2020-01-10,5190.0,5580.0,5580.0,5160.0,401913.0,171824.0,-158657.0,-13167.0,0.0557,216280.0,370.0,FALL
2020-01-09,5560.0,5250.0,5560.0,5250.0,333460.0,-40824.0,31332.0,9492.0,0.0654,229447.0,320.0,RISE
2020-01-08,5240.0,5260.0,5390.0,5010.0,322695.0,-74587.0,52347.0,22240.0,0.0635,219955.0,50.0,FALL
2020-01-07,5290.0,5290.0,5450.0,5280.0,177567.0,-4101.0,4005.0,96.0,0.0603,197715.0,0.0,EVEN
2020-01-06,5290.0,5190.0,5380.0,5100.0,288071.0,-73726.0,64312.0,9414.0,0.06,197619.0,20.0,RISE
2020-01-03,5270.0,5450.0,5590.0,5200.0,294552.0,-38954.0,26454.0,12500.0,0.0561,188205.0,180.0,FALL
2020-01-02,5450.0,5550.0,5550.0,5380.0,153256.0,42042.0,-48783.0,6741.0,0.0545,175705.0,40.0,FALL
2019-12-30,5490.0,5610.0,5820.0,5400.0,387043.0,4372.0,7512.0,-11884.0,0.0574,168964.0,170.0,FALL
2019-12-27,5660.0,5550.0,5790.0,5510.0,325236.0,26604.0,-32093.0,5489.0,0.057,180848.0,70.0,RISE
2019-12-26,5590.0,5370.0,5670.0,5280.0,454621.0,-4141.0,-904.0,5045.0,0.0589,175359.0,210.0,RISE
2019-12-24,5380.0,5370.0,5490.0,5280.0,189901.0,-28988.0,28988.0,0.0,0.059,170314.0,10.0,RISE
2019-12-23,5370.0,5620.0,5620.0,5230.0,395889.0,44965.0,-91194.0,46229.0,0.0572,170314.0,290.0,FALL
2019-12-20,5660.0,5340.0,5660.0,5290.0,591105.0,-134022.0,132394.0,1628.0,0.0628,124085.0,380.0,RISE
2019-12-19,5280.0,5250.0,5410.0,5200.0,189692.0,-18004.0,27262.0,-9258.0,0.0547,122457.0,70.0,RISE
2019-12-18,5210.0,5350.0,5410.0,5150.0,323577.0,-44677.0,30209.0,14468.0,0.053,131715.0,140.0,FALL
2019-12-17,5350.0,5190.0,5350.0,5130.0,376120.0,-74006.0,45098.0,28908.0,0.0516,117247.0,120.0,RISE
2019-12-16,5230.0,5000.0,5330.0,5000.0,888974.0,-58904.0,30223.0,28681.0,0.0489,88339.0,140.0,RISE
2019-12-13,5090.0,4450.0,5090.0,4450.0,1983120.0,-173465.0,171798.0,1667.0,0.047,59658.0,650.0,RISE
2019-12-12,4440.0,4365.0,4540.0,4355.0,232011.0,-72082.0,71925.0,157.0,0.0365,57991.0,125.0,RISE
2019-12-11,4315.0,4360.0,4445.0,4300.0,63484.0,-7458.0,7383.0,75.0,0.0328,57834.0,65.0,FALL
2019-12-10,4380.0,4370.0,4540.0,4350.0,187155.0,-11055.0,11055.0,0.0,0.0323,57759.0,10.0,RISE
2019-12-09,4370.0,4405.0,4435.0,4260.0,140823.0,12643.0,-4283.0,-8360.0,0.0317,57759.0,35.0,FALL
2019-12-06,4405.0,4300.0,4485.0,4300.0,268636.0,-61097.0,50113.0,10984.0,0.0319,66119.0,120.0,RISE
