,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4885.0,4735.0,4950.0,4685.0,579917.0,-13722,9546,4176,0.0058,-3422394,200.0,RISE
2020-06-04,4685.0,4825.0,4855.0,4625.0,413814.0,-5612,4801,811,0.005,-3426570,130.0,FALL
2020-06-03,4815.0,4945.0,4980.0,4815.0,428058.0,11238,-11238,0,0.0047,-3427381,205.0,FALL
2020-06-02,5020.0,5010.0,5080.0,4900.0,175428.0,-6989.0,6989.0,0.0,0.0055,-3427381.0,20.0,RISE
2020-06-01,5000.0,4950.0,5100.0,4880.0,232273.0,2335.0,796.0,-3131.0,0.005,-3427381.0,120.0,RISE
2020-05-29,4880.0,4990.0,4990.0,4775.0,251549.0,8608.0,-1034.0,-7574.0,0.0049,-3424250.0,50.0,FALL
2020-05-28,4930.0,5180.0,5180.0,4855.0,412327.0,8821.0,5529.0,-14350.0,0.005,-3416676.0,250.0,FALL
2020-05-27,5180.0,5280.0,5290.0,5120.0,215149.0,-1609.0,1609.0,0.0,0.0046,-3402326.0,50.0,FALL
2020-05-26,5230.0,5140.0,5390.0,5100.0,547227.0,73075.0,-7196.0,-65879.0,0.0045,-3402326.0,90.0,RISE
2020-05-25,5140.0,5040.0,5150.0,5000.0,288075.0,12049.0,15786.0,-27835.0,0.005,-3336447.0,140.0,RISE
2020-05-21,5150.0,5340.0,5390.0,5090.0,733344.0,114377.0,-19119.0,-95258.0,0.0032,-3282793.0,170.0,FALL
2020-05-20,5320.0,5350.0,5480.0,5240.0,636497.0,39329.0,3953.0,-43282.0,0.0046,-3187535.0,80.0,FALL
2020-05-19,5400.0,5590.0,5650.0,5210.0,1067350.0,159150.0,-14432.0,-144718.0,0.0043,-3144253.0,160.0,FALL
2020-05-18,5560.0,5970.0,6060.0,5500.0,1085800.0,-15962.0,-1502.0,17464.0,0.0055,-2999535.0,400.0,FALL
2020-05-15,5960.0,5750.0,5970.0,5660.0,1415330.0,-24014.0,-5298.0,29312.0,0.0056,-3016999.0,300.0,RISE
2020-05-14,5660.0,5310.0,5780.0,5310.0,1173579.0,-115781.0,6560.0,109221.0,0.006,-3046311.0,250.0,RISE
2020-05-13,5410.0,5350.0,5560.0,5300.0,848603.0,-71889.0,29911.0,41978.0,0.0055,-3155532.0,110.0,RISE
2020-05-12,5300.0,5610.0,5620.0,5140.0,1148009.0,32280.0,-45201.0,12921.0,0.0031,-3197510.0,240.0,FALL
2020-05-11,5540.0,5850.0,5850.0,5400.0,1693167.0,164414.0,5989.0,-170403.0,0.0067,-3210431.0,340.0,FALL
2020-05-08,5880.0,6160.0,6180.0,5600.0,1125467.0,30046.0,-33305.0,3259.0,0.0062,-3040028.0,170.0,FALL
2020-05-07,6050.0,5770.0,6150.0,5770.0,1653970.0,-50114.0,29800.0,20314.0,0.0088,-3043287.0,290.0,RISE
2020-05-06,5760.0,5950.0,6140.0,5660.0,2186656.0,-109732.0,-21526.0,131258.0,0.0065,-3063601.0,160.0,RISE
2020-05-04,5600.0,5370.0,5790.0,5370.0,1321830.0,-15703.0,17762.0,-2059.0,0.0081,-3194859.0,230.0,RISE
2020-04-29,5370.0,5370.0,5980.0,5280.0,4330665.0,-95223.0,42341.0,52882.0,0.0068,-3192800.0,20.0,RISE
2020-04-28,5350.0,5280.0,5740.0,5190.0,4131474.0,33304.0,-46363.0,13059.0,0.0035,-3245682.0,90.0,RISE
2020-04-27,5260.0,4730.0,5260.0,4645.0,4368382.0,-181685.0,19602.0,162083.0,0.0071,-3258741.0,730.0,RISE
2020-04-24,4530.0,4390.0,4670.0,4300.0,1177300.0,-29895.0,4950.0,24945.0,0.0056,-3420824.0,80.0,RISE
2020-04-23,4450.0,4275.0,4450.0,4200.0,581371.0,-30269.0,22520.0,7749.0,0.0052,-3445769.0,190.0,RISE
2020-04-22,4260.0,4170.0,4260.0,4030.0,403784.0,-14884.0,14884.0,0.0,0.0035,-3453518.0,40.0,RISE
2020-04-21,4220.0,4340.0,4340.0,3970.0,722347.0,-3838.0,3838.0,0.0,0.0023,-3453518.0,180.0,FALL
2020-04-20,4400.0,4660.0,4785.0,4400.0,1420438.0,4330.0,-3589.0,-741.0,0.002,-3453518.0,10.0,RISE
2020-04-17,4390.0,4350.0,4390.0,4100.0,1172772.0,-2633.0,2633.0,0.0,0.0023,-3452777.0,190.0,RISE
2020-04-16,4200.0,4270.0,4270.0,4090.0,418678.0,-3873.0,3873.0,0.0,0.0021,-3452777.0,70.0,FALL
2020-04-14,4270.0,4300.0,4480.0,4235.0,853044.0,603.0,397.0,-1000.0,0.0018,-3452777.0,50.0,RISE
2020-04-13,4220.0,4455.0,4815.0,4180.0,5029632.0,25122.0,-24486.0,-636.0,0.0018,-3451777.0,20.0,RISE
2020-04-10,4200.0,4600.0,4655.0,4200.0,1535993.0,28186.0,-15631.0,-12555.0,0.0037,-3451141.0,230.0,FALL
2020-04-09,4430.0,4020.0,4650.0,4000.0,5121769.0,-21015.0,21253.0,-238.0,0.0049,-3438586.0,450.0,RISE
2020-04-08,3980.0,3995.0,4050.0,3935.0,425543.0,-9252.0,12905.0,-3653.0,0.0032,-3438348.0,20.0,FALL
2020-04-07,4000.0,4090.0,4095.0,3930.0,414539.0,7601.0,-1101.0,-6500.0,0.0022,-3434695.0,0.0,EVEN
2020-04-06,4000.0,3860.0,4100.0,3860.0,814864.0,7827.0,-7827.0,0.0,0.0023,-3428195.0,140.0,RISE
2020-04-03,3860.0,4080.0,4110.0,3780.0,788729.0,20925.0,-16212.0,-4713.0,0.0029,-3428195.0,185.0,FALL
2020-04-02,4045.0,4065.0,4315.0,3810.0,1153164.0,-27066.0,27066.0,0.0,0.0042,-3423482.0,20.0,FALL
2020-04-01,4065.0,4090.0,4950.0,3810.0,7072330.0,15620.0,-13364.0,-2256.0,0.0021,-3423482.0,100.0,FALL
2020-03-31,4165.0,3900.0,4250.0,3705.0,2692820.0,23072.0,-39053.0,15981.0,0.0032,-3421226.0,890.0,RISE
2020-03-30,3275.0,2920.0,3290.0,2860.0,589250.0,-39909.0,24619.0,15290.0,0.0062,-3437207.0,260.0,RISE
2020-03-27,3015.0,3030.0,3110.0,2865.0,568646.0,12218.0,-12218.0,0.0,0.0045,-3452497.0,120.0,RISE
2020-03-26,2895.0,2945.0,3060.0,2835.0,716466.0,-35363.0,35363.0,0.0,0.0054,-3452497.0,10.0,RISE
2020-03-25,2885.0,2900.0,2950.0,2820.0,471579.0,4991.0,-4963.0,-28.0,0.0027,-3452497.0,90.0,RISE
2020-03-24,2795.0,2700.0,2825.0,2690.0,243440.0,807.0,-807.0,0.0,0.0031,-3452469.0,160.0,RISE
2020-03-23,2635.0,2565.0,3145.0,2565.0,612945.0,14181.0,-14181.0,0.0,0.0031,-3452469.0,160.0,FALL
2020-03-20,2795.0,2660.0,2860.0,2660.0,283831.0,-11626.0,5399.0,6227.0,0.0049,-3452469.0,170.0,RISE
2020-03-19,2625.0,3050.0,3070.0,2625.0,327557.0,-1347.0,-39.0,1386.0,0.0045,-3458696.0,325.0,FALL
2020-03-18,2950.0,3090.0,3395.0,2950.0,603758.0,-6348.0,3672.0,2676.0,0.0047,-3460082.0,60.0,FALL
2020-03-17,3010.0,2610.0,3090.0,2610.0,551653.0,937.0,-3196.0,2259.0,0.0044,-3462758.0,140.0,RISE
2020-03-16,2870.0,2980.0,3090.0,2800.0,693149.0,2582.0,-13181.0,10599.0,0.0047,-3465017.0,20.0,RISE
2020-03-13,2850.0,3200.0,3200.0,2615.0,779924.0,-24587.0,22087.0,2500.0,0.0057,-3475616.0,615.0,FALL
2020-03-12,3465.0,3750.0,3895.0,3425.0,549886.0,-13395.0,9759.0,3636.0,0.004,-3478116.0,395.0,FALL
2020-03-11,3860.0,3990.0,4050.0,3715.0,627179.0,24441.0,-28951.0,4510.0,0.0032,-3481752.0,105.0,FALL
2020-03-10,3965.0,3855.0,3970.0,3710.0,458259.0,3930.0,-6427.0,2497.0,0.0061,-3486262.0,35.0,FALL
