,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2875.0,2790.0,2885.0,2790.0,23402.0,-5421,5421,0,0.0097,-123576,85.0,RISE
2020-06-04,2790.0,3000.0,3050.0,2790.0,108188.0,470,-470,0,0.0092,-123576,210.0,FALL
2020-06-03,3000.0,2990.0,3045.0,2910.0,35231.0,1101,-1101,0,0.0092,-123576,10.0,RISE
2020-06-02,2990.0,2945.0,3000.0,2885.0,78705.0,-6506.0,6506.0,0.0,0.0093,-123576.0,15.0,RISE
2020-06-01,2975.0,2985.0,2990.0,2895.0,73805.0,6190.0,-6190.0,0.0,0.0087,-123576.0,55.0,RISE
2020-05-29,2920.0,2865.0,2985.0,2790.0,96111.0,3492.0,-3491.0,-1.0,0.0093,-123576.0,55.0,RISE
2020-05-28,2865.0,2855.0,2880.0,2620.0,105827.0,2586.0,-2586.0,0.0,0.0096,-123575.0,45.0,RISE
2020-05-27,2820.0,2740.0,2955.0,2700.0,105542.0,-1590.0,1671.0,-81.0,0.0098,-123575.0,80.0,RISE
2020-05-26,2740.0,2700.0,2785.0,2590.0,145167.0,-8541.0,8541.0,0.0,0.0097,-123494.0,80.0,RISE
2020-05-25,2660.0,2585.0,2890.0,2585.0,390385.0,-5809.0,5903.0,-94.0,0.0089,-123494.0,50.0,RISE
2020-05-21,2580.0,2600.0,2605.0,2550.0,60420.0,6973.0,-6973.0,0.0,0.0079,-126284.0,25.0,FALL
2020-05-20,2605.0,2635.0,2635.0,2570.0,33938.0,-805.0,805.0,0.0,0.0086,-126284.0,30.0,FALL
2020-05-19,2635.0,2610.0,2660.0,2580.0,14896.0,-2367.0,2367.0,0.0,0.0085,-126284.0,25.0,RISE
2020-05-18,2610.0,2580.0,2615.0,2470.0,30325.0,102.0,-102.0,0.0,0.0083,-126284.0,55.0,RISE
2020-05-15,2555.0,2550.0,2630.0,2525.0,15650.0,-40.0,40.0,0.0,0.0083,-126284.0,5.0,RISE
2020-05-14,2550.0,2540.0,2595.0,2485.0,31950.0,4369.0,-4369.0,0.0,0.0083,-126284.0,25.0,FALL
2020-05-13,2575.0,2490.0,2590.0,2485.0,57687.0,2516.0,-2516.0,0.0,0.0087,-126284.0,30.0,FALL
2020-05-12,2605.0,2620.0,2630.0,2425.0,79750.0,6347.0,-6168.0,-179.0,0.0089,-126284.0,15.0,FALL
2020-05-11,2620.0,2615.0,2715.0,2545.0,88847.0,5252.0,-5112.0,-140.0,0.0095,-126105.0,20.0,FALL
2020-05-08,2640.0,2670.0,2670.0,2565.0,48504.0,3374.0,-3374.0,0.0,0.01,-125965.0,25.0,RISE
2020-05-07,2615.0,2495.0,2650.0,2470.0,127349.0,-4653.0,4653.0,0.0,0.0103,-125965.0,120.0,RISE
2020-05-06,2495.0,2470.0,2525.0,2445.0,37400.0,643.0,-643.0,0.0,0.0099,-125965.0,25.0,RISE
2020-05-04,2470.0,2500.0,2510.0,2390.0,165438.0,-7554.0,7554.0,0.0,0.0099,-125965.0,65.0,FALL
2020-04-29,2535.0,2400.0,2920.0,2400.0,1560460.0,8245.0,-8245.0,0.0,0.0092,-125965.0,200.0,RISE
2020-04-28,2335.0,2320.0,2350.0,2295.0,1616199.0,-3521.0,3409.0,112.0,0.01,-125965.0,15.0,RISE
2020-04-27,2320.0,2290.0,2335.0,2275.0,30801.0,-6023.0,6246.0,-223.0,0.0097,-126077.0,30.0,RISE
2020-04-24,2290.0,2385.0,2385.0,2280.0,13851.0,-515.0,742.0,-227.0,0.0091,-125854.0,45.0,FALL
2020-04-23,2335.0,2430.0,2430.0,2300.0,51571.0,5542.0,-5542.0,0.0,0.009000000000000001,-125627.0,45.0,FALL
2020-04-22,2380.0,2190.0,2405.0,2150.0,82569.0,6304.0,-6304.0,0.0,0.0096,-125627.0,120.0,RISE
2020-04-21,2260.0,2230.0,2270.0,2100.0,120447.0,-376.0,376.0,0.0,0.0101,-125627.0,5.0,FALL
2020-04-20,2265.0,2355.0,2400.0,2265.0,50984.0,-3374.0,3374.0,0.0,0.0101,-125627.0,70.0,FALL
2020-04-17,2335.0,2390.0,2440.0,2235.0,89300.0,-219.0,219.0,0.0,0.0098,-125627.0,10.0,FALL
2020-04-16,2345.0,2195.0,2355.0,2130.0,194503.0,-7980.0,7980.0,0.0,0.0098,-125627.0,175.0,RISE
2020-04-14,2170.0,2220.0,2250.0,2120.0,81762.0,593.0,-593.0,0.0,0.009000000000000001,-125627.0,80.0,FALL
2020-04-13,2250.0,2300.0,2300.0,2200.0,37044.0,3391.0,-3391.0,0.0,0.0091,-125627.0,50.0,FALL
2020-04-10,2300.0,2330.0,2360.0,2100.0,160457.0,1579.0,-1486.0,-93.0,0.0094,-125627.0,0.0,EVEN
2020-04-09,2300.0,2305.0,2350.0,2265.0,151275.0,-5177.0,5177.0,0.0,0.0095,-125534.0,0.0,EVEN
2020-04-08,2300.0,2225.0,2320.0,2220.0,55108.0,-1705.0,1705.0,0.0,0.0091,-125534.0,60.0,RISE
2020-04-07,2240.0,2235.0,2300.0,2190.0,132569.0,1992.0,-1992.0,0.0,0.0089,-125534.0,50.0,RISE
2020-04-06,2190.0,1945.0,2250.0,1900.0,356425.0,5526.0,-5526.0,0.0,0.0091,-125534.0,290.0,RISE
2020-04-03,1900.0,1815.0,1945.0,1815.0,115872.0,5023.0,-6128.0,1105.0,0.0096,-125534.0,100.0,RISE
2020-04-02,1800.0,1815.0,1850.0,1745.0,88587.0,-5068.0,5068.0,0.0,0.0102,-126639.0,40.0,RISE
2020-04-01,1760.0,1735.0,1850.0,1710.0,144158.0,-6271.0,6271.0,0.0,0.0097,-126639.0,30.0,RISE
2020-03-31,1730.0,1770.0,1850.0,1645.0,229257.0,-713.0,713.0,0.0,0.0091,-126639.0,50.0,RISE
2020-03-30,1680.0,1605.0,1690.0,1560.0,86259.0,-10042.0,10042.0,0.0,0.009000000000000001,-126639.0,5.0,RISE
2020-03-27,1675.0,1745.0,1760.0,1550.0,135638.0,-1336.0,1233.0,103.0,0.0081,-126639.0,10.0,RISE
2020-03-26,1665.0,1855.0,1890.0,1660.0,397056.0,23375.0,-22527.0,-848.0,0.0082,-126742.0,30.0,RISE
2020-03-25,1635.0,1390.0,1635.0,1270.0,643194.0,3120.0,-3165.0,45.0,0.0103,-125894.0,375.0,UPPER_LIMIT
2020-03-24,1260.0,1200.0,1350.0,1200.0,214144.0,-10988.0,10988.0,0.0,0.0106,-125939.0,75.0,RISE
2020-03-23,1185.0,1430.0,1460.0,1185.0,501046.0,-15341.0,13411.0,1930.0,0.0096,-125939.0,430.0,FALL
2020-03-20,1615.0,1600.0,1700.0,1545.0,115145.0,-7670.0,7834.0,-164.0,0.0083,-127869.0,30.0,RISE
2020-03-19,1585.0,2090.0,2135.0,1570.0,84729.0,-7601.0,7601.0,0.0,0.0076,-127705.0,550.0,FALL
2020-03-18,2135.0,2140.0,2200.0,2070.0,16111.0,1313.0,-1313.0,0.0,0.0069,-127705.0,25.0,FALL
2020-03-17,2160.0,2010.0,2190.0,1900.0,31417.0,-5915.0,5915.0,0.0,0.0071,-127705.0,30.0,FALL
2020-03-16,2190.0,2125.0,2225.0,2125.0,28315.0,-1687.0,1687.0,0.0,0.0066,-127705.0,0.0,EVEN
2020-03-13,2190.0,2155.0,2345.0,2085.0,95448.0,-4889.0,4889.0,0.0,0.0064,-127705.0,315.0,FALL
