,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1055.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-362,0.0,EVEN
2020-06-04,1055.0,0.0,0.0,0.0,0.0,0,0,0,0.0204,-362,0.0,EVEN
2020-06-03,1055.0,0.0,0.0,0.0,0.0,0,0,0,0.0204,-362,0.0,EVEN
2020-06-02,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-362.0,0.0,EVEN
2020-06-01,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,-362.0,0.0,EVEN
2020-02-10,1055.0,1090.0,1120.0,1030.0,102686.0,343.0,-343.0,0.0,0.022,-360.0,35.0,FALL
2020-02-07,1090.0,1055.0,1135.0,1030.0,123211.0,-5311.0,5311.0,0.0,0.022,-360.0,35.0,RISE
2020-02-06,1055.0,999.0,1090.0,999.0,1015522.0,3604.0,-3604.0,0.0,0.0215,-360.0,25.0,RISE
2020-02-05,1030.0,1020.0,1030.0,991.0,73536.0,-706.0,706.0,0.0,0.0218,-360.0,30.0,RISE
2020-02-04,1000.0,1010.0,1040.0,989.0,132609.0,-235.0,235.0,0.0,0.0218,-360.0,4.0,RISE
2020-02-03,996.0,1000.0,1095.0,996.0,121430.0,935.0,-935.0,0.0,0.0218,-360.0,9.0,FALL
2020-01-31,1005.0,1095.0,1120.0,986.0,284050.0,-20910.0,20910.0,0.0,0.0218,-360.0,90.0,FALL
2020-01-30,1095.0,1190.0,1210.0,1050.0,208753.0,-14601.0,14601.0,0.0,0.0201,-360.0,95.0,FALL
2020-01-29,1190.0,1345.0,1345.0,1190.0,181221.0,-17789.0,17789.0,0.0,0.0189,-360.0,155.0,FALL
2020-01-28,1345.0,1430.0,1430.0,1320.0,77710.0,-13541.0,13541.0,0.0,0.0174,-360.0,75.0,FALL
2020-01-23,1420.0,1410.0,1440.0,1365.0,96664.0,-9711.0,9711.0,0.0,0.0162,-360.0,10.0,RISE
2020-01-22,1410.0,1485.0,1485.0,1370.0,126540.0,-19820.0,19820.0,0.0,0.0154,-360.0,35.0,FALL
2020-01-21,1445.0,1670.0,1670.0,1415.0,146389.0,-17696.0,18957.0,-1261.0,0.0137,-360.0,155.0,FALL
2020-01-20,1600.0,1585.0,1640.0,1580.0,54605.0,-8174.0,6913.0,1261.0,0.0121,901.0,15.0,RISE
2020-01-17,1585.0,1555.0,1595.0,1535.0,49833.0,-8061.0,8061.0,0.0,0.0116,-360.0,45.0,RISE
2020-01-16,1540.0,1575.0,1630.0,1535.0,114128.0,-7416.0,7416.0,0.0,0.0109,-360.0,20.0,FALL
2020-01-15,1560.0,1630.0,1655.0,1550.0,88580.0,-8272.0,8272.0,0.0,0.0103,-360.0,10.0,FALL
2020-01-14,1570.0,1590.0,1635.0,1550.0,135888.0,-11629.0,11629.0,0.0,0.0096,-360.0,20.0,FALL
2020-01-13,1590.0,1650.0,1720.0,1545.0,271302.0,-11939.0,11939.0,0.0,0.0082,-360.0,70.0,FALL
2020-01-10,1660.0,1600.0,1945.0,1530.0,2553570.0,2626.0,-2626.0,0.0,0.0072,-360.0,80.0,RISE
2020-01-09,1580.0,1560.0,1665.0,1560.0,43363.0,10161.0,-10161.0,0.0,0.0074,-360.0,20.0,RISE
2020-01-08,1560.0,1550.0,1580.0,1500.0,76671.0,-861.0,861.0,0.0,0.0082,-360.0,20.0,FALL
2020-01-07,1580.0,1660.0,1660.0,1540.0,132616.0,-9861.0,9861.0,0.0,0.0083,-360.0,75.0,FALL
2020-01-06,1655.0,1685.0,1720.0,1535.0,132910.0,-25161.0,25161.0,0.0,0.0075,-360.0,30.0,FALL
2020-01-03,1685.0,1780.0,1820.0,1600.0,231519.0,-8487.0,8487.0,0.0,0.0054,-360.0,80.0,FALL
2020-01-02,1765.0,1660.0,1930.0,1660.0,142108.0,-975.0,975.0,0.0,0.0046,-360.0,65.0,FALL
2019-12-30,1830.0,1805.0,1910.0,1750.0,210371.0,4926.0,-4926.0,0.0,0.0045,-360.0,35.0,FALL
2019-12-27,1865.0,1985.0,2080.0,1825.0,302219.0,7365.0,-7365.0,0.0,0.0049,-360.0,5.0,RISE
2019-12-26,1860.0,1775.0,2100.0,1735.0,1014124.0,-4312.0,4312.0,0.0,0.0055,-360.0,75.0,FALL
2019-12-24,1935.0,1685.0,2110.0,1665.0,5559347.0,10243.0,-923.0,-9320.0,0.0054,-360.0,300.0,RISE
2019-12-23,1635.0,1270.0,1635.0,1215.0,1912868.0,-6382.0,-2938.0,9320.0,0.0055,8960.0,375.0,UPPER_LIMIT
2019-12-20,1260.0,1145.0,1405.0,1080.0,3115241.0,1394.0,-1394.0,0.0,0.0058,-360.0,130.0,RISE
2019-12-19,1130.0,995.0,1180.0,990.0,731515.0,5125.0,-5125.0,0.0,0.0059,-360.0,130.0,RISE
2019-12-18,1000.0,1080.0,1080.0,981.0,84054.0,-363.0,363.0,0.0,0.0063,-360.0,45.0,FALL
2019-12-17,1045.0,1075.0,1080.0,1030.0,57627.0,1576.0,-1576.0,0.0,0.0063,-360.0,5.0,FALL
2019-12-16,1050.0,1045.0,1075.0,1015.0,94748.0,-7615.0,7615.0,0.0,0.0064,-360.0,10.0,RISE
2019-12-13,1040.0,999.0,1140.0,970.0,413641.0,8033.0,-8033.0,0.0,0.0058,-360.0,70.0,RISE
2019-12-12,970.0,970.0,996.0,960.0,49282.0,-4511.0,4511.0,0.0,0.0065,-360.0,0.0,EVEN
2019-12-11,970.0,988.0,1015.0,960.0,65238.0,127.0,-127.0,0.0,0.0061,-360.0,15.0,FALL
2019-12-10,985.0,985.0,985.0,965.0,54559.0,1040.0,-1040.0,0.0,0.0061,-360.0,0.0,EVEN
2019-12-09,985.0,934.0,995.0,934.0,66630.0,393.0,-393.0,0.0,0.0062,-360.0,37.0,RISE
2019-12-06,948.0,984.0,1010.0,948.0,136901.0,6974.0,-6974.0,0.0,0.0062,-360.0,44.0,FALL
2019-12-05,992.0,1010.0,1070.0,990.0,167076.0,-6843.0,6843.0,0.0,0.0068,-360.0,8.0,FALL
