,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,21000.0,20800.0,21300.0,20650.0,1566.0,0,0,0,0.0,1,50.0,RISE
2020-06-04,20950.0,21200.0,21200.0,20800.0,832.0,0,0,0,0.0096,1,200.0,FALL
2020-06-03,21150.0,21900.0,21900.0,21050.0,502.0,0,0,0,0.0096,1,150.0,RISE
2020-06-02,21000.0,21500.0,21500.0,20850.0,1095.0,0.0,0.0,0.0,0.0,1.0,0.0,EVEN
2020-06-01,21000.0,21700.0,21700.0,20850.0,604.0,0.0,0.0,0.0,0.0096,1.0,250.0,RISE
2020-05-29,20750.0,21300.0,21300.0,20300.0,1240.0,0.0,0.0,0.0,0.0096,1.0,50.0,FALL
2020-05-28,20800.0,21300.0,21300.0,20400.0,558.0,0.0,0.0,0.0,0.0096,1.0,50.0,RISE
2020-05-27,20750.0,21300.0,21300.0,20400.0,1721.0,0.0,0.0,0.0,0.0096,1.0,700.0,FALL
2020-05-26,21450.0,22100.0,22100.0,21300.0,676.0,0.0,0.0,0.0,0.0096,1.0,500.0,FALL
2020-05-25,21950.0,21700.0,22350.0,21250.0,922.0,0.0,0.0,0.0,0.0096,1.0,200.0,RISE
2020-05-21,21750.0,21500.0,22000.0,21500.0,1514.0,0.0,0.0,0.0,0.0096,1.0,250.0,FALL
2020-05-20,22000.0,20600.0,22450.0,20600.0,6321.0,0.0,0.0,0.0,0.0096,1.0,1300.0,RISE
2020-05-19,20700.0,20300.0,20900.0,20300.0,384.0,0.0,0.0,0.0,0.0096,1.0,400.0,RISE
2020-05-18,20300.0,19950.0,20550.0,19950.0,7367.0,0.0,0.0,0.0,0.0096,1.0,350.0,RISE
2020-05-15,19950.0,19650.0,19950.0,19650.0,411.0,0.0,0.0,0.0,0.0096,1.0,150.0,FALL
2020-05-14,20100.0,20300.0,20300.0,19250.0,1748.0,0.0,0.0,0.0,0.0096,1.0,200.0,FALL
2020-05-13,20300.0,19800.0,20300.0,19750.0,1139.0,0.0,0.0,0.0,0.0096,1.0,250.0,RISE
2020-05-11,19800.0,19850.0,20300.0,19800.0,4744.0,0.0,0.0,0.0,0.0096,1.0,100.0,FALL
2020-05-08,19900.0,20400.0,20400.0,19400.0,2583.0,0.0,0.0,0.0,0.0096,1.0,200.0,RISE
2020-05-07,19700.0,19000.0,20750.0,19000.0,5805.0,0.0,0.0,0.0,0.0096,1.0,950.0,RISE
2020-05-04,18550.0,18400.0,18900.0,18400.0,2467.0,0.0,0.0,0.0,0.0096,1.0,300.0,FALL
2020-04-29,18850.0,18800.0,18900.0,18600.0,5451.0,0.0,0.0,0.0,0.0096,1.0,450.0,RISE
2020-04-28,18400.0,18250.0,18600.0,17950.0,2938.0,0.0,0.0,0.0,0.0096,1.0,150.0,RISE
2020-04-22,17400.0,17000.0,17400.0,16600.0,794.0,0.0,0.0,0.0,0.0096,1.0,0.0,EVEN
2020-04-20,17700.0,17450.0,17850.0,17400.0,450.0,0.0,0.0,0.0,0.0096,1.0,50.0,RISE
2020-04-08,17900.0,16700.0,18200.0,16700.0,12028.0,0.0,0.0,0.0,0.0096,1.0,500.0,RISE
2020-04-03,16450.0,16500.0,16500.0,15950.0,1701.0,0.0,0.0,0.0,0.0082,1.0,300.0,FALL
2020-04-02,16750.0,16300.0,16750.0,15900.0,1364.0,0.0,0.0,0.0,0.0082,1.0,250.0,RISE
2020-04-01,16500.0,16550.0,16650.0,16200.0,477.0,0.0,0.0,0.0,0.0082,1.0,200.0,RISE
2020-03-31,16300.0,16500.0,16500.0,16100.0,1200.0,0.0,0.0,0.0,0.0082,1.0,50.0,RISE
2020-03-30,16250.0,14550.0,16250.0,14550.0,2358.0,0.0,0.0,0.0,0.0082,1.0,750.0,RISE
2020-03-27,15500.0,15200.0,15650.0,14700.0,1110.0,0.0,0.0,0.0,0.0082,1.0,550.0,RISE
2020-03-26,14950.0,14400.0,14950.0,14200.0,1907.0,397.0,-397.0,0.0,0.0082,1.0,1100.0,RISE
2020-03-25,13850.0,13600.0,13950.0,13500.0,2487.0,0.0,0.0,0.0,0.0106,1.0,850.0,RISE
2020-03-23,12150.0,13850.0,13850.0,12150.0,4151.0,0.0,0.0,0.0,0.0106,1.0,1350.0,FALL
2020-03-20,13500.0,12800.0,14400.0,12800.0,2565.0,17.0,-17.0,0.0,0.0106,1.0,450.0,FALL
2020-03-19,13950.0,16450.0,16450.0,13950.0,647.0,0.0,0.0,0.0,0.0107,1.0,2550.0,FALL
2020-03-18,16500.0,16550.0,17100.0,15850.0,514.0,0.0,0.0,0.0,0.0107,1.0,50.0,FALL
2020-03-17,16550.0,15800.0,16700.0,15800.0,587.0,0.0,0.0,0.0,0.0107,1.0,650.0,FALL
2020-03-16,17200.0,16700.0,17200.0,16600.0,168.0,0.0,0.0,0.0,0.0173,1.0,700.0,RISE
2020-03-13,16500.0,16500.0,16500.0,14150.0,621.0,-291.0,291.0,0.0,0.0153,1.0,300.0,FALL
2020-03-12,16800.0,17750.0,17800.0,16100.0,694.0,0.0,0.0,0.0,0.0136,1.0,950.0,FALL
2020-03-11,17750.0,18000.0,18150.0,17700.0,324.0,0.0,0.0,0.0,0.0136,1.0,400.0,FALL
2020-03-10,18150.0,17700.0,18200.0,17700.0,849.0,0.0,0.0,0.0,0.0136,1.0,100.0,FALL
2020-03-09,18250.0,18600.0,19050.0,18150.0,320.0,0.0,0.0,0.0,0.0136,1.0,700.0,FALL
2020-03-06,18950.0,19000.0,19000.0,18700.0,23.0,0.0,0.0,0.0,0.0136,1.0,200.0,FALL
2020-03-05,19150.0,18750.0,19150.0,18600.0,950.0,0.0,0.0,0.0,0.0136,1.0,400.0,RISE
2020-03-04,18750.0,17950.0,18750.0,17850.0,176.0,0.0,0.0,0.0,0.0136,1.0,650.0,RISE
2020-03-03,18100.0,18050.0,18250.0,17950.0,1075.0,0.0,0.0,0.0,0.0136,1.0,200.0,RISE
2020-02-28,17700.0,19400.0,19400.0,17700.0,2897.0,0.0,0.0,0.0,0.0136,1.0,1750.0,FALL
2020-02-27,19450.0,19050.0,19500.0,19050.0,306.0,0.0,0.0,0.0,0.0136,1.0,100.0,RISE
2020-02-26,19350.0,19300.0,19350.0,18800.0,626.0,0.0,0.0,0.0,0.0136,1.0,50.0,RISE
2020-02-21,19350.0,19700.0,19700.0,19300.0,545.0,0.0,0.0,0.0,0.0136,1.0,350.0,FALL
2020-02-20,19700.0,19900.0,19900.0,19500.0,405.0,0.0,0.0,0.0,0.0136,1.0,0.0,EVEN
2020-02-18,19500.0,19250.0,19600.0,19200.0,553.0,2.0,-2.0,0.0,0.0136,1.0,0.0,EVEN
2020-02-14,19500.0,19400.0,19550.0,19250.0,197.0,6.0,-6.0,0.0,0.0136,1.0,300.0,RISE
2020-02-13,19200.0,19000.0,19350.0,19000.0,111.0,0.0,0.0,0.0,0.0136,1.0,150.0,RISE
2020-02-12,19050.0,19500.0,19500.0,19050.0,999.0,0.0,0.0,0.0,0.0136,1.0,500.0,FALL
2020-02-07,19800.0,19000.0,19800.0,19000.0,7031.0,556.0,-556.0,0.0,0.0136,1.0,800.0,RISE
2020-02-06,19000.0,18850.0,19100.0,18700.0,4506.0,0.0,0.0,0.0,0.017,1.0,100.0,RISE
2020-02-05,18900.0,18400.0,19350.0,18350.0,7981.0,0.0,0.0,0.0,0.017,1.0,500.0,RISE
2020-02-04,18400.0,18000.0,18450.0,18000.0,901.0,30.0,-30.0,0.0,0.017,1.0,200.0,RISE
2020-02-03,18200.0,18450.0,18450.0,17950.0,1614.0,1.0,-1.0,0.0,0.0172,1.0,250.0,FALL
2020-01-31,18450.0,18800.0,19000.0,18250.0,3448.0,0.0,0.0,0.0,0.0172,1.0,300.0,FALL
2020-01-30,18750.0,18900.0,19050.0,18700.0,3665.0,-2.0,2.0,0.0,0.0194,1.0,350.0,FALL
2020-01-29,19100.0,19450.0,19450.0,18700.0,11373.0,5.0,-5.0,0.0,0.0194,1.0,150.0,FALL
2020-01-28,19250.0,19350.0,19600.0,19100.0,28492.0,-9.0,9.0,0.0,0.0194,1.0,450.0,RISE
