,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4100.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5400,0.0,EVEN
2020-06-04,4100.0,0.0,0.0,0.0,0.0,0,0,0,0.0099,5400,0.0,EVEN
2020-06-03,4100.0,0.0,0.0,0.0,0.0,0,0,0,0.0099,5400,0.0,EVEN
2020-06-02,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5401.0,0.0,EVEN
2020-06-01,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,5401.0,0.0,EVEN
2020-03-27,4100.0,3550.0,4100.0,3520.0,900518.0,7062.0,-7062.0,0.0,0.0096,5401.0,945.0,UPPER_LIMIT
2020-03-26,3155.0,4550.0,4880.0,3155.0,932824.0,-6978.0,6978.0,0.0,0.0114,5401.0,1350.0,LOWER_LIMIT
2020-03-25,4505.0,4535.0,5480.0,4330.0,1335207.0,-1496.0,1496.0,0.0,0.0094,5401.0,125.0,FALL
2020-03-24,4630.0,5890.0,6500.0,4630.0,2668658.0,-5967.0,3826.0,2141.0,0.009000000000000001,5401.0,1980.0,LOWER_LIMIT
2020-03-23,6610.0,8150.0,8640.0,6610.0,290554.0,13173.0,-2641.0,-10532.0,0.008,3260.0,2820.0,LOWER_LIMIT
2020-03-20,9430.0,9000.0,9990.0,9000.0,21969.0,-5353.0,1925.0,3428.0,0.0087,13792.0,70.0,FALL
2020-03-19,9500.0,9530.0,9990.0,9030.0,30382.0,-2388.0,372.0,2016.0,0.0087,10364.0,500.0,FALL
2020-03-18,10000.0,9150.0,10800.0,9150.0,45835.0,-2835.0,-115.0,2950.0,0.0091,8348.0,700.0,RISE
2020-03-17,9300.0,9000.0,9800.0,8870.0,52441.0,1292.0,-3430.0,2138.0,0.0091,5398.0,800.0,FALL
2020-03-16,10100.0,11000.0,11400.0,9950.0,48000.0,-481.0,481.0,0.0,0.0109,3260.0,1100.0,FALL
2020-03-13,11200.0,11000.0,11700.0,10000.0,62865.0,0.0,0.0,0.0,0.0108,3260.0,1000.0,FALL
2020-03-12,12200.0,13000.0,14250.0,12200.0,120058.0,-128.0,130.0,-2.0,0.011,3260.0,1550.0,FALL
2020-03-11,13750.0,14200.0,14900.0,12850.0,82195.0,3897.0,-3897.0,0.0,0.0136,3262.0,850.0,FALL
2020-03-10,14600.0,14900.0,15350.0,13450.0,180542.0,-848.0,848.0,0.0,0.0151,3262.0,1000.0,FALL
2020-03-09,15600.0,14500.0,16900.0,13000.0,585062.0,-11377.0,11377.0,0.0,0.0163,3262.0,1100.0,RISE
2020-03-06,14500.0,18000.0,21800.0,14400.0,990874.0,-10274.0,10860.0,-586.0,0.0099,3262.0,2650.0,FALL
2020-03-05,17150.0,13200.0,17150.0,11050.0,1096164.0,16830.0,-17413.0,583.0,0.0068,3848.0,3950.0,UPPER_LIMIT
2020-03-04,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,3265.0,0.0,EVEN
2020-02-13,1100.0,1200.0,1215.0,1070.0,633286.0,-1552.0,1552.0,0.0,0.0102,3265.0,100.0,FALL
2020-02-12,1200.0,1320.0,1320.0,1190.0,542946.0,-28406.0,28406.0,0.0,0.0102,3265.0,125.0,FALL
2020-02-11,1325.0,1380.0,1380.0,1315.0,162606.0,-9513.0,9513.0,0.0,0.0093,3265.0,30.0,FALL
2020-02-10,1355.0,1320.0,1405.0,1280.0,300961.0,9428.0,-9428.0,0.0,0.009000000000000001,3265.0,35.0,RISE
2020-02-07,1320.0,1270.0,1395.0,1255.0,583507.0,29166.0,-29166.0,0.0,0.0093,3265.0,55.0,RISE
2020-02-06,1265.0,1225.0,1315.0,1185.0,330004.0,-1938.0,1938.0,0.0,0.0102,3265.0,45.0,RISE
2020-02-05,1220.0,1195.0,1410.0,1140.0,1449792.0,35683.0,-3933.0,-31750.0,0.0102,3265.0,65.0,RISE
2020-02-04,1155.0,1120.0,1265.0,1120.0,485848.0,-30615.0,30615.0,0.0,0.0103,35015.0,45.0,RISE
2020-02-03,1110.0,1120.0,1140.0,1020.0,261341.0,-29954.0,29954.0,0.0,0.0093,35015.0,60.0,FALL
2020-01-31,1170.0,1235.0,1275.0,1170.0,230019.0,-7228.0,7228.0,0.0,0.0083,35015.0,65.0,FALL
2020-01-30,1235.0,1255.0,1330.0,1170.0,368308.0,3655.0,-3655.0,0.0,0.0081,35015.0,5.0,RISE
2020-01-29,1230.0,1260.0,1280.0,1200.0,285542.0,-6271.0,6271.0,0.0,0.0084,35015.0,30.0,FALL
2020-01-28,1260.0,1285.0,1300.0,1205.0,438908.0,-35824.0,35824.0,0.0,0.0082,35015.0,85.0,FALL
2020-01-23,1345.0,1420.0,1445.0,1300.0,542440.0,10478.0,-9676.0,-802.0,0.006999999999999999,35015.0,65.0,FALL
