,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1050.0,1055.0,1060.0,1025.0,1449302.0,-96565,97783,-1218,0.0077,-249049,20.0,FALL
2020-06-04,1070.0,1070.0,1075.0,1060.0,917964.0,-15928,17946,-2018,0.0071,-247831,5.0,RISE
2020-06-03,1065.0,1080.0,1080.0,1060.0,1090567.0,-14356,16652,-2296,0.007,-245813,5.0,FALL
2020-06-02,1070.0,1070.0,1080.0,1050.0,720998.0,24214.0,-22171.0,-2043.0,0.0069,-241910.0,0.0,EVEN
2020-06-01,1070.0,1080.0,1095.0,1060.0,1410416.0,157297.0,-160100.0,2803.0,0.006999999999999999,-239867.0,15.0,RISE
2020-05-29,1055.0,1025.0,1060.0,995.0,2686506.0,-15254.0,115646.0,-100392.0,0.008,-242670.0,10.0,RISE
2020-05-28,1045.0,1080.0,1085.0,1005.0,1943862.0,-163298.0,163822.0,-524.0,0.0073,-142278.0,30.0,FALL
2020-05-27,1075.0,1095.0,1100.0,1070.0,993079.0,-31129.0,31354.0,-225.0,0.0063,-141754.0,15.0,FALL
2020-05-26,1090.0,1110.0,1125.0,1075.0,1789613.0,51015.0,4055.0,-55070.0,0.0061,-141529.0,20.0,FALL
2020-05-25,1110.0,1130.0,1140.0,1085.0,1661120.0,2689.0,-2660.0,-29.0,0.0061,-86459.0,20.0,FALL
2020-05-22,1130.0,1125.0,1235.0,1120.0,5943505.0,101436.0,-102529.0,1093.0,0.0061,-86286.0,5.0,FALL
2020-05-21,1135.0,1155.0,1190.0,1115.0,4114053.0,589719.0,-589645.0,-74.0,0.0067,-87379.0,0.0,EVEN
2020-05-20,1135.0,1060.0,1150.0,1040.0,5718767.0,-528654.0,479398.0,49256.0,0.0104,-87305.0,90.0,RISE
2020-05-19,1045.0,1060.0,1065.0,1030.0,1073442.0,76567.0,-75523.0,-1044.0,0.0074,-136561.0,15.0,FALL
