,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4220.0,4130.0,4375.0,4125.0,2964574.0,-440,440,0,0.0115,739149,80.0,RISE
2020-06-04,4140.0,4140.0,4185.0,4055.0,1501130.0,-49417,49417,0,0.0115,739149,20.0,FALL
2020-06-03,4160.0,4500.0,4560.0,4135.0,4899229.0,-73919,73919,0,0.0097,739149,310.0,FALL
2020-06-02,4470.0,4110.0,5190.0,4110.0,45068258.0,148948.0,-127095.0,-21853.0,0.0069,739149.0,355.0,RISE
2020-06-01,4115.0,4035.0,4145.0,3950.0,1342959.0,46406.0,-42906.0,-3500.0,0.0117,761002.0,60.0,RISE
2020-05-29,4055.0,3835.0,4180.0,3665.0,3112576.0,-78594.0,63242.0,15352.0,0.0133,764502.0,40.0,RISE
2020-05-28,4015.0,3615.0,4015.0,3535.0,3852307.0,27722.0,-27722.0,0.0,0.0109,749150.0,405.0,RISE
2020-05-27,3610.0,3480.0,4000.0,3430.0,6162196.0,-14365.0,14365.0,0.0,0.0119,749150.0,170.0,RISE
2020-05-26,3440.0,3400.0,3465.0,3335.0,257158.0,-1888.0,1888.0,0.0,0.0114,749150.0,80.0,RISE
2020-05-25,3360.0,3315.0,3410.0,3270.0,178932.0,-13229.0,13229.0,0.0,0.0113,749150.0,45.0,RISE
2020-05-22,3315.0,3420.0,3440.0,3290.0,357540.0,-2424.0,2424.0,0.0,0.0108,749155.0,105.0,FALL
2020-05-21,3420.0,3500.0,3500.0,3370.0,385138.0,-1634.0,2384.0,-750.0,0.0107,749155.0,45.0,FALL
2020-05-20,3465.0,3520.0,3535.0,3450.0,300319.0,10207.0,-3857.0,-6350.0,0.0106,749905.0,55.0,FALL
2020-05-19,3520.0,3540.0,3610.0,3500.0,765391.0,-31459.0,29359.0,2100.0,0.0108,756255.0,20.0,RISE
2020-05-18,3500.0,3465.0,3555.0,3370.0,540341.0,567.0,2933.0,-3500.0,0.0097,754155.0,0.0,EVEN
2020-05-15,3500.0,3290.0,3800.0,3205.0,2716994.0,15811.0,-15811.0,0.0,0.0096,757655.0,160.0,RISE
2020-05-14,3340.0,3360.0,3480.0,3270.0,489154.0,55382.0,-33882.0,-21500.0,0.0102,757655.0,30.0,FALL
2020-05-13,3370.0,3310.0,3405.0,3250.0,303024.0,-7405.0,17405.0,-10000.0,0.0114,779155.0,20.0,RISE
2020-05-12,3350.0,3525.0,3555.0,3250.0,581070.0,-87.0,37087.0,-37000.0,0.0108,789155.0,175.0,FALL
2020-05-11,3525.0,3595.0,3595.0,3495.0,345532.0,15967.0,-14653.0,-1314.0,0.0094,826155.0,55.0,FALL
2020-05-08,3580.0,3615.0,3620.0,3545.0,633145.0,2455.0,-2455.0,0.0,0.0099,827469.0,30.0,FALL
2020-05-07,3610.0,3530.0,3655.0,3495.0,695098.0,50126.0,41560.0,-91686.0,0.01,827469.0,55.0,RISE
2020-05-06,3555.0,3585.0,3630.0,3440.0,482590.0,51299.0,4293.0,-55592.0,0.0085,919155.0,0.0,EVEN
2020-05-04,3555.0,3630.0,3675.0,3550.0,495163.0,56846.0,8962.0,-65808.0,0.0083,974747.0,160.0,FALL
2020-04-29,3715.0,3730.0,3835.0,3610.0,1037630.0,50745.0,-45728.0,-5017.0,0.008,1040555.0,65.0,FALL
