,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2925.0,2915.0,2925.0,2860.0,116077.0,-16993,16993,0,0.0707,-37064,10.0,RISE
2020-06-04,2915.0,2965.0,2975.0,2880.0,271883.0,-25475,25475,0,0.0692,-37064,15.0,FALL
2020-06-03,2930.0,2890.0,2975.0,2850.0,337456.0,-51826,51826,0,0.0671,-37064,70.0,RISE
2020-06-02,2860.0,2875.0,2875.0,2805.0,181561.0,-25361.0,25361.0,0.0,0.0627,-37064.0,25.0,RISE
2020-06-01,2835.0,2820.0,2885.0,2780.0,236204.0,-44075.0,44075.0,0.0,0.0606,-37064.0,10.0,RISE
2020-05-29,2825.0,2855.0,2985.0,2780.0,764382.0,-4556.0,4556.0,0.0,0.0569,-37064.0,25.0,FALL
2020-05-28,2850.0,2895.0,3065.0,2840.0,3185187.0,10932.0,-10932.0,0.0,0.0565,-37064.0,5.0,FALL
2020-05-27,2855.0,2800.0,2950.0,2800.0,769963.0,9147.0,-9147.0,0.0,0.0574,-37064.0,20.0,RISE
2020-05-26,2835.0,2790.0,2920.0,2755.0,405784.0,-34941.0,34941.0,0.0,0.0582,-37064.0,35.0,RISE
2020-05-25,2800.0,2830.0,2840.0,2760.0,153856.0,-11074.0,11074.0,0.0,0.0552,-37064.0,10.0,RISE
2020-05-22,2790.0,2800.0,2845.0,2765.0,261836.0,-20424.0,20424.0,0.0,0.0543,-36311.0,5.0,FALL
2020-05-21,2795.0,2780.0,3005.0,2750.0,2666991.0,113475.0,-113475.0,0.0,0.0526,-36311.0,95.0,RISE
2020-05-20,2700.0,2710.0,2750.0,2655.0,122751.0,-15094.0,15094.0,0.0,0.0621,-36311.0,15.0,FALL
2020-05-19,2715.0,2625.0,2735.0,2625.0,282581.0,-52435.0,52435.0,0.0,0.0609,-36311.0,90.0,RISE
2020-05-18,2625.0,2615.0,2640.0,2570.0,124639.0,-36355.0,36355.0,0.0,0.0564,-36311.0,10.0,RISE
2020-05-15,2615.0,2565.0,2620.0,2550.0,76491.0,-30724.0,30724.0,0.0,0.0534,-36311.0,50.0,RISE
2020-05-14,2565.0,2600.0,2610.0,2540.0,94265.0,8380.0,-8380.0,0.0,0.0508,-36311.0,45.0,FALL
2020-05-13,2610.0,2600.0,2620.0,2565.0,50828.0,308.0,-308.0,0.0,0.0515,-36311.0,0.0,EVEN
