,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5090.0,4985.0,5130.0,4935.0,2012702.0,-400380,397475,2905,0.0928,-2646720,90.0,RISE
2020-06-04,5000.0,5080.0,5160.0,4995.0,1907516.0,-94225,96326,-2101,0.0883,-2649625,30.0,FALL
2020-06-03,5030.0,5270.0,5300.0,5030.0,3258444.0,120098,-114332,-5766,0.0873,-2647524,160.0,FALL
2020-06-02,5190.0,5150.0,5240.0,5020.0,3781087.0,23427.0,-22475.0,-952.0,0.0887,-2646610.0,90.0,RISE
2020-06-01,5100.0,4950.0,5180.0,4935.0,3514288.0,-347166.0,343715.0,3451.0,0.0889,-2645658.0,190.0,RISE
2020-05-29,4910.0,4980.0,5040.0,4890.0,1866117.0,-7514.0,8618.0,-1104.0,0.0847,-2649109.0,100.0,FALL
2020-05-28,5010.0,4960.0,5330.0,4885.0,8685585.0,284944.0,-284211.0,-733.0,0.0848,-2648005.0,115.0,RISE
2020-05-27,4895.0,5040.0,5050.0,4870.0,2091907.0,467193.0,-466372.0,-821.0,0.0881,-2647272.0,105.0,FALL
2020-05-26,5000.0,4850.0,5020.0,4830.0,2822766.0,-365763.0,366142.0,-379.0,0.0934,-2646451.0,185.0,RISE
2020-05-25,4815.0,4780.0,4910.0,4780.0,1467436.0,-231177.0,231245.0,-68.0,0.0894,-2646072.0,35.0,RISE
2020-05-22,4780.0,4940.0,5020.0,4760.0,2533857.0,342197.0,-342849.0,652.0,0.0871,-2637215.0,140.0,FALL
2020-05-21,4920.0,4940.0,5060.0,4920.0,1919448.0,-91634.0,89576.0,2058.0,0.0909,-2637867.0,20.0,FALL
2020-05-20,4940.0,4920.0,4965.0,4880.0,2094305.0,85170.0,-89380.0,4210.0,0.09,-2639925.0,55.0,FALL
2020-05-19,4995.0,4885.0,5150.0,4875.0,4003493.0,-131933.0,133172.0,-1239.0,0.0945,-2644135.0,175.0,RISE
2020-05-18,4820.0,4935.0,4965.0,4780.0,2634277.0,-165828.0,165445.0,383.0,0.093,-2642896.0,180.0,FALL
2020-05-15,5000.0,5060.0,5080.0,4985.0,1580341.0,40659.0,-42271.0,1612.0,0.0911,-2643279.0,0.0,EVEN
2020-05-14,5000.0,5090.0,5150.0,4990.0,1605316.0,62068.0,-64750.0,2682.0,0.0916,-2644891.0,90.0,FALL
2020-05-13,5090.0,4980.0,5150.0,4930.0,1703634.0,-105193.0,104860.0,333.0,0.0925,-2647573.0,60.0,RISE
2020-05-12,5030.0,5180.0,5220.0,4990.0,2169092.0,-38164.0,37014.0,1150.0,0.0916,-2647906.0,120.0,FALL
2020-05-11,5150.0,5260.0,5280.0,5130.0,1803892.0,-5991.0,2090.0,3901.0,0.0912,-2649056.0,60.0,FALL
2020-05-08,5210.0,5240.0,5310.0,5170.0,1602662.0,-68770.0,66274.0,2496.0,0.0912,-2652957.0,10.0,FALL
2020-05-07,5220.0,5130.0,5410.0,5110.0,4095575.0,397135.0,-396326.0,-809.0,0.0904,-2655453.0,90.0,RISE
2020-05-06,5130.0,5200.0,5210.0,5040.0,1835883.0,-29974.0,28212.0,1762.0,0.0945,-2654644.0,0.0,EVEN
2020-05-04,5130.0,5020.0,5250.0,5020.0,2387670.0,-139131.0,148511.0,-9380.0,0.0947,-2656406.0,0.0,EVEN
2020-04-29,5130.0,5280.0,5320.0,5010.0,6440981.0,-107172.0,300678.0,-193506.0,0.093,-2647026.0,250.0,FALL
2020-04-28,5380.0,5680.0,5680.0,5340.0,4362800.0,223436.0,26447.0,-249883.0,0.0898,-2453520.0,210.0,FALL
2020-04-27,5590.0,5600.0,5820.0,5540.0,3010913.0,350897.0,-111295.0,-239602.0,0.0895,-2203637.0,50.0,RISE
2020-04-24,5540.0,5750.0,5810.0,5450.0,3177390.0,-169855.0,169817.0,38.0,0.0917,-1964035.0,280.0,FALL
2020-04-23,5820.0,5840.0,5990.0,5790.0,2783729.0,14396.0,-15477.0,1081.0,0.0897,-1964073.0,60.0,RISE
2020-04-22,5760.0,5710.0,5800.0,5620.0,2482425.0,-7119.0,8015.0,-896.0,0.0899,-1965154.0,140.0,FALL
2020-04-21,5900.0,5970.0,6120.0,5380.0,5210163.0,-200888.0,201270.0,-382.0,0.0898,-1964258.0,110.0,FALL
2020-04-20,6010.0,6110.0,6270.0,5900.0,4993130.0,47297.0,-46807.0,-490.0,0.0875,-1963876.0,40.0,FALL
2020-04-17,6050.0,5780.0,6400.0,5680.0,19206775.0,-12348.0,11457.0,891.0,0.08800000000000001,-1963386.0,320.0,RISE
2020-04-16,5730.0,5760.0,5830.0,5500.0,3306395.0,-240355.0,240652.0,-297.0,0.0879,-1964277.0,30.0,RISE
2020-04-14,5700.0,5640.0,6040.0,5610.0,10157529.0,279347.0,-285931.0,6584.0,0.0851,-1963980.0,130.0,RISE
2020-04-13,5570.0,5030.0,6160.0,4995.0,34137882.0,156334.0,-156348.0,14.0,0.0884,-1970564.0,560.0,RISE
2020-04-10,5010.0,5220.0,5250.0,4720.0,3634322.0,45687.0,-49848.0,4161.0,0.0893,-1970578.0,100.0,FALL
2020-04-09,5110.0,5190.0,5400.0,5100.0,4671002.0,-195977.0,193270.0,2707.0,0.0899,-1974739.0,50.0,RISE
2020-04-08,5060.0,4995.0,5390.0,4885.0,5382393.0,65839.0,-69865.0,4026.0,0.0877,-1977446.0,75.0,RISE
2020-04-07,4985.0,5060.0,5140.0,4880.0,3282064.0,-116162.0,110220.0,5942.0,0.0885,-1981472.0,50.0,RISE
2020-04-06,4935.0,4800.0,5100.0,4750.0,5058943.0,157802.0,-171600.0,13798.0,0.0876,-1987414.0,215.0,RISE
2020-04-03,4720.0,4760.0,4855.0,4630.0,2843712.0,53474.0,-56820.0,3346.0,0.0896,-2001212.0,15.0,FALL
2020-04-02,4735.0,4700.0,4780.0,4480.0,2979489.0,-189300.0,182587.0,6713.0,0.0903,-2004558.0,70.0,RISE
2020-04-01,4665.0,4890.0,5050.0,4630.0,5517211.0,239580.0,-245769.0,6189.0,0.0884,-2011271.0,170.0,FALL
2020-03-31,4835.0,4340.0,5220.0,4235.0,15055145.0,730409.0,-728038.0,-2371.0,0.0913,-2017460.0,670.0,RISE
2020-03-30,4165.0,3850.0,4180.0,3810.0,3421437.0,-116747.0,118546.0,-1799.0,0.0997,-2015089.0,150.0,RISE
2020-03-27,4015.0,4215.0,4340.0,3795.0,8024068.0,444298.0,-442501.0,-1797.0,0.0984,-2013290.0,15.0,FALL
2020-03-26,4030.0,3500.0,4265.0,3390.0,11317666.0,274446.0,-276924.0,2478.0,0.0959,-2011493.0,600.0,RISE
2020-03-25,3430.0,3440.0,3490.0,3310.0,5192821.0,220967.0,-212368.0,-8599.0,0.1053,-2013971.0,260.0,RISE
2020-03-24,3170.0,3055.0,3250.0,2990.0,5265401.0,-62855.0,62490.0,365.0,0.1086,-2005372.0,245.0,RISE
2020-03-23,2925.0,2900.0,3065.0,2855.0,3146234.0,-120772.0,121132.0,-360.0,0.1078,-2005737.0,210.0,FALL
2020-03-20,3135.0,3005.0,3220.0,2985.0,5659941.0,-46797.0,46866.0,-69.0,0.1087,-2005377.0,185.0,RISE
2020-03-19,2950.0,3845.0,3920.0,2865.0,5924285.0,-15535.0,15630.0,-95.0,0.1082,-2005308.0,800.0,FALL
2020-03-18,3750.0,4060.0,4180.0,3750.0,3856139.0,192659.0,-191889.0,-770.0,0.1074,-2005213.0,305.0,FALL
2020-03-17,4055.0,3800.0,4145.0,3780.0,4024303.0,-104699.0,117555.0,-12856.0,0.1118,-2004443.0,25.0,FALL
2020-03-16,4080.0,4500.0,4640.0,4080.0,5467240.0,549146.0,-549090.0,-56.0,0.1119,-1991587.0,45.0,FALL
