,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,18500.0,18450.0,18700.0,18050.0,190796.0,-20956,13224,7732,0.1494,-672846,100.0,RISE
2020-06-04,18400.0,18850.0,19000.0,18200.0,223269.0,53152,9824,-62976,0.1487,-680578,100.0,FALL
2020-06-03,18500.0,19100.0,19150.0,18350.0,256694.0,54865,-14580,-40285,0.1483,-617602,450.0,FALL
2020-06-02,18950.0,18750.0,18950.0,18400.0,301016.0,-14910,-54843,69753,0.1505,-579784,200.0,RISE
2020-06-01,18750.0,17750.0,18850.0,17600.0,486137.0,-50681,2002,48679,0.1533,-649537,1050.0,RISE
2020-05-29,17700.0,17450.0,17850.0,16800.0,504746.0,70308,-45909,-24399,0.1532,-698216,100.0,RISE
2020-05-28,17600.0,18800.0,19050.0,17000.0,653457.0,40443,84627,-125070,0.1556,-673817,950.0,FALL
2020-05-27,18550.0,19000.0,19250.0,18400.0,394846.0,3810,-1697,-2113,0.151,-548747,450.0,FALL
2020-05-26,19000.0,19650.0,19650.0,18600.0,463952.0,149490,-57291,-92199,0.1508,-546634,550.0,FALL
2020-05-25,19550.0,19400.0,19550.0,18850.0,533802.0,43661,39154,-82815,0.1537,-454435,250.0,RISE
2020-05-22,19300.0,19800.0,19850.0,18950.0,353692.0,-3147,5483,-2336,0.1508,-373701,500.0,FALL
2020-05-21,19800.0,19950.0,20400.0,19500.0,529902.0,4337,-13145,8808,0.1506,-371365,150.0,FALL
2020-05-20,19950.0,18600.0,19950.0,18350.0,869374.0,-99541,20367,79174,0.1512,-380173,1400.0,RISE
2020-05-19,18550.0,18050.0,18650.0,17750.0,1114080.0,-51829,15512,36317,0.1509,-459347,1700.0,RISE
2020-05-18,16850.0,17550.0,17550.0,16500.0,422448.0,85396,-40037,-45359,0.1501,-495664,600.0,FALL
2020-05-15,17450.0,16900.0,17650.0,16550.0,502313.0,-74875,42163,32712,0.1521,-450305,650.0,RISE
2020-05-14,16800.0,16600.0,17100.0,16450.0,200764.0,-39173,9898,29275,0.15,-483017,100.0,RISE
2020-05-13,16700.0,16600.0,16800.0,16350.0,180994.0,87507,395,-87902,0.1495,-512292,200.0,FALL
2020-05-12,16900.0,17350.0,17350.0,16600.0,146549.0,27854,4475,-32329,0.1495,-424390,450.0,FALL
2020-05-11,17350.0,17450.0,17600.0,17000.0,182326.0,-16059,-7670,23729,0.1493,-392061,50.0,FALL
2020-05-08,17400.0,17850.0,17950.0,17350.0,188650.0,17935,-10148,-7787,0.1497,-415790,200.0,FALL
2020-05-07,17600.0,17000.0,17700.0,16750.0,257900.0,-72844,8178,64666,0.1502,-408003,550.0,RISE
2020-05-06,17050.0,16750.0,17150.0,16350.0,193643.0,-32554,5928,26626,0.1498,-472669,550.0,RISE
2020-05-04,16500.0,17000.0,17250.0,16500.0,386596.0,69763,-43764,-25999,0.1495,-499295,950.0,FALL
2020-04-29,17450.0,16550.0,17800.0,16450.0,844746.0,-232583,57234,175349,0.1517,-473296,1050.0,RISE
2020-04-28,16400.0,15150.0,16650.0,14950.0,636726.0,-217386,55640,161746,0.1488,-648645,1400.0,RISE
2020-04-27,15000.0,14800.0,15100.0,14550.0,134180.0,-13471,6835,6636,0.1459,-810391,250.0,RISE
2020-04-24,14750.0,15050.0,15100.0,14650.0,140533.0,56186,-23622,-32564,0.1456,-817027,550.0,FALL
2020-04-23,15300.0,15250.0,15450.0,14950.0,255151.0,-30281,9731,20550,0.1469,-784463,350.0,RISE
2020-04-22,14950.0,14500.0,15000.0,14150.0,232515.0,83771,6230,-90001,0.1464,-805013,100.0,RISE
2020-04-21,14850.0,14900.0,15000.0,14000.0,196672.0,-8449,4340,4109,0.1458,-715012,150.0,FALL
2020-04-20,15000.0,15250.0,15350.0,14900.0,120586.0,-7880,12448,-4568,0.1462,-719121,250.0,FALL
2020-04-17,15250.0,15500.0,15550.0,15100.0,208699.0,12239,-4785,-7454,0.1457,-714553,350.0,RISE
2020-04-16,14900.0,14550.0,14950.0,14200.0,156803.0,12418,17074,-29492,0.146,-707099,150.0,RISE
2020-04-14,14750.0,14650.0,14850.0,14350.0,194236.0,48141,8517,-56658,0.1451,-677607,350.0,RISE
2020-04-13,14400.0,15050.0,15200.0,14300.0,193114.0,29536,-852,-28684,0.1447,-620949,900.0,FALL
2020-04-10,15300.0,15500.0,15750.0,15050.0,225676.0,26602,-5174,-21428,0.1447,-592265,300.0,FALL
2020-04-09,15600.0,15750.0,16050.0,15400.0,265107.0,19602,-1361,-18241,0.145,-570837,300.0,RISE
2020-04-08,15300.0,14750.0,15800.0,14450.0,405171.0,-118888,14413,104475,0.145,-552596,450.0,RISE
