,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,18500.0,18650.0,18700.0,18200.0,8498.0,-273,280,-7,0.0197,-100877,200.0,FALL
2020-06-04,18700.0,18650.0,19400.0,18150.0,47700.0,-838,851,-13,0.0196,-100870,700.0,RISE
2020-06-03,18000.0,17000.0,18150.0,16950.0,44228.0,-2853,2865,-12,0.0192,-100857,950.0,RISE
2020-06-02,17050.0,17000.0,17250.0,16750.0,9076.0,-884.0,898.0,-14.0,0.0177,-99597.0,50.0,RISE
2020-06-01,17000.0,17000.0,17150.0,16800.0,6214.0,-858.0,854.0,4.0,0.0173,-99583.0,0.0,EVEN
2020-05-29,17000.0,16650.0,17250.0,16650.0,3639.0,-151.0,155.0,-4.0,0.0168,-99587.0,200.0,RISE
2020-05-28,16800.0,17450.0,17600.0,16700.0,17856.0,-49.0,56.0,-7.0,0.0168,-99583.0,550.0,FALL
2020-05-27,17350.0,17400.0,17550.0,17200.0,16267.0,-1457.0,1458.0,-1.0,0.0167,-99576.0,50.0,FALL
2020-05-26,17400.0,16650.0,18500.0,16550.0,99309.0,3020.0,-3020.0,0.0,0.016,-99575.0,750.0,RISE
2020-05-25,16650.0,16750.0,16900.0,16500.0,5637.0,53.0,28.0,-81.0,0.0175,-99575.0,250.0,FALL
2020-05-22,16900.0,16850.0,17000.0,16750.0,5691.0,221.0,-221.0,0.0,0.0175,-97831.0,50.0,FALL
2020-05-21,16950.0,16950.0,17100.0,16800.0,2410.0,-437.0,437.0,0.0,0.0176,-97831.0,150.0,RISE
2020-05-20,16800.0,16800.0,17250.0,16750.0,5679.0,-300.0,300.0,0.0,0.0174,-97831.0,50.0,RISE
2020-05-19,16750.0,16900.0,16900.0,16350.0,5873.0,-14.0,13.0,1.0,0.0172,-97831.0,400.0,RISE
2020-05-18,16350.0,16600.0,16700.0,16200.0,9206.0,180.0,-182.0,2.0,0.0172,-97832.0,250.0,FALL
2020-05-15,16600.0,17250.0,17250.0,16500.0,21012.0,-295.0,284.0,11.0,0.0173,-97834.0,850.0,FALL
2020-05-14,17450.0,17100.0,17550.0,16900.0,2821.0,164.0,-171.0,7.0,0.0172,-97845.0,200.0,RISE
2020-05-13,17250.0,17150.0,17250.0,16850.0,2323.0,86.0,-88.0,2.0,0.0173,-97852.0,100.0,RISE
2020-05-12,17150.0,17050.0,17250.0,16850.0,3377.0,140.0,-152.0,12.0,0.0173,-97854.0,100.0,FALL
2020-05-11,17250.0,17800.0,17950.0,17200.0,6792.0,153.0,-153.0,0.0,0.0174,-97866.0,700.0,FALL
2020-05-08,17950.0,17450.0,18350.0,17300.0,14744.0,-447.0,472.0,-25.0,0.0175,-97866.0,500.0,RISE
2020-05-07,17450.0,17600.0,17900.0,17250.0,7749.0,-88.0,88.0,0.0,0.0172,-97841.0,50.0,FALL
2020-05-06,17500.0,17200.0,17600.0,17150.0,3167.0,-57.0,47.0,10.0,0.0172,-97841.0,200.0,RISE
2020-05-04,17300.0,17400.0,17550.0,17150.0,4831.0,-247.0,238.0,9.0,0.0172,-97851.0,100.0,RISE
2020-04-29,17200.0,17150.0,17200.0,17000.0,2562.0,-213.0,49.0,164.0,0.0177,-97860.0,50.0,RISE
2020-04-28,17150.0,17350.0,17750.0,16800.0,7010.0,433.0,-434.0,1.0,0.0177,-98024.0,50.0,FALL
2020-04-27,17200.0,16900.0,17250.0,16550.0,11154.0,-2740.0,2739.0,1.0,0.0179,-98025.0,700.0,RISE
2020-04-24,16500.0,17100.0,17300.0,16500.0,11590.0,403.0,-431.0,28.0,0.0166,-98026.0,650.0,FALL
2020-04-23,17150.0,16800.0,17500.0,16400.0,12015.0,-1770.0,1432.0,338.0,0.0168,-98054.0,300.0,RISE
2020-04-22,16850.0,16000.0,16850.0,15750.0,8712.0,-337.0,149.0,188.0,0.0161,-98392.0,450.0,RISE
2020-04-21,16400.0,17900.0,18400.0,15050.0,59223.0,1574.0,-1575.0,1.0,0.016,-98580.0,1050.0,FALL
2020-04-20,17450.0,16800.0,18200.0,16800.0,47215.0,-416.0,498.0,-82.0,0.0168,-98581.0,650.0,RISE
2020-04-17,16800.0,16350.0,16800.0,16200.0,8328.0,-208.0,218.0,-10.0,0.0166,-98499.0,300.0,RISE
2020-04-16,16500.0,15500.0,16850.0,15200.0,16517.0,-135.0,135.0,0.0,0.0165,-98489.0,1000.0,RISE
2020-04-14,15500.0,15050.0,15650.0,15000.0,5298.0,-3.0,168.0,-165.0,0.0165,-98489.0,450.0,RISE
2020-04-13,15050.0,15350.0,15350.0,14950.0,5316.0,-99.0,98.0,1.0,0.0164,-98324.0,300.0,FALL
2020-04-10,15350.0,15700.0,15700.0,14900.0,8237.0,-684.0,681.0,3.0,0.0164,-98325.0,150.0,FALL
2020-04-09,15500.0,15250.0,15600.0,15250.0,2770.0,-427.0,409.0,18.0,0.016,-98328.0,250.0,RISE
2020-04-08,15250.0,15200.0,15650.0,15200.0,4806.0,-294.0,285.0,9.0,0.0158,-98346.0,150.0,FALL
2020-04-07,15400.0,14550.0,15500.0,14450.0,16521.0,897.0,-900.0,3.0,0.0153,-98355.0,900.0,RISE
2020-04-06,14500.0,14300.0,14600.0,14300.0,4312.0,218.0,-217.0,-1.0,0.0157,-98358.0,200.0,RISE
2020-04-03,14300.0,14300.0,14700.0,14150.0,2932.0,37.0,-38.0,1.0,0.0158,-98357.0,0.0,EVEN
2020-04-02,14300.0,13650.0,14400.0,13650.0,5462.0,-550.0,551.0,-1.0,0.0158,-98358.0,350.0,RISE
2020-04-01,13950.0,14400.0,14750.0,13850.0,9296.0,1654.0,-1656.0,2.0,0.0161,-98357.0,450.0,FALL
2020-03-31,14400.0,13550.0,15200.0,13250.0,45120.0,29.0,-34.0,5.0,0.017,-98359.0,1200.0,RISE
2020-03-30,13200.0,12500.0,13200.0,12500.0,3602.0,-703.0,701.0,2.0,0.017,-98364.0,400.0,RISE
2020-03-27,12800.0,13650.0,13650.0,12550.0,12964.0,1784.0,-1466.0,-318.0,0.0166,-98366.0,500.0,RISE
2020-03-26,12300.0,12400.0,12800.0,12100.0,10793.0,-1062.0,1229.0,-167.0,0.0174,-98048.0,200.0,RISE
2020-03-25,12100.0,11700.0,12650.0,11700.0,21019.0,-3060.0,2726.0,334.0,0.0167,-97881.0,750.0,RISE
2020-03-24,11350.0,10800.0,11500.0,10450.0,6872.0,709.0,-714.0,5.0,0.0154,-98215.0,1000.0,RISE
2020-03-23,10350.0,10500.0,10950.0,10100.0,18401.0,3472.0,-1451.0,-2021.0,0.0157,-98220.0,800.0,FALL
2020-03-20,11150.0,11000.0,11150.0,10050.0,29221.0,-139.0,1013.0,-874.0,0.0165,-96199.0,1000.0,RISE
2020-03-19,10150.0,12150.0,12600.0,10150.0,35667.0,-1378.0,1376.0,2.0,0.0165,-95325.0,2150.0,FALL
2020-03-18,12300.0,12650.0,13600.0,12300.0,14585.0,230.0,-230.0,0.0,0.0161,-95327.0,550.0,FALL
2020-03-17,12850.0,11800.0,13100.0,11800.0,14364.0,-1660.0,1669.0,-9.0,0.0166,-95327.0,50.0,FALL
2020-03-16,12900.0,13700.0,14300.0,12700.0,13759.0,1331.0,-1248.0,-83.0,0.0157,-95318.0,800.0,FALL
2020-03-13,13700.0,13450.0,14350.0,12700.0,28188.0,1444.0,-1464.0,20.0,0.0164,-95235.0,1250.0,FALL
2020-03-12,14950.0,15900.0,15900.0,14650.0,16047.0,3043.0,-2827.0,-216.0,0.0171,-95255.0,1000.0,FALL
2020-03-11,15950.0,16450.0,16650.0,15800.0,10752.0,1313.0,-826.0,-487.0,0.0185,-95039.0,350.0,FALL
2020-03-10,16300.0,16650.0,16650.0,16000.0,20339.0,-3523.0,3562.0,-39.0,0.0189,-94552.0,350.0,FALL
2020-03-09,16650.0,16850.0,16950.0,16500.0,9860.0,1349.0,-981.0,-368.0,0.0171,-94513.0,750.0,FALL
2020-03-06,17400.0,17500.0,17500.0,16950.0,5646.0,1304.0,-492.0,-812.0,0.0177,-94145.0,0.0,EVEN
