,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3390.0,3390.0,3410.0,3365.0,49857.0,-2301,2430,-129,0.0258,-1556433,10.0,FALL
2020-06-04,3400.0,3440.0,3440.0,3390.0,41608.0,2730,-2070,-660,0.0258,-1556304,10.0,FALL
2020-06-03,3410.0,3440.0,3440.0,3390.0,98009.0,10054,6929,-16983,0.0258,-1555644,10.0,RISE
2020-06-02,3400.0,3440.0,3440.0,3385.0,32544.0,1650.0,-1126.0,-524.0,0.0256,-1550673.0,15.0,FALL
2020-06-01,3415.0,3415.0,3420.0,3395.0,53554.0,-7685.0,9325.0,-1640.0,0.0256,-1550149.0,25.0,RISE
2020-05-29,3390.0,3410.0,3410.0,3355.0,34200.0,2830.0,-2748.0,-82.0,0.0255,-1548509.0,15.0,RISE
2020-05-28,3375.0,3430.0,3430.0,3350.0,61042.0,-1925.0,2008.0,-83.0,0.0256,-1548427.0,20.0,FALL
2020-05-27,3395.0,3420.0,3420.0,3380.0,55580.0,-517.0,571.0,-54.0,0.0255,-1548344.0,5.0,FALL
2020-05-26,3400.0,3445.0,3445.0,3365.0,40416.0,600.0,-102.0,-498.0,0.0255,-1548290.0,5.0,RISE
2020-05-25,3395.0,3325.0,3410.0,3325.0,44909.0,-244.0,217.0,27.0,0.0255,-1547792.0,55.0,RISE
2020-05-22,3340.0,3410.0,3455.0,3320.0,129589.0,7817.0,-6954.0,-863.0,0.0255,-1565226.0,10.0,FALL
2020-05-21,3350.0,3290.0,3350.0,3280.0,103303.0,-36281.0,35356.0,925.0,0.0257,-1564363.0,65.0,RISE
2020-05-20,3285.0,3240.0,3295.0,3240.0,45552.0,-3568.0,3547.0,21.0,0.0246,-1565288.0,30.0,RISE
2020-05-19,3255.0,3205.0,3255.0,3205.0,31265.0,-2605.0,2644.0,-39.0,0.0245,-1565309.0,55.0,RISE
2020-05-18,3200.0,3220.0,3220.0,3170.0,21489.0,-1329.0,1225.0,104.0,0.0244,-1565270.0,25.0,RISE
2020-05-15,3175.0,3220.0,3240.0,3175.0,27139.0,2605.0,1630.0,-4235.0,0.0244,-1565374.0,25.0,FALL
2020-05-14,3200.0,3140.0,3200.0,3120.0,45873.0,-11100.0,6696.0,4404.0,0.0244,-1561139.0,20.0,FALL
2020-05-13,3220.0,3225.0,3240.0,3140.0,73359.0,-4149.0,6945.0,-2796.0,0.0242,-1565543.0,30.0,FALL
