,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5440.0,5190.0,5480.0,5040.0,1851672.0,4,-22011,22007,0.0173,-172073,260.0,RISE
2020-06-04,5180.0,5370.0,5440.0,4975.0,1472208.0,-17146,17875,-729,0.0187,-194080,200.0,FALL
2020-06-03,5380.0,5180.0,5950.0,5110.0,13044601.0,96066,-94066,-2000,0.0176,-193351,280.0,RISE
2020-06-02,5100.0,4935.0,5130.0,4900.0,549035.0,-48534.0,48572.0,-38.0,0.024,-279930.0,180.0,RISE
2020-06-01,4920.0,4970.0,5070.0,4910.0,410159.0,-19228.0,19416.0,-188.0,0.0208,-279892.0,0.0,EVEN
2020-05-29,4920.0,4760.0,4940.0,4600.0,499234.0,-32625.0,31948.0,677.0,0.0196,-279704.0,45.0,RISE
2020-05-28,4875.0,5180.0,5340.0,4800.0,1025575.0,-11771.0,8174.0,3597.0,0.0175,-280381.0,235.0,FALL
2020-05-27,5110.0,5210.0,5270.0,5020.0,876171.0,-3388.0,2854.0,534.0,0.017,-283978.0,10.0,RISE
2020-05-26,5100.0,5080.0,5320.0,4985.0,2503923.0,83480.0,-30225.0,-53255.0,0.0168,-284512.0,30.0,RISE
2020-05-25,5070.0,4985.0,5090.0,4900.0,947453.0,-20045.0,21545.0,-1500.0,0.0197,-231257.0,85.0,RISE
2020-05-22,4985.0,5090.0,5190.0,4900.0,1222730.0,-7842.0,7561.0,281.0,0.0183,-308357.0,125.0,FALL
2020-05-21,5110.0,5280.0,6040.0,5030.0,14084177.0,163372.0,-86425.0,-76947.0,0.0178,-308638.0,170.0,FALL
2020-05-20,5280.0,5300.0,5350.0,5120.0,3004461.0,85915.0,22503.0,-108418.0,0.0235,-231691.0,100.0,FALL
2020-05-19,5380.0,4440.0,5700.0,4435.0,17076020.0,91608.0,-297877.0,206269.0,0.0208,-123273.0,985.0,RISE
2020-05-18,4395.0,4290.0,4450.0,4270.0,245894.0,-29094.0,29094.0,0.0,0.0402,-329542.0,90.0,RISE
2020-05-15,4305.0,4365.0,4400.0,4270.0,155497.0,-2901.0,6901.0,-4000.0,0.0383,-329542.0,55.0,FALL
2020-05-14,4360.0,4400.0,4480.0,4310.0,218792.0,28267.0,-25267.0,-3000.0,0.0378,-325542.0,80.0,FALL
2020-05-13,4440.0,4230.0,4500.0,4230.0,402400.0,-14605.0,16537.0,-1932.0,0.0395,-322542.0,130.0,RISE
2020-05-12,4310.0,4550.0,4550.0,4275.0,322819.0,59800.0,-58584.0,-1216.0,0.0384,-320610.0,160.0,FALL
2020-05-11,4470.0,4435.0,4570.0,4140.0,712345.0,-85972.0,39742.0,46230.0,0.0422,-319394.0,85.0,RISE
2020-05-08,4385.0,4405.0,4490.0,4300.0,347192.0,10852.0,2196.0,-13048.0,0.0396,-365624.0,5.0,RISE
2020-05-07,4380.0,4245.0,4435.0,4235.0,518232.0,-20840.0,20840.0,0.0,0.0395,-352576.0,145.0,RISE
2020-05-06,4235.0,4125.0,4250.0,4110.0,171743.0,-46779.0,46531.0,248.0,0.0381,-352576.0,160.0,RISE
2020-05-04,4075.0,4175.0,4240.0,4030.0,181197.0,-26294.0,26294.0,0.0,0.0352,-352824.0,125.0,FALL
2020-04-29,4200.0,4225.0,4280.0,4175.0,185191.0,-36372.0,36372.0,0.0,0.0343,-352824.0,40.0,RISE
2020-04-28,4160.0,4220.0,4280.0,4160.0,253802.0,14117.0,-14019.0,-98.0,0.0319,-352824.0,45.0,FALL
2020-04-27,4205.0,4200.0,4285.0,4000.0,329408.0,-24964.0,24508.0,456.0,0.033,-352726.0,5.0,RISE
2020-04-24,4200.0,4335.0,4335.0,4190.0,295906.0,87459.0,-87060.0,-399.0,0.0314,-353182.0,155.0,FALL
2020-04-23,4355.0,4295.0,4400.0,4200.0,514445.0,-42416.0,21516.0,20900.0,0.0371,-352783.0,140.0,RISE
2020-04-22,4215.0,4060.0,4295.0,4015.0,331585.0,-68546.0,54542.0,14004.0,0.0357,-373683.0,55.0,RISE
2020-04-21,4160.0,4275.0,4275.0,4000.0,431251.0,1383.0,-2179.0,796.0,0.0329,-387687.0,170.0,FALL
2020-04-20,4330.0,4365.0,4455.0,4260.0,472486.0,981.0,-817.0,-164.0,0.0334,-388483.0,40.0,FALL
2020-04-17,4370.0,4250.0,4460.0,4125.0,1295493.0,122117.0,-108204.0,-13913.0,0.0336,-388319.0,250.0,RISE
2020-04-16,4120.0,4150.0,4245.0,4050.0,268186.0,31652.0,-31810.0,158.0,0.041,-374406.0,30.0,FALL
2020-04-14,4150.0,4190.0,4230.0,4115.0,247387.0,34612.0,-33635.0,-977.0,0.0432,-374564.0,40.0,RISE
2020-04-13,4110.0,4265.0,4300.0,4090.0,356423.0,40857.0,-39645.0,-1212.0,0.0454,-373587.0,195.0,FALL
2020-04-10,4305.0,4310.0,4495.0,4090.0,542046.0,-38846.0,63092.0,-24246.0,0.048,-372375.0,35.0,FALL
2020-04-09,4340.0,4340.0,4610.0,4285.0,975061.0,-9996.0,-19846.0,29842.0,0.0439,-348129.0,135.0,RISE
2020-04-08,4205.0,4240.0,4420.0,4080.0,653936.0,-27493.0,29241.0,-1748.0,0.0452,-377971.0,35.0,FALL
2020-04-07,4240.0,4290.0,4365.0,4050.0,1160759.0,10706.0,-51026.0,40320.0,0.0433,-376223.0,190.0,RISE
2020-04-06,4050.0,3500.0,4080.0,3500.0,1806928.0,-93129.0,45418.0,47711.0,0.0466,-416543.0,520.0,RISE
2020-04-03,3530.0,3695.0,3695.0,3500.0,412514.0,7426.0,-26145.0,18719.0,0.0437,-464254.0,30.0,FALL
2020-04-02,3560.0,3440.0,3585.0,3175.0,746022.0,-71685.0,27827.0,43858.0,0.0455,-482973.0,175.0,RISE
2020-04-01,3385.0,3505.0,3760.0,3345.0,1344539.0,5477.0,-21901.0,16424.0,0.0437,-526831.0,40.0,RISE
2020-03-31,3345.0,3415.0,3695.0,3230.0,1252355.0,121148.0,-88113.0,-33035.0,0.0451,-543255.0,190.0,RISE
2020-03-30,3155.0,2840.0,3330.0,2705.0,1116232.0,49274.0,-53016.0,3742.0,0.0509,-510220.0,310.0,RISE
2020-03-27,2845.0,2950.0,3020.0,2670.0,569112.0,2230.0,-2230.0,0.0,0.0543,-513962.0,10.0,RISE
2020-03-26,2835.0,2670.0,2935.0,2550.0,1201811.0,60887.0,-60887.0,0.0,0.0545,-513962.0,190.0,RISE
2020-03-25,2645.0,2650.0,2740.0,2535.0,554382.0,22234.0,-22234.0,0.0,0.0585,-513962.0,110.0,RISE
2020-03-24,2535.0,2345.0,2755.0,2270.0,999260.0,54528.0,-65635.0,11107.0,0.0599,-513962.0,320.0,RISE
2020-03-23,2215.0,2130.0,2325.0,2010.0,471091.0,-16715.0,-11196.0,27911.0,0.0644,-525069.0,85.0,FALL
2020-03-20,2300.0,2090.0,2325.0,2020.0,689461.0,-24344.0,7398.0,16946.0,0.0657,-552980.0,215.0,RISE
2020-03-19,2085.0,2850.0,2930.0,1985.0,878236.0,-4787.0,8211.0,-3424.0,0.0671,-569926.0,740.0,FALL
2020-03-18,2825.0,3145.0,3240.0,2825.0,414032.0,-26216.0,26216.0,0.0,0.0666,-566502.0,300.0,FALL
2020-03-17,3125.0,2825.0,3290.0,2820.0,429554.0,-112754.0,126575.0,-13821.0,0.0649,-566502.0,65.0,FALL
2020-03-16,3190.0,3450.0,3580.0,3190.0,433066.0,-17404.0,17403.0,1.0,0.0567,-552681.0,260.0,FALL
2020-03-13,3450.0,3610.0,3700.0,3160.0,719384.0,-96155.0,96155.0,0.0,0.0555,-552682.0,425.0,FALL
2020-03-12,3875.0,4210.0,4310.0,3820.0,436034.0,7730.0,-7730.0,0.0,0.0493,-552682.0,405.0,FALL
2020-03-11,4280.0,4355.0,4530.0,4120.0,440866.0,29577.0,-29577.0,0.0,0.0498,-552682.0,105.0,FALL
2020-03-10,4385.0,4115.0,4525.0,3995.0,977888.0,35237.0,-35385.0,148.0,0.0517,-552682.0,205.0,RISE
2020-03-09,4180.0,4430.0,4430.0,4105.0,241812.0,7382.0,-7382.0,0.0,0.054000000000000006,-552830.0,310.0,FALL
2020-03-06,4490.0,4500.0,4565.0,4355.0,231917.0,-36303.0,36303.0,0.0,0.0545,-552830.0,100.0,FALL
2020-03-05,4590.0,4650.0,4710.0,4550.0,455608.0,587.0,-20301.0,19714.0,0.0521,-552830.0,40.0,RISE
