,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3695.0,3690.0,3700.0,3620.0,79385.0,18858,-3006,-15852,0.0694,-1812151,5.0,RISE
2020-06-01,3690.0,3800.0,3800.0,3610.0,103221.0,-2050,11653,-9603,0.0694,-1796299,55.0,FALL
2020-05-29,3745.0,3830.0,3830.0,3730.0,21045.0,199,-28,-171,0.0692,-1786696,30.0,FALL
2020-05-28,3775.0,3835.0,3840.0,3720.0,45067.0,3134,-1456,-1678,0.0692,-1786525,60.0,FALL
2020-05-27,3835.0,3870.0,3890.0,3785.0,87216.0,9977,-9816,-161,0.0692,-1784847,20.0,FALL
2020-05-26,3855.0,3855.0,3875.0,3825.0,36855.0,-2817,2833,-16,0.0694,-1784686,5.0,RISE
2020-05-25,3850.0,3850.0,3870.0,3810.0,27093.0,-1666,726,940,0.0694,-1784670,5.0,RISE
2020-05-22,3845.0,3860.0,3950.0,3815.0,48759.0,1058,-954,-104,0.0694,-1785610,10.0,FALL
2020-05-21,3855.0,3880.0,3895.0,3845.0,57173.0,-4831,3301,1530,0.0694,-1785506,5.0,FALL
2020-05-20,3860.0,3805.0,3895.0,3800.0,52646.0,-3136,3162,-26,0.0693,-1545755,50.0,RISE
2020-05-19,3810.0,3785.0,3860.0,3720.0,55458.0,-4536,8976,-4440,0.0692,-1545729,25.0,RISE
2020-05-18,3785.0,3910.0,3910.0,3730.0,59591.0,421,-367,-54,0.069,-1541289,125.0,FALL
2020-05-15,3910.0,3790.0,3910.0,3720.0,51275.0,-5737,-1753,7490,0.0691,-1541235,120.0,RISE
2020-05-14,3790.0,3835.0,4205.0,3700.0,290390.0,-3471,3290,181,0.0691,-1548725,45.0,RISE
2020-05-13,3745.0,3800.0,3800.0,3720.0,24313.0,-1430,1414,16,0.069,-1548906,60.0,FALL
2020-05-12,3805.0,3850.0,3850.0,3705.0,55976.0,-6382,-760,7142,0.069,-1548922,10.0,FALL
2020-05-11,3815.0,3845.0,3885.0,3810.0,61245.0,-1772,2038,-266,0.069,-1556064,15.0,FALL
2020-05-08,3830.0,3870.0,3895.0,3800.0,69325.0,-2808,2298,510,0.069,-1555798,10.0,FALL
2020-05-07,3840.0,3845.0,3855.0,3800.0,45228.0,-8732,824,7908,0.0689,-1556308,25.0,RISE
2020-05-06,3815.0,3785.0,3850.0,3745.0,92383.0,-23053,6717,16336,0.0689,-1564216,25.0,RISE
2020-05-04,3790.0,3725.0,3820.0,3675.0,83586.0,-16634,3199,13435,0.0688,-1580552,55.0,RISE
2020-04-29,3735.0,3595.0,4005.0,3595.0,392432.0,27154,-30369,3215,0.0687,-1593987,140.0,RISE
2020-04-28,3595.0,3570.0,3625.0,3535.0,80400.0,-15024,15029,-5,0.0694,-1597202,5.0,RISE
2020-04-27,3590.0,3500.0,3605.0,3500.0,102493.0,-17487,17486,1,0.0691,-1597197,65.0,RISE
2020-04-24,3525.0,3595.0,3605.0,3480.0,51343.0,9289,-9281,-8,0.0687,-1597198,15.0,FALL
2020-04-23,3540.0,3450.0,3575.0,3450.0,152749.0,-4569,31109,-26540,0.0689,-1597190,100.0,RISE
2020-04-22,3440.0,3480.0,3480.0,3370.0,54950.0,-2405,2445,-40,0.0683,-1570650,40.0,FALL
2020-04-21,3480.0,3545.0,3545.0,3320.0,134064.0,-7882,4076,3806,0.0682,-1570610,65.0,FALL
2020-04-20,3545.0,3550.0,3575.0,3490.0,90965.0,-1277,4607,-3330,0.0681,-1574416,65.0,RISE
2020-04-17,3480.0,3405.0,3550.0,3405.0,95828.0,8882,-5735,-3147,0.068,-1571086,40.0,RISE
2020-04-16,3440.0,3425.0,3465.0,3335.0,68818.0,3968,6073,-10041,0.0682,-1567939,15.0,RISE
2020-04-14,3425.0,3430.0,3525.0,3150.0,150866.0,4859,11012,-15871,0.068,-1557898,5.0,FALL
2020-04-13,3430.0,3620.0,3620.0,3430.0,96962.0,12117,-7326,-4791,0.0678,-1542027,185.0,FALL
2020-04-10,3615.0,3610.0,3625.0,3430.0,156716.0,-4400,4023,377,0.068,-1537236,75.0,RISE
2020-04-09,3540.0,3580.0,3860.0,3460.0,398441.0,-17757,8797,8960,0.0679,-1537613,15.0,FALL
2020-04-08,3555.0,3080.0,3840.0,3035.0,1009825.0,22254,-34090,11836,0.0677,-1546573,480.0,RISE
2020-04-07,3075.0,2950.0,3110.0,2935.0,244015.0,-25801,17242,8559,0.0683,-1558409,215.0,RISE
2020-04-06,2860.0,2870.0,2870.0,2795.0,120378.0,-23183,11299,11884,0.0679,-1566968,40.0,RISE
2020-04-03,2820.0,2850.0,3000.0,2805.0,96380.0,26947,-27951,1004,0.0677,-1578852,10.0,FALL
2020-04-02,2830.0,2845.0,2850.0,2745.0,111830.0,-36442,23193,13249,0.0684,-1579856,20.0,FALL
2020-04-01,2850.0,3000.0,3000.0,2850.0,96804.0,16013,-16062,49,0.0681,-1593105,100.0,FALL
2020-03-31,2950.0,2835.0,2950.0,2825.0,147416.0,-7968,8386,-418,0.0684,-1593154,120.0,RISE
2020-03-30,2830.0,2775.0,2875.0,2690.0,104980.0,-9710,2953,6757,0.0682,-1592736,5.0,RISE
2020-03-27,2825.0,2715.0,3295.0,2675.0,277888.0,21060,-7985,-13075,0.0682,-1599493,170.0,RISE
2020-03-26,2655.0,2415.0,2725.0,2380.0,238643.0,2066,352,-2418,0.0683,-1586418,215.0,RISE
2020-03-25,2440.0,2235.0,2520.0,2200.0,240822.0,30936,-30868,-68,0.0683,-1584000,280.0,RISE
2020-03-24,2160.0,2050.0,2200.0,1980.0,208892.0,8075,-24053,15978,0.069,-1583932,190.0,RISE
2020-03-23,1970.0,1950.0,2140.0,1860.0,270836.0,-22633,-42345,64978,0.0695,-1599910,70.0,FALL
2020-03-20,2040.0,1950.0,2080.0,1950.0,899958.0,98229,53479,-151708,0.0704,-1664888,70.0,FALL
2020-03-19,2110.0,2885.0,2940.0,2030.0,531730.0,-3210,-3885,7095,0.0693,-1513180,785.0,FALL
2020-03-18,2895.0,3150.0,3150.0,2845.0,248877.0,127706,-9645,-118061,0.0694,-1520275,250.0,FALL
2020-03-17,3145.0,3300.0,3420.0,3000.0,175346.0,3782,17326,-21108,0.0696,-1402214,270.0,FALL
2020-03-16,3415.0,3410.0,3625.0,3270.0,99605.0,9628,-16379,6751,0.0693,-1381106,110.0,FALL
2020-03-13,3525.0,3460.0,3580.0,3140.0,170309.0,357,-21652,21295,0.0696,-1387857,125.0,FALL
2020-03-12,3650.0,3685.0,3800.0,3505.0,111617.0,13217,-14227,1010,0.07,-1409152,165.0,FALL
