날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-05-20,121400.0,118500.0,121900.0,117100.0,101476.0,-19793,20730,-937,0.1804,-705874,2900.0,RISE
2020-05-19,118500.0,118800.0,119100.0,116500.0,139726.0,-11533,12070,-537,0.1794,-704937,3300.0,RISE
2020-05-18,115200.0,115500.0,118500.0,113100.0,136502.0,30872,-26638,-4234,0.1788,-704400,1100.0,RISE
2020-05-15,114100.0,114100.0,115900.0,112700.0,82343.0,4417,8521,-12938,0.18,-700166,100.0,RISE
2020-05-14,114000.0,114500.0,116500.0,113100.0,90357.0,603,1356,-1959,0.1794,-687228,600.0,FALL
2020-05-13,114600.0,111500.0,115000.0,110900.0,83835.0,7946,-5152,-2794,0.1792,-685269,1800.0,RISE
2020-05-12,112800.0,115600.0,118100.0,112300.0,151629.0,12236,5294,-17530,0.1792,-682475,4000.0,FALL
2020-05-11,116800.0,120400.0,120400.0,116800.0,153271.0,27763,-5054,-22709,0.1788,-664945,3700.0,FALL
2020-05-08,120500.0,121400.0,122000.0,119400.0,178574.0,44212,-1180,-43032,0.1791,-642236,1500.0,FALL
2020-05-07,122000.0,123200.0,124200.0,121800.0,77555.0,16183,-3604,-12579,0.1791,-599204,1200.0,FALL
2020-05-06,123200.0,123500.0,125500.0,123100.0,94411.0,17735,-11082,-6653,0.1793,-586625,100.0,FALL
2020-05-04,123300.0,125000.0,126800.0,122900.0,124756.0,36259,-18918,-17341,0.1798,-579972,4600.0,FALL
2020-04-29,127900.0,126500.0,132000.0,126400.0,227360.0,18723,-17405,-1318,0.1806,-562631,3500.0,RISE
2020-04-28,124400.0,118200.0,126500.0,116000.0,301938.0,-26491,14588,11903,0.1813,-561313,6700.0,RISE
2020-04-27,117700.0,112000.0,119200.0,111900.0,186639.0,-54448,45564,8884,0.1806,-573216,7000.0,RISE
2020-04-24,110700.0,112700.0,112900.0,110400.0,82120.0,20384,-4167,-16217,0.1785,-582100,2000.0,FALL
2020-04-23,112700.0,111700.0,113600.0,110500.0,86717.0,57,2953,-3010,0.1785,-565883,300.0,RISE
2020-04-22,112400.0,105500.0,113100.0,105300.0,117525.0,-27863,34069,-6206,0.1783,-562873,4500.0,RISE
2020-04-21,107900.0,110700.0,110700.0,105800.0,146114.0,5568,4400,-9968,0.1768,-556667,3100.0,FALL
2020-04-20,111000.0,112900.0,113900.0,110600.0,156031.0,56942,-40913,-16029,0.1766,-546699,1500.0,FALL
2020-04-17,112500.0,109000.0,114700.0,109000.0,219686.0,7410,-16125,8715,0.1783,-530670,5200.0,RISE
2020-04-16,107300.0,105800.0,108900.0,105000.0,120664.0,20689,-1540,-19149,0.1789,-539385,400.0,FALL
2020-04-14,107700.0,106900.0,109300.0,106500.0,113871.0,35010,-10853,-24157,0.179,-520236,1300.0,RISE
2020-04-13,106400.0,111800.0,111800.0,106400.0,160973.0,50611,-38377,-12234,0.1792,-496079,5500.0,FALL
2020-04-10,111900.0,106800.0,112500.0,105500.0,176511.0,19222,-16331,-2891,0.1809,-483845,5800.0,RISE
2020-04-09,106100.0,108000.0,108000.0,105000.0,107993.0,41865,-15499,-26366,0.1815,-480954,1100.0,RISE
2020-04-08,105000.0,105000.0,108500.0,103200.0,100502.0,18108,-4541,-13567,0.1822,-454588,700.0,FALL
2020-04-07,105700.0,108400.0,111000.0,103900.0,152195.0,52044,-21612,-30432,0.1824,-441021,400.0,RISE
2020-04-06,105300.0,100100.0,105500.0,100100.0,97244.0,-23659,6821,16838,0.1834,-410589,4300.0,RISE
2020-04-03,101000.0,100600.0,102700.0,99400.0,56244.0,3401,4714,-8115,0.183,-427427,700.0,RISE
2020-04-02,100300.0,98200.0,101200.0,97900.0,81046.0,-7510,2633,4877,0.1828,-419312,2200.0,RISE
2020-04-01,98100.0,101200.0,103500.0,98100.0,113629.0,28958,-11461,-17497,0.1826,-424189,6000.0,FALL
