,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,759.0,749.0,770.0,749.0,473311.0,29847,30369,-60216,0.0281,-4832469,9.0,RISE
2020-06-01,750.0,749.0,762.0,746.0,598929.0,103752,24578,-128330,0.028,-4772253,1.0,RISE
2020-05-29,749.0,760.0,773.0,743.0,819698.0,282865,-118342,-164523,0.0285,-4643923,19.0,FALL
2020-05-28,768.0,789.0,789.0,751.0,992079.0,-71093,101693,-30600,0.0291,-4479400,12.0,FALL
2020-05-27,780.0,773.0,782.0,758.0,753830.0,-105522,125849,-20327,0.0286,-4448800,13.0,RISE
2020-05-26,767.0,778.0,785.0,761.0,901215.0,21174,-1135,-20039,0.028,-4428473,2.0,FALL
2020-05-25,769.0,752.0,771.0,750.0,752296.0,-67251,150431,-83180,0.028,-4408434,14.0,RISE
2020-05-22,755.0,785.0,788.0,747.0,1317848.0,287908,-78587,-209321,0.0273,-4325254,28.0,FALL
2020-05-21,783.0,782.0,820.0,759.0,1710425.0,12937,62742,-75679,0.0276,-4115933,5.0,RISE
2020-05-20,778.0,761.0,781.0,759.0,979467.0,-186015.0,226251.0,-40236.0,0.0273,-4485449.0,19.0,RISE
2020-05-19,759.0,777.0,778.0,755.0,918215.0,125012.0,187740.0,-312752.0,0.0262,-4445213.0,6.0,FALL
2020-05-18,765.0,790.0,790.0,755.0,1237755.0,461063.0,-126766.0,-334297.0,0.0253,-4132461.0,16.0,FALL
2020-05-15,781.0,815.0,817.0,751.0,3222197.0,407258.0,-36567.0,-370691.0,0.0259,-3798164.0,3.0,FALL
2020-05-14,784.0,790.0,791.0,761.0,509327.0,36087.0,-20761.0,-15326.0,0.0261,-3427473.0,6.0,FALL
2020-05-13,790.0,795.0,795.0,781.0,570597.0,-54883.0,56307.0,-1424.0,0.0263,-3412147.0,3.0,FALL
2020-05-12,793.0,799.0,800.0,769.0,705374.0,52950.0,-90782.0,37832.0,0.0261,-3410723.0,4.0,FALL
2020-05-11,797.0,797.0,804.0,780.0,1095600.0,-507491.0,121321.0,386170.0,0.0265,-3448555.0,11.0,RISE
2020-05-08,786.0,804.0,808.0,785.0,956298.0,82512.0,-60293.0,-22219.0,0.0259,-3834725.0,18.0,FALL
2020-05-07,804.0,801.0,811.0,788.0,1255651.0,-186741.0,-186130.0,372871.0,0.0262,-3812506.0,3.0,RISE
2020-05-06,801.0,788.0,804.0,775.0,1747558.0,-607108.0,243440.0,363668.0,0.0271,-4185377.0,31.0,RISE
2020-05-04,770.0,734.0,779.0,722.0,1201469.0,-555659.0,70077.0,485582.0,0.0259,-4549045.0,22.0,RISE
2020-04-29,748.0,747.0,760.0,738.0,659930.0,-195836.0,163366.0,32470.0,0.0256,-5034627.0,7.0,RISE
2020-04-28,741.0,739.0,750.0,725.0,560958.0,-47425.0,-13622.0,61047.0,0.0248,-5067097.0,2.0,RISE
2020-04-27,739.0,740.0,748.0,736.0,384558.0,33633.0,-3708.0,-29925.0,0.0248,-5128144.0,1.0,FALL
2020-04-24,740.0,741.0,750.0,722.0,744560.0,-50780.0,-104512.0,155292.0,0.0249,-5098219.0,3.0,FALL
2020-04-23,743.0,711.0,752.0,702.0,1218292.0,-421678.0,178325.0,243353.0,0.0254,-5253511.0,33.0,RISE
2020-04-22,710.0,704.0,717.0,668.0,958884.0,153708.0,-176302.0,22594.0,0.0245,-5496864.0,5.0,RISE
