,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1330.0,1330.0,1335.0,1310.0,104936.0,-1834,1834,0,0.0371,-904376,0.0,EVEN
2020-06-01,1330.0,1305.0,1345.0,1295.0,142949.0,-14018,14018,0,0.037,-904376,35.0,RISE
2020-05-29,1295.0,1315.0,1315.0,1265.0,144891.0,-8693,8693,0,0.0366,-904376,25.0,FALL
2020-05-28,1320.0,1360.0,1365.0,1265.0,307811.0,82352,-82352,0,0.0363,-904376,25.0,FALL
2020-05-27,1345.0,1340.0,1375.0,1325.0,190734.0,6020,-6020,0,0.0388,-904376,5.0,RISE
2020-05-26,1340.0,1290.0,1390.0,1285.0,794666.0,-2492,2492,0,0.039,-904376,40.0,RISE
2020-05-25,1300.0,1285.0,1310.0,1265.0,108452.0,-1329,1329,0,0.039,-904376,15.0,RISE
2020-05-22,1285.0,1320.0,1325.0,1270.0,207102.0,22739,-22739,0,0.0389,-904376,35.0,FALL
2020-05-21,1320.0,1305.0,1330.0,1265.0,229957.0,16810,-14502,-2308,0.0396,-904376,30.0,RISE
2020-05-20,1290.0,1265.0,1315.0,1260.0,182809.0,20300.0,-20300.0,0.0,0.04,-902686.0,25.0,RISE
2020-05-19,1265.0,1250.0,1275.0,1240.0,152906.0,-5134.0,10276.0,-5142.0,0.0407,-902686.0,20.0,RISE
2020-05-18,1245.0,1225.0,1270.0,1200.0,148006.0,-5759.0,5759.0,0.0,0.0404,-897544.0,10.0,RISE
2020-05-15,1235.0,1265.0,1270.0,1215.0,263315.0,-19561.0,19561.0,0.0,0.0402,-897544.0,30.0,FALL
2020-05-14,1265.0,1290.0,1290.0,1240.0,217940.0,40864.0,-40864.0,0.0,0.0396,-897544.0,40.0,FALL
2020-05-13,1305.0,1290.0,1305.0,1265.0,196217.0,30988.0,-30988.0,0.0,0.0408,-897544.0,15.0,FALL
