날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,45630.0,-43630.0,-2000.0,0.047,-1769.0,80.0,RISE
2014-04-09,3465.0,3640.0,3750.0,3440.0,805401.0,11690.0,-16390.0,4700.0,0.046,2931.0,175.0,FALL
2014-04-10,3500.0,3465.0,3515.0,3420.0,275447.0,-45610.0,46620.0,-1010.0,0.047,1921.0,35.0,RISE
2014-04-11,3460.0,3440.0,3475.0,3430.0,163234.0,-2770.0,2070.0,700.0,0.047,2621.0,40.0,FALL
2014-04-14,3405.0,3460.0,3465.0,3360.0,221446.0,1850.0,-5140.0,3290.0,0.048,5911.0,55.0,FALL
2014-04-15,3290.0,3410.0,3450.0,3220.0,522925.0,74165.0,-79470.0,5305.0,0.046,11216.0,115.0,FALL
2014-04-16,3305.0,3290.0,3325.0,3230.0,144704.0,17920.0,-16320.0,-1600.0,0.046,9616.0,15.0,RISE
2014-04-17,3310.0,3450.0,3570.0,3305.0,511023.0,70150.0,-69650.0,-500.0,0.044,9116.0,5.0,RISE
2014-04-18,3300.0,3285.0,3325.0,3260.0,186388.0,15570.0,-11950.0,-3620.0,0.044,5496.0,10.0,FALL
2014-04-21,3310.0,3325.0,3325.0,3255.0,173455.0,46790.0,-38410.0,-8380.0,0.043,-2884.0,10.0,RISE
2014-04-22,3265.0,3310.0,3400.0,3250.0,291972.0,130350.0,-62450.0,-67900.0,0.043,-70784.0,45.0,FALL
2014-04-23,3090.0,3235.0,3275.0,3050.0,605238.0,132510.0,-109650.0,-22860.0,0.041,-93644.0,175.0,FALL
2014-04-24,3210.0,3215.0,3290.0,3115.0,696189.0,166210.0,-164320.0,-1890.0,0.037,-95534.0,120.0,RISE
2014-04-25,3320.0,3500.0,3690.0,3315.0,5131731.0,266708.0,-298350.0,31642.0,0.031,-63892.0,110.0,RISE
2014-04-28,3145.0,3290.0,3295.0,3145.0,788045.0,3480.0,-3480.0,0.0,0.031,-63892.0,175.0,FALL
2014-04-29,3095.0,3130.0,3140.0,3005.0,592473.0,35250.0,-27110.0,-8140.0,0.031,-72032.0,50.0,FALL
2014-04-30,3110.0,3130.0,3180.0,3090.0,264027.0,50480.0,-50480.0,0.0,0.03,-72032.0,15.0,RISE
2014-05-02,3070.0,3100.0,3100.0,3040.0,286857.0,22360.0,-22360.0,0.0,0.03,-72032.0,40.0,FALL
2014-05-07,3120.0,3280.0,3280.0,3100.0,251357.0,22640.0,-22640.0,0.0,0.029,-72032.0,50.0,RISE
2014-05-08,3150.0,3100.0,3200.0,3085.0,115520.0,6140.0,-6140.0,0.0,0.029,-72032.0,30.0,RISE
2014-05-09,3100.0,3130.0,3145.0,3085.0,179293.0,4360.0,-4360.0,0.0,0.029,-72032.0,50.0,FALL
2014-05-12,2770.0,2915.0,2970.0,2760.0,1666477.0,5868.0,-1630.0,-4238.0,0.029,-76270.0,330.0,FALL
2014-05-13,2865.0,2750.0,2880.0,2720.0,611820.0,-66340.0,66340.0,0.0,0.025,-76270.0,95.0,RISE
2014-05-14,2930.0,2865.0,2960.0,2800.0,1003274.0,45160.0,-9160.0,-36000.0,0.025,-112270.0,65.0,RISE
2014-05-15,2965.0,2985.0,3025.0,2910.0,861857.0,-62710.0,-29760.0,92470.0,0.025,-19800.0,35.0,RISE
2014-05-16,2995.0,2970.0,3060.0,2955.0,752516.0,-2710.0,3320.0,-610.0,0.025,-20410.0,30.0,RISE
2014-05-19,2920.0,3000.0,3005.0,2920.0,548302.0,95500.0,5190.0,-100690.0,0.025,-121100.0,75.0,FALL
2014-05-20,2960.0,2990.0,3020.0,2905.0,770291.0,23970.0,6300.0,-30270.0,0.025,-151370.0,40.0,RISE
2014-05-21,2945.0,2950.0,2990.0,2925.0,324435.0,13360.0,-8000.0,-5360.0,0.025,-156730.0,15.0,FALL
2014-05-22,2985.0,2940.0,2990.0,2880.0,459781.0,2930.0,7330.0,-10260.0,0.025,-166990.0,40.0,RISE
2014-05-23,2980.0,2985.0,2985.0,2930.0,312795.0,37440.0,-37320.0,-120.0,0.024,-167110.0,5.0,FALL
2014-05-26,2955.0,3000.0,3025.0,2955.0,433539.0,18310.0,-13140.0,-5170.0,0.024,-172280.0,25.0,FALL
2014-05-27,3000.0,2955.0,3005.0,2945.0,437978.0,-11442.0,25630.0,-14188.0,0.024,-186468.0,45.0,RISE
2014-05-28,2960.0,2965.0,3000.0,2945.0,312199.0,6140.0,-5980.0,-160.0,0.024,-186628.0,40.0,FALL
2014-05-29,2880.0,2960.0,2960.0,2880.0,388367.0,25400.0,-25280.0,-120.0,0.024,-186748.0,80.0,FALL
2014-05-30,2950.0,2885.0,2950.0,2885.0,251428.0,-5050.0,5090.0,-40.0,0.024,-186788.0,70.0,RISE
2014-06-02,2985.0,3020.0,3030.0,2940.0,576161.0,73404.0,-73270.0,-134.0,0.023,-186922.0,35.0,RISE
2014-06-03,2875.0,2940.0,2975.0,2795.0,407302.0,5928.0,-5862.0,-66.0,0.023,-186988.0,110.0,FALL
2014-06-05,2860.0,2835.0,2900.0,2795.0,243399.0,-6580.0,6589.0,-9.0,0.023,-186997.0,15.0,FALL
2014-06-09,2890.0,2860.0,2930.0,2830.0,156656.0,-18651.0,18651.0,0.0,0.023,-186997.0,30.0,RISE
2014-06-10,2920.0,2895.0,2920.0,2860.0,174464.0,12179.0,-9263.0,-2916.0,0.023,-189913.0,30.0,RISE
2014-06-11,2920.0,2980.0,2980.0,2885.0,175059.0,34013.0,-33808.0,-205.0,0.023,-190118.0,0.0,EVEN
2014-06-12,2845.0,2935.0,2980.0,2815.0,451527.0,1493.0,-1493.0,0.0,0.033,-190118.0,75.0,FALL
2014-06-13,2660.0,2720.0,2730.0,2520.0,1260959.0,-40238.0,40258.0,-20.0,0.034,-190138.0,185.0,FALL
2014-06-16,2705.0,2660.0,2825.0,2605.0,298467.0,6477.0,-6477.0,0.0,0.034,-190138.0,45.0,RISE
2014-06-17,2610.0,2660.0,2685.0,2610.0,336666.0,-11348.0,11348.0,0.0,0.034,-190138.0,95.0,FALL
2014-06-18,2630.0,2605.0,2660.0,2590.0,203557.0,-36321.0,36321.0,0.0,0.035,-190138.0,20.0,RISE
2014-06-19,2640.0,2665.0,2690.0,2625.0,157834.0,-20525.0,24025.0,-3500.0,0.035,-193638.0,10.0,RISE
2014-06-20,2555.0,2645.0,2655.0,2530.0,265176.0,-3375.0,8090.0,-4715.0,0.035,-198353.0,85.0,FALL
2014-06-23,2450.0,2550.0,2585.0,2420.0,310474.0,-12274.0,12294.0,-20.0,0.036,-198373.0,105.0,FALL
2014-06-24,2085.0,2375.0,2415.0,2085.0,1556507.0,-27162.0,56246.0,-29084.0,0.036,-227457.0,365.0,LOWER_LIMIT
2014-06-25,1785.0,1870.0,1940.0,1780.0,4764859.0,-141834.0,152834.0,-11000.0,0.039,-238457.0,300.0,FALL
2014-06-26,1780.0,1785.0,1900.0,1730.0,2384970.0,53201.0,-45501.0,-7700.0,0.038,-246157.0,5.0,FALL
2014-06-27,1515.0,1705.0,1725.0,1515.0,5910850.0,22941.0,-21234.0,-1707.0,0.037,-247864.0,265.0,LOWER_LIMIT
2014-06-30,1740.0,1645.0,1740.0,1630.0,5636037.0,37974.0,-21883.0,-16091.0,0.037,-263955.0,225.0,UPPER_LIMIT
2014-07-01,2000.0,1820.0,2000.0,1765.0,9390883.0,13310.0,-17.0,-13293.0,0.037,-277248.0,260.0,UPPER_LIMIT
2014-07-02,1920.0,2010.0,2185.0,1835.0,9667072.0,165653.0,-161153.0,-4500.0,0.034,-281748.0,80.0,FALL
2014-07-03,2140.0,1945.0,2190.0,1860.0,7535219.0,74127.0,-71954.0,-2173.0,0.033,-283921.0,220.0,RISE
2014-07-04,2115.0,2185.0,2295.0,2080.0,8192118.0,166043.0,-161016.0,-5027.0,0.03,-288948.0,25.0,FALL
2014-07-07,2110.0,2130.0,2315.0,2075.0,7457774.0,41367.0,-36367.0,-5000.0,0.03,-293948.0,5.0,FALL
2014-07-08,1920.0,2130.0,2140.0,1885.0,4627130.0,-113.0,113.0,0.0,0.03,-293948.0,190.0,FALL
2014-07-09,1870.0,1925.0,1985.0,1860.0,1789473.0,28262.0,-28262.0,0.0,0.029,-293948.0,50.0,FALL
2014-07-10,1805.0,1915.0,1915.0,1785.0,1728998.0,25640.0,-25640.0,0.0,0.029,-293948.0,65.0,FALL
2014-07-11,1815.0,1810.0,1870.0,1750.0,2049189.0,-35260.0,33746.0,1514.0,0.03,-292434.0,10.0,RISE
2014-07-14,1750.0,1800.0,1800.0,1700.0,1288902.0,52469.0,-52469.0,0.0,0.029,-292434.0,65.0,FALL
2014-07-15,1840.0,1750.0,2010.0,1690.0,7747984.0,314003.0,-317503.0,3500.0,0.023,-288934.0,90.0,RISE
2014-07-16,1760.0,1845.0,1865.0,1740.0,1880402.0,43025.0,-43025.0,0.0,0.023,-288934.0,80.0,FALL
2014-07-17,1800.0,1780.0,1890.0,1760.0,1694236.0,-40478.0,40478.0,0.0,0.024,-288934.0,40.0,RISE
