날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,15638.0,-1993.0,-13645.0,0.014,-45274.0,20.0,RISE
2014-04-09,8040.0,8130.0,8130.0,7930.0,27249.0,1938.0,-925.0,-1013.0,0.014,-46287.0,50.0,RISE
2014-04-10,8010.0,8010.0,8090.0,7960.0,21681.0,975.0,-975.0,0.0,0.014,-46287.0,30.0,FALL
2014-04-11,8000.0,7950.0,8160.0,7950.0,20524.0,475.0,-475.0,0.0,0.014,-46287.0,10.0,FALL
2014-04-14,8040.0,8000.0,8060.0,7980.0,29274.0,-1255.0,1255.0,0.0,0.014,-46287.0,40.0,RISE
2014-04-15,8060.0,8050.0,8130.0,8030.0,12653.0,1298.0,-1298.0,0.0,0.014,-46287.0,20.0,RISE
2014-04-16,8080.0,8080.0,8110.0,8020.0,14444.0,292.0,-292.0,0.0,0.014,-46287.0,20.0,RISE
2014-04-17,8000.0,8100.0,8100.0,7990.0,17803.0,1095.0,-1095.0,0.0,0.014,-46287.0,80.0,FALL
2014-04-18,8040.0,7970.0,8050.0,7970.0,8124.0,715.0,-715.0,0.0,0.014,-46287.0,40.0,RISE
2014-04-21,8360.0,8030.0,8550.0,8020.0,238567.0,12338.0,2176.0,-14514.0,0.014,-60801.0,320.0,RISE
2014-04-22,8310.0,8400.0,8400.0,8200.0,41712.0,12180.0,-2808.0,-9372.0,0.014,-70173.0,50.0,FALL
2014-04-23,8050.0,8310.0,8320.0,8040.0,77878.0,14089.0,-1891.0,-12198.0,0.014,-82371.0,260.0,FALL
2014-04-24,7830.0,8050.0,8110.0,7770.0,94622.0,909.0,-909.0,0.0,0.014,-82371.0,220.0,FALL
2014-04-25,7900.0,7820.0,7970.0,7760.0,26946.0,6059.0,-1217.0,-4842.0,0.014,-87213.0,70.0,RISE
2014-04-28,7800.0,7850.0,7940.0,7800.0,26439.0,5936.0,-945.0,-4991.0,0.014,-92204.0,100.0,FALL
2014-04-29,7870.0,7860.0,7910.0,7750.0,24951.0,-650.0,650.0,0.0,0.014,-92204.0,70.0,RISE
2014-04-30,7910.0,7970.0,8450.0,7910.0,87074.0,10289.0,-4617.0,-5672.0,0.013,-97876.0,40.0,RISE
2014-05-02,7890.0,7880.0,7980.0,7800.0,19144.0,-296.0,296.0,0.0,0.013,-97876.0,20.0,FALL
2014-05-07,7630.0,7890.0,7980.0,7550.0,42467.0,-31.0,31.0,0.0,0.013,-97876.0,260.0,FALL
2014-05-08,7800.0,7700.0,7800.0,7610.0,26196.0,-417.0,417.0,0.0,0.013,-97876.0,170.0,RISE
2014-05-09,7870.0,7820.0,7900.0,7800.0,13628.0,791.0,-791.0,0.0,0.013,-97876.0,70.0,RISE
2014-05-12,7830.0,7930.0,7930.0,7780.0,21140.0,6241.0,-421.0,-5820.0,0.013,-103696.0,40.0,FALL
2014-05-13,7830.0,7830.0,7920.0,7740.0,29437.0,-1002.0,1002.0,0.0,0.013,-103696.0,0.0,EVEN
