,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1370000.0,1364000.0,1375000.0,1363000.0,30983.0,2308,-4831,2523,0.4413,307403,7000.0,RISE
2020-06-01,1363000.0,1359000.0,1367000.0,1347000.0,42182.0,8531,-8141,-390,0.4416,304880,7000.0,FALL
2020-05-29,1370000.0,1394000.0,1394000.0,1370000.0,54088.0,484,2927,-3411,0.4422,305270,15000.0,FALL
2020-05-28,1385000.0,1386000.0,1394000.0,1380000.0,33510.0,3119,-256,-2863,0.442,308681,5000.0,FALL
2020-05-27,1390000.0,1387000.0,1402000.0,1386000.0,28837.0,4270,595,-4865,0.442,311544,10000.0,FALL
2020-05-26,1400000.0,1408000.0,1414000.0,1392000.0,23917.0,-2790,-2013,4803,0.4421,316409,0.0,EVEN
2020-05-25,1400000.0,1413000.0,1414000.0,1385000.0,28841.0,-3,-1047,1050,0.4423,311606,3000.0,RISE
2020-05-22,1397000.0,1429000.0,1430000.0,1396000.0,24947.0,6912,-281,-6631,0.4424,310556,15000.0,FALL
2020-05-21,1412000.0,1404000.0,1415000.0,1388000.0,27277.0,,,,,,,
2020-05-20,1416000.0,1438000.0,1438000.0,1409000.0,30145.0,6674.0,-5835.0,-839.0,0.442,347044.0,1000.0,FALL
2020-05-19,1417000.0,1443000.0,1448000.0,1417000.0,31604.0,6817.0,-6011.0,-806.0,0.4424,347883.0,20000.0,FALL
2020-05-18,1437000.0,1489000.0,1490000.0,1430000.0,31969.0,9515.0,-4055.0,-5460.0,0.4428,348689.0,38000.0,FALL
2020-05-15,1475000.0,1456000.0,1475000.0,1441000.0,29592.0,-4860.0,5082.0,-222.0,0.44299999999999995,354149.0,20000.0,RISE
2020-05-14,1455000.0,1456000.0,1457000.0,1408000.0,40839.0,-7110.0,7686.0,-576.0,0.4427,354371.0,18000.0,RISE
2020-05-13,1437000.0,1419000.0,1442000.0,1413000.0,30396.0,-2087.0,5609.0,-3522.0,0.4422,354947.0,18000.0,RISE
2020-05-12,1419000.0,1444000.0,1444000.0,1419000.0,35531.0,-217.0,6124.0,-5907.0,0.4418,358469.0,17000.0,FALL
2020-05-11,1436000.0,1414000.0,1439000.0,1412000.0,31434.0,-7070.0,17772.0,-10702.0,0.4414,364376.0,16000.0,RISE
2020-05-08,1420000.0,1405000.0,1425000.0,1404000.0,45632.0,-4670.0,9136.0,-4466.0,0.4403,375078.0,18000.0,RISE
2020-05-07,1402000.0,1376000.0,1408000.0,1367000.0,41840.0,-6053.0,9887.0,-3834.0,0.4396,379544.0,21000.0,RISE
2020-05-06,1381000.0,1365000.0,1381000.0,1357000.0,38996.0,-915.0,3976.0,-3061.0,0.439,383378.0,19000.0,RISE
2020-05-04,1362000.0,1345000.0,1393000.0,1341000.0,46930.0,1060.0,9328.0,-10388.0,0.4388,386439.0,24000.0,FALL
2020-04-29,1386000.0,1380000.0,1398000.0,1375000.0,38211.0,-6226.0,5944.0,282.0,0.4382,396827.0,15000.0,RISE
2020-04-28,1371000.0,1370000.0,1388000.0,1362000.0,56479.0,6250.0,-5905.0,-345.0,0.4374,396545.0,24000.0,FALL
2020-04-27,1395000.0,1428000.0,1428000.0,1394000.0,44795.0,5305.0,2700.0,-8005.0,0.4378,396890.0,39000.0,FALL
2020-04-24,1434000.0,1424000.0,1444000.0,1406000.0,75610.0,-11307.0,15771.0,-4464.0,0.4376,404895.0,10000.0,FALL
2020-04-23,1444000.0,1368000.0,1444000.0,1330000.0,148170.0,-45290.0,49878.0,-4588.0,0.4366,409359.0,107000.0,RISE
2020-04-22,1337000.0,1297000.0,1339000.0,1284000.0,72655.0,-11646.0,-9827.0,21473.0,0.4333,413947.0,38000.0,RISE
2020-04-21,1299000.0,1262000.0,1310000.0,1228000.0,97720.0,-6534.0,-14589.0,21123.0,0.4339,392474.0,37000.0,RISE
2020-04-20,1262000.0,1225000.0,1273000.0,1224000.0,61136.0,-4018.0,-4871.0,8889.0,0.4349,371351.0,13000.0,RISE
2020-04-17,1249000.0,1209000.0,1257000.0,1207000.0,62084.0,-25999.0,20241.0,5758.0,0.435,362462.0,58000.0,RISE
2020-04-16,1191000.0,1166000.0,1206000.0,1166000.0,52827.0,7895.0,-8811.0,916.0,0.4336,356704.0,9000.0,FALL
2020-04-14,1200000.0,1204000.0,1217000.0,1198000.0,37782.0,-299.0,-9189.0,9488.0,0.4338,355788.0,3000.0,RISE
2020-04-13,1197000.0,1210000.0,1214000.0,1195000.0,26824.0,4257.0,-2245.0,-2012.0,0.4343,346300.0,18000.0,FALL
2020-04-10,1215000.0,1226000.0,1235000.0,1201000.0,38315.0,15622.0,-8530.0,-7092.0,0.4344,348312.0,40000.0,FALL
2020-04-09,1255000.0,1220000.0,1255000.0,1205000.0,37474.0,-1106.0,-439.0,1545.0,0.435,355404.0,44000.0,RISE
2020-04-08,1211000.0,1202000.0,1229000.0,1198000.0,36450.0,1965.0,-156.0,-1809.0,0.435,353859.0,12000.0,FALL
2020-04-07,1223000.0,1224000.0,1227000.0,1190000.0,60943.0,6205.0,-8288.0,2083.0,0.4348,355668.0,0.0,EVEN
2020-04-06,1223000.0,1176000.0,1237000.0,1174000.0,60263.0,-18653.0,-3060.0,21713.0,0.4353,353585.0,59000.0,RISE
2020-04-03,1164000.0,1140000.0,1166000.0,1122000.0,48374.0,-12546.0,8331.0,4215.0,0.4354,331872.0,29000.0,RISE
2020-04-02,1135000.0,1090000.0,1138000.0,1074000.0,56498.0,-20095.0,11515.0,8580.0,0.4348,327657.0,64000.0,RISE
2020-04-01,1071000.0,1120000.0,1120000.0,1071000.0,66300.0,16021.0,-12089.0,-3932.0,0.4341,319077.0,49000.0,FALL
2020-03-31,1120000.0,1118000.0,1123000.0,1096000.0,53853.0,-2175.0,2596.0,-421.0,0.4352,323009.0,20000.0,RISE
2020-03-30,1100000.0,1070000.0,1108000.0,1070000.0,51265.0,2722.0,-7204.0,4482.0,0.435,323430.0,9000.0,FALL
2020-03-27,1109000.0,1127000.0,1128000.0,1092000.0,65208.0,1410.0,-6784.0,5374.0,0.4361,318948.0,18000.0,RISE
2020-03-26,1091000.0,1116000.0,1123000.0,1091000.0,82915.0,13048.0,-20263.0,7215.0,0.4371,313574.0,29000.0,FALL
2020-03-25,1120000.0,1155000.0,1157000.0,1105000.0,92747.0,26909.0,-32892.0,5983.0,0.4386,306359.0,24000.0,FALL
2020-03-24,1144000.0,1108000.0,1150000.0,1061000.0,69628.0,-3188.0,-5508.0,8696.0,0.4416,300376.0,78000.0,RISE
2020-03-23,1066000.0,1066000.0,1090000.0,1045000.0,75697.0,4189.0,-11194.0,7005.0,0.4417,291680.0,44000.0,FALL
2020-03-20,1110000.0,1140000.0,1180000.0,1097000.0,79664.0,9751.0,-18890.0,9139.0,0.4418,284675.0,13000.0,RISE
2020-03-19,1097000.0,1146000.0,1195000.0,1077000.0,94466.0,1120.0,-30245.0,29125.0,0.4431,275536.0,36000.0,FALL
2020-03-18,1133000.0,1111000.0,1205000.0,1106000.0,119151.0,-3830.0,-26905.0,30735.0,0.4449,246411.0,42000.0,RISE
