,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,178500.0,180000.0,180500.0,177500.0,24746.0,1390,1998,-3388,0.5727,431754,500.0,RISE
2020-06-01,178000.0,177000.0,180000.0,176000.0,39028.0,4484,-4719,235,0.5725,435142,1000.0,RISE
2020-05-29,177000.0,172500.0,177000.0,171500.0,41986.0,811,-1587,776,0.5731,434907,2000.0,RISE
2020-05-28,175000.0,182000.0,185000.0,171000.0,51582.0,19294,-9691,-9603,0.5733,434131,2500.0,FALL
2020-05-27,177500.0,185000.0,189000.0,177000.0,77411.0,793,8759,-9552,0.5745,443734,6500.0,FALL
2020-05-26,184000.0,173000.0,186000.0,172500.0,89261.0,-12463,-1187,13650,0.5734,453286,14000.0,RISE
2020-05-25,170000.0,166500.0,170000.0,156000.0,43305.0,-11061,3615,7446,0.5736,439636,4500.0,RISE
2020-05-22,165500.0,167500.0,168000.0,163500.0,28142.0,-2999,-4128,7127,0.5731,432190,500.0,FALL
2020-05-21,166500.0,162500.0,168000.0,161500.0,50743.0,,,,,,,
2020-05-20,160000.0,156500.0,160000.0,155500.0,25333.0,-694.0,-18.0,712.0,0.5739,421932.0,1500.0,RISE
2020-05-19,158500.0,162500.0,162500.0,158500.0,26729.0,7841.0,-7724.0,-117.0,0.5739,421220.0,1000.0,RISE
2020-05-18,157500.0,156500.0,159000.0,154000.0,26706.0,6149.0,-7069.0,920.0,0.5749,421337.0,2500.0,RISE
2020-05-15,155000.0,154500.0,156500.0,153000.0,26287.0,4009.0,-831.0,-3178.0,0.5758,420417.0,2000.0,RISE
2020-05-14,153000.0,156500.0,157500.0,152500.0,39726.0,16369.0,-11132.0,-5237.0,0.5759,423595.0,6000.0,FALL
2020-05-13,159000.0,152500.0,159500.0,151000.0,50999.0,18620.0,-23540.0,4920.0,0.5774,428832.0,4000.0,RISE
2020-05-12,155000.0,155500.0,156000.0,153000.0,39518.0,8302.0,-9198.0,896.0,0.5804,423912.0,2000.0,FALL
2020-05-11,157000.0,161000.0,161500.0,157000.0,54424.0,24543.0,-20093.0,-4450.0,0.5818,423016.0,3000.0,FALL
2020-05-08,160000.0,158500.0,162000.0,158000.0,68949.0,29859.0,-35366.0,5507.0,0.5844,427466.0,2000.0,FALL
2020-05-07,162000.0,164500.0,165000.0,161500.0,39119.0,13996.0,-13950.0,-46.0,0.589,421959.0,3000.0,FALL
2020-05-06,165000.0,168500.0,170000.0,165000.0,26471.0,14878.0,-14877.0,-1.0,0.5908,422005.0,2000.0,FALL
2020-05-04,167000.0,168000.0,169500.0,165000.0,27328.0,6345.0,-6942.0,597.0,0.5937,422006.0,5500.0,FALL
2020-04-29,172500.0,169500.0,173500.0,168000.0,42714.0,-2210.0,-6300.0,8510.0,0.5946,421409.0,4500.0,RISE
2020-04-28,168000.0,169000.0,178500.0,165000.0,28134.0,1296.0,-4740.0,3444.0,0.5954,412899.0,3000.0,RISE
2020-04-27,165000.0,166000.0,166500.0,163500.0,14763.0,840.0,597.0,-1437.0,0.5961,409455.0,1500.0,RISE
2020-04-24,163500.0,166500.0,166500.0,163000.0,17687.0,4202.0,-4515.0,313.0,0.5951,410892.0,3500.0,FALL
2020-04-23,167000.0,168500.0,169000.0,165500.0,27468.0,7978.0,-11899.0,3921.0,0.5957,410579.0,1500.0,RISE
