날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,-833.0,833.0,0.0,0.0,667.0,10.0,FALL
2014-04-09,2080.0,2100.0,2110.0,2040.0,93110.0,0.0,0.0,0.0,0.0,5187.0,20.0,FALL
2014-04-10,2070.0,2110.0,2110.0,2015.0,62518.0,-553.0,553.0,0.0,0.0,-553.0,10.0,FALL
2014-04-11,1985.0,2060.0,2060.0,1980.0,63015.0,-1929.0,1929.0,0.0,0.001,-1929.0,85.0,FALL
2014-04-14,2040.0,2000.0,2060.0,1955.0,57585.0,-4394.0,4394.0,0.0,0.001,-4394.0,55.0,RISE
2014-04-15,1995.0,2060.0,2100.0,1965.0,53999.0,1242.0,-1242.0,0.0,0.001,1242.0,45.0,FALL
2014-04-16,1975.0,2020.0,2020.0,1940.0,88908.0,-2165.0,2165.0,0.0,0.001,-2165.0,20.0,FALL
2014-04-17,2000.0,1975.0,2000.0,1915.0,136129.0,-847.0,847.0,0.0,0.001,-1847.0,25.0,RISE
2014-04-18,2150.0,2020.0,2265.0,2000.0,369555.0,11577.0,-11577.0,0.0,0.0,13077.0,150.0,RISE
2014-04-21,2190.0,2140.0,2195.0,2085.0,115596.0,-15272.0,15272.0,0.0,0.002,-13772.0,40.0,RISE
2014-04-22,2145.0,2200.0,2200.0,2110.0,66291.0,268.0,-268.0,0.0,0.002,-963.0,45.0,FALL
2014-04-23,2120.0,2150.0,2170.0,2080.0,54597.0,-3408.0,3408.0,0.0,0.002,-5398.0,25.0,FALL
2014-04-24,2120.0,2100.0,2140.0,2055.0,58215.0,652.0,-652.0,0.0,0.002,652.0,0.0,EVEN
2014-04-25,2120.0,2170.0,2190.0,2070.0,37560.0,873.0,-873.0,0.0,0.002,873.0,0.0,EVEN
2014-04-28,2155.0,2130.0,2200.0,2100.0,44605.0,-3785.0,3785.0,0.0,0.002,-3785.0,35.0,RISE
2014-04-29,2165.0,2155.0,2200.0,2085.0,48365.0,1763.0,-1763.0,0.0,0.002,1763.0,10.0,RISE
2014-04-30,2120.0,2185.0,2190.0,2075.0,59664.0,990.0,-990.0,0.0,0.002,516.0,45.0,FALL
2014-05-02,2160.0,2120.0,2180.0,2085.0,52012.0,3161.0,-3161.0,0.0,0.002,3161.0,40.0,RISE
2014-05-07,2145.0,2160.0,2215.0,2045.0,160199.0,2707.0,-2707.0,0.0,0.002,303.0,15.0,FALL
2014-05-08,2115.0,2125.0,2160.0,2040.0,31267.0,4832.0,-4832.0,0.0,0.001,3832.0,30.0,FALL
2014-05-09,2080.0,2125.0,2160.0,2025.0,70402.0,314.0,-314.0,0.0,0.001,-914.0,35.0,FALL
2014-05-12,2090.0,2065.0,2100.0,2040.0,15540.0,442.0,-442.0,0.0,0.001,442.0,10.0,RISE
2014-05-13,2090.0,2100.0,2150.0,2040.0,18057.0,-1065.0,1065.0,0.0,0.001,-1065.0,0.0,EVEN
2014-05-14,2060.0,2090.0,2115.0,2025.0,31949.0,1232.0,-1232.0,0.0,0.001,1201.0,30.0,FALL
2014-05-15,2000.0,2055.0,2055.0,1975.0,77112.0,-7589.0,7589.0,0.0,0.002,-11187.0,60.0,FALL
2014-05-16,2080.0,2000.0,2120.0,2000.0,83714.0,77.0,-77.0,0.0,0.002,2077.0,80.0,RISE
2014-05-19,2130.0,2085.0,2150.0,2070.0,111737.0,-1137.0,1137.0,0.0,0.002,863.0,50.0,RISE
2014-05-20,2250.0,2145.0,2270.0,2105.0,151428.0,12137.0,-12137.0,0.0,0.001,14137.0,120.0,RISE
2014-05-21,2325.0,2250.0,2390.0,2235.0,305746.0,6280.0,-6280.0,0.0,0.0,6780.0,75.0,RISE
2014-05-22,2290.0,2300.0,2345.0,2215.0,89940.0,-5865.0,5865.0,0.0,0.001,-5885.0,35.0,FALL
2014-05-23,2370.0,2320.0,2450.0,2275.0,178094.0,3075.0,-3075.0,0.0,0.0,3075.0,80.0,RISE
2014-05-26,2345.0,2370.0,2395.0,2315.0,60867.0,-217.0,217.0,0.0,0.0,-217.0,25.0,FALL
2014-05-27,2345.0,2350.0,2370.0,2265.0,70378.0,-819.0,819.0,0.0,0.0,-819.0,0.0,EVEN
2014-05-28,2335.0,2365.0,2365.0,2295.0,27869.0,-2939.0,2939.0,0.0,0.001,-2539.0,10.0,FALL
2014-05-29,2340.0,2350.0,2380.0,2290.0,21161.0,-632.0,632.0,0.0,0.001,-632.0,5.0,RISE
2014-05-30,2340.0,2305.0,2355.0,2290.0,25206.0,0.0,0.0,0.0,0.001,-632.0,0.0,EVEN
2014-06-02,2250.0,2340.0,2340.0,2220.0,53044.0,0.0,0.0,0.0,0.001,-632.0,90.0,FALL
2014-06-03,2275.0,2235.0,2280.0,2205.0,31878.0,-550.0,550.0,0.0,0.001,-550.0,25.0,RISE
2014-06-05,2280.0,2275.0,2330.0,2210.0,25227.0,2115.0,-2115.0,0.0,0.001,2115.0,5.0,RISE
2014-06-09,2320.0,2265.0,2360.0,2265.0,38439.0,1923.0,-1923.0,0.0,0.0,2478.0,40.0,RISE
2014-06-10,2340.0,2310.0,2345.0,2270.0,22546.0,85.0,-85.0,0.0,0.0,85.0,20.0,RISE
2014-06-11,2320.0,2340.0,2395.0,2280.0,29141.0,-811.0,811.0,0.0,0.0,-811.0,20.0,FALL
