,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,1400.0,1415.0,1415.0,1385.0,36244.0,-6924,6924,0,0.0181,-37570,10.0,RISE
2020-06-01,1390.0,1360.0,1420.0,1355.0,62479.0,-2286,2286,0,0.0179,-37570,30.0,RISE
2020-05-29,1360.0,1380.0,1390.0,1335.0,67586.0,14572,-14572,0,0.0179,-37570,20.0,FALL
2020-05-28,1380.0,1415.0,1435.0,1345.0,195075.0,10841,-10841,0,0.0183,-37570,35.0,FALL
2020-05-27,1415.0,1425.0,1425.0,1370.0,95987.0,-3536,3536,0,0.0186,-37570,0.0,EVEN
2020-05-26,1415.0,1405.0,1420.0,1395.0,59619.0,-10538,10538,0,0.0185,-37570,20.0,RISE
2020-05-25,1395.0,1430.0,1480.0,1385.0,133685.0,18102,-18102,0,0.0182,-37570,15.0,FALL
2020-05-22,1410.0,1430.0,1430.0,1375.0,80825.0,27291,-27291,0,0.0187,-37570,5.0,FALL
2020-05-21,1425.0,1420.0,1445.0,1385.0,159332.0,,,,,,,
2020-05-20,1380.0,1385.0,1395.0,1370.0,58871.0,-5607.0,5607.0,0.0,0.0191,-37505.0,5.0,FALL
2020-05-19,1385.0,1370.0,1405.0,1350.0,107658.0,-4059.0,4059.0,0.0,0.0189,-37505.0,15.0,RISE
2020-05-18,1370.0,1350.0,1380.0,1340.0,119231.0,3395.0,-3395.0,0.0,0.0188,-37505.0,50.0,FALL
2020-05-15,1420.0,1385.0,1420.0,1335.0,221943.0,12468.0,-12468.0,0.0,0.0189,-37505.0,40.0,RISE
2020-05-14,1380.0,1385.0,1460.0,1335.0,249055.0,-84.0,84.0,0.0,0.0193,-37505.0,5.0,FALL
2020-05-13,1385.0,1340.0,1385.0,1330.0,44824.0,-4159.0,4159.0,0.0,0.0193,-37505.0,15.0,RISE
2020-05-12,1370.0,1375.0,1375.0,1315.0,89928.0,2363.0,-2363.0,0.0,0.0192,-37505.0,10.0,RISE
2020-05-11,1360.0,1380.0,1385.0,1345.0,115860.0,34830.0,-36296.0,1466.0,0.0192,-37505.0,10.0,FALL
2020-05-08,1370.0,1400.0,1415.0,1365.0,282433.0,174164.0,-174164.0,0.0,0.0203,-38971.0,15.0,FALL
2020-05-07,1385.0,1370.0,1400.0,1355.0,131143.0,33006.0,-33735.0,729.0,0.0254,-38971.0,15.0,RISE
2020-05-06,1370.0,1350.0,1375.0,1335.0,114742.0,30142.0,-31630.0,1488.0,0.0264,-39700.0,20.0,RISE
2020-05-04,1350.0,1340.0,1355.0,1305.0,117854.0,33105.0,-33865.0,760.0,0.0273,-41188.0,5.0,RISE
2020-04-29,1345.0,1325.0,1380.0,1320.0,38876.0,-3384.0,3384.0,0.0,0.0283,-41948.0,20.0,RISE
2020-04-28,1325.0,1355.0,1380.0,1310.0,37867.0,1825.0,-2023.0,198.0,0.0282,-41948.0,5.0,RISE
2020-04-27,1320.0,1300.0,1325.0,1285.0,89400.0,-21264.0,21264.0,0.0,0.0283,-42146.0,20.0,RISE
2020-04-24,1300.0,1325.0,1335.0,1210.0,73445.0,-2989.0,2989.0,0.0,0.0276,-42146.0,25.0,FALL
2020-04-23,1325.0,1315.0,1340.0,1300.0,67456.0,1630.0,-1630.0,0.0,0.0276,-42146.0,20.0,RISE
2020-04-22,1305.0,1300.0,1305.0,1260.0,59601.0,5049.0,-5049.0,0.0,0.0276,-42146.0,5.0,FALL
2020-04-21,1310.0,1370.0,1370.0,1250.0,94338.0,14454.0,-14454.0,0.0,0.0278,-42146.0,30.0,FALL
2020-04-20,1340.0,1350.0,1380.0,1330.0,176954.0,6631.0,-6631.0,0.0,0.0282,-42146.0,15.0,RISE
2020-04-17,1325.0,1305.0,1390.0,1290.0,215011.0,7173.0,-7173.0,0.0,0.0284,-42146.0,25.0,RISE
2020-04-16,1300.0,1265.0,1300.0,1230.0,46444.0,-2040.0,2040.0,0.0,0.0286,-42146.0,40.0,RISE
2020-04-14,1260.0,1245.0,1300.0,1240.0,86428.0,2319.0,-2319.0,0.0,0.0285,-42146.0,15.0,RISE
2020-04-13,1245.0,1270.0,1280.0,1225.0,75327.0,10813.0,-10813.0,0.0,0.0286,-42146.0,20.0,FALL
2020-04-10,1265.0,1300.0,1350.0,1215.0,159060.0,-1854.0,1854.0,0.0,0.0289,-42146.0,30.0,FALL
2020-04-09,1295.0,1305.0,1315.0,1275.0,64401.0,12838.0,-12838.0,0.0,0.0289,-42146.0,15.0,RISE
2020-04-08,1280.0,1260.0,1290.0,1220.0,68628.0,851.0,-851.0,0.0,0.0292,-42146.0,20.0,RISE
2020-04-07,1260.0,1230.0,1270.0,1230.0,50169.0,2677.0,-2677.0,0.0,0.0293,-42146.0,40.0,RISE
2020-04-06,1220.0,1180.0,1235.0,1180.0,78142.0,-2819.0,2819.0,0.0,0.0293,-42146.0,40.0,RISE
2020-04-03,1180.0,1100.0,1215.0,1095.0,205375.0,-2462.0,2462.0,0.0,0.0292,-42146.0,90.0,RISE
2020-04-02,1090.0,1060.0,1095.0,1005.0,58961.0,2741.0,-2741.0,0.0,0.0292,-42146.0,5.0,RISE
2020-04-01,1085.0,1065.0,1145.0,1065.0,100053.0,-1914.0,1914.0,0.0,0.031,-42146.0,10.0,RISE
2020-03-31,1075.0,1070.0,1110.0,1045.0,97440.0,-9488.0,9488.0,0.0,0.0309,-42146.0,55.0,RISE
2020-03-30,1020.0,992.0,1020.0,985.0,62870.0,-8264.0,8264.0,0.0,0.0306,-42146.0,10.0,RISE
2020-03-27,1010.0,1035.0,1070.0,996.0,159185.0,6772.0,-6772.0,0.0,0.0303,-42146.0,5.0,RISE
2020-03-26,1005.0,961.0,1035.0,957.0,233560.0,7013.0,-7013.0,0.0,0.0289,-42146.0,50.0,RISE
2020-03-25,955.0,960.0,975.0,917.0,184695.0,-3836.0,3836.0,0.0,0.0298,-42146.0,41.0,RISE
2020-03-24,914.0,842.0,914.0,842.0,82952.0,206.0,-206.0,0.0,0.0276,-42146.0,77.0,RISE
2020-03-23,837.0,860.0,899.0,831.0,125423.0,-1092.0,1072.0,20.0,0.0278,-42146.0,88.0,FALL
2020-03-20,925.0,801.0,925.0,801.0,209517.0,3475.0,-3475.0,0.0,0.0277,-42166.0,106.0,RISE
2020-03-19,819.0,1000.0,1035.0,770.0,663826.0,43911.0,-43910.0,-1.0,0.0278,-42166.0,180.0,FALL
2020-03-18,999.0,1060.0,1075.0,999.0,277150.0,18419.0,-18419.0,0.0,0.0291,-42165.0,61.0,FALL
2020-03-17,1060.0,1005.0,1085.0,997.0,247429.0,4029.0,-4029.0,0.0,0.0297,-42165.0,45.0,FALL
2020-03-16,1105.0,1180.0,1215.0,1075.0,138701.0,5195.0,-5196.0,1.0,0.0299,-42165.0,65.0,FALL
2020-03-13,1170.0,1000.0,1175.0,1000.0,460788.0,-337.0,337.0,0.0,0.0309,-42166.0,100.0,FALL
2020-03-12,1270.0,1350.0,1395.0,1195.0,411337.0,-27208.0,27208.0,0.0,0.0309,-42166.0,130.0,FALL
2020-03-11,1400.0,1515.0,1515.0,1375.0,158890.0,5938.0,-5938.0,0.0,0.0301,-42166.0,70.0,FALL
2020-03-10,1470.0,1455.0,1485.0,1435.0,143794.0,21146.0,-21146.0,0.0,0.0298,-42166.0,35.0,FALL
2020-03-09,1505.0,1575.0,1575.0,1480.0,120679.0,5463.0,-5463.0,0.0,0.0305,-42166.0,75.0,FALL
2020-03-06,1580.0,1600.0,1625.0,1580.0,31493.0,11097.0,-11097.0,0.0,0.0306,-42166.0,40.0,FALL
2020-03-05,1620.0,1605.0,1625.0,1590.0,46540.0,2108.0,-2108.0,0.0,0.0309,-42166.0,15.0,RISE
2020-03-04,1605.0,1545.0,1605.0,1530.0,42942.0,-6451.0,6451.0,0.0,0.031,-42166.0,60.0,RISE
2020-03-03,1545.0,1570.0,1615.0,1545.0,44150.0,5067.0,-5067.0,0.0,0.0308,-42166.0,10.0,FALL
2020-03-02,1555.0,1535.0,1560.0,1500.0,80827.0,-4153.0,4153.0,0.0,0.031,-42166.0,30.0,RISE
2020-02-28,1525.0,1600.0,1600.0,1490.0,181432.0,17255.0,-17255.0,0.0,0.0308,-42166.0,95.0,FALL
2020-02-27,1620.0,1685.0,1695.0,1620.0,82201.0,19684.0,-19682.0,-2.0,0.0314,-42166.0,65.0,FALL
2020-02-26,1685.0,1700.0,1725.0,1655.0,93053.0,800.0,-800.0,0.0,0.0315,-42164.0,30.0,FALL
2020-02-25,1715.0,1650.0,1720.0,1640.0,59680.0,4947.0,-4947.0,0.0,0.0315,-42164.0,35.0,RISE
2020-02-24,1680.0,1710.0,1735.0,1650.0,186357.0,5008.0,-5008.0,0.0,0.0317,-42164.0,65.0,FALL
2020-02-21,1745.0,1765.0,1800.0,1700.0,134940.0,5066.0,-5066.0,0.0,0.0318,-42164.0,55.0,FALL
2020-02-20,1800.0,1790.0,1815.0,1780.0,39342.0,2410.0,-2410.0,0.0,0.032,-42164.0,15.0,RISE
2020-02-19,1785.0,1810.0,1820.0,1785.0,61783.0,3752.0,-3752.0,0.0,0.032,-42164.0,25.0,FALL
2020-02-18,1810.0,1845.0,1850.0,1805.0,25322.0,1852.0,-1852.0,0.0,0.0321,-42164.0,40.0,FALL
2020-02-17,1850.0,1835.0,1850.0,1805.0,62650.0,2587.0,-2587.0,0.0,0.0322,-42164.0,15.0,RISE
2020-02-14,1835.0,1825.0,1850.0,1795.0,41424.0,-836.0,836.0,0.0,0.0323,-42164.0,5.0,FALL
2020-02-13,1840.0,1855.0,1860.0,1825.0,41951.0,-675.0,675.0,0.0,0.0322,-42164.0,5.0,RISE
2020-02-12,1835.0,1815.0,1840.0,1800.0,51848.0,-4291.0,4291.0,0.0,0.0322,-42164.0,20.0,RISE
2020-02-11,1815.0,1820.0,1845.0,1800.0,90444.0,-4829.0,4829.0,0.0,0.0321,-42164.0,15.0,FALL
2020-02-10,1830.0,1835.0,1840.0,1815.0,25047.0,2697.0,-2697.0,0.0,0.032,-42164.0,5.0,FALL
