날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2016-12-15,1910.0,1470.0,1910.0,1470.0,10855724.0,2355504.0,-536747.0,-1818757.0,0.0172,-1818757.0,440.0,UPPER_LIMIT
2016-12-16,2480.0,2235.0,2480.0,2060.0,38712274.0,1629984.0,-280583.0,-1349401.0,0.0047,-1349401.0,570.0,UPPER_LIMIT
2016-12-19,2530.0,2600.0,2685.0,2385.0,14020503.0,3700.0,0.0,-3700.0,0.0047,-3700.0,50.0,RISE
2016-12-20,2400.0,2875.0,2905.0,2395.0,16574050.0,9131.0,-9131.0,0.0,0.0043,30554.0,130.0,FALL
2016-12-21,2380.0,2370.0,2385.0,2210.0,7228228.0,6000.0,-6000.0,0.0,0.004,25370.0,20.0,FALL
2016-12-22,3090.0,2580.0,3090.0,2570.0,21339790.0,86602.0,-86602.0,0.0,0.0002,3093.0,710.0,UPPER_LIMIT
2016-12-23,3095.0,3270.0,3325.0,2955.0,23962314.0,0.0,0.0,0.0,0.0002,376988.0,5.0,RISE
2016-12-26,3495.0,3165.0,3800.0,3000.0,27994920.0,-111708.0,111708.0,0.0,0.0052,-341126.0,400.0,RISE
2016-12-27,3760.0,3575.0,4080.0,3465.0,25226152.0,-67432.0,67432.0,0.0,0.0082,143593.0,265.0,RISE
2016-12-28,3750.0,3630.0,3805.0,3500.0,5414057.0,-198343.0,198343.0,0.0,0.017,-170789.0,10.0,FALL
2016-12-29,3600.0,3800.0,3800.0,3600.0,2518284.0,4738.0,-4738.0,0.0,0.0168,-4407.0,150.0,FALL
2017-01-02,3385.0,3570.0,3640.0,3290.0,2485116.0,4678.0,-4678.0,0.0,0.0166,5702.0,215.0,FALL
2017-01-03,3590.0,3385.0,3740.0,3250.0,5573553.0,-17827.0,17827.0,0.0,0.0174,-20492.0,205.0,RISE
2017-01-04,3475.0,3610.0,3610.0,3400.0,1990673.0,-8331.0,8331.0,0.0,0.0178,-41510.0,115.0,FALL
2017-01-05,3335.0,3440.0,3465.0,3330.0,1290411.0,12851.0,-12851.0,0.0,0.0172,-5259.0,140.0,FALL
2017-01-06,3360.0,3290.0,3550.0,3250.0,1929878.0,18129.0,-18129.0,0.0,0.0164,11474.0,25.0,RISE
2017-01-09,3565.0,3335.0,3640.0,3320.0,2751966.0,5659.0,-5659.0,0.0,0.0161,4471.0,205.0,RISE
2017-01-10,3670.0,3595.0,3670.0,3480.0,2135913.0,0.0,0.0,0.0,0.0161,31781.0,105.0,RISE
2017-01-11,3765.0,3630.0,3830.0,3595.0,2867193.0,3660.0,-3660.0,0.0,0.016,3103.0,95.0,RISE
2017-01-12,3770.0,3690.0,3770.0,3615.0,1973225.0,0.0,0.0,0.0,0.016,-34642.0,5.0,RISE
2017-01-13,3740.0,3675.0,3765.0,3630.0,1863602.0,57108.0,-57108.0,0.0,0.0134,44714.0,30.0,FALL
2017-01-16,3780.0,3665.0,3880.0,3545.0,3185536.0,57108.0,-57108.0,0.0,0.0109,130759.0,40.0,RISE
2017-01-17,3690.0,4215.0,4390.0,3675.0,6165834.0,84070.0,-84070.0,0.0,0.0071,35290.0,90.0,FALL
2017-01-18,3590.0,3700.0,3770.0,3470.0,1875152.0,21172.0,-21172.0,0.0,0.0062,18587.0,100.0,FALL
2017-01-19,3510.0,3610.0,3705.0,3510.0,1316410.0,87850.0,-89850.0,2000.0,0.0022,2000.0,80.0,FALL
2017-01-20,3395.0,3455.0,3515.0,3325.0,1055620.0,5780.0,-5780.0,0.0,0.0019,2470.0,115.0,FALL
2017-01-23,3250.0,3405.0,3525.0,3250.0,817474.0,-23243.0,23243.0,0.0,0.0029,-23443.0,145.0,FALL
2017-01-24,3060.0,3200.0,3240.0,2975.0,1515389.0,8813.0,-6813.0,-2000.0,0.0026,-2000.0,190.0,FALL
2017-01-25,2810.0,3030.0,3045.0,2765.0,1859629.0,13256.0,-13256.0,0.0,0.002,4124.0,250.0,FALL
2017-01-26,2900.0,2870.0,3055.0,2800.0,2932320.0,20351.0,-20351.0,0.0,0.0011,14951.0,90.0,RISE
2017-01-31,2820.0,2895.0,2995.0,2815.0,837981.0,-1646.0,1646.0,0.0,0.0012,6492.0,80.0,FALL
2017-02-01,2845.0,2805.0,2935.0,2805.0,950829.0,5633.0,-5633.0,0.0,0.001,8469.0,25.0,RISE
2017-02-02,2515.0,2750.0,2765.0,2515.0,1114769.0,11791.0,-11791.0,0.0,0.0004,34909.0,330.0,FALL
2017-02-03,3265.0,2635.0,3265.0,2635.0,11917930.0,-119228.0,89228.0,30000.0,0.0044,30000.0,750.0,UPPER_LIMIT
2017-02-06,3375.0,3265.0,3405.0,3195.0,9255968.0,96466.0,-96466.0,0.0,0.0001,60555.0,110.0,RISE
2017-02-07,3475.0,3425.0,3475.0,3270.0,4989804.0,-17011.0,17011.0,0.0,0.0009,9945.0,100.0,RISE
