날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,-142696.0,94694.0,48002.0,0.003,-407498.0,35.0,FALL
2014-04-09,895.0,905.0,917.0,891.0,521462.0,74880.0,-69860.0,-5020.0,0.002,-412518.0,2.0,FALL
2014-04-10,929.0,894.0,929.0,885.0,557854.0,-61059.0,49059.0,12000.0,0.003,-400518.0,34.0,RISE
2014-04-11,945.0,919.0,945.0,901.0,394845.0,4849.0,-4849.0,0.0,0.003,-400518.0,16.0,RISE
2014-04-14,939.0,945.0,950.0,926.0,202493.0,12487.0,-487.0,-12000.0,0.003,-412518.0,6.0,FALL
2014-04-15,907.0,939.0,948.0,902.0,364185.0,4818.0,-4818.0,0.0,0.003,-412518.0,32.0,FALL
2014-04-16,912.0,915.0,915.0,892.0,414929.0,-29594.0,29594.0,0.0,0.003,-412518.0,5.0,RISE
2014-04-17,889.0,914.0,916.0,889.0,389340.0,39422.0,-39422.0,0.0,0.003,-412518.0,23.0,FALL
2014-04-18,900.0,909.0,914.0,880.0,587292.0,-39859.0,39859.0,0.0,0.004,-412518.0,11.0,RISE
2014-04-21,891.0,900.0,907.0,884.0,307937.0,-15185.0,15185.0,0.0,0.004,-412518.0,9.0,FALL
2014-04-22,885.0,910.0,910.0,875.0,316744.0,29497.0,-29497.0,0.0,0.003,-412518.0,6.0,FALL
2014-04-23,876.0,885.0,900.0,875.0,147646.0,-18958.0,18958.0,0.0,0.004,-412518.0,9.0,FALL
2014-04-24,854.0,889.0,889.0,854.0,349448.0,8737.0,-8737.0,0.0,0.004,-412518.0,22.0,FALL
2014-04-25,859.0,850.0,872.0,848.0,126181.0,-15397.0,15397.0,0.0,0.004,-412518.0,5.0,RISE
2014-04-28,861.0,874.0,884.0,858.0,130146.0,7267.0,-7267.0,0.0,0.004,-412518.0,2.0,RISE
2014-04-29,860.0,879.0,879.0,855.0,78033.0,-4881.0,4881.0,0.0,0.004,-412518.0,1.0,FALL
2014-04-30,840.0,854.0,863.0,840.0,388285.0,-16978.0,16978.0,0.0,0.004,-412518.0,20.0,FALL
2014-05-02,819.0,838.0,858.0,780.0,336195.0,-17455.0,17455.0,0.0,0.004,-412518.0,21.0,FALL
2014-05-07,820.0,810.0,831.0,794.0,441271.0,19610.0,-19610.0,0.0,0.004,-412518.0,1.0,RISE
2014-05-08,815.0,813.0,820.0,792.0,250498.0,6403.0,-6403.0,0.0,0.004,-412518.0,5.0,FALL
2014-05-09,789.0,819.0,820.0,770.0,691209.0,20341.0,-20341.0,0.0,0.004,-412518.0,26.0,FALL
2014-05-12,805.0,784.0,805.0,766.0,395850.0,2754.0,-2754.0,0.0,0.004,-412518.0,16.0,RISE
2014-05-13,882.0,805.0,910.0,799.0,1013558.0,12656.0,-12656.0,0.0,0.003,-412518.0,77.0,RISE
2014-05-14,852.0,870.0,881.0,846.0,297578.0,-4426.0,4426.0,0.0,0.003,-412518.0,30.0,FALL
2014-05-15,860.0,852.0,875.0,845.0,139689.0,-12417.0,12417.0,0.0,0.004,-412518.0,8.0,RISE
2014-05-16,855.0,844.0,870.0,837.0,141086.0,18127.0,-18127.0,0.0,0.004,-412518.0,5.0,FALL
2014-05-19,813.0,860.0,860.0,813.0,383192.0,29236.0,-29236.0,0.0,0.003,-412518.0,42.0,FALL
2014-05-20,816.0,809.0,844.0,809.0,216540.0,-666.0,666.0,0.0,0.003,-412518.0,3.0,RISE
2014-05-21,815.0,818.0,835.0,807.0,359394.0,-18966.0,18967.0,-1.0,0.003,-412519.0,1.0,FALL
2014-05-22,815.0,810.0,830.0,806.0,192504.0,-42832.0,42832.0,0.0,0.004,-412519.0,0.0,EVEN
2014-05-23,813.0,800.0,821.0,798.0,269564.0,-11586.0,11586.0,0.0,0.004,-412519.0,2.0,FALL
2014-05-26,810.0,813.0,829.0,805.0,419951.0,13077.0,-13077.0,0.0,0.004,-412519.0,3.0,FALL
2014-05-27,799.0,805.0,816.0,795.0,173549.0,12079.0,-12079.0,0.0,0.004,-412519.0,11.0,FALL
2014-05-28,774.0,792.0,803.0,770.0,431477.0,23909.0,-23909.0,0.0,0.004,-412519.0,25.0,FALL
