,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2200.0,2200.0,2230.0,2195.0,53289.0,5078,-5078,0,0.0101,5020,20.0,FALL
2020-06-01,2220.0,2210.0,2225.0,2190.0,41606.0,970,-970,0,0.0103,5020,25.0,RISE
2020-05-29,2195.0,2170.0,2240.0,2170.0,29700.0,1916,-1916,0,0.0104,5020,20.0,FALL
2020-05-28,2215.0,2240.0,2260.0,2160.0,78422.0,9481,-9481,0,0.0104,5020,25.0,FALL
2020-05-27,2240.0,2265.0,2265.0,2215.0,50244.0,716,-716,0,0.0108,5020,5.0,FALL
2020-05-26,2245.0,2185.0,2250.0,2155.0,99026.0,-12404,12404,0,0.0109,5020,60.0,RISE
2020-05-25,2185.0,2165.0,2210.0,2150.0,29657.0,-3405,3405,0,0.0103,5020,20.0,RISE
2020-05-22,2165.0,2200.0,2220.0,2155.0,36657.0,541,-541,0,0.0102,5020,35.0,FALL
2020-05-21,2195.0,2180.0,2210.0,2170.0,63255.0,,,,,,,
2020-05-20,2165.0,2180.0,2190.0,2150.0,73606.0,-16378.0,16378.0,0.0,0.0093,10033.0,20.0,FALL
2020-05-19,2185.0,2155.0,2195.0,2150.0,56515.0,-6246.0,6246.0,0.0,0.0086,10033.0,35.0,RISE
2020-05-18,2150.0,2150.0,2195.0,2115.0,79339.0,8830.0,-3961.0,-4869.0,0.0083,10033.0,0.0,EVEN
2020-05-15,2150.0,2100.0,2165.0,2095.0,39312.0,155.0,3714.0,-3869.0,0.0085,14902.0,25.0,RISE
2020-05-14,2125.0,2140.0,2150.0,2105.0,28757.0,6486.0,-2574.0,-3912.0,0.0083,18771.0,15.0,FALL
2020-05-13,2140.0,2100.0,2190.0,2080.0,56406.0,201.0,5635.0,-5836.0,0.0085,22683.0,10.0,RISE
2020-05-12,2130.0,2160.0,2200.0,2100.0,41520.0,5309.0,-5309.0,0.0,0.0082,28519.0,45.0,FALL
2020-05-11,2175.0,2235.0,2280.0,2170.0,53692.0,23444.0,-23444.0,0.0,0.0084,28519.0,65.0,FALL
2020-05-08,2240.0,2200.0,2250.0,2195.0,69220.0,-4485.0,4485.0,0.0,0.0095,28519.0,40.0,RISE
2020-05-07,2200.0,2185.0,2220.0,2155.0,43188.0,3680.0,-3680.0,0.0,0.0093,28519.0,45.0,RISE
2020-05-06,2155.0,2155.0,2195.0,2140.0,23886.0,1341.0,-1341.0,0.0,0.0094,28519.0,15.0,RISE
2020-05-04,2140.0,2180.0,2220.0,2115.0,35972.0,2084.0,-2084.0,0.0,0.0095,28519.0,55.0,FALL
2020-04-29,2195.0,2245.0,2245.0,2165.0,140228.0,20021.0,-23021.0,3000.0,0.0096,28519.0,50.0,FALL
2020-04-28,2245.0,2130.0,2245.0,2125.0,165579.0,-5644.0,5644.0,0.0,0.0106,25519.0,125.0,RISE
