,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,24750.0,24550.0,25050.0,24400.0,742144.0,220245,-80325,-139920,0.2636,376730,50.0,RISE
2020-06-01,24700.0,24300.0,24850.0,24300.0,587060.0,156714,-120227,-36487,0.264,516650,500.0,RISE
2020-05-29,24200.0,24200.0,25150.0,23800.0,1829136.0,92882,-138061,45179,0.2646,553137,450.0,FALL
2020-05-28,24650.0,25500.0,25550.0,24600.0,2098021.0,615162,-484952,-130210,0.2652,507958,1600.0,FALL
2020-05-27,26250.0,25400.0,26700.0,25150.0,2447025.0,-644979,467953,177026,0.2674,638168,1100.0,RISE
2020-05-26,25150.0,25050.0,25250.0,24800.0,807124.0,-4895,-51947,56842,0.2653,461142,200.0,RISE
2020-05-25,24950.0,25150.0,25150.0,24600.0,572666.0,-60445,-44947,105392,0.2655,404300,150.0,RISE
2020-05-22,24800.0,25050.0,25100.0,24300.0,885067.0,-65058,-101151,166209,0.2658,298908,100.0,FALL
2020-05-21,25000.0,25350.0,25400.0,24700.0,748860.0,,,,,,,
2020-05-20,25000.0,24500.0,25500.0,24400.0,2267014.0,-971770.0,454438.0,517332.0,0.2672,89531.0,1200.0,RISE
2020-05-19,23800.0,24000.0,24300.0,23750.0,1389176.0,-115009.0,-176788.0,291797.0,0.2651,-427801.0,900.0,RISE
2020-05-18,22900.0,23100.0,23300.0,22550.0,585520.0,182554.0,-223557.0,41003.0,0.2659,-719598.0,100.0,FALL
2020-05-15,23000.0,22550.0,23000.0,21750.0,1098223.0,64537.0,9836.0,-74373.0,0.267,-760601.0,500.0,RISE
2020-05-14,22500.0,22650.0,23050.0,22350.0,823244.0,137618.0,-85924.0,-51694.0,0.2669,-686228.0,300.0,FALL
2020-05-13,22800.0,23050.0,23300.0,22750.0,1272235.0,585031.0,-117864.0,-467167.0,0.2673,-634534.0,1000.0,FALL
2020-05-12,23800.0,24250.0,24450.0,23500.0,901247.0,65778.0,69208.0,-134986.0,0.2678,-167367.0,700.0,FALL
2020-05-11,24500.0,24350.0,24750.0,24200.0,816549.0,-62856.0,216370.0,-153514.0,0.2675,-32381.0,400.0,FALL
2020-05-08,24900.0,25200.0,25450.0,24800.0,1290000.0,-269753.0,280318.0,-10565.0,0.2665,121133.0,350.0,RISE
2020-05-07,24550.0,24400.0,24950.0,24050.0,920533.0,93433.0,-142635.0,49202.0,0.2651,131698.0,150.0,RISE
2020-05-06,24400.0,24600.0,24800.0,24350.0,878012.0,300509.0,-278340.0,-22169.0,0.2658,82496.0,0.0,EVEN
2020-05-04,24400.0,24300.0,24600.0,24150.0,1384452.0,416904.0,-211928.0,-204976.0,0.2671,104665.0,650.0,FALL
2020-04-29,25050.0,25300.0,25600.0,25050.0,733928.0,192324.0,-164023.0,-28301.0,0.2681,309641.0,150.0,FALL
