,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,27400.0,26750.0,28300.0,26600.0,6478.0,1642,-1627,-15,0.1108,-65362,850.0,RISE
2020-06-01,26550.0,26450.0,27300.0,26450.0,2827.0,893,-692,-201,0.1115,-65347,100.0,RISE
2020-05-29,26450.0,26600.0,26900.0,25850.0,4235.0,-265,60,205,0.1118,-65146,150.0,FALL
2020-05-28,26600.0,26650.0,27300.0,25650.0,5711.0,966,-828,-138,0.1118,-65351,0.0,EVEN
2020-05-27,26600.0,26600.0,26900.0,26500.0,4416.0,1938,-351,-1587,0.1121,-65213,50.0,RISE
2020-05-26,26550.0,26500.0,26900.0,26500.0,3320.0,2486,422,-2908,0.1123,-63626,50.0,RISE
2020-05-25,26500.0,26700.0,27050.0,26350.0,5206.0,3763,375,-4138,0.1121,-60718,0.0,EVEN
2020-05-22,26500.0,27050.0,27150.0,26500.0,3248.0,878,-716,-162,0.1119,-56580,550.0,FALL
2020-05-21,27000.0,26900.0,27050.0,26850.0,2018.0,,,,,,,
2020-05-20,26900.0,27300.0,27300.0,26500.0,4158.0,-182.0,321.0,-139.0,0.1129,-70666.0,50.0,RISE
2020-05-19,26850.0,26850.0,27350.0,26800.0,5158.0,-1093.0,113.0,980.0,0.1128,-70527.0,0.0,EVEN
2020-05-18,26850.0,26300.0,26850.0,26200.0,2938.0,-1344.0,334.0,1010.0,0.1127,-71507.0,450.0,RISE
2020-05-15,26400.0,26900.0,26900.0,26000.0,2922.0,-506.0,110.0,396.0,0.1126,-72517.0,500.0,FALL
2020-05-14,26900.0,27400.0,27400.0,26050.0,5230.0,-406.0,395.0,11.0,0.1125,-72913.0,550.0,FALL
2020-05-13,27450.0,27650.0,27650.0,27000.0,3072.0,-502.0,-128.0,630.0,0.1124,-72924.0,500.0,FALL
2020-05-12,27950.0,28350.0,28450.0,27400.0,4019.0,1534.0,-824.0,-710.0,0.1124,-73554.0,400.0,FALL
2020-05-11,28350.0,28800.0,28950.0,28000.0,2762.0,448.0,-529.0,81.0,0.1128,-72844.0,450.0,FALL
2020-05-08,28800.0,29500.0,29500.0,28400.0,4288.0,-258.0,-167.0,425.0,0.113,-72925.0,150.0,FALL
2020-05-07,28950.0,29500.0,29500.0,28500.0,1717.0,310.0,-316.0,6.0,0.113,-73350.0,100.0,FALL
2020-05-06,29050.0,28950.0,29450.0,28950.0,2549.0,845.0,-1163.0,318.0,0.1132,-73356.0,200.0,FALL
2020-05-04,29250.0,28100.0,29850.0,27650.0,6516.0,-1834.0,-267.0,2101.0,0.1138,-73674.0,1100.0,RISE
2020-04-29,28150.0,27200.0,28300.0,27200.0,1615.0,-129.0,-10.0,139.0,0.1139,-75775.0,650.0,RISE
2020-04-28,27500.0,27400.0,28400.0,27000.0,3212.0,-261.0,-103.0,364.0,0.1139,-75914.0,100.0,FALL
2020-04-27,27600.0,27600.0,27700.0,27200.0,1580.0,-518.0,127.0,391.0,0.114,-76278.0,50.0,RISE
2020-04-24,27550.0,28050.0,28050.0,27050.0,1896.0,-245.0,-99.0,344.0,0.1139,-76669.0,200.0,RISE
2020-04-23,27350.0,28400.0,28400.0,27150.0,3560.0,-18.0,35.0,-17.0,0.114,-77013.0,0.0,EVEN
2020-04-22,27350.0,27050.0,27350.0,26300.0,6745.0,2000.0,-1457.0,-543.0,0.1139,-76996.0,150.0,FALL
2020-04-21,27500.0,27950.0,28200.0,26500.0,6592.0,237.0,-720.0,483.0,0.1146,-76453.0,400.0,FALL
2020-04-20,27900.0,27850.0,28450.0,27150.0,6558.0,765.0,-894.0,129.0,0.1149,-76936.0,900.0,RISE
2020-04-17,27000.0,26800.0,27600.0,26050.0,6818.0,-733.0,-156.0,889.0,0.1152,-77065.0,1150.0,RISE
2020-04-16,25850.0,24900.0,26750.0,24400.0,6316.0,-1188.0,953.0,235.0,0.1153,-77954.0,900.0,RISE
2020-04-14,24950.0,24300.0,25250.0,24150.0,3962.0,-568.0,114.0,454.0,0.1149,-78189.0,650.0,RISE
2020-04-13,24300.0,25000.0,25150.0,24250.0,3793.0,677.0,-1579.0,902.0,0.1149,-78643.0,700.0,FALL
2020-04-10,25000.0,24950.0,25350.0,24100.0,6252.0,-1145.0,311.0,834.0,0.1155,-79545.0,500.0,RISE
2020-04-09,24500.0,24350.0,24850.0,24000.0,5171.0,-801.0,-177.0,978.0,0.1154,-80379.0,500.0,RISE
2020-04-08,24000.0,23850.0,24350.0,23500.0,3414.0,-885.0,-173.0,1058.0,0.1155,-81357.0,150.0,RISE
2020-04-07,23850.0,24200.0,24350.0,23300.0,10458.0,4030.0,285.0,-4315.0,0.1155,-82415.0,500.0,RISE
2020-04-06,23350.0,22250.0,23350.0,22250.0,5954.0,521.0,168.0,-689.0,0.1154,-78100.0,900.0,RISE
2020-04-03,22450.0,23350.0,24500.0,22250.0,10250.0,306.0,-349.0,43.0,0.1153,-77411.0,700.0,FALL
2020-04-02,23150.0,22850.0,23200.0,22200.0,3298.0,794.0,-780.0,-14.0,0.1155,-77454.0,300.0,RISE
2020-04-01,22850.0,23650.0,23650.0,22350.0,6785.0,301.0,-483.0,182.0,0.1163,-77440.0,800.0,FALL
