,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,15150.0,14800.0,15150.0,14500.0,283200.0,-9622,9622,0,0.0127,-468516,450.0,RISE
2020-06-01,14700.0,14600.0,14900.0,14300.0,273130.0,3990,-3990,0,0.0107,-468516,350.0,RISE
2020-05-29,14350.0,14400.0,14800.0,14100.0,395587.0,8468,5731,-14199,0.0116,-468516,0.0,EVEN
2020-05-28,14350.0,14400.0,14650.0,14050.0,257202.0,17734,1962,-19696,0.0104,-454317,100.0,RISE
2020-05-27,14250.0,14500.0,14750.0,14100.0,337448.0,10384,-9951,-433,0.01,-434621,50.0,FALL
2020-05-26,14300.0,14100.0,14300.0,13850.0,349970.0,-12179,12179,0,0.0121,-434188,250.0,RISE
2020-05-25,14050.0,14200.0,14200.0,13800.0,280727.0,-157,454,-297,0.0095,-434188,50.0,FALL
2020-05-22,14100.0,13800.0,14400.0,13700.0,502582.0,-2204,2731,-527,0.0094,-433891,350.0,RISE
2020-05-21,13700.0,14100.0,14150.0,13550.0,516658.0,,,,,,,
2020-05-20,13850.0,13500.0,13850.0,13250.0,489472.0,4437.0,-1102.0,-3335.0,0.0081,-422175.0,450.0,RISE
2020-05-19,13400.0,13500.0,13700.0,12750.0,377913.0,-5684.0,8766.0,-3082.0,0.0083,-418840.0,50.0,FALL
2020-05-18,13450.0,12450.0,13450.0,12300.0,508987.0,14399.0,-3994.0,-10405.0,0.0065,-415758.0,850.0,RISE
2020-05-15,12600.0,13400.0,14500.0,12450.0,1606699.0,-11774.0,15763.0,-3989.0,0.0074,-405353.0,350.0,FALL
2020-05-14,12950.0,11500.0,14050.0,11200.0,1114513.0,68592.0,-11515.0,-57077.0,0.0043,-401364.0,1800.0,RISE
2020-05-13,11150.0,9780.0,11500.0,9780.0,785967.0,17179.0,-15169.0,-2010.0,0.0067,-344287.0,1200.0,RISE
2020-05-12,9950.0,10000.0,10300.0,9610.0,370772.0,3928.0,-4671.0,743.0,0.0098,-342277.0,150.0,FALL
2020-05-11,10100.0,9400.0,10200.0,9240.0,559431.0,9909.0,-125.0,-9784.0,0.0108,-343020.0,840.0,RISE
2020-05-08,9260.0,9230.0,9280.0,9010.0,117259.0,-10941.0,6918.0,4023.0,0.0109,-333236.0,220.0,RISE
2020-05-07,9040.0,9160.0,9160.0,8960.0,29755.0,-1146.0,1029.0,117.0,0.0094,-337259.0,10.0,FALL
2020-05-06,9050.0,8970.0,9150.0,8890.0,62977.0,-8210.0,1556.0,6654.0,0.0092,-337376.0,100.0,RISE
2020-05-04,8950.0,9000.0,9190.0,8780.0,77881.0,-6567.0,4796.0,1771.0,0.0089,-344030.0,50.0,FALL
2020-04-29,9000.0,9070.0,9350.0,8900.0,217992.0,3577.0,-4492.0,915.0,0.0079,-345801.0,90.0,RISE
2020-04-28,8910.0,9100.0,9100.0,8840.0,44629.0,3311.0,-3311.0,0.0,0.0088,-346716.0,90.0,FALL
2020-04-27,9000.0,8970.0,9250.0,8930.0,57669.0,-3214.0,3834.0,-620.0,0.0085,-346716.0,30.0,RISE
2020-04-24,8970.0,8980.0,9540.0,8830.0,292265.0,14458.0,-12079.0,-2379.0,0.0077,-346096.0,190.0,RISE
2020-04-23,8780.0,8590.0,8880.0,8590.0,54454.0,3703.0,-1086.0,-2617.0,0.0102,-343717.0,140.0,RISE
2020-04-22,8640.0,8720.0,8720.0,8400.0,47887.0,583.0,-583.0,0.0,0.0104,-341100.0,100.0,FALL
2020-04-21,8740.0,8780.0,8930.0,8200.0,81333.0,3857.0,-3619.0,-238.0,0.0105,-341100.0,190.0,FALL
2020-04-20,8930.0,9100.0,9150.0,8900.0,92546.0,1715.0,-1715.0,0.0,0.0114,-340862.0,140.0,FALL
2020-04-17,9070.0,8850.0,9130.0,8750.0,139615.0,3354.0,-830.0,-2524.0,0.0117,-340862.0,270.0,RISE
2020-04-16,8800.0,7700.0,9600.0,7590.0,288948.0,-261.0,7206.0,-6945.0,0.0119,-338338.0,1090.0,RISE
2020-04-14,7710.0,7280.0,8170.0,7280.0,158558.0,1443.0,18637.0,-20080.0,0.0104,-331393.0,460.0,RISE
2020-04-13,7250.0,7730.0,7730.0,7200.0,60168.0,8145.0,1286.0,-9431.0,0.0066,-311313.0,470.0,FALL
2020-04-10,7720.0,7690.0,7880.0,7510.0,36131.0,5565.0,-853.0,-4712.0,0.0063,-301882.0,0.0,EVEN
2020-04-09,7720.0,7830.0,7840.0,7690.0,46236.0,2900.0,-2000.0,-900.0,0.0065,-297170.0,70.0,FALL
