날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,0.0,0.0,0.0,0.0,3050.0,250.0,RISE
2014-04-09,24900.0,24750.0,24900.0,24750.0,645.0,0.0,0.0,0.0,0.0,3050.0,100.0,RISE
2014-04-10,24850.0,25000.0,25000.0,24800.0,1390.0,0.0,0.0,0.0,0.0,3050.0,50.0,FALL
2014-04-11,24900.0,24850.0,25000.0,24850.0,1260.0,-210.0,0.0,210.0,0.0,3260.0,50.0,RISE
2014-04-14,25050.0,25150.0,25200.0,24850.0,854.0,,,,,,,
2014-04-15,25100.0,25100.0,25100.0,24900.0,730.0,0.0,0.0,0.0,0.0,3260.0,50.0,RISE
2014-04-16,25250.0,25100.0,25600.0,25000.0,1810.0,0.0,0.0,0.0,0.0,3260.0,150.0,RISE
2014-04-17,25100.0,25300.0,25300.0,24950.0,1851.0,0.0,0.0,0.0,0.0,3260.0,150.0,FALL
2014-04-18,25100.0,25100.0,25150.0,25000.0,890.0,10.0,0.0,-10.0,0.0,3250.0,0.0,EVEN
2014-04-21,25050.0,25100.0,25100.0,24950.0,1250.0,0.0,0.0,0.0,0.0,3250.0,50.0,FALL
2014-04-22,25350.0,25100.0,25500.0,25100.0,1512.0,0.0,0.0,0.0,0.0,3250.0,300.0,RISE
2014-04-23,25350.0,25400.0,25600.0,25250.0,2290.0,0.0,0.0,0.0,0.0,3250.0,0.0,EVEN
2014-04-24,25100.0,25350.0,25450.0,24800.0,1070.0,0.0,0.0,0.0,0.0,3250.0,250.0,FALL
2014-04-25,24850.0,24850.0,25000.0,24850.0,1571.0,10.0,0.0,-10.0,0.0,3240.0,250.0,FALL
2014-04-28,24850.0,24700.0,24900.0,24600.0,295.0,20.0,0.0,-20.0,0.0,3220.0,0.0,EVEN
2014-04-29,24850.0,24900.0,24900.0,24750.0,1760.0,,,,,,,
2014-04-30,24600.0,24900.0,25000.0,24500.0,1410.0,0.0,0.0,0.0,0.0,3220.0,250.0,FALL
2014-05-02,24850.0,24900.0,24900.0,24700.0,630.0,0.0,0.0,0.0,0.0,3220.0,250.0,RISE
2014-05-07,24850.0,24850.0,24900.0,24850.0,1500.0,100.0,-100.0,0.0,0.0,3220.0,0.0,EVEN
2014-05-08,24500.0,24650.0,24700.0,24500.0,2670.0,0.0,0.0,0.0,0.0,3220.0,350.0,FALL
2014-05-09,24850.0,24500.0,24850.0,24500.0,990.0,0.0,0.0,0.0,0.0,3220.0,350.0,RISE
2014-05-12,24900.0,24500.0,25000.0,24500.0,500.0,0.0,0.0,0.0,0.0,3220.0,50.0,RISE
2014-05-13,24900.0,24900.0,24900.0,24900.0,280.0,0.0,0.0,0.0,0.0,3220.0,0.0,EVEN
2014-05-14,24800.0,24600.0,24900.0,24550.0,580.0,0.0,0.0,0.0,0.0,3220.0,100.0,FALL
2014-05-15,24700.0,24800.0,24800.0,24700.0,3760.0,-620.0,0.0,620.0,0.0,3840.0,100.0,FALL
2014-05-16,24500.0,24800.0,24800.0,24400.0,3070.0,40.0,0.0,-40.0,0.0,3800.0,200.0,FALL
2014-05-19,24400.0,24350.0,24500.0,24300.0,1010.0,0.0,0.0,0.0,0.0,3800.0,100.0,FALL
2014-05-20,24900.0,24400.0,24900.0,23800.0,7454.0,200.0,0.0,-200.0,0.0,3600.0,500.0,RISE
2014-05-21,24700.0,24200.0,24800.0,24200.0,456.0,0.0,0.0,0.0,0.0,3600.0,200.0,FALL
2014-05-22,24800.0,24900.0,24900.0,24650.0,1060.0,0.0,0.0,0.0,0.0,3600.0,100.0,RISE
2014-05-23,24900.0,25150.0,25150.0,24700.0,1760.0,-190.0,0.0,190.0,0.0,3790.0,100.0,RISE
