,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,3410.0,3455.0,3630.0,3340.0,223622.0,7933,-6392,-1541,0.0188,-1403439,90.0,RISE
2020-06-01,3320.0,3350.0,3365.0,3245.0,238466.0,-20545,21411,-866,0.0191,-1401898,30.0,FALL
2020-05-29,3350.0,3230.0,3635.0,3165.0,1392143.0,21468,-18932,-2536,0.0182,-1401032,190.0,RISE
2020-05-28,3160.0,3240.0,3285.0,3010.0,192033.0,-5589,7868,-2279,0.019,-1398496,40.0,FALL
2020-05-27,3200.0,3240.0,3240.0,3175.0,68744.0,-1179,3842,-2663,0.0187,-1396217,15.0,RISE
2020-05-26,3185.0,3180.0,3290.0,3180.0,219319.0,-7749,24304,-16555,0.0185,-1393554,0.0,EVEN
2020-05-25,3185.0,3240.0,3250.0,3175.0,123716.0,1370,587,-1957,0.0175,-1376999,15.0,FALL
2020-05-22,3200.0,3130.0,3220.0,3100.0,166870.0,17515,-4761,-12754,0.0175,-1375042,80.0,RISE
2020-05-21,3135.0,3190.0,3190.0,3105.0,103048.0,,,,,,,
2020-05-20,3095.0,3050.0,3195.0,3050.0,96537.0,-4123.0,-43.0,4166.0,0.0177,-1355197.0,0.0,EVEN
2020-05-19,3095.0,3050.0,3300.0,3035.0,283318.0,-9502.0,9604.0,-102.0,0.0177,-1359363.0,65.0,RISE
2020-05-18,3030.0,3075.0,3140.0,2980.0,96108.0,-9578.0,3322.0,6256.0,0.0173,-1359261.0,10.0,RISE
2020-05-15,3020.0,3060.0,3110.0,3020.0,77303.0,-25478.0,7856.0,17622.0,0.0172,-1365517.0,40.0,FALL
2020-05-14,3060.0,3115.0,3120.0,3020.0,72971.0,4750.0,-4702.0,-48.0,0.0168,-1383139.0,50.0,FALL
2020-05-13,3110.0,3060.0,3140.0,3050.0,51288.0,-2020.0,2154.0,-134.0,0.017,-1383091.0,5.0,RISE
2020-05-12,3105.0,3230.0,3230.0,3100.0,80886.0,7252.0,-8617.0,1365.0,0.0169,-1382957.0,80.0,FALL
2020-05-11,3185.0,3140.0,3225.0,3135.0,53493.0,-1434.0,2976.0,-1542.0,0.0173,-1384322.0,15.0,RISE
2020-05-08,3170.0,3170.0,3195.0,3150.0,38021.0,-1040.0,546.0,494.0,0.0172,-1382780.0,0.0,EVEN
