,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,27900.0,27450.0,28250.0,27450.0,1761.0,15,-15,0,-0.0001,1,400.0,RISE
2020-06-01,27500.0,27450.0,27750.0,27250.0,1612.0,38,-38,0,0.0,1,100.0,RISE
2020-05-29,27400.0,27550.0,27850.0,27200.0,1428.0,23,-23,0,0.0,1,300.0,FALL
2020-05-28,27700.0,28050.0,28300.0,27050.0,1462.0,155,-155,0,0.0,1,350.0,FALL
2020-05-27,28050.0,27800.0,28150.0,27550.0,3293.0,5,-5,0,0.0,1,250.0,RISE
2020-05-26,27800.0,27650.0,27800.0,26850.0,2719.0,81,-81,0,0.0,1,250.0,RISE
2020-05-25,27550.0,27900.0,28000.0,27400.0,849.0,37,-37,0,0.0,1,350.0,FALL
2020-05-22,27900.0,27600.0,28250.0,27500.0,1238.0,30,-30,0,0.0,1,100.0,FALL
2020-05-21,27950.0,27900.0,28300.0,27800.0,1259.0,,,,,,,
2020-05-20,27850.0,28550.0,28800.0,27850.0,5194.0,-5.0,5.0,0.0,0.0,1.0,750.0,FALL
2020-05-19,28600.0,28300.0,28650.0,28000.0,1932.0,11.0,-11.0,0.0,0.0,1.0,600.0,RISE
2020-05-18,28000.0,28950.0,29000.0,27300.0,2515.0,-4.0,4.0,0.0,0.0,1.0,950.0,FALL
2020-05-15,28950.0,29500.0,30000.0,28550.0,2375.0,160.0,-148.0,-12.0,0.0,1.0,500.0,FALL
2020-05-14,29450.0,28950.0,29450.0,27350.0,2898.0,88.0,-100.0,12.0,0.0,13.0,350.0,RISE
2020-05-13,29100.0,29300.0,29650.0,28700.0,2155.0,65.0,-65.0,0.0,0.0,1.0,250.0,FALL
2020-05-12,29350.0,29900.0,30200.0,29200.0,653.0,195.0,-195.0,0.0,0.0,1.0,550.0,FALL
2020-05-11,29900.0,30400.0,30400.0,29750.0,2127.0,198.0,-198.0,0.0,0.0,1.0,700.0,FALL
2020-05-08,30600.0,30400.0,30950.0,30300.0,1042.0,-125.0,125.0,0.0,0.0,1.0,100.0,RISE
2020-05-07,30500.0,30000.0,30500.0,29850.0,428.0,2.0,-2.0,0.0,0.0,1.0,500.0,RISE
2020-05-06,30000.0,30100.0,30300.0,29600.0,1560.0,-2.0,2.0,0.0,0.0,1.0,0.0,EVEN
2020-05-04,30000.0,29050.0,30450.0,29050.0,3195.0,129.0,-129.0,0.0,0.0,1.0,500.0,FALL
2020-04-29,30500.0,29950.0,31000.0,29800.0,2770.0,-300.0,300.0,0.0,0.0,1.0,700.0,RISE
2020-04-28,29800.0,29100.0,30050.0,29100.0,1574.0,-7.0,7.0,0.0,0.0,1.0,600.0,RISE
2020-04-27,29200.0,29350.0,29750.0,28850.0,3071.0,-365.0,365.0,0.0,0.0,1.0,500.0,RISE
