날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,-74425.0,166968.0,-92543.0,0.347,1347794.0,0.0,EVEN
2014-04-09,59200.0,60400.0,61200.0,58400.0,2982273.0,339706.0,1097553.0,-1437259.0,0.35,-89465.0,1500.0,FALL
2014-04-10,58600.0,59700.0,59800.0,57600.0,2661787.0,349113.0,542308.0,-891421.0,0.352,-980886.0,600.0,FALL
2014-04-11,59400.0,58100.0,59500.0,57900.0,1147313.0,-399227.0,668156.0,-268929.0,0.353,-1249815.0,800.0,RISE
2014-04-14,60000.0,59000.0,60000.0,59000.0,773818.0,-228629.0,272704.0,-44075.0,0.354,-1293890.0,600.0,RISE
2014-04-15,59500.0,60200.0,60400.0,58900.0,891144.0,-37859.0,279414.0,-241555.0,0.355,-1535445.0,500.0,FALL
2014-04-16,59000.0,59600.0,59700.0,58900.0,977266.0,102154.0,210104.0,-312258.0,0.355,-1847703.0,500.0,FALL
2014-04-17,59100.0,59400.0,59500.0,58200.0,1117859.0,123309.0,516359.0,-639668.0,0.356,-2487371.0,100.0,RISE
2014-04-18,58900.0,59000.0,59300.0,58600.0,614187.0,120767.0,125715.0,-246482.0,0.357,-2733853.0,200.0,FALL
2014-04-21,58400.0,58700.0,58900.0,57900.0,721902.0,197938.0,73179.0,-271117.0,0.357,-3004970.0,500.0,FALL
2014-04-22,59100.0,58400.0,59100.0,58300.0,655450.0,-199190.0,163754.0,35436.0,0.357,-2969534.0,700.0,RISE
2014-04-23,58200.0,59400.0,59500.0,58000.0,916378.0,287982.0,-79046.0,-208936.0,0.357,-3178470.0,900.0,FALL
2014-04-24,58000.0,58000.0,58300.0,57100.0,932904.0,-63547.0,266249.0,-202702.0,0.358,-3381172.0,200.0,FALL
2014-04-25,57300.0,58100.0,58600.0,57100.0,964243.0,194474.0,19997.0,-214471.0,0.358,-3595643.0,700.0,FALL
2014-04-28,57600.0,57500.0,58100.0,57500.0,605928.0,-98270.0,-3281.0,101551.0,0.358,-3494092.0,300.0,RISE
2014-04-29,57700.0,58000.0,58400.0,57700.0,460221.0,-67005.0,34299.0,32706.0,0.358,-3461386.0,100.0,RISE
2014-04-30,57300.0,58300.0,58300.0,56000.0,1504951.0,170725.0,53088.0,-223813.0,0.358,-3685199.0,400.0,FALL
2014-05-02,56300.0,57300.0,57400.0,56200.0,1040390.0,158983.0,-60163.0,-98820.0,0.358,-3784019.0,1000.0,FALL
2014-05-07,56100.0,56900.0,57200.0,56100.0,1278381.0,22886.0,8947.0,-31833.0,0.358,-3815852.0,200.0,FALL
2014-05-08,56900.0,56500.0,57200.0,55600.0,906883.0,-76543.0,-3106.0,79649.0,0.358,-3736203.0,800.0,RISE
2014-05-09,57400.0,56700.0,57400.0,56700.0,835328.0,-109620.0,100643.0,8977.0,0.358,-3727226.0,500.0,RISE
2014-05-12,56800.0,57200.0,57200.0,56200.0,376366.0,2243.0,15554.0,-17797.0,0.358,-3745023.0,600.0,FALL
2014-05-13,57100.0,57300.0,57800.0,56800.0,597818.0,-44658.0,63246.0,-18588.0,0.358,-3763611.0,300.0,RISE
2014-05-14,59600.0,58000.0,59600.0,57500.0,1808122.0,-738002.0,596137.0,141865.0,0.36,-3621746.0,2500.0,RISE
2014-05-15,59100.0,59900.0,60000.0,59000.0,822915.0,-98196.0,144398.0,-46202.0,0.36,-3667948.0,500.0,FALL
2014-05-16,58000.0,59000.0,59400.0,58000.0,939052.0,118235.0,59737.0,-177972.0,0.36,-3845920.0,1100.0,FALL
2014-05-19,59000.0,58700.0,59000.0,58000.0,1359885.0,-257434.0,462028.0,-204594.0,0.361,-4050514.0,1000.0,RISE
2014-05-20,58400.0,58800.0,59000.0,58000.0,774913.0,6433.0,154981.0,-161414.0,0.362,-4211928.0,600.0,FALL
2014-05-21,59400.0,58600.0,59600.0,58000.0,1060637.0,-354058.0,350606.0,3452.0,0.362,-4208476.0,1000.0,RISE
2014-05-22,60100.0,60000.0,60400.0,59500.0,914478.0,-343299.0,366732.0,-23433.0,0.363,-4231909.0,700.0,RISE
2014-05-23,60400.0,60200.0,60400.0,59900.0,790275.0,-337297.0,267615.0,69682.0,0.364,-4162227.0,300.0,RISE
2014-05-26,60500.0,60600.0,60700.0,60200.0,717499.0,-167927.0,163922.0,4005.0,0.364,-4158222.0,100.0,RISE
2014-05-27,59100.0,60400.0,60500.0,58800.0,571024.0,109963.0,8631.0,-118594.0,0.365,-4276816.0,1400.0,FALL
2014-05-28,59400.0,58800.0,59700.0,58500.0,621340.0,-30979.0,98705.0,-67726.0,0.365,-4344542.0,300.0,RISE
2014-05-29,59400.0,59700.0,59800.0,58900.0,678673.0,-23914.0,137216.0,-113302.0,0.365,-4457844.0,0.0,EVEN
2014-05-30,58800.0,59800.0,59800.0,58600.0,1030263.0,-10954.0,73986.0,-63032.0,0.365,-4520876.0,600.0,FALL
2014-06-02,58200.0,58900.0,59100.0,57800.0,584103.0,112140.0,76315.0,-188455.0,0.365,-4709331.0,600.0,FALL
2014-06-03,57600.0,57700.0,57800.0,56200.0,1375512.0,75690.0,-1436.0,-74254.0,0.365,-4783585.0,600.0,FALL
2014-06-05,56600.0,58000.0,58000.0,56300.0,1326718.0,200402.0,44370.0,-244772.0,0.366,-5028357.0,1000.0,FALL
2014-06-09,56500.0,56400.0,57000.0,56000.0,1170703.0,171767.0,-143380.0,-28387.0,0.365,-5056744.0,100.0,FALL
2014-06-10,56900.0,56900.0,57300.0,56400.0,927063.0,124079.0,225525.0,-349604.0,0.366,-5406348.0,400.0,RISE
2014-06-11,56700.0,57300.0,57300.0,56100.0,805909.0,165149.0,128847.0,-293996.0,0.366,-5700344.0,200.0,FALL
2014-06-12,56500.0,56600.0,56700.0,56100.0,909157.0,221518.0,57395.0,-278913.0,0.366,-5979257.0,200.0,FALL
2014-06-13,56400.0,56400.0,56600.0,56000.0,514447.0,40270.0,-1185.0,-39085.0,0.366,-6018342.0,100.0,FALL
2014-06-16,56200.0,56000.0,56200.0,55500.0,860972.0,142537.0,9944.0,-152481.0,0.366,-6170823.0,200.0,FALL
2014-06-17,57400.0,56100.0,57600.0,56000.0,941355.0,-179474.0,178886.0,588.0,0.367,-6170235.0,1200.0,RISE
2014-06-18,56800.0,57600.0,57700.0,56400.0,611207.0,137392.0,-133740.0,-3652.0,0.366,-6173887.0,600.0,FALL
2014-06-19,55900.0,57100.0,57300.0,55600.0,1241326.0,338918.0,71071.0,-409989.0,0.367,-6583876.0,900.0,FALL
2014-06-20,54200.0,55900.0,56100.0,54200.0,1452143.0,475210.0,-137123.0,-338087.0,0.366,-6921963.0,1700.0,FALL
2014-06-23,54000.0,54400.0,54800.0,54000.0,1471278.0,85502.0,-57070.0,-28432.0,0.366,-6950395.0,200.0,FALL
2014-06-24,54300.0,53600.0,54700.0,53600.0,985421.0,80246.0,-227147.0,146901.0,0.366,-6803494.0,300.0,RISE
2014-06-25,54500.0,54400.0,54800.0,54300.0,570881.0,46654.0,-160641.0,113987.0,0.365,-6689507.0,200.0,RISE
2014-06-26,55900.0,55900.0,56300.0,55200.0,1155025.0,-392028.0,88776.0,303252.0,0.365,-6386255.0,1400.0,RISE
2014-06-27,56700.0,56200.0,57200.0,55500.0,1247507.0,-457422.0,242049.0,215373.0,0.366,-6170882.0,800.0,RISE
2014-06-30,56600.0,56700.0,56900.0,55700.0,903046.0,-28748.0,-29229.0,57977.0,0.366,-6112905.0,100.0,FALL
2014-07-01,55700.0,56600.0,56600.0,55300.0,870937.0,217459.0,-11762.0,-205697.0,0.366,-6318602.0,900.0,FALL
2014-07-02,55300.0,56000.0,56000.0,55000.0,1215580.0,326281.0,73181.0,-399462.0,0.366,-6718064.0,400.0,FALL
2014-07-03,54900.0,55600.0,55600.0,54600.0,1594551.0,313608.0,457013.0,-770621.0,0.367,-7488685.0,400.0,FALL
2014-07-04,54500.0,55100.0,55200.0,54200.0,927377.0,266731.0,90143.0,-356874.0,0.368,-7845559.0,400.0,FALL
2014-07-07,55000.0,54300.0,55000.0,54100.0,866429.0,57919.0,246495.0,-304414.0,0.368,-8149973.0,500.0,RISE
2014-07-08,54300.0,55300.0,55300.0,54100.0,902070.0,229130.0,68726.0,-297856.0,0.369,-8447829.0,700.0,FALL
2014-07-09,54000.0,54300.0,54600.0,53600.0,868550.0,199274.0,131397.0,-330671.0,0.369,-8778500.0,300.0,FALL
2014-07-10,54200.0,54000.0,54500.0,53900.0,619754.0,38134.0,77017.0,-115151.0,0.369,-8893651.0,200.0,RISE
2014-07-11,54400.0,53900.0,54800.0,53800.0,853061.0,33277.0,-8719.0,-24558.0,0.369,-8918209.0,200.0,RISE
2014-07-14,53500.0,54500.0,54600.0,53500.0,887924.0,229982.0,-156768.0,-73214.0,0.369,-8991423.0,900.0,FALL
2014-07-15,55400.0,53600.0,55600.0,53400.0,1314580.0,-278409.0,163002.0,115407.0,0.369,-8876016.0,1900.0,RISE
2014-07-16,56000.0,55400.0,56400.0,55100.0,1648220.0,-433790.0,161972.0,271818.0,0.37,-8604198.0,600.0,RISE
2014-07-17,55700.0,56500.0,56500.0,55700.0,826403.0,-157840.0,206090.0,-48250.0,0.37,-8652448.0,300.0,FALL
2014-07-18,56000.0,55600.0,56400.0,55400.0,923032.0,-279344.0,389999.0,-110655.0,0.371,-8763103.0,300.0,RISE
