날짜,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2014-04-08,,,,,,3200.0,-3190.0,-10.0,0.004,-110528.0,20.0,FALL
2014-04-09,9020.0,9290.0,9290.0,8920.0,274220.0,-780.0,780.0,0.0,0.004,-110528.0,180.0,FALL
2014-04-10,9180.0,9020.0,9180.0,8950.0,216513.0,-190.0,200.0,-10.0,0.004,-110538.0,160.0,RISE
2014-04-11,9160.0,9180.0,9430.0,9020.0,244829.0,710.0,-910.0,200.0,0.004,-110338.0,20.0,FALL
2014-04-14,9050.0,9130.0,9190.0,9050.0,164470.0,-390.0,390.0,0.0,0.004,-110338.0,110.0,FALL
2014-04-15,9010.0,9060.0,9180.0,8990.0,207322.0,26.0,-20.0,-6.0,0.004,-110344.0,40.0,FALL
2014-04-16,9160.0,9040.0,9180.0,8980.0,195871.0,260.0,-260.0,0.0,0.004,-110344.0,150.0,RISE
2014-04-17,9000.0,9190.0,9190.0,9000.0,195558.0,-120.0,130.0,-10.0,0.004,-110354.0,160.0,FALL
2014-04-18,8900.0,9000.0,9020.0,8820.0,170510.0,10.0,0.0,-10.0,0.004,-110364.0,100.0,FALL
2014-04-21,9380.0,9500.0,9700.0,9240.0,789430.0,-660.0,660.0,0.0,0.004,-110364.0,480.0,RISE
2014-04-22,9330.0,9380.0,9550.0,9200.0,376968.0,200.0,-200.0,0.0,0.004,-110364.0,50.0,FALL
2014-04-23,9330.0,9390.0,9540.0,9260.0,266049.0,10.0,0.0,-10.0,0.004,-110374.0,0.0,EVEN
2014-04-24,9080.0,9350.0,9380.0,9030.0,197854.0,1230.0,-1220.0,-10.0,0.004,-110384.0,250.0,FALL
2014-04-25,9270.0,9300.0,9330.0,9100.0,165292.0,140.0,-100.0,-40.0,0.004,-110424.0,190.0,RISE
2014-04-28,10300.0,9300.0,10650.0,9160.0,918363.0,2170.0,-2170.0,0.0,0.004,-110424.0,1030.0,RISE
2014-04-29,10700.0,10050.0,11350.0,9790.0,1515033.0,-1190.0,1210.0,-20.0,0.004,-110444.0,400.0,RISE
2014-04-30,10700.0,10650.0,11400.0,10400.0,941516.0,-11114.0,10820.0,294.0,0.005,-110150.0,0.0,EVEN
2014-05-02,11350.0,10950.0,11800.0,10650.0,1025223.0,1260.0,-1200.0,-60.0,0.004,-110210.0,650.0,RISE
2014-05-07,13050.0,11500.0,13050.0,11200.0,1595953.0,-7910.0,7910.0,0.0,0.005,-110210.0,1700.0,UPPER_LIMIT
2014-05-08,15000.0,14000.0,15000.0,13950.0,304977.0,0.0,0.0,0.0,0.005,-110210.0,1950.0,UPPER_LIMIT
2014-05-09,17250.0,17250.0,17250.0,17250.0,79261.0,51.0,-10.0,-41.0,0.005,-110251.0,2250.0,UPPER_LIMIT
2014-05-12,17300.0,19800.0,19800.0,16150.0,3657672.0,129690.0,-790.0,-128900.0,0.005,-239151.0,50.0,RISE
