,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-02,2945.0,2845.0,3280.0,2800.0,10712583.0,38332,-37187,-1145,0.0036,-1669513,115.0,RISE
2020-06-01,2830.0,2810.0,2925.0,2780.0,4512283.0,-10591,11751,-1160,0.0047,-1668368,20.0,RISE
2020-05-29,2810.0,2560.0,3060.0,2525.0,25508236.0,74243,-74263,20,0.0042,-1667208,285.0,RISE
2020-05-28,2525.0,2655.0,2730.0,2465.0,2292409.0,117764,-114493,-3271,0.0063,-1667228,130.0,FALL
2020-05-27,2655.0,2505.0,2920.0,2450.0,10171890.0,186208,-184226,-1982,0.0094,-1663957,165.0,RISE
2020-05-26,2490.0,2475.0,2575.0,2460.0,1606374.0,-39656,38885,771,0.0145,-1661975,15.0,RISE
2020-05-25,2475.0,2405.0,2515.0,2375.0,1110813.0,41702,-35463,-6239,0.0134,-1662746,100.0,RISE
2020-05-22,2375.0,2465.0,2565.0,2370.0,1432573.0,20747,-30184,9437,0.0144,-1656507,70.0,FALL
2020-05-21,2445.0,2465.0,2495.0,2445.0,605314.0,,,,,,,
2020-05-20,2460.0,2405.0,2525.0,2375.0,1482407.0,133861.0,-133858.0,-3.0,0.013999999999999999,-1713272.0,50.0,RISE
2020-05-19,2410.0,2335.0,2495.0,2310.0,2644238.0,26082.0,-26003.0,-79.0,0.0177,-1713269.0,100.0,RISE
2020-05-18,2310.0,2335.0,2380.0,2295.0,779132.0,33306.0,-33282.0,-24.0,0.0184,-1713190.0,30.0,RISE
2020-05-15,2280.0,2245.0,2325.0,2230.0,473041.0,9315.0,-10460.0,1145.0,0.0194,-1713166.0,50.0,RISE
2020-05-14,2230.0,2265.0,2305.0,2220.0,333385.0,45450.0,-45553.0,103.0,0.0196,-1714311.0,80.0,FALL
2020-05-13,2310.0,2210.0,2310.0,2200.0,417990.0,-59865.0,59561.0,304.0,0.0209,-1714414.0,45.0,RISE
2020-05-12,2265.0,2425.0,2435.0,2265.0,988632.0,120639.0,-120870.0,231.0,0.0193,-1714718.0,80.0,FALL
2020-05-11,2345.0,2395.0,2405.0,2305.0,892263.0,96339.0,-96341.0,2.0,0.0226,-1714949.0,25.0,FALL
2020-05-08,2370.0,2300.0,2420.0,2285.0,1266746.0,-50392.0,51631.0,-1239.0,0.0253,-1714951.0,90.0,RISE
2020-05-07,2280.0,2265.0,2310.0,2245.0,526177.0,-29665.0,29612.0,53.0,0.0238,-1713712.0,25.0,RISE
2020-05-06,2255.0,2220.0,2275.0,2210.0,560340.0,-58040.0,57768.0,272.0,0.023,-1713765.0,40.0,RISE
2020-05-04,2215.0,2215.0,2265.0,2200.0,272988.0,-77661.0,76450.0,1211.0,0.0214,-1714037.0,30.0,FALL
2020-04-29,2245.0,2265.0,2280.0,2235.0,309756.0,-26967.0,27006.0,-39.0,0.0193,-1715248.0,5.0,RISE
2020-04-28,2240.0,2295.0,2305.0,2200.0,506485.0,-21110.0,22887.0,-1777.0,0.0186,-1715209.0,5.0,FALL
2020-04-27,2245.0,2250.0,2325.0,2230.0,502409.0,-10713.0,9855.0,858.0,0.0179,-1713432.0,45.0,RISE
2020-04-24,2200.0,2250.0,2345.0,2170.0,1101573.0,150010.0,-150938.0,928.0,0.0177,-1714290.0,80.0,FALL
2020-04-23,2280.0,2165.0,2320.0,2150.0,1383606.0,-40790.0,41605.0,-815.0,0.0218,-1715218.0,135.0,RISE
2020-04-22,2145.0,2125.0,2145.0,2045.0,426887.0,-60449.0,60455.0,-6.0,0.021,-1714403.0,5.0,FALL
2020-04-21,2150.0,2200.0,2260.0,2030.0,686811.0,-76455.0,76403.0,52.0,0.0193,-1714397.0,60.0,FALL
2020-04-20,2210.0,2250.0,2270.0,2200.0,579260.0,-6072.0,6415.0,-343.0,0.0172,-1714449.0,35.0,FALL
2020-04-17,2245.0,2120.0,2290.0,2090.0,1259540.0,11234.0,-10740.0,-494.0,0.017,-1714106.0,130.0,RISE
2020-04-16,2115.0,2125.0,2150.0,1980.0,564419.0,1071.0,-1015.0,-56.0,0.0173,-1713612.0,45.0,RISE
2020-04-14,2070.0,2015.0,2130.0,2015.0,584373.0,-71096.0,71165.0,-69.0,0.0174,-1713556.0,55.0,RISE
2020-04-13,2015.0,2140.0,2140.0,2000.0,929870.0,17451.0,-16960.0,-491.0,0.0154,-1713487.0,145.0,FALL
2020-04-10,2160.0,2305.0,2340.0,2000.0,1396796.0,-61094.0,62874.0,-1780.0,0.0159,-1712996.0,140.0,FALL
2020-04-09,2300.0,2370.0,2400.0,2215.0,1051027.0,-196345.0,196203.0,142.0,0.0141,-1711216.0,30.0,FALL
2020-04-08,2330.0,2495.0,2495.0,2250.0,1324597.0,61709.0,-61564.0,-145.0,0.0087,-1711358.0,130.0,FALL
2020-04-07,2460.0,2600.0,2600.0,2345.0,1714419.0,-92956.0,92218.0,738.0,0.0104,-1711213.0,40.0,FALL
2020-04-06,2500.0,2465.0,2640.0,2425.0,2631435.0,84331.0,-84322.0,-9.0,0.0079,-1711951.0,90.0,RISE
2020-04-03,2410.0,2245.0,2415.0,2215.0,2639833.0,-8380.0,8756.0,-376.0,0.0102,-1711942.0,200.0,RISE
